#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Bray F, Ferlay J, Soerjomataram I. Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2018;68.",Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,CA Cancer J Clin,2018,68,,,,,Bray F; Ferlay J; Soerjomataram I
2,"Lievense LA, Sterman DH, Cornelissen R. Checkpoint blockade in lung cancer and mesothelioma. Am J Respir Crit Care Med. 2017;196.",Checkpoint blockade in lung cancer and mesothelioma,Am J Respir Crit Care Med,2017,196,,,,,Lievense LA; Sterman DH; Cornelissen R
3,"Ribas A, Wolchok JD. Cancer immunotherapy using checkpoint blockade. Science. 2018;359.",Cancer immunotherapy using checkpoint blockade,Science,2018,359,,,,,Ribas A; Wolchok JD
4,"Postow MA, Sidlow R, Hellmann MD. Immune-related adverse events associated with immune checkpoint blockade. N Engl J Med. 2018;378.",Immune-related adverse events associated with immune checkpoint blockade,N Engl J Med,2018,378,,,,,Postow MA; Sidlow R; Hellmann MD
5,"Hamid O, Ismail R, Puzanov I. Intratumoural immunotherapy-update 2019. Oncologist. 2020;25.",Intratumoural immunotherapy-update 2019,Oncologist,2020,25,,,,,Hamid O; Ismail R; Puzanov I
6,"Harris K, Puchalski J, Sterman DH. Recent advances in bronchoscopic treatment of peripheral lung cancers. Chest. 2017;151.",Recent advances in bronchoscopic treatment of peripheral lung cancers,Chest,2017,151,,,,,Harris K; Puchalski J; Sterman DH
7,Coley WB. The treatment of malignant tumours by repeated inoculations of erysipelas: with a report of 10 original cases. Am J Med. 1893;105.,The treatment of malignant tumours by repeated inoculations of erysipelas: with a report of 10 original cases,Am J Med,1893,105,,,,,Coley WB
8,Mccarthy EF. The toxins of William B. Coley and the treatment of bone and soft-tissue sarcomas. Iowa Orthop J. 2006;26.,The toxins of William B. Coley and the treatment of bone and soft-tissue sarcomas,Iowa Orthop J,2006,26,,,,,Mccarthy EF
9,"Bateman JC. Palliation of cancer in human patients by maintenance therapy with NN'N""-triethylene thiophosphoramide and N-(3-oxapentamethylene)-N'N""-diethylene phosphoramide. Ann N Y Acad Sci. 1958;68.","Palliation of cancer in human patients by maintenance therapy with NN'N""-triethylene thiophosphoramide and N-(3-oxapentamethylene)-N'N""-diethylene phosphoramide",Ann N Y Acad Sci,1958,68,,,,,Bateman JC
10,Brincker H. Direct intratumoural chemotherapy. Crit Rev Oncol Hematol. 1993;15.,Direct intratumoural chemotherapy,Crit Rev Oncol Hematol,1993,15,,,,,Brincker H
11,"Miller RJ, Casal RF, Lazarus DR. Flexible bronchoscopy. Clin Chest Med. 2018;39.",Flexible bronchoscopy,Clin Chest Med,2018,39,,,,,Miller RJ; Casal RF; Lazarus DR
12,"Hayata Y, Ohbo K, Ogawa I. Immunotherapy for lung cancer cases using BCG or BCG cell-wall skeleton: intratumoural injections. Gann Monogr Cancer Res. 1978;21.",Immunotherapy for lung cancer cases using BCG or BCG cell-wall skeleton: intratumoural injections,Gann Monogr Cancer Res,1978,21,,,,,Hayata Y; Ohbo K; Ogawa I
13,"Matthay RA, Mahler DA, Beck GJ. Intratumoural Bacillus Calmette-Guérin immunotherapy prior to surgery for carcinoma of the lung: results of a prospective randomized trial. Cancer Res. 1986;46.",Intratumoural Bacillus Calmette-Guérin immunotherapy prior to surgery for carcinoma of the lung: results of a prospective randomized trial,Cancer Res,1986,46,,,,,Matthay RA; Mahler DA; Beck GJ
14,"Krutzik SR, Modlin RL. The role of Toll-like receptors in combating mycobacteria. Semin Immunol. 2004;16.",The role of Toll-like receptors in combating mycobacteria,Semin Immunol,2004,16,,,,,Krutzik SR; Modlin RL
15,"Wagai F, Kinoshita M, Shiraki R. The direct injection of several anti-cancer drugs into the primary lung cancer lesion through a fiberoptic bronchoscope. Jpn J Thorac Dis. 1982;20.",The direct injection of several anti-cancer drugs into the primary lung cancer lesion through a fiberoptic bronchoscope,Jpn J Thorac Dis,1982,20,,,,,Wagai F; Kinoshita M; Shiraki R
16,"Celikoglu SI, Karayel T, Demirci S. Direct injection of anti-cancer drugs into endobronchial tumours for palliation of major airway obstruction. Postgrad Med J. 1997;73.",Direct injection of anti-cancer drugs into endobronchial tumours for palliation of major airway obstruction,Postgrad Med J,1997,73,,,,,Celikoglu SI; Karayel T; Demirci S
17,"Liu M, Ma P, Lu Z. Local chemotherapy by fibrobronchoscopy for advanced bronchogenic carcinoma. Chin J Tuberc Respir Dis. 2000;23.",Local chemotherapy by fibrobronchoscopy for advanced bronchogenic carcinoma,Chin J Tuberc Respir Dis,2000,23,,,,,Liu M; Ma P; Lu Z
18,"Celikoglu F, Celikoglu SI. Intratumoural chemotherapy with 5-fluorouracil for palliation of bronchial cancer in patients with severe airway obstruction. J Pharm Pharmacol. 2003;55.",Intratumoural chemotherapy with 5-fluorouracil for palliation of bronchial cancer in patients with severe airway obstruction,J Pharm Pharmacol,2003,55,,,,,Celikoglu F; Celikoglu SI
19,"Celikoglu F, Celikoglu SI, York AM. Intratumoural administration of cisplatin through a bronchoscope followed by irradiation for treatment of inoperable non-small cell obstructive lung cancer. Lung Cancer. 2006;51.",Intratumoural administration of cisplatin through a bronchoscope followed by irradiation for treatment of inoperable non-small cell obstructive lung cancer,Lung Cancer,2006,51,,,,,Celikoglu F; Celikoglu SI; York AM
20,"Celikoglu SI, Celikoglu F, Goldberg EP. Endobronchial intratumoural chemotherapy (EITC) followed by surgery in early non-small cell lung cancer with polypoid growth causing erroneous impression of advanced disease. Lung Cancer. 2006;54.",Endobronchial intratumoural chemotherapy (EITC) followed by surgery in early non-small cell lung cancer with polypoid growth causing erroneous impression of advanced disease,Lung Cancer,2006,54,,,,,Celikoglu SI; Celikoglu F; Goldberg EP
21,"Celikoglu SI, Celikoglu F, Goldberg EP. Intratumoural cancer chemotherapy through a flexible bronchoscope. J Bronchol. 2004;11.",Intratumoural cancer chemotherapy through a flexible bronchoscope,J Bronchol,2004,11,,,,,Celikoglu SI; Celikoglu F; Goldberg EP
22,"Jabbardarjani H, Kharabian S, Masjedi MR. Endobronchial chemotherapy in malignant airway lesions of the lung: report of 3 years experience. J Bronchol. 2007;14.",Endobronchial chemotherapy in malignant airway lesions of the lung: report of 3 years experience,J Bronchol,2007,14,,,,,Jabbardarjani H; Kharabian S; Masjedi MR
23,"Celikoglu F, Celikoglu SI, Goldberg EP. Bronchoscopic intratumoural chemotherapy of lung cancer. Lung Cancer. 2008;61.",Bronchoscopic intratumoural chemotherapy of lung cancer,Lung Cancer,2008,61,,,,,Celikoglu F; Celikoglu SI; Goldberg EP
24,"Nader D, Flynn J, Stark J. Intratumoural chemotherapy as an adjuvant to endobronchial brachytherapy. J Thorac Oncol. 2010;5(7).",Intratumoural chemotherapy as an adjuvant to endobronchial brachytherapy,J Thorac Oncol,2010,5,7,,,,Nader D; Flynn J; Stark J
