#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Yasufuku K, Pierre A, Darling G et al.. A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J Thorac Cardiovasc Surg. 2011;142.",A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J Thorac Cardiovasc Surg,2011,142,,,,,Yasufuku K; Pierre A; Darling G; De Perrot M; Waddell T; Johnston M; Da Cunha Santos G; Geddie W; Boerner S; Le LW; Keshavjee S
2,"Rintoul RC, Skwarski KM, Murchison JT, Walker WW, Penman WS, ID. Endobronchial and endoscopic ultrasound-guided real-time fine-needle aspiration for mediastinal staging. Eur Respir J. 2005;25.",Endobronchial and endoscopic ultrasound-guided real-time fine-needle aspiration for mediastinal staging,Eur Respir J,2005,25,,,,,Rintoul RC; Skwarski KM; Murchison JT; Walker WW; Penman WS; ID
3,"Herth FJ, Eberhardt R, Vilmann P, Krasnik M, Ernst A. Real-time endobronchial ultrasound guided transbronchial needle aspiration for sampling mediastinal lymph nodes. Thorax. 2006;61.",Real-time endobronchial ultrasound guided transbronchial needle aspiration for sampling mediastinal lymph nodes,Thorax,2006,61,,,,,Herth FJ; Eberhardt R; Vilmann P; Krasnik M; Ernst A
4,"Herth FJ, Eberhardt R, Krasnik M, Ernst A. Endobronchial ultrasound-guided transbronchial needle aspiration of lymph nodes in the radiologically and positron emission tomography-normal mediastinum in patients with lung cancer. Chest. 2008;133.",Endobronchial ultrasound-guided transbronchial needle aspiration of lymph nodes in the radiologically and positron emission tomography-normal mediastinum in patients with lung cancer,Chest,2008,133,,,,,Herth FJ; Eberhardt R; Krasnik M; Ernst A
5,"Lim E, Baldwin D, Beckles M et al.. Guidelines on the radical management of patients with lung cancer. Thorax. 2010;65.",Guidelines on the radical management of patients with lung cancer,Thorax,2010,65,,,,,Lim E; Baldwin D; Beckles M; Duffy J; Entwisle J; Faivre-Finn C; Kerr K; Macfie A; Mcguigan J; Padley S; Popat S; Screaton N; Snee M; Waller D; Warburton C; WT
6,"Kennedy MP, Jimenez CA, Bruzzi JF et al.. Endobronchial ultrasound-guided transbronchial needle aspiration in the diagnosis of lymphoma. Thorax. 2008;63.",Endobronchial ultrasound-guided transbronchial needle aspiration in the diagnosis of lymphoma,Thorax,2008,63,,,,,Kennedy MP; Jimenez CA; Bruzzi JF; Mhatre AD; Lei X; Giles FJ; Fanning T; Morice RC; Eapen GA
7,"Steinfort DP, Conron M, Tsui A et al.. Endobronchial ultrasound-guided transbronchial needle aspiration for the evaluation of suspected lymphoma. J Thorac Oncol. 2010;5.",Endobronchial ultrasound-guided transbronchial needle aspiration for the evaluation of suspected lymphoma,J Thorac Oncol,2010,5,,,,,Steinfort DP; Conron M; Tsui A; Pasricha SR; Renwick WE; Antippa P; Irving LB
8,"Wong M, Yasufuku K, Nakajima T et al.. Endobronchial ultrasound: new insight for the diagnosis of sarcoidosis. Eur Respir J. 2007;29.",Endobronchial ultrasound: new insight for the diagnosis of sarcoidosis,Eur Respir J,2007,29,,,,,Wong M; Yasufuku K; Nakajima T; Herth FJ; Sekine Y; Shibuya K; Iizasa T; Hiroshima K; Lam WK; Fujisawa T
9,"Garwood S, Judson MA, Silvestri G, Hoda R, Fraig M, Doelken P. Endobronchial ultrasound for the diagnosis of pulmonary sarcoidosis. Chest. 2007;132.",Endobronchial ultrasound for the diagnosis of pulmonary sarcoidosis,Chest,2007,132,,,,,Garwood S; Judson MA; Silvestri G; Hoda R; Fraig M; Doelken P
10,"Herth FJ, Morgan RK, Eberhardt R, Ernst A. Endobronchial ultrasound-guided miniforceps biopsy in the biopsy of subcarinal masses in patients with low likelihood of non-small cell lung cancer. Ann Thorac Surg. 2008;85.",Endobronchial ultrasound-guided miniforceps biopsy in the biopsy of subcarinal masses in patients with low likelihood of non-small cell lung cancer,Ann Thorac Surg,2008,85,,,,,Herth FJ; Morgan RK; Eberhardt R; Ernst A
