#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Lewis SZ, Diekemper R, Dj A. Methodology for development of guidelines for lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Methodology for development of guidelines for lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Lewis SZ; Diekemper R; Dj A
2,"Ost D, Fein AM, Feinsilver SH. Clinical practice. The solitary pulmonary nodule. N Engl J Med. 2003;348(25).",Clinical practice. The solitary pulmonary nodule,N Engl J Med,2003,348,25,,,,Ost D; Fein AM; Feinsilver SH
3,Tuddenham WJ. Glossary of terms for thoracic radiology: recommendations of the Nomenclature Committee of the Fleischner Society. AJR Am J Roentgenol. 1984;143(3).,Glossary of terms for thoracic radiology: recommendations of the Nomenclature Committee of the Fleischner Society,AJR Am J Roentgenol,1984,143,3,,,,Tuddenham WJ
4,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
5,"Schünemann HJ, Oxman AD, Brozek J. Grading quality of evidence and strength of recommendations for diagnostic tests and strategies. correction. 2008;336(7654).",Grading quality of evidence and strength of recommendations for diagnostic tests and strategies,correction,2008,336,7654,,,,Schünemann HJ; Oxman AD; Brozek J
6,"Mayo JR, Aldrich J, Müller N, Society. Radiation exposure at chest CT: a statement of the Fleischner Society. Radiology. 2003;228(1).",Radiation exposure at chest CT: a statement of the Fleischner Society,Radiology,2003,228,1,,,,Mayo JR; Aldrich J; Müller N; Society
7,"Brunelli A, Kim AW, Berger KI, Dj A. Physiologic evaluation of the patient with lung cancer being considered for resectional surgery: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Physiologic evaluation of the patient with lung cancer being considered for resectional surgery: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Brunelli A; Kim AW; Berger KI; Dj A
8,"Swensen SJ, Silverstein MD, Ilstrup DM, Schleck CD, Edell ES. The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules. Arch Intern Med. 1997;157(8).",The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules,Arch Intern Med,1997,157,8,,,,Swensen SJ; Silverstein MD; Ilstrup DM; Schleck CD; Edell ES
9,"Gould MK, Ananth L, Barnett PG. A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules. Chest. 2007;131(2).",A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules,Chest,2007,131,2,,,,Gould MK; Ananth L; Barnett PG
10,"Yonemori K, Tateishi U, Uno H. Development and validation of diagnostic prediction model for solitary pulmonary nodules. Respirology. 2007;12(6).",Development and validation of diagnostic prediction model for solitary pulmonary nodules,Respirology,2007,12,6,,,,Yonemori K; Tateishi U; Uno H
11,"May BJ, Levsky JM, Godelman A. Should CT play a greater role in preventing the resection of granulomas in the era of PET?. AJR Am J Roentgenol. 2011;196(4).",Should CT play a greater role in preventing the resection of granulomas in the era of PET?,AJR Am J Roentgenol,2011,196,4,,,,May BJ; Levsky JM; Godelman A
12,"Cummings SR, Lillington GA, Richard RJ. Estimating the probability of malignancy in solitary pulmonary nodules. A Bayesian approach. Am Rev Respir Dis. 1986;134(3).",Estimating the probability of malignancy in solitary pulmonary nodules. A Bayesian approach,Am Rev Respir Dis,1986,134,3,,,,Cummings SR; Lillington GA; Richard RJ
13,"Gurney JW, Lyddon DM, Mckay JA. Determining the likelihood of malignancy in solitary pulmonary nodules with Bayesian analysis. Part II. Application . Radiology. 1993;186(2).",Determining the likelihood of malignancy in solitary pulmonary nodules with Bayesian analysis,Part II. Application . Radiology,1993,186,2,,,,Gurney JW; Lyddon DM; Mckay JA
14,"Copp DH, Godwin JD, Kirby KA, Limaye AP. Clinical and radiologic factors associated with pulmonary nodule etiology in organ transplant recipients. Am J Transplant. 2006;6(11).",Clinical and radiologic factors associated with pulmonary nodule etiology in organ transplant recipients,Am J Transplant,2006,6,11,,,,Copp DH; Godwin JD; Kirby KA; Limaye AP
15,"Herder GJ, Van Tinteren H, Golding RP. Clinical prediction model to characterize pulmonary nodules: validation and added value of 18 F-fl uorodeoxyglucose positron emission tomography. Chest. 2005;128(4).",Clinical prediction model to characterize pulmonary nodules: validation and added value of 18 F-fl uorodeoxyglucose positron emission tomography,Chest,2005,128,4,,,,Herder GJ; Van Tinteren H; Golding RP
16,"Isbell JM, Deppen S, Jb P. Existing general population models inaccurately predict lung cancer risk in patients referred for surgical evaluation. Ann Thorac Surg. 2011;91(1).",Existing general population models inaccurately predict lung cancer risk in patients referred for surgical evaluation,Ann Thorac Surg,2011,91,1,,,,Isbell JM; Deppen S; Jb P
17,"Schultz EM, Sanders GD, Trotter PR. Validation of two models to estimate the probability of malignancy in patients with solitary pulmonary nodules. Thorax. 2008;63(4).",Validation of two models to estimate the probability of malignancy in patients with solitary pulmonary nodules,Thorax,2008,63,4,,,,Schultz EM; Sanders GD; Trotter PR
18,"Tammemagi MC, Freedman MT, Pinsky PF. Prediction of true positive lung cancers in individuals with abnormal suspicious chest radiographs: a prostate, lung, colorectal, and ovarian cancer screening trial study. J Thorac Oncol. 2009;4(6).","Prediction of true positive lung cancers in individuals with abnormal suspicious chest radiographs: a prostate, lung, colorectal, and ovarian cancer screening trial study",J Thorac Oncol,2009,4,6,,,,Tammemagi MC; Freedman MT; Pinsky PF
19,"Swensen SJ, Silverstein MD, Edell ES. Solitary pulmonary nodules: Clinical prediction model versus physicians. Mayo Clinic proceedings . Mayo Clinic. 1999;74(4).",Solitary pulmonary nodules: Clinical prediction model versus physicians,Mayo Clinic proceedings . Mayo Clinic,1999,74,4,,,,Swensen SJ; Silverstein MD; Edell ES
20,"Gould MK, Simkovich SM, Mestaz PJ. Predicting the probability of malignancy in patients with pulmonary nodules: comparison of clinical judgment with two validated models. Am J Respir Crit Care Med. 2012;185:4425.",Predicting the probability of malignancy in patients with pulmonary nodules: comparison of clinical judgment with two validated models,Am J Respir Crit Care Med,2012,185,,4425,,,Gould MK; Simkovich SM; Mestaz PJ
21,"Wahidi MM, Govert JA, Goudar RK et al.. Evidence for the treatment of patients with pulmonary nodules: when is it lung cancer?: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132(suppl 3).",Evidence for the treatment of patients with pulmonary nodules: when is it lung cancer?: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,suppl 3,,,,Wahidi MM; Govert JA; Goudar RK; Gould MK; Mccrory DC; College A; Physicians C
22,"Swensen SJ, Viggiano RW, Midthun DE. Lung nodule enhancement at CT: multicenter study. Radiology. 2000;214(1).",Lung nodule enhancement at CT: multicenter study,Radiology,2000,214,1,,,,Swensen SJ; Viggiano RW; Midthun DE
23,"Gould MK, Fletcher J, Iannettoni MD. Evaluation of patients with pulmonary nodules: when is it lung cancer?: ACCP evidencebased clinical practice guidelines (2nd edition). Chest. 2007;132(suppl 3).",Evaluation of patients with pulmonary nodules: when is it lung cancer?: ACCP evidencebased clinical practice guidelines (2nd edition),Chest,2007,132,suppl 3,,,,Gould MK; Fletcher J; Iannettoni MD
24,Good CA. Management of patient with solitary mass in lung. Chic Med Soc Bull. 1953;55.,Management of patient with solitary mass in lung,Chic Med Soc Bull,1953,55,,,,,Good CA
25,"Good CA, Wilson TW. The solitary circumscribed pulmonary nodule; study of seven hundred fi ve cases encountered roentgenologically in a period of three and one-half years. J Am Med Assoc. 1958;166(3).",The solitary circumscribed pulmonary nodule; study of seven hundred fi ve cases encountered roentgenologically in a period of three and one-half years,J Am Med Assoc,1958,166,3,,,,Good CA; Wilson TW
26,"Siegelman SS, Khouri NF, Jr SW. Pulmonary hamartoma: CT fi ndings. Radiology. 1986;160(2).",Pulmonary hamartoma: CT fi ndings,Radiology,1986,160,2,,,,Siegelman SS; Khouri NF; Jr SW
27,"Siegelman SS, Khouri NF, Leo FP, Fishman EK, Braverman RM, Zerhouni EA. Solitary pulmonary nodules: CT assessment. Radiology. 1986;160(2).",Solitary pulmonary nodules: CT assessment,Radiology,1986,160,2,,,,Siegelman SS; Khouri NF; Leo FP; Fishman EK; Braverman RM; Zerhouni EA
28,"Zerhouni EA, Stitik FP, Siegelman SS. CT of the pulmonary nodule: a cooperative study. Radiology. 1986;160(2).",CT of the pulmonary nodule: a cooperative study,Radiology,1986,160,2,,,,Zerhouni EA; Stitik FP; Siegelman SS
29,"Zwirewich CV, Vedal S, Miller RR, Müller NL. Solitary pulmonary nodule: high-resolution CT and radiologic-pathologic correlation. Radiology. 1991;179(2).",Solitary pulmonary nodule: high-resolution CT and radiologic-pathologic correlation,Radiology,1991,179,2,,,,Zwirewich CV; Vedal S; Miller RR; Müller NL
30,"Kishi K, Homma S, Kurosaki A. Small lung tumors with the size of 1cm or less in diameter: clinical, radiological, and histopathological characteristics. Lung Cancer. 2004;44(1).","Small lung tumors with the size of 1cm or less in diameter: clinical, radiological, and histopathological characteristics",Lung Cancer,2004,44,1,,,,Kishi K; Homma S; Kurosaki A
