#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Cheng TY, Cramb SM, Baade PD, Youlden DR, Nwogu C, Reid ME. The International Epidemiology of Lung Cancer: Latest Trends, Disparities, and Tumor Characteristics. J Thorac Oncol. 2016;11(10).","The International Epidemiology of Lung Cancer: Latest Trends, Disparities, and Tumor Characteristics",J Thorac Oncol,2016,11,10,,,,Cheng TY; Cramb SM; Baade PD; Youlden DR; Nwogu C; Reid ME
2,"Aberle DR, Adams AM, Berg CD, Black WC, Clapp JD, Fagerstrom RM. National Lung Screening Trial Research Team. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365(5).",National Lung Screening Trial Research Team. Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,5,,,,Aberle DR; Adams AM; Berg CD; Black WC; Clapp JD; Fagerstrom RM
3,Fielding. Son/Todman/Chin/ Tan/Steinke/Windsor. Sung Respiration. 2019;98. doi:10.1159/000498951.,Son/Todman/Chin/ Tan/Steinke/Windsor,Sung Respiration,2019,98,,,10.1159/000498951,,Fielding
4,"Fintelmann FJ, Gottumukkala RV, Mcdermott S, Gilman MD, Lennes IT, Shepard JO. Lung Cancer Screening: Why, When, and How?. Radiol Clin North Am. 2017;55(6).","Lung Cancer Screening: Why, When, and How?",Radiol Clin North Am,2017,55,6,,,,Fintelmann FJ; Gottumukkala RV; Mcdermott S; Gilman MD; Lennes IT; Shepard JO
5,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
6,"Ishida T, Asano F, Yamazaki K, Shinagawa N, Oizumi S, Moriya H. Virtual Navigation in Japan Trial Group. Virtual bronchoscopic navigation combined with endobronchial ultrasound to diagnose small peripheral pulmonary lesions: a randomised trial. Thorax. 2011;66(12).",Virtual Navigation in Japan Trial Group. Virtual bronchoscopic navigation combined with endobronchial ultrasound to diagnose small peripheral pulmonary lesions: a randomised trial,Thorax,2011,66,12,,,,Ishida T; Asano F; Yamazaki K; Shinagawa N; Oizumi S; Moriya H
7,Asano F. Advanced bronchoscopy for the diagnosis of peripheral pulmonary lesions. Respir Investig. 2016;54(4).,Advanced bronchoscopy for the diagnosis of peripheral pulmonary lesions,Respir Investig,2016,54,4,,,,Asano F
8,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
9,"Oki M, Saka H, Ando M, Asano F, Kurimoto N, Morita K. Ultrathin Bronchoscopy with Multimodal Devices for Peripheral Pulmonary Lesions. A Randomized Trial. Am J Respir Crit Care Med. 2015;192(4).",Ultrathin Bronchoscopy with Multimodal Devices for Peripheral Pulmonary Lesions. A Randomized Trial,Am J Respir Crit Care Med,2015,192,4,,,,Oki M; Saka H; Ando M; Asano F; Kurimoto N; Morita K
10,"Wong KY, Tse HN, Pak KK, Wong CC, Lok PS, Chan KC. Integrated use of virtual bronchoscopy and endobronchial ultrasonography on the diagnosis of peripheral lung lesions. J Bronchology Interv Pulmonol. 2014;21(1).",Integrated use of virtual bronchoscopy and endobronchial ultrasonography on the diagnosis of peripheral lung lesions,J Bronchology Interv Pulmonol,2014,21,1,,,,Wong KY; Tse HN; Pak KK; Wong CC; Lok PS; Chan KC
