#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD. Bronchoscopy: the past, the present, and the future. Clin Chest Med. 2010;31(1).","Bronchoscopy: the past, the present, and the future",Clin Chest Med,2010,31,1,,,,Becker HD
2,"Ikeda S, Tsuboi E, Ono R. Flexible bronchofiberscope. Jpn J Clin Oncol. 1971;1(1).",Flexible bronchofiberscope,Jpn J Clin Oncol,1971,1,1,,,,Ikeda S; Tsuboi E; Ono R
3,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17(1).",Flexible bronchofiberscope,Keio J Med,1968,17,1,,,,Ikeda S; Yanai N; Ishikawa S
4,Hecht J. Illuminating the origin of light guiding. Optics and Photonics News. 1999;10(10):26.,Illuminating the origin of light guiding,Optics and Photonics News,1999,10,10,26,,,Hecht J
5,"Hopkins HH, Kapany NS. A flexible fibrescope, using static scanning. Nature. 1954;173(4392).","A flexible fibrescope, using static scanning",Nature,1954,173,4392,,,,Hopkins HH; Kapany NS
6,Hirschowitz BI. Development and application of endoscopy. Gastroenterology. 1993;104(2).,Development and application of endoscopy,Gastroenterology,1993,104,2,,,,Hirschowitz BI
7,Hirschowitz B. Endoscopic examination of the stomach and duodenal cap with the fiberscope. Lancet. 1961;277(7186).,Endoscopic examination of the stomach and duodenal cap with the fiberscope,Lancet,1961,277,7186,,,,Hirschowitz B
8,"Casal RF, Ost DE, Eapen GA. Flexible bronchoscopy. Clin Chest Med. 2013;34(3).",Flexible bronchoscopy,Clin Chest Med,2013,34,3,,,,Casal RF; Ost DE; Eapen GA
9,"Dooms C, Seijo L, Gasparini S. Diagnostic bronchoscopy: state of the art. Eur Respir Rev. 2010;19(117).",Diagnostic bronchoscopy: state of the art,Eur Respir Rev,2010,19,117,,,,Dooms C; Seijo L; Gasparini S
10,"Reynolds HY, Newball HH. Analysis of proteins and respiratory cells obtained from human lungs by bronchial lavage. J Lab Clin Med. 1974;84(4).",Analysis of proteins and respiratory cells obtained from human lungs by bronchial lavage,J Lab Clin Med,1974,84,4,,,,Reynolds HY; Newball HH
11,"Andersen HA, Fontana RS, Harrison EG. Transbronchoscopic lung biopsy in diffuse pulmonary disease. Dis Chest. 1965;48.",Transbronchoscopic lung biopsy in diffuse pulmonary disease,Dis Chest,1965,48,,,,,Andersen HA; Fontana RS; Harrison EG
12,"Andersen HA, Fontana RS. Transbronchoscopic lung biopsy for diffuse pulmonary diseases: technique and results in 450 cases. Chest. 1972;62(2).",Transbronchoscopic lung biopsy for diffuse pulmonary diseases: technique and results in 450 cases,Chest,1972,62,2,,,,Andersen HA; Fontana RS
13,"Levin DC, Wicks AB, Ellis JH. Transbronchial lung biopsy via the fiberoptic bronchoscope. Am Rev Respir Dis. 1974;110(1).",Transbronchial lung biopsy via the fiberoptic bronchoscope,Am Rev Respir Dis,1974,110,1,,,,Levin DC; Wicks AB; Ellis JH
