#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Haas AR, Vachani A, Sterman DH. Advances in diagnostic bronchoscopy. Am J Respir Crit Care Med. 2010;182(5).",Advances in diagnostic bronchoscopy,Am J Respir Crit Care Med,2010,182,5,,,,Haas AR; Vachani A; Sterman DH
2,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy: connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy: connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
3,"Mehta AC, Jain P. Interventional Bronchoscopy: A Clinical Guide. Interventional Bronchoscopy: A Clinical Guide. 2013;None.",Interventional Bronchoscopy: A Clinical Guide,Interventional Bronchoscopy: A Clinical Guide,2013,,,,,,Mehta AC; Jain P
4,"Ong PG, Debiane LG, Casal RF. Recent advances in diagnostic bronchoscopy. J Thorac Dis. 2016;8(12).",Recent advances in diagnostic bronchoscopy,J Thorac Dis,2016,8,12,,,,Ong PG; Debiane LG; Casal RF
5,"Narula T, Machuzak MS, Mehta AC. Newer modalities in the work-up of peripheral pulmonary nodules. Clin Chest Med. 2013;34(3).",Newer modalities in the work-up of peripheral pulmonary nodules,Clin Chest Med,2013,34,3,,,,Narula T; Machuzak MS; Mehta AC
6,Akulian J. IP Fellowship Programs. IP Fellowship Programs. 2018;None.,IP Fellowship Programs,IP Fellowship Programs,2018,,,,,,Akulian J
7,"Hilliard TN, Sukhani S, Francis J. Bronchoscopy following diagnosis with cystic fibrosis. Arch Dis Child. 2007;92(10).",Bronchoscopy following diagnosis with cystic fibrosis,Arch Dis Child,2007,92,10,,,,Hilliard TN; Sukhani S; Francis J
8,"Aaron SD, Kottachchi D, Ferris WJ. Sputum versus bronchoscopy for diagnosis of Pseudomonas aeruginosa biofilms in cystic fibrosis. Eur Respir J. 2004;24(4).",Sputum versus bronchoscopy for diagnosis of Pseudomonas aeruginosa biofilms in cystic fibrosis,Eur Respir J,2004,24,4,,,,Aaron SD; Kottachchi D; Ferris WJ
9,"Don CJ, Dales RE, Desmarais RL, Neimatullah M. The radiographic prevalence of hilar and mediastinal adenopathy in adult cystic fibrosis. Can Assoc Radiol J. 1997;48(4).",The radiographic prevalence of hilar and mediastinal adenopathy in adult cystic fibrosis,Can Assoc Radiol J,1997,48,4,,,,Don CJ; Dales RE; Desmarais RL; Neimatullah M
10,"Flume PA, Mogayzel PJ, Jr et al.. Cystic fibrosis pulmonary guidelines: pulmonary complications-hemoptysis and pneumothorax. Am J Respir Crit Care Med. 2010;182(3).",Cystic fibrosis pulmonary guidelines: pulmonary complications-hemoptysis and pneumothorax,Am J Respir Crit Care Med,2010,182,3,,,,Flume PA; Mogayzel PJ; Jr; Robinson KA; Rosenblatt RL; Quittell L; Marshall BC
11,"Slattery DM, Waltz DA, Denham B, Mahony O, Greally M, P. Bronchoscopically administered recombinant human DNase for lobar atelectasis in cystic fibrosis. Pediatr Pulmonol. 2001;31(5).",Bronchoscopically administered recombinant human DNase for lobar atelectasis in cystic fibrosis,Pediatr Pulmonol,2001,31,5,,,,Slattery DM; Waltz DA; Denham B; Mahony O; Greally M; P
12,"Mclaughlin AM, Mcgrath E, Barry R, Egan JJ, Gallagher CG. Treatment of lobar atelectasis with bronchoscopically administered recombinant human deoxyribonuclease in cystic fibrosis?. Clin Respir J. 2008;2(2).",Treatment of lobar atelectasis with bronchoscopically administered recombinant human deoxyribonuclease in cystic fibrosis?,Clin Respir J,2008,2,2,,,,Mclaughlin AM; Mcgrath E; Barry R; Egan JJ; Gallagher CG
13,"Kunkel A, Zur Wiesch A, Nathavitharana P et al.. Smear positivity in paediatric and adult tuberculosis: systematic review and meta-analysis. BMC Infect Dis. 2016;16:282.",Smear positivity in paediatric and adult tuberculosis: systematic review and meta-analysis,BMC Infect Dis,2016,16,,282,,,Kunkel A; Zur Wiesch A; Nathavitharana P; Marx RR; Jenkins FM; Cohen HE; T
14,"Wallace JM, Deutsch AL, Harrell JH, Moser KM. Bronchoscopy and transbronchial biopsy in evaluation of patients with suspected active tuberculosis. Am J Med. 1981;70(6).",Bronchoscopy and transbronchial biopsy in evaluation of patients with suspected active tuberculosis,Am J Med,1981,70,6,,,,Wallace JM; Deutsch AL; Harrell JH; Moser KM
15,"Chawla R, Pant K, Jaggi OP, Chandrashekhar S, Thukral SS. Fibreoptic bronchoscopy in smear-negative pulmonary tuberculosis. Eur Respir J. 1988;1(9).",Fibreoptic bronchoscopy in smear-negative pulmonary tuberculosis,Eur Respir J,1988,1,9,,,,Chawla R; Pant K; Jaggi OP; Chandrashekhar S; Thukral SS
16,"Shin JA, Chang YS, Kim TH, Kim HJ, Ahn CM, Byun MK. Fiberoptic bronchoscopy for the rapid diagnosis of smear-negative pulmonary tuberculosis. BMC Infect Dis. 2012;12:141.",Fiberoptic bronchoscopy for the rapid diagnosis of smear-negative pulmonary tuberculosis,BMC Infect Dis,2012,12,,141,,,Shin JA; Chang YS; Kim TH; Kim HJ; Ahn CM; Byun MK
17,"Iyer VN, Joshi AY, Boyce TG. Bronchoscopy in suspected pulmonary TB with negative induced-sputum smear and MTD((R)) Gen-probe testing. Respir Med. 2011;105(7).",Bronchoscopy in suspected pulmonary TB with negative induced-sputum smear and MTD((R)) Gen-probe testing,Respir Med,2011,105,7,,,,Iyer VN; Joshi AY; Boyce TG
18,"Zahrani A, K, Jahdali A et al.. Yield of smear, culture and amplification tests from repeated sputum induction for the diagnosis of pulmonary tuberculosis. Int J Tuberc Lung Dis. 2001;5(9).","Yield of smear, culture and amplification tests from repeated sputum induction for the diagnosis of pulmonary tuberculosis",Int J Tuberc Lung Dis,2001,5,9,,,,Zahrani A; K; Jahdali A; Poirier H; René L; Menzies P; D
19,"Mcwilliams T, Wells AU, Harrison AC, Lindstrom S, Cameron RJ, Foskin E. Induced sputum and bronchoscopy in the diagnosis of pulmonary tuberculosis. Thorax. 2002;57(12):1010.",Induced sputum and bronchoscopy in the diagnosis of pulmonary tuberculosis,Thorax,2002,57,12,1010,,,Mcwilliams T; Wells AU; Harrison AC; Lindstrom S; Cameron RJ; Foskin E
20,"Ganguly KC, Hiron MM, Mridha ZU. Comparison of sputum induction with broncho-alveolar lavage in the diagnosis of smearnegative pulmonary tuberculosis. Mymensingh Med J. 2008;17(2).",Comparison of sputum induction with broncho-alveolar lavage in the diagnosis of smearnegative pulmonary tuberculosis,Mymensingh Med J,2008,17,2,,,,Ganguly KC; Hiron MM; Mridha ZU
21,"Conde MB, Soares SL, Mello FC. Comparison of sputum induction with fiberoptic bronchoscopy in the diagnosis of tuberculosis: experience at an acquired immune deficiency syndrome reference center in Rio de Janeiro, Brazil. Am J Respir Crit Care Med. 2000;162(6).","Comparison of sputum induction with fiberoptic bronchoscopy in the diagnosis of tuberculosis: experience at an acquired immune deficiency syndrome reference center in Rio de Janeiro, Brazil",Am J Respir Crit Care Med,2000,162,6,,,,Conde MB; Soares SL; Mello FC
22,"Brown M, Varia H, Bassett P, Davidson RN, Wall R, Pasvol G. Prospective study of sputum induction, gastric washing, and bronchoalveolar lavage for the diagnosis of pulmonary tuberculosis in patients who are unable to expectorate. Clin Infect Dis. 2007;44(11).","Prospective study of sputum induction, gastric washing, and bronchoalveolar lavage for the diagnosis of pulmonary tuberculosis in patients who are unable to expectorate",Clin Infect Dis,2007,44,11,,,,Brown M; Varia H; Bassett P; Davidson RN; Wall R; Pasvol G
23,"Marks SM, Cronin W, Venkatappa T. The health-system benefits and cost-effectiveness of using Mycobacterium tuberculosis chestjournal.org direct nucleic acid amplification testing to diagnose tuberculosis disease in the United States. Clin Infect Dis. 2013;57(4).",The health-system benefits and cost-effectiveness of using Mycobacterium tuberculosis chestjournal.org direct nucleic acid amplification testing to diagnose tuberculosis disease in the United States,Clin Infect Dis,2013,57,4,,,,Marks SM; Cronin W; Venkatappa T
24,"Peralta G, Barry P, Pascopella L. Use of nucleic acid amplification tests in tuberculosis patients in California, 2010-2013. Open Forum Infect Dis. 2016;3(4):230.","Use of nucleic acid amplification tests in tuberculosis patients in California, 2010-2013",Open Forum Infect Dis,2016,3,4,230,,,Peralta G; Barry P; Pascopella L
25, Updated guidelines for the use of nucleic acid amplification tests in the diagnosis of tuberculosis. MMWR Morb Mortal Wkly Rep. 2009;58.,Updated guidelines for the use of nucleic acid amplification tests in the diagnosis of tuberculosis,MMWR Morb Mortal Wkly Rep,2009,58,,,,,
26,"Blakemore R, Story E, Helb D. Evaluation of the analytical performance of the Xpert MTB/RIF assay. J Clin Microbiol. 2010;48(7).",Evaluation of the analytical performance of the Xpert MTB/RIF assay,J Clin Microbiol,2010,48,7,,,,Blakemore R; Story E; Helb D
27,"Chakravorty S, Simmons AM, Rowneki M. The new Xpert MTB/RIF Ultra: improving detection of Mycobacterium tuberculosis and resistance to rifampin in an assay suitable for point-of-care testing. MBio. 2017;8(4).",The new Xpert MTB/RIF Ultra: improving detection of Mycobacterium tuberculosis and resistance to rifampin in an assay suitable for point-of-care testing,MBio,2017,8,4,,,,Chakravorty S; Simmons AM; Rowneki M
28,"Conte BA, Laforet EG. The role of the topical anesthetic agent in modifying bacteriologic data obtained by bronchoscopy. N Engl J Med. 1962;267.",The role of the topical anesthetic agent in modifying bacteriologic data obtained by bronchoscopy,N Engl J Med,1962,267,,,,,Conte BA; Laforet EG
29,"Malasky C, Jordan T, Potulski F, Reichman LB. Occupational tuberculous infections among pulmonary physicians in training. Am Rev Respir Dis. 1990;142(3).",Occupational tuberculous infections among pulmonary physicians in training,Am Rev Respir Dis,1990,142,3,,,,Malasky C; Jordan T; Potulski F; Reichman LB
30,"Saadeh A, Patil N, Selig J, Bates J, Mukasa L. Is bronchoscopy being overutilized in tuberculosis diagnosis? Arkansas experience 2009-2015. Open Forum Infect Dis. 2016;3(suppl 1).",Is bronchoscopy being overutilized in tuberculosis diagnosis? Arkansas experience 2009-2015,Open Forum Infect Dis,2016,3,suppl 1,,,,Saadeh A; Patil N; Selig J; Bates J; Mukasa L
31,"Tsoumakidou M, Chrysofakis G, Tsiligianni I, Maltezakis G, Siafakas NM, Tzanakis N. A prospective analysis of 184 hemoptysis cases: diagnostic impact of chest x-ray, computed tomography, bronchoscopy. Respiration. 2006;73(6).","A prospective analysis of 184 hemoptysis cases: diagnostic impact of chest x-ray, computed tomography, bronchoscopy",Respiration,2006,73,6,,,,Tsoumakidou M; Chrysofakis G; Tsiligianni I; Maltezakis G; Siafakas NM; Tzanakis N
32,"Lee YJ, Lee SM, Park JS. The clinical implications of bronchoscopy in hemoptysis patients with no explainable lesions in computed tomography. Respir Med. 2012;106(3).",The clinical implications of bronchoscopy in hemoptysis patients with no explainable lesions in computed tomography,Respir Med,2012,106,3,,,,Lee YJ; Lee SM; Park JS
33,"Hsiao EI, Kirsch CM, Kagawa FT, Wehner JH, Jensen WA, Baxter RB. Utility of fiberoptic bronchoscopy before bronchial artery embolization for massive hemoptysis. AJR Am J Roentgenol. 2001;177(4).",Utility of fiberoptic bronchoscopy before bronchial artery embolization for massive hemoptysis,AJR Am J Roentgenol,2001,177,4,,,,Hsiao EI; Kirsch CM; Kagawa FT; Wehner JH; Jensen WA; Baxter RB
34,"Larici AR, Franchi P, Occhipinti M. Diagnosis and management of hemoptysis. Diagn Interv Radiol. 2014;20(4).",Diagnosis and management of hemoptysis,Diagn Interv Radiol,2014,20,4,,,,Larici AR; Franchi P; Occhipinti M
35,"Poe RH, Israel RH, Marin MG. Utility of fiberoptic bronchoscopy in patients with hemoptysis and a nonlocalizing chest roentgenogram. Chest. 1988;93(1).",Utility of fiberoptic bronchoscopy in patients with hemoptysis and a nonlocalizing chest roentgenogram,Chest,1988,93,1,,,,Poe RH; Israel RH; Marin MG
36,"Hirshberg B, Biran I, Glazer M, Kramer MR. Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital. Chest. 1997;112(2).","Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital",Chest,1997,112,2,,,,Hirshberg B; Biran I; Glazer M; Kramer MR
37,"Nielsen K, Gottlieb M, Colella S, Saghir Z, Larsen KR, Clementsen PF. Bronchoscopy as a supplement to computed tomography in patients with haemoptysis may be unnecessary. Eur Clin Respir J. 2016;3:31802.",Bronchoscopy as a supplement to computed tomography in patients with haemoptysis may be unnecessary,Eur Clin Respir J,2016,3,,31802,,,Nielsen K; Gottlieb M; Colella S; Saghir Z; Larsen KR; Clementsen PF
38,"Marini JJ, Pierson DJ, Hudson LD. Acute lobar atelectasis: a prospective comparison of fiberoptic bronchoscopy and respiratory therapy. Am Rev Respir Dis. 1979;119(6).",Acute lobar atelectasis: a prospective comparison of fiberoptic bronchoscopy and respiratory therapy,Am Rev Respir Dis,1979,119,6,,,,Marini JJ; Pierson DJ; Hudson LD
39,"Raoof S, Chowdhrey N, Raoof S. Effect of combined kinetic therapy and percussion therapy on the resolution of atelectasis in critically ill patients. Chest. 1999;115(6).",Effect of combined kinetic therapy and percussion therapy on the resolution of atelectasis in critically ill patients,Chest,1999,115,6,,,,Raoof S; Chowdhrey N; Raoof S
40,"Ray K, Bodenham A, Paramasivam E. Pulmonary atelectasis in anaesthesia and critical care. Contin Educ Anaesth Crit Care Pain. 2014;14(5).",Pulmonary atelectasis in anaesthesia and critical care,Contin Educ Anaesth Crit Care Pain,2014,14,5,,,,Ray K; Bodenham A; Paramasivam E
41,"Goodwin RA, Nickell JA, Prez D, RM. Mediastinal fibrosis complicating healed primary histoplasmosis and tuberculosis. Medicine. 1972;51(3).",Mediastinal fibrosis complicating healed primary histoplasmosis and tuberculosis,Medicine,1972,51,3,,,,Goodwin RA; Nickell JA; Prez D; RM
42,"Ferguson TB, Burford TH. Mediastinal granuloma: a 15-year experience. Ann Thorac Surg. 1965;1.",Mediastinal granuloma: a 15-year experience,Ann Thorac Surg,1965,1,,,,,Ferguson TB; Burford TH
43,"Saad CP, Murthy S, Krizmanich G, Mehta AC. Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis. Chest. 2003;124(5).",Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis,Chest,2003,124,5,,,,Saad CP; Murthy S; Krizmanich G; Mehta AC
44,"Kern R, Peikert T, Edell E. Bronchoscopic management of airway compression due to fibrosing mediastinitis. Ann Am Thorac Soc. 2017;14(8).",Bronchoscopic management of airway compression due to fibrosing mediastinitis,Ann Am Thorac Soc,2017,14,8,,,,Kern R; Peikert T; Edell E
45,"Folch E, Keyes C. Airway stents. Ann Cardiothorac Surg. 2018;7(2).",Airway stents,Ann Cardiothorac Surg,2018,7,2,,,,Folch E; Keyes C
46,"Kamatham M, Wellikoff A, Holladay R, Downie G. Chronic submassive hemoptysis: unusual treatment. Chest. 2014;146(4):762A.",Chronic submassive hemoptysis: unusual treatment,Chest,2014,146,4,762A,,,Kamatham M; Wellikoff A; Holladay R; Downie G
47,"Al-Ameri A, Malhotra P, Thygesen H. Risk of malignancy in pulmonary nodules: a validation study of four prediction models. Lung Cancer. 2015;89(1).",Risk of malignancy in pulmonary nodules: a validation study of four prediction models,Lung Cancer,2015,89,1,,,,Al-Ameri A; Malhotra P; Thygesen H
48,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
49,Musani AI. Interventional pulmonology: an update. Clin Chest Med. 2018;39(1).,Interventional pulmonology: an update,Clin Chest Med,2018,39,1,,,,Musani AI
50,"Chen A, Chenna P, Loiselle A, Massoni J, Mayse M, Misselhorn D. Radial probe endobronchial ultrasound for peripheral pulmonary lesions: a 5-year institutional experience. Ann Am Thorac Soc. 2014;11(4).",Radial probe endobronchial ultrasound for peripheral pulmonary lesions: a 5-year institutional experience,Ann Am Thorac Soc,2014,11,4,,,,Chen A; Chenna P; Loiselle A; Massoni J; Mayse M; Misselhorn D
51,"Almeida FA, Salam S, Mehta AC. Sampling utility of the convex probe endobronchial ultrasound visible intrapulmonary lesion. J Bronchology Interv Pulmonol. 2018;25(4).",Sampling utility of the convex probe endobronchial ultrasound visible intrapulmonary lesion,J Bronchology Interv Pulmonol,2018,25,4,,,,Almeida FA; Salam S; Mehta AC
52,"Zhang Y, Zhang Y, Chen S. Is bronchoscopy necessary in the preoperative workup of a solitary pulmonary nodule?. J Thorac Cardiovasc Surg. 2015;150(1).",Is bronchoscopy necessary in the preoperative workup of a solitary pulmonary nodule?,J Thorac Cardiovasc Surg,2015,150,1,,,,Zhang Y; Zhang Y; Chen S
53,"Mukherjee S, Chacey M. Diagnostic yield of electromagnetic navigation bronchoscopy using a curved-tip catheter to aid in the diagnosis of pulmonary lesions. J Bronchology Interv Pulmonol. 2017;24(1).",Diagnostic yield of electromagnetic navigation bronchoscopy using a curved-tip catheter to aid in the diagnosis of pulmonary lesions,J Bronchology Interv Pulmonol,2017,24,1,,,,Mukherjee S; Chacey M
54,"Bowling MR, Brown C, Anciano CJ. Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass. Ann Thorac Surg. 2017;104(2).",Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass,Ann Thorac Surg,2017,104,2,,,,Bowling MR; Brown C; Anciano CJ
55,"Gildea TR, Mazzone PJ, Karnak D, Meziane M, Mehta AC. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am J Respir Crit Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am J Respir Crit Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D; Meziane M; Mehta AC
56,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7(suppl 4).",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,suppl 4,,,,Dibardino DM; Yarmus LB; Semaan RW
57,Light RW. Pleural effusions. Med Clin North Am. 2011;95(6).,Pleural effusions,Med Clin North Am,2011,95,6,,,,Light RW
58,"Porcel JM, Esquerda A, Vives M, Bielsa S. Etiology of pleural effusions: analysis of more than 3,000 consecutive thoracenteses. Arch Bronconeumol. 2014;50(5).","Etiology of pleural effusions: analysis of more than 3,000 consecutive thoracenteses",Arch Bronconeumol,2014,50,5,,,,Porcel JM; Esquerda A; Vives M; Bielsa S
59,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
60,"Asciak R, Rahman NM. Malignant pleural effusion: from diagnostics to therapeutics. Clin Chest Med. 2018;39(1).",Malignant pleural effusion: from diagnostics to therapeutics,Clin Chest Med,2018,39,1,,,,Asciak R; Rahman NM
61,"Raghu G, Collard HR, Egan JJ. An official ATS/ERS/JRS/ ALAT statement: idiopathic pulmonary fibrosis-evidence-based guidelines for diagnosis and management. Am J Respir Crit Care Med. 2011;183(6).",An official ATS/ERS/JRS/ ALAT statement: idiopathic pulmonary fibrosis-evidence-based guidelines for diagnosis and management,Am J Respir Crit Care Med,2011,183,6,,,,Raghu G; Collard HR; Egan JJ
62,Wells AU. The revised ATS/ERS/JRS/ALAT diagnostic criteria for idiopathic pulmonary fibrosis (IPF): practical implications. Respir Res. 2013;14(suppl 1):S2.,The revised ATS/ERS/JRS/ALAT diagnostic criteria for idiopathic pulmonary fibrosis (IPF): practical implications,Respir Res,2013,14,suppl 1,S2,,,Wells AU
63,Wells AU. Managing diagnostic procedures in idiopathic pulmonary fibrosis. Eur Respir Rev. 2013;22(128).,Managing diagnostic procedures in idiopathic pulmonary fibrosis,Eur Respir Rev,2013,22,128,,,,Wells AU
64,"Wells AU, Kokosi MA. Point: should BAL be routinely performed in the diagnostic evaluation of idiopathic pulmonary fibrosis? Yes. Chest. 2017;152(5).",Point: should BAL be routinely performed in the diagnostic evaluation of idiopathic pulmonary fibrosis? Yes,Chest,2017,152,5,,,,Wells AU; Kokosi MA
65,"Mooney JJ, Collard HR. Counterpoint: should BAL be routinely performed in the diagnostic evaluation of idiopathic pulmonary fibrosis? No. Chest. 2017;152(5).",Counterpoint: should BAL be routinely performed in the diagnostic evaluation of idiopathic pulmonary fibrosis? No,Chest,2017,152,5,,,,Mooney JJ; Collard HR
66,"Souza CA, Muller NL, Lee KS, Johkoh T, Mitsuhiro H, Chong S. Idiopathic interstitial pneumonias: prevalence of mediastinal lymph node enlargement in 206 patients. AJR Am J Roentgenol. 2006;186(4).",Idiopathic interstitial pneumonias: prevalence of mediastinal lymph node enlargement in 206 patients,AJR Am J Roentgenol,2006,186,4,,,,Souza CA; Muller NL; Lee KS; Johkoh T; Mitsuhiro H; Chong S
67,"Jung JI, Kim HH, Jung YJ, Park SH, Lee JM, Hahn ST. Mediastinal lymphadenopathy in pulmonary fibrosis: correlation with disease severity. J Comput Assist Tomogr. 2000;24(5).",Mediastinal lymphadenopathy in pulmonary fibrosis: correlation with disease severity,J Comput Assist Tomogr,2000,24,5,,,,Jung JI; Kim HH; Jung YJ; Park SH; Lee JM; Hahn ST
68,"Arcadu A, Moua T. Bronchoscopy assessment of acute respiratory failure in interstitial lung disease. Respirology. 2017;22(2).",Bronchoscopy assessment of acute respiratory failure in interstitial lung disease,Respirology,2017,22,2,,,,Arcadu A; Moua T
69,"Sakamoto K, Taniguchi H, Kondoh Y. Acute exacerbation of IPF following diagnostic bronchoalveolar lavage procedures. Respir Med. 2012;106(3).",Acute exacerbation of IPF following diagnostic bronchoalveolar lavage procedures,Respir Med,2012,106,3,,,,Sakamoto K; Taniguchi H; Kondoh Y
