#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Salih AM, Alfaki M, Alam-Elhuda DM. Airway foreign bodies: A critical review for a common pediatric emergency. World J Emerg Med. 2016;7.",Airway foreign bodies: A critical review for a common pediatric emergency,World J Emerg Med,2016,7,,,,,Salih AM; Alfaki M; Alam-Elhuda DM
2,"Zöllner FG, Killian. father of bronchoscopy. Arch Otolaryngol. 1965;82.",father of bronchoscopy,Arch Otolaryngol,1965,82,,,,,Zöllner FG; Killian
3,"Rafanan AL, Mehta AC. Adult airway foreign body removal. What's new?. Clin Chest Med. 2001;22.",Adult airway foreign body removal. What's new?,Clin Chest Med,2001,22,,,,,Rafanan AL; Mehta AC
4,"Baharloo F, Veyckemans F, Francis C. Tracheobronchial foreign bodies: presentation and management in children and adults. Chest. 1999;115.",Tracheobronchial foreign bodies: presentation and management in children and adults,Chest,1999,115,,,,,Baharloo F; Veyckemans F; Francis C
5,"Blanco Ramos M, Botana-Rial M, Garcia-Fontan E. Update in the extraction of airway foreign bodies in adults. J Thorac Dis. 2016;8.",Update in the extraction of airway foreign bodies in adults,J Thorac Dis,2016,8,,,,,Blanco Ramos M; Botana-Rial M; Garcia-Fontan E
6,"Lin L, Lv L, Wang Y. The clinical features of foreign body aspiration into the lower airway in geriatric patients. Clin Interv Aging. 2014;9.",The clinical features of foreign body aspiration into the lower airway in geriatric patients,Clin Interv Aging,2014,9,,,,,Lin L; Lv L; Wang Y
7,"Debeljak A, Sorli J, Music E. Bronchoscopic removal of foreign bodies in adults: experience with 62 patients from 1974-1998. Eur Respir J. 1999;14.",Bronchoscopic removal of foreign bodies in adults: experience with 62 patients from 1974-1998,Eur Respir J,1999,14,,,,,Debeljak A; Sorli J; Music E
8,"Mise K, Savicevic J, Pavlov A, N. Removal of tracheobronchial foreign bodies in adults using flexible bronchoscopy: experience 1995-2006. Surg Endosc. 2009;23.",Removal of tracheobronchial foreign bodies in adults using flexible bronchoscopy: experience 1995-2006,Surg Endosc,2009,23,,,,,Mise K; Savicevic J; Pavlov A; N
9,"Limper AH, Prakash U. Tracheobronchial Foreign Bodies in Adults. Ann Intern Med. 1990;112.",Tracheobronchial Foreign Bodies in Adults,Ann Intern Med,1990,112,,,,,Limper AH; Prakash U
10,"Boyd M, Watkins F, Singh S. Prevalence of flexible bronchoscopic removal of foreign bodies in the advanced elderly. Age Ageing. 2009;38.",Prevalence of flexible bronchoscopic removal of foreign bodies in the advanced elderly,Age Ageing,2009,38,,,,,Boyd M; Watkins F; Singh S
11,"Chen CH, Lai CL, Tsai TT. Foreign body aspiration into the lower airway in Chinese adults. Chest. 1997;112.",Foreign body aspiration into the lower airway in Chinese adults,Chest,1997,112,,,,,Chen CH; Lai CL; Tsai TT
12,Lan RS. Non-asphyxiating tracheobronchial foreign bodies in adults. Eur Respir J. 1994;7.,Non-asphyxiating tracheobronchial foreign bodies in adults,Eur Respir J,1994,7,,,,,Lan RS
13,"Sehgal IS, Dhooria S, Ram B. Foreign Body Inhalation in the Adult Population: Experience of 25,998 Bronchoscopies and Systematic Review of the Literature. Respir Care. 2015;60.","Foreign Body Inhalation in the Adult Population: Experience of 25,998 Bronchoscopies and Systematic Review of the Literature",Respir Care,2015,60,,,,,Sehgal IS; Dhooria S; Ram B
14,"Shekar P, Bajarano S, Hadeh P, A. Case of Missing Plastic: Foreign Body Bronchiectasis. Cureus. 2018;10:e2974.",Case of Missing Plastic: Foreign Body Bronchiectasis,Cureus,2018,10,,e2974,,,Shekar P; Bajarano S; Hadeh P; A
15,"Pritt B, Harmon M, Schwartz M. A tale of three aspirations: foreign bodies in the airway. J Clin Pathol. 2003;56.",A tale of three aspirations: foreign bodies in the airway,J Clin Pathol,2003,56,,,,,Pritt B; Harmon M; Schwartz M
16,"Mercado JA, Rodriguez W. Occult aspiration of a chicken wishbone as a cause of hemoptysis. P R Health Sci J. 1999;18.",Occult aspiration of a chicken wishbone as a cause of hemoptysis,P R Health Sci J,1999,18,,,,,Mercado JA; Rodriguez W
17,"Al-Majed SA, Ashour M, Mobeireek AF. Overlooked inhaled foreign bodies: late sequelae and the likelihood of recovery. Respir Med. 1997;91.",Overlooked inhaled foreign bodies: late sequelae and the likelihood of recovery,Respir Med,1997,91,,,,,Al-Majed SA; Ashour M; Mobeireek AF
18,"Maayan C, Avital A, Elpeleg ON. Complications following oat head aspiration. Pediatr Pulmonol. 1993;15.",Complications following oat head aspiration,Pediatr Pulmonol,1993,15,,,,,Maayan C; Avital A; Elpeleg ON
19,"Goussard P, Gie R, Andronikou S. Organic foreign body causing lung collapse and bronchopleural fistula with empyema. BMJ Case Rep. 2014;2014.",Organic foreign body causing lung collapse and bronchopleural fistula with empyema,BMJ Case Rep,2014,2014,,,,,Goussard P; Gie R; Andronikou S
20,"Wong SC, Tariq SM. Cardiac arrest following foreignbody aspiration. Respir Care. 2011;56.",Cardiac arrest following foreignbody aspiration,Respir Care,2011,56,,,,,Wong SC; Tariq SM
21,"Kashif M, Hashmi T, Khaja HR, M. Early Recognition of Foreign Body Aspiration as the Cause of Cardiac Arrest. Case Rep Crit Care. 2016;2016:1329234.",Early Recognition of Foreign Body Aspiration as the Cause of Cardiac Arrest,Case Rep Crit Care,2016,2016,,1329234,,,Kashif M; Hashmi T; Khaja HR; M
22,"Shlamovitz GZ, Halpern P. Delayed obstruction of endotracheal tubes by aspirated foreign bodies: report of two cases. Ann Emerg Med. 2004;43.",Delayed obstruction of endotracheal tubes by aspirated foreign bodies: report of two cases,Ann Emerg Med,2004,43,,,,,Shlamovitz GZ; Halpern P
23,"Alwassia AA, Jose A, Raddaoui L. Endotracheal Tube Obstruction Due to Aspirated Foreign Bodies: An Overview of Etiology, Diagnosis, and Management. Clin Pulm Med. 2018;25.","Endotracheal Tube Obstruction Due to Aspirated Foreign Bodies: An Overview of Etiology, Diagnosis, and Management",Clin Pulm Med,2018,25,,,,,Alwassia AA; Jose A; Raddaoui L
24,"Ramos MB, Fernandez-Villar A, Rivo JE. Extraction of airway foreign bodies in adults: experience from 1987-2008. Interact Cardiovasc Thorac Surg. 2009;9.",Extraction of airway foreign bodies in adults: experience from 1987-2008,Interact Cardiovasc Thorac Surg,2009,9,,,,,Ramos MB; Fernandez-Villar A; Rivo JE
25,"Limper AH, Prakash UB. Tracheobronchial foreign bodies in adults. Ann Intern Med. 1990;112.",Tracheobronchial foreign bodies in adults,Ann Intern Med,1990,112,,,,,Limper AH; Prakash UB
26,"Jain A, Naithani M, Chaudhary Z. Rare iatrogenic airway foreign body: The rivet from the fulcrum of the McCoy laryngoscope blade. Indian J Anaesth. 2012;56.",Rare iatrogenic airway foreign body: The rivet from the fulcrum of the McCoy laryngoscope blade,Indian J Anaesth,2012,56,,,,,Jain A; Naithani M; Chaudhary Z
27,"Hard C, Nargozian CD. Iatrogenic Airway Foreign Body. Anesthesiology. 1984;61:786.",Iatrogenic Airway Foreign Body,Anesthesiology,1984,61,,786,,,Hard C; Nargozian CD
28,"Ng J, Kim S, Chang B. Clinical features and treatment outcomes of airway foreign body aspiration in adults. J Thorac Dis. 2019;11.",Clinical features and treatment outcomes of airway foreign body aspiration in adults,J Thorac Dis,2019,11,,,,,Ng J; Kim S; Chang B
