#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Shelden CH, Pudenz RH, Tichy FY. Percutaneous tracheotomy. J Am Med Assoc. 1957;165.",Percutaneous tracheotomy,J Am Med Assoc,1957,165,,,,,Shelden CH; Pudenz RH; Tichy FY
2,"Ciaglia P, Firsching R, Syniec C. Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report. Chest. 1985;87.",Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report,Chest,1985,87,,,,,Ciaglia P; Firsching R; Syniec C
3,"Klotz R, Probst P, Deininger M. Percutaneous versus surgical strategy for tracheostomy: a systematic review and meta-analysis of perioperative and postoperative complications. Langenbecks Arch Surg. 2018;403.",Percutaneous versus surgical strategy for tracheostomy: a systematic review and meta-analysis of perioperative and postoperative complications,Langenbecks Arch Surg,2018,403,,,,,Klotz R; Probst P; Deininger M
4,"Bacchetta MD, Girardi LN, Southard EJ. Comparison of open versus bedside percutaneous dilatational tracheostomy in the cardiothoracic surgical patient: outcomes and financial analysis. Ann Thorac Surg. 2005;79.",Comparison of open versus bedside percutaneous dilatational tracheostomy in the cardiothoracic surgical patient: outcomes and financial analysis,Ann Thorac Surg,2005,79,,,,,Bacchetta MD; Girardi LN; Southard EJ
5,"Astrachan DI, Kirchner JC, Goodwin WJ. Prolonged intubation vs. tracheotomy: complications, practical and psychological considerations. Laryngoscope. 1988;98.","Prolonged intubation vs. tracheotomy: complications, practical and psychological considerations",Laryngoscope,1988,98,,,,,Astrachan DI; Kirchner JC; Goodwin WJ
6,"Yung MW, Snowdon SL. Respiratory resistance of tracheostomy tubes. Arch Otolaryngol. 1984;110.",Respiratory resistance of tracheostomy tubes,Arch Otolaryngol,1984,110,,,,,Yung MW; Snowdon SL
7,Epstein SK. Anatomy and physiology of tracheostomy. Respir Care. 2005;50.,Anatomy and physiology of tracheostomy,Respir Care,2005,50,,,,,Epstein SK
8,"Mullins JB, Templer JW, Kong J. Airway resistance and work of breathing in tracheostomy tubes. Laryngoscope. 1993;103.",Airway resistance and work of breathing in tracheostomy tubes,Laryngoscope,1993,103,,,,,Mullins JB; Templer JW; Kong J
9,"Johnson-Obaseki S, Veljkovic A, Javidnia H. Complication rates of open surgical versus percutaneous tracheostomy in critically ill patients. Laryngoscope. 2016;126.",Complication rates of open surgical versus percutaneous tracheostomy in critically ill patients,Laryngoscope,2016,126,,,,,Johnson-Obaseki S; Veljkovic A; Javidnia H
10,"Higgins KM, Punthakee X. Meta-analysis comparison of open versus percutaneous tracheostomy. Laryngoscope. 2007;117.",Meta-analysis comparison of open versus percutaneous tracheostomy,Laryngoscope,2007,117,,,,,Higgins KM; Punthakee X
11,"Brass P, Hellmich M, Ladra A. Percutaneous techniques versus surgical techniques for tracheostomy. Cochrane Database Syst Rev. 2016;7:8045.",Percutaneous techniques versus surgical techniques for tracheostomy,Cochrane Database Syst Rev,2016,7,,8045,,,Brass P; Hellmich M; Ladra A
