#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Review Baeten ; Baeten C, Hoefnagels J. Feeding via nasogastric tube or percutaneous endoscopic gastrostomy. A comparison. Scandinavian Journal of Gastroenterology. 1992;194.",Feeding via nasogastric tube or percutaneous endoscopic gastrostomy. A comparison,Scandinavian Journal of Gastroenterology,1992,194,,,,,Review Baeten ; Baeten C; Hoefnagels J
2,"Mcclave SA, Lukan JK, Stefater JA, Lowen CC, Looney SW, Matheson PJ. Poor validity of residual volumes as a marker for risk of aspiration in critically ill patients. Critical Care Medicine. 2005;33(2).",Poor validity of residual volumes as a marker for risk of aspiration in critically ill patients,Critical Care Medicine,2005,33,2,,,,Mcclave SA; Lukan JK; Stefater JA; Lowen CC; Looney SW; Matheson PJ
3,"Mekhail ; Mekhail TM, Adelstein DJ, Rybicki LA, Larto MA, Saxton JP, Lavertu P. Enteral nutrition during the treatment of head and neck carcinoma: is a percutaneous endoscopic gastrostomy tube preferable to a nasogastric tube?. Cancer. 2001;91(9).",Enteral nutrition during the treatment of head and neck carcinoma: is a percutaneous endoscopic gastrostomy tube preferable to a nasogastric tube?,Cancer,2001,91,9,,,,Mekhail ; Mekhail TM; Adelstein DJ; Rybicki LA; Larto MA; Saxton JP; Lavertu P
4,Schulz. {published data only}. {published data only}. 2009;None.,{published data only},{published data only},2009,,,,,,Schulz
5,"Schulz RJ, Nieczaj R, Moll A, Azzaro M, Egge K, Becker R. Dysphagia treatment in a clinical-geriatric setting PEG and functional therapy of dysphagia [Behandlung der Dysphagie in einem klinisch-geriatrischen Setting: funktionelle Dysphagietherapie und PEG-Einsatz. Zeitschri für Gerontologie und Geriatrie. 2009;42(4).",Dysphagia treatment in a clinical-geriatric setting PEG and functional therapy of dysphagia [Behandlung der Dysphagie in einem klinisch-geriatrischen Setting: funktionelle Dysphagietherapie und PEG-Einsatz,Zeitschri für Gerontologie und Geriatrie,2009,42,4,,,,Schulz RJ; Nieczaj R; Moll A; Azzaro M; Egge K; Becker R
6,"Geeganage C, Beavan J, Ellender S, Bath PM. Interventions for dysphagia and nutritional support in acute and subacute stroke. Cochrane Database of Systematic Reviews. 2012;10. doi:10.1002/14651858.CD000323.",Interventions for dysphagia and nutritional support in acute and subacute stroke,Cochrane Database of Systematic Reviews,2012,,10,,10.1002/14651858.CD000323,,Geeganage C; Beavan J; Ellender S; Bath PM
7,Gentile. None. None. 2012;None.,,,2012,,,,,,Gentile
8,Gentile MG. Enteral nutrition for feeding severely underfed patients with anorexia nervosa. Nutrients. 2012;4(9).,Enteral nutrition for feeding severely underfed patients with anorexia nervosa,Nutrients,2012,4,9,,,,Gentile MG
9,Gopalan. None. None. 2003;None.,,,2003,,,,,,Gopalan
10,"Gopalan S, Khanna S. Enteral nutrition delivery technique. Current Opinion in Clinical Nutrition and Metabolic Care. 2003;6(3).",Enteral nutrition delivery technique,Current Opinion in Clinical Nutrition and Metabolic Care,2003,6,3,,,,Gopalan S; Khanna S
11,Vidal G. None. None. 2014;None.,,,2014,,,,,,Vidal G
12,"Vidal G, L, Juan S, C, García A, A. Sensory evaluation of enteral nutritional supplements. Nutrición Hospitalaria. 2014;30(1).",Sensory evaluation of enteral nutritional supplements,Nutrición Hospitalaria,2014,30,1,,,,Vidal G; L; Juan S; C; García A; A
13,"Grant ;, Grant JP. Comparison of percutaneous endoscopic gastrostomy with Stamm gastrostomy. Annals of Surgery. 1988;207(5).",Comparison of percutaneous endoscopic gastrostomy with Stamm gastrostomy,Annals of Surgery,1988,207,5,,,,Grant ;; Grant JP
14,Heemskerk. None. None. 2014;None.,,,2014,,,,,,Heemskerk
15,"Heemskerk AW, Verbist BM, Marinus J, Heijnen B, Sjögren EV, Roos RA. The Huntington's disease dysphagia scale. Movement Disorders. 2014;29(10).",The Huntington's disease dysphagia scale,Movement Disorders,2014,29,10,,,,Heemskerk AW; Verbist BM; Marinus J; Heijnen B; Sjögren EV; Roos RA
16,Higgins. None. None. 2011;None.,,,2011,,,,,,Higgins
17, Cochrane Handbook for Systematic Reviews of Interventions Version 5. The Cochrane Collaboration. 2011;None.,Cochrane Handbook for Systematic Reviews of Interventions Version 5,The Cochrane Collaboration,2011,,,,,,
18,"Ho 2006 Ho KM, Dobb GJ, Webb SA. A comparison of early gastric and post-pyloric feeding in critically ill patients:a meta-analysis. Intensive Care Medicine. 2006;32(5).",A comparison of early gastric and post-pyloric feeding in critically ill patients:a meta-analysis,Intensive Care Medicine,2006,32,5,,,,Ho 2006 Ho KM; Dobb GJ; Webb SA
19,Iwamoto. None. None. 2014;None.,,,2014,,,,,,Iwamoto
20,"Iwamoto M, Higashibeppu N, Arioka Y, Nakaya Y. Swallowing rehabilitation with nutrition therapy improves clinical outcome in patients with dysphagia at an acute care hospital. The Journal of Medical Investigation. 2014;61(3-4).",Swallowing rehabilitation with nutrition therapy improves clinical outcome in patients with dysphagia at an acute care hospital,The Journal of Medical Investigation,2014,61,3-4,,,,Iwamoto M; Higashibeppu N; Arioka Y; Nakaya Y
21,Kolaček S. Enteral nutrition. World Review of Nutrition and Dietetics. 2013;108.,Enteral nutrition,World Review of Nutrition and Dietetics,2013,108,,,,,Kolaček S
22,Köhler. None. None. 2014;None.,,,2014,,,,,,Köhler
23,"Köhler G, Kalcher V, Koch OO, Luketina RR, Emmanuel K, Spaun G. Comparison of 231 patients receiving either ""pullthrough"" or ""push"" percutaneous endoscopic gastrostomy. Surgical Endoscopy. 2014;None.","Comparison of 231 patients receiving either ""pullthrough"" or ""push"" percutaneous endoscopic gastrostomy",Surgical Endoscopy,2014,,,,,,Köhler G; Kalcher V; Koch OO; Luketina RR; Emmanuel K; Spaun G
24,Langmore. None. None. 2006;None.,,,2006,,,,,,Langmore
25,"Langmore SE, Kasarskis EJ, Manca ML, Olney RK. Enteral tube feeding for amyotrophic lateral sclerosis/motor neuron disease. Cochrane Database of Systematic Reviews. 2006;4. doi:10.1002/14651858.CD004030.pub2.",Enteral tube feeding for amyotrophic lateral sclerosis/motor neuron disease,Cochrane Database of Systematic Reviews,2006,,4,,10.1002/14651858.CD004030.pub2,,Langmore SE; Kasarskis EJ; Manca ML; Olney RK
26,L. None. None. 2010;None.,,,2010,,,,,,L
