#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Deslée G, Mal H, Dutau H. Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial. JAMA. 2016;315.",Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial,JAMA,2016,315,,,,,Deslée G; Mal H; Dutau H
2,"Sciurba FC, Criner GJ, Strange C. Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial. JAMA. 2016;315.",Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial,JAMA,2016,315,,,,,Sciurba FC; Criner GJ; Strange C
3,"Shah PL, Zoumot Z, Singh S. Endobronchial coils for the treatment of severe emphysema with hyperinflation (RESET): a randomised controlled trial. Lancet Respir Med. 2013;1.",Endobronchial coils for the treatment of severe emphysema with hyperinflation (RESET): a randomised controlled trial,Lancet Respir Med,2013,1,,,,,Shah PL; Zoumot Z; Singh S
4,"Klooster K, Ten Hacken NH, Hartman JE. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373.",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,,,,,Klooster K; Ten Hacken NH; Hartman JE
5,"Criner GJ, Sue R, Wright S. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE). Am J Respir Crit Care Med. 2018;198.",A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE),Am J Respir Crit Care Med,2018,198,,,,,Criner GJ; Sue R; Wright S
6,"Davey C, Zoumot Z, Jordan S. Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial. Lancet. 2015;386.",Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial,Lancet,2015,386,,,,,Davey C; Zoumot Z; Jordan S
7,"Kemp S, Slebos DJ, Kirk A. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (TRANSFORM). Am J Respir Crit Care Med. 2017;196.",A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (TRANSFORM),Am J Respir Crit Care Med,2017,196,,,,,Kemp S; Slebos DJ; Kirk A
8,"Valipour A, Slebos DJ, Herth F. Endobronchial valve therapy in patients with homogeneous emphysema. Results from the IMPACT study. Am J Respir Crit Care Med. 2016;194.",Endobronchial valve therapy in patients with homogeneous emphysema. Results from the IMPACT study,Am J Respir Crit Care Med,2016,194,,,,,Valipour A; Slebos DJ; Herth F
9,"Van Agteren JE, Hnin K, Grosser D. Bronchoscopic lung volume reduction procedures for chronic obstructive pulmonary disease. Cochrane Database Syst Rev. 2017;2:12158.",Bronchoscopic lung volume reduction procedures for chronic obstructive pulmonary disease,Cochrane Database Syst Rev,2017,2,,12158,,,Van Agteren JE; Hnin K; Grosser D
10,"Come CE, Kramer MR, Dransfield MT. A randomised trial of lung sealant versus medical therapy for advanced emphysema. Eur Respir J. 2015;46.",A randomised trial of lung sealant versus medical therapy for advanced emphysema,Eur Respir J,2015,46,,,,,Come CE; Kramer MR; Dransfield MT
11,"Shah PL, Slebos DJ, Cardoso PF. Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, sham-controlled, multicentre trial. Lancet. 2011;378.","Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, sham-controlled, multicentre trial",Lancet,2011,378,,,,,Shah PL; Slebos DJ; Cardoso PF
12,"Wood DE, Nader DA, Springmeyer SC. The IBV Valve trial: a multicenter, randomized, double-blind trial of endobronchial therapy for severe emphysema. J Bronchology Interv Pulmonol. 2014;21.","The IBV Valve trial: a multicenter, randomized, double-blind trial of endobronchial therapy for severe emphysema",J Bronchology Interv Pulmonol,2014,21,,,,,Wood DE; Nader DA; Springmeyer SC
13,"Eberhardt R, Gompelmann D, Schuhmann M. Complete unilateral vs partial bilateral endoscopic lung volume reduction in patients with bilateral lung emphysema. Chest. 2012;142.",Complete unilateral vs partial bilateral endoscopic lung volume reduction in patients with bilateral lung emphysema,Chest,2012,142,,,,,Eberhardt R; Gompelmann D; Schuhmann M
14,"Herth FJ, Valipour A, Shah PL. Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, open-label, randomised controlled STEP-UP trial. Lancet Respir Med. 2016;4.","Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallel-group, open-label, randomised controlled STEP-UP trial",Lancet Respir Med,2016,4,,,,,Herth FJ; Valipour A; Shah PL
15,"Vogelmeier CF, Criner GJ, Martinez FJ. Global Strategy for the Diagnosis, Management, and Prevention of Chronic Obstructive Lung Disease 2017 Report. GOLD Executive Summary. Am J Respir Crit Care Med. 2017;195.","Global Strategy for the Diagnosis, Management, and Prevention of Chronic Obstructive Lung Disease 2017 Report. GOLD Executive Summary",Am J Respir Crit Care Med,2017,195,,,,,Vogelmeier CF; Criner GJ; Martinez FJ
