#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Risks of chest drain insertion. NPSA. 2008;003.,Risks of chest drain insertion,NPSA,2008,003,,,,,
2,"Harris A, Driscoll O, Turkington B, P. Survey of major complications of intercostal chest drain insertion in the UK. Postgrad Med J. 2010;86(4).",Survey of major complications of intercostal chest drain insertion in the UK,Postgrad Med J,2010,86,4,,,,Harris A; Driscoll O; Turkington B; P
3,"Griffiths JR, Roberts N. Do junior doctors know where to insert chest drains safely?. Postgrad Med J. 2005;81(2L).",Do junior doctors know where to insert chest drains safely?,Postgrad Med J,2005,81,2L,,,,Griffiths JR; Roberts N
4,"Luketich JD, Kiss M, Hershey J. Chest tube insertion: a prospective evaluation of pain management. Clin J Pain. 1998;14(2+).",Chest tube insertion: a prospective evaluation of pain management,Clin J Pain,1998,14,2+,,,,Luketich JD; Kiss M; Hershey J
5,"Wayne DB, Barsuk JH, Leary O, KJ. Mastery learning of thoracentesis skills by internal medicine residents using simulation technology and deliberate practice. J Hosp Med. 2008;3.",Mastery learning of thoracentesis skills by internal medicine residents using simulation technology and deliberate practice,J Hosp Med,2008,3,,,,,Wayne DB; Barsuk JH; Leary O; KJ
6,"Berkenstadt H, Munz Y, Trodler G. Evaluation of the trauma-manÒ simulator for training in chest drain insertion. Eur J Trauma. 2006;32.",Evaluation of the trauma-manÒ simulator for training in chest drain insertion,Eur J Trauma,2006,32,,,,,Berkenstadt H; Munz Y; Trodler G
7,"Mcvay PA, Toy PT. Lack of increased bleeding after paracentesis and thoracentesis in patients with mild coagulation abnormalities. Transfusion. 1991;31(2).",Lack of increased bleeding after paracentesis and thoracentesis in patients with mild coagulation abnormalities,Transfusion,1991,31,2,,,,Mcvay PA; Toy PT
8,"Brandstetter RD, Karetzky M, Rastogi R. Pneumothorax after thoracentesis in chronic obstructive pulmonary disease. Heart Lung. 1994;23(2L).",Pneumothorax after thoracentesis in chronic obstructive pulmonary disease,Heart Lung,1994,23,2L,,,,Brandstetter RD; Karetzky M; Rastogi R
9,"Doyle JJ, Hnatiuk OW, Torrington KG. Necessity of routine chest roentgenography after thoracentesis. Ann Intern Med. 1996;124(2+).",Necessity of routine chest roentgenography after thoracentesis,Ann Intern Med,1996,124,2+,,,,Doyle JJ; Hnatiuk OW; Torrington KG
10,"Colt HG, Brewer N, Barbur E. Evaluation of patient-related and procedure-related factors contributing to pneumothorax following thoracentesis. Chest. 1999;116(2L).",Evaluation of patient-related and procedure-related factors contributing to pneumothorax following thoracentesis,Chest,1999,116,2L,,,,Colt HG; Brewer N; Barbur E
11,"Boland GW, Gazelle GS, Girard MJ. Asymptomatic hydropneumothorax after therapeutic thoracentesis for malignant pleural effusions. AJR Am J Roentgenol. 1998;170(3).",Asymptomatic hydropneumothorax after therapeutic thoracentesis for malignant pleural effusions,AJR Am J Roentgenol,1998,170,3,,,,Boland GW; Gazelle GS; Girard MJ
12,"Heidecker J, Huggins JT, Sahn SA. Pathophysiology of pneumothorax following ultrasound-guided thoracentesis. Chest. 2006;130(3).",Pathophysiology of pneumothorax following ultrasound-guided thoracentesis,Chest,2006,130,3,,,,Heidecker J; Huggins JT; Sahn SA
13,"Ponrartana S, Laberge JM, Kerlan RK. Management of patients with ""ex vacuo"" pneumothorax after thoracentesis. Acad Radiol. 2005;12(3).","Management of patients with ""ex vacuo"" pneumothorax after thoracentesis",Acad Radiol,2005,12,3,,,,Ponrartana S; Laberge JM; Kerlan RK
14,"Seneff MG, Corwin RW, Gold LH. Complications associated with thoracocentesis. Chest. 1986;90(2L).",Complications associated with thoracocentesis,Chest,1986,90,2L,,,,Seneff MG; Corwin RW; Gold LH
15,"Diacon AH, Brutsche MH, Soler M. Accuracy of pleural puncture sites: a prospective comparison of clinical examination with ultrasound. Chest. 2003;123(2+).",Accuracy of pleural puncture sites: a prospective comparison of clinical examination with ultrasound,Chest,2003,123,2+,,,,Diacon AH; Brutsche MH; Soler M
16,"Weingardt JP, Guico RR, Nemcek AA, Jr. Ultrasound findings following failed, clinically directed thoracenteses. J Clin Ultrasound. 1994;22(2).","Ultrasound findings following failed, clinically directed thoracenteses",J Clin Ultrasound,1994,22,2,,,,Weingardt JP; Guico RR; Nemcek AA; Jr
17,"Bartter T, Mayo PD, Pratter MR. Lower risk and higher yield for thoracentesis when performed by experienced operators. Chest. 1993;103(3).",Lower risk and higher yield for thoracentesis when performed by experienced operators,Chest,1993,103,3,,,,Bartter T; Mayo PD; Pratter MR
18,Aelony Y. Thoracentesis without ultrasonic guidance infrequent complications when performed by an experienced pulmonologist. J Bronchol. 2005;12(2L).,Thoracentesis without ultrasonic guidance infrequent complications when performed by an experienced pulmonologist,J Bronchol,2005,12,2L,,,,Aelony Y
19,"Grogan DR, Irwin RS, Channick R. Complications associated with thoracentesis. A prospective, randomized study comparing three different methods. Arch Intern Med. 1990;150(1L).","Complications associated with thoracentesis. A prospective, randomized study comparing three different methods",Arch Intern Med,1990,150,1L,,,,Grogan DR; Irwin RS; Channick R
20,"Raptopoulos V, Davis LM, Lee G. Factors affecting the development of pneumothorax associated with thoracentesis. AJR Am J Roentgenol. 1991;156(2L).",Factors affecting the development of pneumothorax associated with thoracentesis,AJR Am J Roentgenol,1991,156,2L,,,,Raptopoulos V; Davis LM; Lee G
21,"Kohan JM, Poe RH, Israel RH. Value of chest ultrasonography versus decubitus roentgenography for thoracentesis. Am Rev Respir Dis. 1986;133(1).",Value of chest ultrasonography versus decubitus roentgenography for thoracentesis,Am Rev Respir Dis,1986,133,1,,,,Kohan JM; Poe RH; Israel RH
22,"Barnes TW, Morgenthaler TI, Olson EJ. Sonographically guided thoracentesis and rate of pneumothorax. J Clin Ultrasound. 2005;33(2L).",Sonographically guided thoracentesis and rate of pneumothorax,J Clin Ultrasound,2005,33,2L,,,,Barnes TW; Morgenthaler TI; Olson EJ
23,"Yu CJ, Yang PC, Wu HD. Ultrasound study in unilateral hemithorax opacification. Image comparison with computed tomography. Am Rev Respir Dis. 1993;147(2L).",Ultrasound study in unilateral hemithorax opacification. Image comparison with computed tomography,Am Rev Respir Dis,1993,147,2L,,,,Yu CJ; Yang PC; Wu HD
24,"Doelken P, Strange C. Chest ultrasound for ""dummies. Chest. 2003;123(4).","Chest ultrasound for ""dummies",Chest,2003,123,4,,,,Doelken P; Strange C
25,"Carney M, Ravin CE. Intercostal artery laceration during thoracocentesis: increased risk in elderly patients. Chest. 1979;75(3).",Intercostal artery laceration during thoracocentesis: increased risk in elderly patients,Chest,1979,75,3,,,,Carney M; Ravin CE
26,"Pihlajamaa K, Bode MK, Puumalainen T. Pneumothorax and the value of chest radiography after ultrasound-guided thoracocentesis. Acta Radiol. 2004;45(2L).",Pneumothorax and the value of chest radiography after ultrasound-guided thoracocentesis,Acta Radiol,2004,45,2L,,,,Pihlajamaa K; Bode MK; Puumalainen T
27,"Macduff A, Macduff R. Pleural depth in medical patients. Chest. 2009;136(3).",Pleural depth in medical patients,Chest,2009,136,3,,,,Macduff A; Macduff R
28,"Harcke HT, Pearse LA, Levy AD. Chest wall thickness in military personnel: implications for needle thoracentesis in tension pneumothorax. Mil Med. 2007;172(3).",Chest wall thickness in military personnel: implications for needle thoracentesis in tension pneumothorax,Mil Med,2007,172,3,,,,Harcke HT; Pearse LA; Levy AD
29,"Zengerink I, Brink PR, Laupland KB. Needle thoracostomy in the treatment of a tension pneumothorax in trauma patients: what size needle?. J Trauma. 2008;64(3).",Needle thoracostomy in the treatment of a tension pneumothorax in trauma patients: what size needle?,J Trauma,2008,64,3,,,,Zengerink I; Brink PR; Laupland KB
30,"Feller-Kopman D, Berkowitz D, Boiselle P. Large-volume thoracentesis and the risk of reexpansion pulmonary edema. Ann Thorac Surg. 2007;84(2L).",Large-volume thoracentesis and the risk of reexpansion pulmonary edema,Ann Thorac Surg,2007,84,2L,,,,Feller-Kopman D; Berkowitz D; Boiselle P
31,"Mynarek G, Brabrand K, Jakobsen JA. Complications following ultrasoundguided thoracocentesis. Acta Radiol. 2004;45(3).",Complications following ultrasoundguided thoracocentesis,Acta Radiol,2004,45,3,,,,Mynarek G; Brabrand K; Jakobsen JA
32,"Jones PW, Moyers JP, Rogers JT. Ultrasound-guided thoracentesis: is it a safer method. Chest. 2003;123(2).",Ultrasound-guided thoracentesis: is it a safer method,Chest,2003,123,2,,,,Jones PW; Moyers JP; Rogers JT
33,"Mahfood S, Hix WR, Aaron BL. Reexpansion pulmonary edema. Ann Thorac Surg. 1988;45(3).",Reexpansion pulmonary edema,Ann Thorac Surg,1988,45,3,,,,Mahfood S; Hix WR; Aaron BL
34,"Josephson T, Nordenskjold CA, Larsson J. Amount drained at ultrasound-guided thoracentesis and risk of pneumothorax. Acta Radiol. 2009;50(2L).",Amount drained at ultrasound-guided thoracentesis and risk of pneumothorax,Acta Radiol,2009,50,2L,,,,Josephson T; Nordenskjold CA; Larsson J
35,"Conen A, Joos L, Bingisser R. Ipsilateral reexpansion pulmonary edema after drainage of a spontaneous pneumothorax: a case report. J Med Case Reports (Electronic Resource). 2007;1(3):107.",Ipsilateral reexpansion pulmonary edema after drainage of a spontaneous pneumothorax: a case report,J Med Case Reports (Electronic Resource),2007,1,3,107,,,Conen A; Joos L; Bingisser R
36,"Rozenman J, Yellin A, Simansky DA. Re-expansion pulmonary oedema following spontaneous pneumothorax. Respir Med. 1996;90(3).",Re-expansion pulmonary oedema following spontaneous pneumothorax,Respir Med,1996,90,3,,,,Rozenman J; Yellin A; Simansky DA
37,"Tariq SM, Sadaf T. Reexpansion pulmonary edema after treatment of pneumothorax. N Engl J Med. 2006;354(3):2046.",Reexpansion pulmonary edema after treatment of pneumothorax,N Engl J Med,2006,354,3,2046,,,Tariq SM; Sadaf T
38,"Iqbal M, Multz AS, Rossoff LJ. Reexpansion pulmonary edema after VATS successfully treated with continuous positive airway pressure. Ann Thorac Surg. 2000;70(3).",Reexpansion pulmonary edema after VATS successfully treated with continuous positive airway pressure,Ann Thorac Surg,2000,70,3,,,,Iqbal M; Multz AS; Rossoff LJ
39,"Matsuura Y, Nomimura T, Murakami H. Clinical analysis of reexpansion pulmonary edema. Chest. 1991;100(3).",Clinical analysis of reexpansion pulmonary edema,Chest,1991,100,3,,,,Matsuura Y; Nomimura T; Murakami H
40,"Feller-Kopman D, Walkey A, Berkowitz D. The relationship of pleural pressure to symptom development during therapeutic thoracentesis. Chest. 2006;129(2L).",The relationship of pleural pressure to symptom development during therapeutic thoracentesis,Chest,2006,129,2L,,,,Feller-Kopman D; Walkey A; Berkowitz D
41,"Petersen WG, Zimmerman R. Limited utility of chest radiograph after thoracentesis. Chest. 2000;117(2L).",Limited utility of chest radiograph after thoracentesis,Chest,2000,117,2L,,,,Petersen WG; Zimmerman R
42,"Capizzi SA, Prakash UB. Chest roentgenography after outpatient thoracentesis. Mayo Clin Proc. 1998;73(3).",Chest roentgenography after outpatient thoracentesis,Mayo Clin Proc,1998,73,3,,,,Capizzi SA; Prakash UB
43, Consent: patients and doctors making decisions together. Consent: patients and doctors making decisions together. 2008;None.,Consent: patients and doctors making decisions together,Consent: patients and doctors making decisions together,2008,,,,,,
44,"Liu CM, Hang LW, Chen WK. Pigtail tube drainage in the treatment of spontaneous pneumothorax. Am J Emerg Med. 2003;21(3).",Pigtail tube drainage in the treatment of spontaneous pneumothorax,Am J Emerg Med,2003,21,3,,,,Liu CM; Hang LW; Chen WK
45,"Horsley A, Jones L, White J. Efficacy and complications of small-bore, wireguided chest drains. Chest. 2006;130(2L).","Efficacy and complications of small-bore, wireguided chest drains",Chest,2006,130,2L,,,,Horsley A; Jones L; White J
46,"Crouch JD, Keagy BA, Delany DJ. Pigtail"" catheter drainage in thoracic surgery. Am Rev Respir Dis. 1987;136(3).","Pigtail"" catheter drainage in thoracic surgery",Am Rev Respir Dis,1987,136,3,,,,Crouch JD; Keagy BA; Delany DJ
47,"Keeling AN, Leong S, Logan PM. Empyema and effusion: outcome of image-guided small-bore catheter drainage. Cardiovasc Intervent Radiol. 2008;31(3).",Empyema and effusion: outcome of image-guided small-bore catheter drainage,Cardiovasc Intervent Radiol,2008,31,3,,,,Keeling AN; Leong S; Logan PM
48,"Gammie JS, Banks MC, Fuhrman CR. The pigtail catheter for pleural drainage: a less invasive alternative to tube thoracostomy. JSLS. 1999;3(3).",The pigtail catheter for pleural drainage: a less invasive alternative to tube thoracostomy,JSLS,1999,3,3,,,,Gammie JS; Banks MC; Fuhrman CR
49,"Jain S, Deoskar RB, Barthwal MS. Study of pigtail catheters for tube thoracostomy. Armed Forces Med J India. 2006;62(3).",Study of pigtail catheters for tube thoracostomy,Armed Forces Med J India,2006,62,3,,,,Jain S; Deoskar RB; Barthwal MS
50,"Conces DJ, Tarver RD, Gray WC. Treatment of pneumothoraces utilizing small caliber chest tubes. Chest. 1988;94(3).",Treatment of pneumothoraces utilizing small caliber chest tubes,Chest,1988,94,3,,,,Conces DJ; Tarver RD; Gray WC
51,"Davies HE, Merchant S, Mcgown A. A study of the complications of small bore 'Seldinger' intercostal chest drains. Respirology. 2008;13(3).",A study of the complications of small bore 'Seldinger' intercostal chest drains,Respirology,2008,13,3,,,,Davies HE; Merchant S; Mcgown A
52,"Collop NA, Kim S, Sahn SA. Analysis of tube thoracostomy performed by pulmonologists at a teaching hospital. Chest. 1997;112(2L).",Analysis of tube thoracostomy performed by pulmonologists at a teaching hospital,Chest,1997,112,2L,,,,Collop NA; Kim S; Sahn SA
