#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Yankauer S. Two cases of lung tumor treated bronchoscopically. NY Med J. 1922;115.,Two cases of lung tumor treated bronchoscopically,NY Med J,1922,115,,,,,Yankauer S
2,Gaspar LE. Brachytherapy in lung cancer. J Surg Oncol. 1998;67.,Brachytherapy in lung cancer,J Surg Oncol,1998,67,,,,,Gaspar LE
3,"Komaki R, Scott CB, Sause WT. Induction cisplatin/ vinblastine and irradiation in unresectable squamous cell lung cancer: Failure patterns by cell type in RTOG 88-08/ECOG 4588. Int J Radiat Oncol Biol Phys. 1997;39.",Induction cisplatin/ vinblastine and irradiation in unresectable squamous cell lung cancer: Failure patterns by cell type in RTOG 88-08/ECOG 4588,Int J Radiat Oncol Biol Phys,1997,39,,,,,Komaki R; Scott CB; Sause WT
4,"Lechevalier T, Arriagada R, Quiox E. Radiotherapy alone versus combined chemotherapy and radiotherapy in nonresectable non-small cell lung cancer: First analysis of a randomized trial in 353 patients. J Natl Cancer Inst. 1993;83.",Radiotherapy alone versus combined chemotherapy and radiotherapy in nonresectable non-small cell lung cancer: First analysis of a randomized trial in 353 patients,J Natl Cancer Inst,1993,83,,,,,Lechevalier T; Arriagada R; Quiox E
5,"Delclos ME, Komaki R, Morice RC. Endobronchial brachytherapy with high-dose-rate afterloading for re-variable is such that it can be reasonably supposed to have arisen from random sampling. Philosophy Magazine. 1990;50.",Endobronchial brachytherapy with high-dose-rate afterloading for re-variable is such that it can be reasonably supposed to have arisen from random sampling,Philosophy Magazine,1990,50,,,,,Delclos ME; Komaki R; Morice RC
6,Wilcoxon F. Individual comparisons by ranking methods. Biometrics. 1945;1.,Individual comparisons by ranking methods,Biometrics,1945,1,,,,,Wilcoxon F
7,Gehan EA. A generalized Wilcoxon test for comparing arbitrarily singly censored samples. Biometrics. 1965;2.,A generalized Wilcoxon test for comparing arbitrarily singly censored samples,Biometrics,1965,2,,,,,Gehan EA
8,"Huber RM, Fischer R, Hautmann H. Does additional brachytherapy improve the effect of external irradiation? A prospective, randomized study in central lung tumors. Int J Radiat Oncol Biol Phys. 1997;38.","Does additional brachytherapy improve the effect of external irradiation? A prospective, randomized study in central lung tumors",Int J Radiat Oncol Biol Phys,1997,38,,,,,Huber RM; Fischer R; Hautmann H
9,"Moghissi K, Bond M, Sambrook R. Treatment of endotracheal or endobronchial obstruction by non-small cell lung cancer: Lack of patients in an MRC randomized trial leaves key questions unanswered. Medical Research Council Lung Cancer Working Party. Clin Oncol (R Coll Radiol). 1999;11.",Treatment of endotracheal or endobronchial obstruction by non-small cell lung cancer: Lack of patients in an MRC randomized trial leaves key questions unanswered. Medical Research Council Lung Cancer Working Party,Clin Oncol (R Coll Radiol),1999,11,,,,,Moghissi K; Bond M; Sambrook R
10,"Slawson RG, Scott RM. Radiation therapy in bronchogenic carcinoma. Radiology. 1979;132.",Radiation therapy in bronchogenic carcinoma,Radiology,1979,132,,,,,Slawson RG; Scott RM
11,"Tredaniel J, Hennequin C, Zalcman G. Prolonged survival after high-dose rate endobronchial radiation for malignant airway obstruction. Chest. 1994;105.",Prolonged survival after high-dose rate endobronchial radiation for malignant airway obstruction,Chest,1994,105,,,,,Tredaniel J; Hennequin C; Zalcman G
12,"Raju PI, Roy T, Mcdonald RD. Ir-192 low dose rate endobronchial brachytherapy in the treatment of malignant airway obstruction. Int J Radiat Oncol Biol Phys. 1993;27.",Ir-192 low dose rate endobronchial brachytherapy in the treatment of malignant airway obstruction,Int J Radiat Oncol Biol Phys,1993,27,,,,,Raju PI; Roy T; Mcdonald RD
13,"Speiser BL, Spratling L. Remote afterloading brachytherapy for the local control of endobronchial carcinoma. Int J Radiat Oncol Biol Phys. 1993;25.",Remote afterloading brachytherapy for the local control of endobronchial carcinoma,Int J Radiat Oncol Biol Phys,1993,25,,,,,Speiser BL; Spratling L
14,"Gustafson G, Vincini F, Freedman L. High dose rate endobronchial brachytherapy in the management of primary and recurrent bronchogenic malignancies. Cancer. 1994;75.",High dose rate endobronchial brachytherapy in the management of primary and recurrent bronchogenic malignancies,Cancer,1994,75,,,,,Gustafson G; Vincini F; Freedman L
15,"Nori D, Allison R, Kaplan B. High dose rate intraluminal irradiation in bronchogenic carcinoma. Chest. 1993;104.",High dose rate intraluminal irradiation in bronchogenic carcinoma,Chest,1993,104,,,,,Nori D; Allison R; Kaplan B
16,"Bedwinek J, Petty A, Bruton C. The use of high dose rate endobronchial brachytherapy to palliate symptomatic endobronchial recurrence of previously irradiated bronchogenic carcinoma. Int J Radiat Oncol Biol Phys. 1991;22.",The use of high dose rate endobronchial brachytherapy to palliate symptomatic endobronchial recurrence of previously irradiated bronchogenic carcinoma,Int J Radiat Oncol Biol Phys,1991,22,,,,,Bedwinek J; Petty A; Bruton C
17,"Miller JI, Phillips T. Neodymium:YAG laser and brachytherapy in the management of inoperable bronchogenic carinoma. Ann Thorac Surg. 1990;50.",Neodymium:YAG laser and brachytherapy in the management of inoperable bronchogenic carinoma,Ann Thorac Surg,1990,50,,,,,Miller JI; Phillips T
18,"Aygun M, Weiner S, Scariato A. Treatment of non-small cell lung cancer with external beam radiotherapy and high dose rate brachytherapy. Int J Radiat Oncol Biol Phys. 1992;23.",Treatment of non-small cell lung cancer with external beam radiotherapy and high dose rate brachytherapy,Int J Radiat Oncol Biol Phys,1992,23,,,,,Aygun M; Weiner S; Scariato A
19,"Mehta M, Petereit D, Chosy L. Sequential comparison of low dose rate and hyperfractionated high dose rate endobronchial radiation for malignant airway occlusion. Int J Radiat Oncol Biol Phys. 1992;23.",Sequential comparison of low dose rate and hyperfractionated high dose rate endobronchial radiation for malignant airway occlusion,Int J Radiat Oncol Biol Phys,1992,23,,,,,Mehta M; Petereit D; Chosy L
