#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Cambach W, Chadwick-Straver R, Wagenaar RC. The effects of a communitybased pulmonary rehabilitation programme on exercise tolerance and quality of life: a randomized controlled trial. Eur Respir J. 1997;10.",The effects of a communitybased pulmonary rehabilitation programme on exercise tolerance and quality of life: a randomized controlled trial,Eur Respir J,1997,10,,,,,Cambach W; Chadwick-Straver R; Wagenaar RC
2,"Stoller K, Abboussouan LS. A review of alpha 1-antitrypsin deficiency. Am J Respir Crit Care Med. 2012;185.",A review of alpha 1-antitrypsin deficiency,Am J Respir Crit Care Med,2012,185,,,,,Stoller K; Abboussouan LS
3,"Sundaresan RS, Shiraishi Y, Trulock EP. Single or bilateral lung transplantation for emphysema?. J Thorac Cardiovasc Surg. 1996;112.",Single or bilateral lung transplantation for emphysema?,J Thorac Cardiovasc Surg,1996,112,,,,,Sundaresan RS; Shiraishi Y; Trulock EP
4,"Tanash HA, Nilsson PM, Nilsson JA, Piitulainen E. Survival in severe alpha-1-antitrypsin deficiency (PiZZ). Respir Res. 2010;11.",Survival in severe alpha-1-antitrypsin deficiency (PiZZ),Respir Res,2010,11,,,,,Tanash HA; Nilsson PM; Nilsson JA; Piitulainen E
5,"Tanash HA, Riise GC, Hansson L. Survival benefit of lung transplantation in individuals with severe alpha-1-antitrypsin deficiency (PiZZ) and emphysema. J Heart Lung Transpl. 2011;30.",Survival benefit of lung transplantation in individuals with severe alpha-1-antitrypsin deficiency (PiZZ) and emphysema,J Heart Lung Transpl,2011,30,,,,,Tanash HA; Riise GC; Hansson L
6,"Brantigan OC, Mueller E. Surgical treatment of pulmonary emphysema. Am Surg. 1957;23.",Surgical treatment of pulmonary emphysema,Am Surg,1957,23,,,,,Brantigan OC; Mueller E
7,"Cooper JD, Patterson GA, Sundaresan RS. Results of 150 consecutive bilateral lung volume reduction procedures in patients with severe emphysema. J Thorac Cardiovasc Surg. 1996;112.",Results of 150 consecutive bilateral lung volume reduction procedures in patients with severe emphysema,J Thorac Cardiovasc Surg,1996,112,,,,,Cooper JD; Patterson GA; Sundaresan RS
8,"Fishman A, Martinez F, Naunheim K et al.. National Emphysema Treatment Trial Research Group: A randomized trial comparing lung-volume reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",National Emphysema Treatment Trial Research Group: A randomized trial comparing lung-volume reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A; Weinmann G; Wood DE
9,"Hillerdal G, Löfdahl CG, Ström K. Comparison of lung volume reduction surgery and physical training on health status and physiologic outcomes. A randomized controlled clinical trial. Chest. 2005;1328.",Comparison of lung volume reduction surgery and physical training on health status and physiologic outcomes. A randomized controlled clinical trial,Chest,2005,1328,,,,,Hillerdal G; Löfdahl CG; Ström K
10,"Naunheim KS, Wood DE, Mohseifar Z. Long-term follow-up of patients receiving lung-volume reduction surgery versus medical therapy for severe emphysema by the National Emphysema Treatment Trial Research Group. Ann Thorac Surg. 2006;82.",Long-term follow-up of patients receiving lung-volume reduction surgery versus medical therapy for severe emphysema by the National Emphysema Treatment Trial Research Group,Ann Thorac Surg,2006,82,,,,,Naunheim KS; Wood DE; Mohseifar Z
11,"Herth F, Gompelmann D, Stanzel F. Treatment of advanced emphysema with emphysematous lung sealant (AeriSeal ® ). Respiration. 2011;82.",Treatment of advanced emphysema with emphysematous lung sealant (AeriSeal ® ),Respiration,2011,82,,,,,Herth F; Gompelmann D; Stanzel F
12,"Gompelmann D, Heussel CP, Eberhardt R. Efficacy of thermal vapor ablation and lobar fissure completeness in patients with heterogeneous emphysema. Respiration. 2012;83.",Efficacy of thermal vapor ablation and lobar fissure completeness in patients with heterogeneous emphysema,Respiration,2012,83,,,,,Gompelmann D; Heussel CP; Eberhardt R
13,"Sciurba FC, Ernst A, Herth FA. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth FA
14,"Hopkinson NS, Kemp SV, Toma TP. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37.",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,,,,,Hopkinson NS; Kemp SV; Toma TP
15,"Herth FJ, Eberhardt R, Valipour A. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth FJ; Eberhardt R; Valipour A
16,"Gasparini S, Zuccacosta L, Bonifazi M, Bolliger CT. Bronchoscopic treatment of emphysema: state of the art. Respiration. 2012;84.",Bronchoscopic treatment of emphysema: state of the art,Respiration,2012,84,,,,,Gasparini S; Zuccacosta L; Bonifazi M; Bolliger CT
17,"Dooms CA, De Leyn PR, Yserbyt J. Endobronchial valves for persistent postoperative pulmonary leak: accurate monitoring and functional implications. Respiration. 2012;84.",Endobronchial valves for persistent postoperative pulmonary leak: accurate monitoring and functional implications,Respiration,2012,84,,,,,Dooms CA; De Leyn PR; Yserbyt J
18,"Tuohy MM, Remund KF, Hilfiker R. Endobronchial valve deployment in severe alpha-1-antitrypsin deficiency emphysema: a case series. Clin Respir J. 2013;7.",Endobronchial valve deployment in severe alpha-1-antitrypsin deficiency emphysema: a case series,Clin Respir J,2013,7,,,,,Tuohy MM; Remund KF; Hilfiker R
19,"Coxson HO, Chan IH, Mayo JR. Early emphysema in patients with anorexia nervosa. Hillerdal/Mindus Respiration. 2004;170. doi:10.1159/000365662328.",Early emphysema in patients with anorexia nervosa,Hillerdal/Mindus Respiration,2004,170,,,10.1159/000365662328,,Coxson HO; Chan IH; Mayo JR
20,"Coxson HO, Fauerbach N, Storness-Bliss PV, C. Computed tomography assessment of lung volume changes after bronchial valve treatment. Eur Respir J. 2008;32.",Computed tomography assessment of lung volume changes after bronchial valve treatment,Eur Respir J,2008,32,,,,,Coxson HO; Fauerbach N; Storness-Bliss PV; C
21,"Fessler HE. Collateral ventilation, the bane of bronchoscopic volume reduction. Am J Respir Crit Care Med. 2005;171.","Collateral ventilation, the bane of bronchoscopic volume reduction",Am J Respir Crit Care Med,2005,171,,,,,Fessler HE
