#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Mullon JJ, Burkart KM, Silvestri G. Interventional pulmonology fellowship accreditation standards. Chest. 2017;151(5).",Interventional pulmonology fellowship accreditation standards,Chest,2017,151,5,,,,Mullon JJ; Burkart KM; Silvestri G
2,"Malcolm KB, Seeley EJ, Gesthalter YB. Impact of a dedicated pleural clinic on indwelling pleural catheter related outcomes: a retrospective single center experience. J. Bronchol. Interv. Pulmonol. 2022;30(2).",Impact of a dedicated pleural clinic on indwelling pleural catheter related outcomes: a retrospective single center experience,J. Bronchol. Interv. Pulmonol,2022,30,2,,,,Malcolm KB; Seeley EJ; Gesthalter YB
3,"Mummadi SR, Hahn PY. Outcomes of a clinical pathway for pleural disease management: ""pleural pathway. Pulm. Med. 2018;2018:2035248.","Outcomes of a clinical pathway for pleural disease management: ""pleural pathway",Pulm. Med,2018,2018,,2035248,,,Mummadi SR; Hahn PY
4,"Alwakeel AJ, Shieh B, Gonzalez AV. Impact of a pleural care program on the management of patients with malignant pleural effusions. J. Bronchol. Interv. Pulmonol. 2022;30(2).",Impact of a pleural care program on the management of patients with malignant pleural effusions,J. Bronchol. Interv. Pulmonol,2022,30,2,,,,Alwakeel AJ; Shieh B; Gonzalez AV
5,"Rodríguez E, AI, Clemente G, M, Álvarez R, I. Clinical impact of a pleural unit in a tertiary level hospital. Arch. Bronconeumol. 2020;56(3).",Clinical impact of a pleural unit in a tertiary level hospital,Arch. Bronconeumol,2020,56,3,,,,Rodríguez E; AI; Clemente G; M; Álvarez R; I
6,"Feller-Kopman D, Light R. Pleural disease. N. Engl. J. Med. 2018;378(8).",Pleural disease,N. Engl. J. Med,2018,378,8,,,,Feller-Kopman D; Light R
7,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am. J. Respir. Crit. Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am. J. Respir. Crit. Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
8,"Silvestri GA, Bevill BT, Huang J. An evaluation of diagnostic yield from bronchoscopy. Chest. 2020;157(6).",An evaluation of diagnostic yield from bronchoscopy,Chest,2020,157,6,,,,Silvestri GA; Bevill BT; Huang J
9,"Yasufuku K, Pierre A, Darling G. A prospective controlled trial of endobronchial ultrasoundguided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J. Thorac. Cardiovasc. Surg. 2011;142(6).",A prospective controlled trial of endobronchial ultrasoundguided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J. Thorac. Cardiovasc. Surg,2011,142,6,,,,Yasufuku K; Pierre A; Darling G
10,"Herth F, Annema JT, Eberhardt R. Endobronchial ultrasound with transbronchial needle aspiration for restaging the mediastinum in lung cancer. J. Clin. Oncol. 2008;26(20).",Endobronchial ultrasound with transbronchial needle aspiration for restaging the mediastinum in lung cancer,J. Clin. Oncol,2008,26,20,,,,Herth F; Annema JT; Eberhardt R
11,"Um S, Kim HK, Jung S. Endobronchial ultrasound versus mediastinoscopy for mediastinal nodal staging of non-small-cell lung cancer. J. Thorac. Oncol. 2015;10(2).",Endobronchial ultrasound versus mediastinoscopy for mediastinal nodal staging of non-small-cell lung cancer,J. Thorac. Oncol,2015,10,2,,,,Um S; Kim HK; Jung S
12,"Leong TL, Loveland PM, Gorelik A. Preoperative staging by EBUS in cN0/N1 lung cancer: systematic review and meta-analysis. J. Bronchol. Interv. Pulmonol. 2019;26(3).",Preoperative staging by EBUS in cN0/N1 lung cancer: systematic review and meta-analysis,J. Bronchol. Interv. Pulmonol,2019,26,3,,,,Leong TL; Loveland PM; Gorelik A
13,"Khalid U, Akram MJ, Bakar A, M. Elucidating the etiologies of 18F-fluorodeoxyglucose-avid mediastinal lymph nodes among cancer patients in a tuberculosis-endemic region using endobronchial ultrasound. Cureus. 2021;13(11):19339.",Elucidating the etiologies of 18F-fluorodeoxyglucose-avid mediastinal lymph nodes among cancer patients in a tuberculosis-endemic region using endobronchial ultrasound,Cureus,2021,13,11,19339,,,Khalid U; Akram MJ; Bakar A; M
14,"Sodhi A, Supakul R, Williams GW. Role of transbronchial needle aspiration (conventional and EBUS guided) in the diagnosis of histoplasmosis in patients presenting with mediastinal lymphadenopathy. South. Med. J. 2017;110(1).",Role of transbronchial needle aspiration (conventional and EBUS guided) in the diagnosis of histoplasmosis in patients presenting with mediastinal lymphadenopathy,South. Med. J,2017,110,1,,,,Sodhi A; Supakul R; Williams GW
15,"Karadzovska-Kotevska M, Brunnström H, Kosieradzki J. Feasibility of EBUS-TBNA for histopathological and molecular diagnostics of NSCLC-a retrospective single-center experience. PLOS ONE. 2022;17(2):263342.",Feasibility of EBUS-TBNA for histopathological and molecular diagnostics of NSCLC-a retrospective single-center experience,PLOS ONE,2022,17,2,263342,,,Karadzovska-Kotevska M; Brunnström H; Kosieradzki J
16,"Ko HM, Da Cunha Santos G, Darling G. Diagnosis and subclassification of lymphomas and non-neoplastic lesions involving mediastinal lymph nodes using endobronchial ultrasound-guided transbronchial needle aspiration: EBUS-TBNA-lymphoma and non-neoplastic lesions. Diagn. Cytopathol. 2013;41(12).",Diagnosis and subclassification of lymphomas and non-neoplastic lesions involving mediastinal lymph nodes using endobronchial ultrasound-guided transbronchial needle aspiration: EBUS-TBNA-lymphoma and non-neoplastic lesions,Diagn. Cytopathol,2013,41,12,,,,Ko HM; Da Cunha Santos G; Darling G
17,"Crouser ED, Maier LA, Wilson KC. Diagnosis and detection of sarcoidosis. An official American Thoracic Society clinical practice guideline. Am. J. Respir. Crit. Care Med. 2020;201(8).",Diagnosis and detection of sarcoidosis. An official American Thoracic Society clinical practice guideline,Am. J. Respir. Crit. Care Med,2020,201,8,,,,Crouser ED; Maier LA; Wilson KC
18,"National T, Screening L, Research T, T. Reduced lung-cancer mortality with low-dose computed tomographic screening. N. Engl. J. Med. 2011;365(5).",Reduced lung-cancer mortality with low-dose computed tomographic screening,N. Engl. J. Med,2011,365,5,,,,National T; Screening L; Research T; T
19,"Gould MK, Tang T, Liu I. Recent trends in the identification of incidental pulmonary nodules. Am. J. Respir. Crit. Care Med. 2015;192(10).",Recent trends in the identification of incidental pulmonary nodules,Am. J. Respir. Crit. Care Med,2015,192,10,,,,Gould MK; Tang T; Liu I
20,"Wiener RS, Schwartz LM, Woloshin S. Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records. Ann. Intern. Med. 2011;155(3):137.",Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records,Ann. Intern. Med,2011,155,3,137,,,Wiener RS; Schwartz LM; Woloshin S
21,"Vachani A, Zhou M, Ghosh S. Complications after transthoracic needle biopsy of pulmonary nodules: a population-level retrospective cohort analysis. J. Am. Coll. Radiol. 2022;19(10).",Complications after transthoracic needle biopsy of pulmonary nodules: a population-level retrospective cohort analysis,J. Am. Coll. Radiol,2022,19,10,,,,Vachani A; Zhou M; Ghosh S
22,"Hong H, Hahn S, Matsuguma H. Pleural recurrence after transthoracic needle lung biopsy in stage I lung cancer: a systematic review and individual patient-level meta-analysis. Thorax. 2021;76(6).",Pleural recurrence after transthoracic needle lung biopsy in stage I lung cancer: a systematic review and individual patient-level meta-analysis,Thorax,2021,76,6,,,,Hong H; Hahn S; Matsuguma H
23,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study. J. Thorac. Oncol. 2019;14(3).","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study",J. Thorac. Oncol,2019,14,3,,,,Folch EE; Pritchett MA; Nead MA
24,"Ali MS, Sethi J, Taneja A. Computed tomography bronchus sign and the diagnostic yield of guided bronchoscopy for peripheral pulmonary lesions. A systematic review and meta-analysis. Ann. Am. Thorac. Soc. 2018;15(8).",Computed tomography bronchus sign and the diagnostic yield of guided bronchoscopy for peripheral pulmonary lesions. A systematic review and meta-analysis,Ann. Am. Thorac. Soc,2018,15,8,,,,Ali MS; Sethi J; Taneja A
25,"Levine MZ, Goodman S, Lentz RJ. Advanced bronchoscopic technologies for biopsy of the pulmonary nodule: a 2021 review. Diagnostics. 2021;11(12):31.",Advanced bronchoscopic technologies for biopsy of the pulmonary nodule: a 2021 review,Diagnostics,2021,11,12,31,,,Levine MZ; Goodman S; Lentz RJ
26,"Pickering EM, Kalchiem-Dekel O, Sachdeva A. Electromagnetic navigation bronchoscopy: a comprehensive review. AME Med. J. 2018;3:117.",Electromagnetic navigation bronchoscopy: a comprehensive review,AME Med. J,2018,3,,117,,,Pickering EM; Kalchiem-Dekel O; Sachdeva A
27,"Leong S, Ju H, Marshall H. Electromagnetic navigation bronchoscopy: a descriptive analysis. J. Thorac. Dis. 2012;4(2).",Electromagnetic navigation bronchoscopy: a descriptive analysis,J. Thorac. Dis,2012,4,2,,,,Leong S; Ju H; Marshall H
28,"Folch EE, Bowling MR, Pritchett MA. NAVIGATE 24-month results: electromagnetic navigation bronchoscopy for pulmonary lesions at 37 centers in Europe and the United States. J. Thorac. Oncol. 2022;17(4).",NAVIGATE 24-month results: electromagnetic navigation bronchoscopy for pulmonary lesions at 37 centers in Europe and the United States,J. Thorac. Oncol,2022,17,4,,,,Folch EE; Bowling MR; Pritchett MA
29,"Agrawal A, Hogarth DK, Murgu S. Robotic bronchoscopy for pulmonary lesions: a review of existing technologies and clinical data. J. Thorac. Dis. 2020;12(6).",Robotic bronchoscopy for pulmonary lesions: a review of existing technologies and clinical data,J. Thorac. Dis,2020,12,6,,,,Agrawal A; Hogarth DK; Murgu S
