#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Marel M, Zrůstová M, Stasný B, Light RW. The incidence of pleural effusion in a well-defined region: epidemiologic study in central Bohemia. Chest. 1993;104.",The incidence of pleural effusion in a well-defined region: epidemiologic study in central Bohemia,Chest,1993,104,,,,,Marel M; Zrůstová M; Stasný B; Light RW
2,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65(Suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,Suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
3,"Thoracic A, S. Management of malignant pleural effusions. Am J Respir Crit Care Med. 2000;162.",Management of malignant pleural effusions,Am J Respir Crit Care Med,2000,162,,,,,Thoracic A; S
4,"Clive AO, Jones HE, Bhatnagar R, Preston NJ, Maskell N. Interventions for the management of malignant pleural effusions: a network meta-analysis. Cochrane Database Syst Rev. 2016;5:10529.",Interventions for the management of malignant pleural effusions: a network meta-analysis,Cochrane Database Syst Rev,2016,5,,10529,,,Clive AO; Jones HE; Bhatnagar R; Preston NJ; Maskell N
5,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
6,"Villanueva AG, Gray AW, Jr, Shahian DM, Williamson WA, Beamis JF. Efficacy of short term versus long term tube thoracostomy drainage before tetracycline pleurodesis in the treatment of malignant pleural effusions. Thorax. 1994;49.",Efficacy of short term versus long term tube thoracostomy drainage before tetracycline pleurodesis in the treatment of malignant pleural effusions,Thorax,1994,49,,,,,Villanueva AG; Gray AW; Jr; Shahian DM; Williamson WA; Beamis JF
7,"Clive AO, Kahan BC, Hooper CE. Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score. Thorax. 2014;69.",Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score,Thorax,2014,69,,,,,Clive AO; Kahan BC; Hooper CE
8,"Demmy TL, Gu L, Burkhalter JE. Optimal management of malignant pleural effusions (results of CALGB 30102). J Natl Compr Canc Netw. 2012;10.",Optimal management of malignant pleural effusions (results of CALGB 30102),J Natl Compr Canc Netw,2012,10,,,,,Demmy TL; Gu L; Burkhalter JE
9,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions: the ASAP Trial. Am J Respir Crit Care Med. 2017;195.",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions: the ASAP Trial,Am J Respir Crit Care Med,2017,195,,,,,Wahidi MM; Reddy C; Yarmus L
10,"Ahmed L, Ip H, Rao D, Patel N, Noorzad F. Talc pleurodesis through indwelling pleural catheters for malignant pleural effusions: retrospective case series of a novel clinical pathway. Chest. 2014;146(6).",Talc pleurodesis through indwelling pleural catheters for malignant pleural effusions: retrospective case series of a novel clinical pathway,Chest,2014,146,6,,,,Ahmed L; Ip H; Rao D; Patel N; Noorzad F
11,"Altman DG, Bland JM. Treatment allocation by minimisation. BMJ. 2005;330:843.",Treatment allocation by minimisation,BMJ,2005,330,,843,,,Altman DG; Bland JM
12,"Herdman M, Gudex C, Lloyd A. Development and preliminary testing of the new five-level version of EQ-5D (EQ-5D-5L). Qual Life Res. 2011;20.",Development and preliminary testing of the new five-level version of EQ-5D (EQ-5D-5L),Qual Life Res,2011,20,,,,,Herdman M; Gudex C; Lloyd A
13,"Aaronson NK, Ahmedzai S, Bergman B. The European Organization for Research and Treatment of Cancer QLQ-C30: a quality-of-life instrument for use in international clinical trials in oncology. J Natl Cancer Inst. 1993;85.",The European Organization for Research and Treatment of Cancer QLQ-C30: a quality-of-life instrument for use in international clinical trials in oncology,J Natl Cancer Inst,1993,85,,,,,Aaronson NK; Ahmedzai S; Bergman B
14,"Zimmer PW, Hill M, Casey K, Harvey E, Low DE. Prospective randomized trial of talc slurry vs bleomycin in pleurodesis for symptomatic malignant pleural effusions. Chest. 1997;112.",Prospective randomized trial of talc slurry vs bleomycin in pleurodesis for symptomatic malignant pleural effusions,Chest,1997,112,,,,,Zimmer PW; Hill M; Casey K; Harvey E; Low DE
15,"White IR, Horton NJ, Carpenter J, Pocock SJ. Strategy for intention to treat analysis in randomised trials with missing outcome data. BMJ. 2011;342:40.",Strategy for intention to treat analysis in randomised trials with missing outcome data,BMJ,2011,342,,40,,,White IR; Horton NJ; Carpenter J; Pocock SJ
16,"Kahan BC, Morris TP. Reporting and analysis of trials using stratified randomisation in leading medical journals: review and reanalysis. BMJ. 2012;345:5840.",Reporting and analysis of trials using stratified randomisation in leading medical journals: review and reanalysis,BMJ,2012,345,,5840,,,Kahan BC; Morris TP
17,"Kahan BC, Morris TP. Improper analysis of trials randomised using stratified blocks or minimisation. Stat Med. 2012;31.",Improper analysis of trials randomised using stratified blocks or minimisation,Stat Med,2012,31,,,,,Kahan BC; Morris TP
18,"Fine JP, Gray RJ. A proportional hazards model for the subdistribution of a competing risk. J Am Stat Assoc. 1999;94.",A proportional hazards model for the subdistribution of a competing risk,J Am Stat Assoc,1999,94,,,,,Fine JP; Gray RJ
19,"O'brien PC, Fleming TR. A multiple testing procedure for clinical trials. Biometrics. 1979;35.",A multiple testing procedure for clinical trials,Biometrics,1979,35,,,,,O'brien PC; Fleming TR
20,"Van Meter ME, Mckee KY, Kohlwes RJ. Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review. J Gen Intern Med. 2011;26.",Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review,J Gen Intern Med,2011,26,,,,,Van Meter ME; Mckee KY; Kohlwes RJ
21,"Olfert JA, Penz ED, Manns BJ. Cost-effectiveness of indwelling pleural catheter compared with talc in malignant pleural effusion. Respirology. 2017;22.",Cost-effectiveness of indwelling pleural catheter compared with talc in malignant pleural effusion,Respirology,2017,22,,,,,Olfert JA; Penz ED; Manns BJ
22,"Fysh E, Tremblay A, Feller-Kopman D. Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study. Chest. 2013;144.",Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study,Chest,2013,144,,,,,Fysh E; Tremblay A; Feller-Kopman D
23,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318.",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,,,,,Thomas R; Fysh E; Smith NA
24,"Tremblay A, Michaud G. Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion. Chest. 2006;129.",Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion,Chest,2006,129,,,,,Tremblay A; Michaud G
25,"Warren WH, Kim AW, Liptay MJ. Identification of clinical factors predicting Pleurx catheter removal in patients treated for malignant pleural effusion. Eur J Cardiothorac Surg. 2008;33.",Identification of clinical factors predicting Pleurx catheter removal in patients treated for malignant pleural effusion,Eur J Cardiothorac Surg,2008,33,,,,,Warren WH; Kim AW; Liptay MJ
