#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Cordasco EM, Mehta AC, Ahmad M. Bronchoscopically induced bleeding. A summary of nine years' Cleveland clinic experience and review of the literature. Chest. 1991;100.",Bronchoscopically induced bleeding. A summary of nine years' Cleveland clinic experience and review of the literature,Chest,1991,100,,,,,Cordasco EM; Mehta AC; Ahmad M
2,Chinsky K. Bleeding risk and bronchoscopy: in search of the evidence in evidence-based medicine. Chest. 2005;127.,Bleeding risk and bronchoscopy: in search of the evidence in evidence-based medicine,Chest,2005,127,,,,,Chinsky K
3,"Zhou G, Zhang W, Dong Y. Flexible bronchoscopy-induced massive bleeding: a 12-year multicentre retrospective cohort study. Respirology. 2016;21.",Flexible bronchoscopy-induced massive bleeding: a 12-year multicentre retrospective cohort study,Respirology,2016,21,,,,,Zhou G; Zhang W; Dong Y
4,"Flick MR, Wasson K, Dunn LJ. Fatal pulmonary hemorrhage after transbronchial lung biopsy through the fiberoptic bronchoscope. Am Rev Respir Dis. 1975;111.",Fatal pulmonary hemorrhage after transbronchial lung biopsy through the fiberoptic bronchoscope,Am Rev Respir Dis,1975,111,,,,,Flick MR; Wasson K; Dunn LJ
5,"Rand D, Blaikley IA, Booton J, R. British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE. Thorax. 2013;68.",British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE,Thorax,2013,68,,,,,Rand D; Blaikley IA; Booton J; R
6,"Facciolongo N, Patelli M, Gasparini S. Incidence of complications in bronchoscopy. Multicentre prospective study of 20,986 bronchoscopies. Monaldi Arch Chest Dis. 2009;71.","Incidence of complications in bronchoscopy. Multicentre prospective study of 20,986 bronchoscopies",Monaldi Arch Chest Dis,2009,71,,,,,Facciolongo N; Patelli M; Gasparini S
7,"Milman N, Faurschou P, Munch EP. Transbronchial lung biopsy through the fibre optic bronchoscope. Results and complications in 452 examinations. Respir Med. 1994;88.",Transbronchial lung biopsy through the fibre optic bronchoscope. Results and complications in 452 examinations,Respir Med,1994,88,,,,,Milman N; Faurschou P; Munch EP
8,"Herth F, Becker HD, Ernst A. Aspirin does not increase bleeding complications after transbronchial biopsy. Chest. 2002;122.",Aspirin does not increase bleeding complications after transbronchial biopsy,Chest,2002,122,,,,,Herth F; Becker HD; Ernst A
9,"Trosini-Désert V, Vergnon JM, Collet JP. Bronchoscopie souple et antiagrégants plaquettaires: analyse du rapport bénéfices-risques [Fibreoptic bronchoscopy and anti-platelet agents: a risk-benefit analysis. Rev Mal Respir. None;24.",Bronchoscopie souple et antiagrégants plaquettaires: analyse du rapport bénéfices-risques [Fibreoptic bronchoscopy and anti-platelet agents: a risk-benefit analysis,Rev Mal Respir,,24,,,,,Trosini-Désert V; Vergnon JM; Collet JP
10,"Weiss SM, Hert RC, Gianola FJ. Complications of fiberoptic bronchoscopy in thrombocytopenic patients. Chest. 1993;104.",Complications of fiberoptic bronchoscopy in thrombocytopenic patients,Chest,1993,104,,,,,Weiss SM; Hert RC; Gianola FJ
11,"Nandagopal L, Veeraputhiran M, Jain T. Bronchoscopy can be done safely in patients with thrombocytopenia. Transfusion. 2016;56.",Bronchoscopy can be done safely in patients with thrombocytopenia,Transfusion,2016,56,,,,,Nandagopal L; Veeraputhiran M; Jain T
12,"Varela-Lema L, Fernández-Villar A, Ruano-Ravina A. Effectiveness and safety of endobronchial ultrasound-transbronchial needle aspiration: a systematic review. Eur Respir J. 2009;33.",Effectiveness and safety of endobronchial ultrasound-transbronchial needle aspiration: a systematic review,Eur Respir J,2009,33,,,,,Varela-Lema L; Fernández-Villar A; Ruano-Ravina A
13,"Eapen GA, Shah AM, Lei X. Complications, consequences, and practice patterns of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuIRE registry. Chest. 2013;143.","Complications, consequences, and practice patterns of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuIRE registry",Chest,2013,143,,,,,Eapen GA; Shah AM; Lei X
14,"Stather DR, Maceachern P, Chee A. Safety of endobronchial ultrasound-guided transbronchial needle aspiration for patients taking clopidogrel: a report of 12 consecutive cases. Respiration. 2012;83.",Safety of endobronchial ultrasound-guided transbronchial needle aspiration for patients taking clopidogrel: a report of 12 consecutive cases,Respiration,2012,83,,,,,Stather DR; Maceachern P; Chee A
15,"Ahmad M, Livingston DR, Golish JA. The safety of outpatient transbronchial biopsy. Chest. 1986;90.",The safety of outpatient transbronchial biopsy,Chest,1986,90,,,,,Ahmad M; Livingston DR; Golish JA
16,"Pue CA, Pacht ER. Complications of fiberoptic bronchoscopy at a university hospital. Chest. 1995;107.",Complications of fiberoptic bronchoscopy at a university hospital,Chest,1995,107,,,,,Pue CA; Pacht ER
17,"Hetzel J, Eberhardt R, Herth F. Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial. Eur Respir J. 2012;39.",Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial,Eur Respir J,2012,39,,,,,Hetzel J; Eberhardt R; Herth F
18,"Tomassetti S, Wells AU, Costabel U. Bronchoscopic lung cryobiopsy increases diagnostic confidence in the multidisciplinary diagnosis of idiopathic pulmonary fibrosis. Am J Respir Crit Care Med. 2016;193.",Bronchoscopic lung cryobiopsy increases diagnostic confidence in the multidisciplinary diagnosis of idiopathic pulmonary fibrosis,Am J Respir Crit Care Med,2016,193,,,,,Tomassetti S; Wells AU; Costabel U
19,"Casoni GL, Tomassetti S, Cavazza A. Transbronchial lung cryobiopsy in the diagnosis of fibrotic interstitial lung diseases. PLoS One. 2014;9:86716.",Transbronchial lung cryobiopsy in the diagnosis of fibrotic interstitial lung diseases,PLoS One,2014,9,,86716,,,Casoni GL; Tomassetti S; Cavazza A
20,"Schuhmann M, Bostanci K, Bugalho A. Endobronchial ultrasound-guided cryobiopsies in peripheral pulmonary lesions: a feasibility study. Eur Respir J. 2014;43.",Endobronchial ultrasound-guided cryobiopsies in peripheral pulmonary lesions: a feasibility study,Eur Respir J,2014,43,,,,,Schuhmann M; Bostanci K; Bugalho A
21,"Pajares V, Puzo C, Castillo D. Diagnostic yield of transbronchial cryobiopsy in interstitial lung disease: a randomized trial. Respirology. 2014;19.",Diagnostic yield of transbronchial cryobiopsy in interstitial lung disease: a randomized trial,Respirology,2014,19,,,,,Pajares V; Puzo C; Castillo D
