#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gasparini S, Bonifazi M, Wang KP. Transbronchial needle aspirations vs. percutaneous needle aspirations. J Thorac Dis. 2015;7(Suppl 4).",Transbronchial needle aspirations vs. percutaneous needle aspirations,J Thorac Dis,2015,7,Suppl 4,,,,Gasparini S; Bonifazi M; Wang KP
2,"Yang W, Sun W, Li Q. Diagnostic accuracy of CT-guided transthoracic needle biopsy for solitary pulmonary nodules. PLoS One. 2015;10:131373.",Diagnostic accuracy of CT-guided transthoracic needle biopsy for solitary pulmonary nodules,PLoS One,2015,10,,131373,,,Yang W; Sun W; Li Q
3,"Xie F, Wagh A, Wu R. Robotic-assisted bronchoscopy in the diagnosis of peripheral pulmonary lesions. Chinese Med J Pulmon Crit Care Med. 2023;1.",Robotic-assisted bronchoscopy in the diagnosis of peripheral pulmonary lesions,Chinese Med J Pulmon Crit Care Med,2023,1,,,,,Xie F; Wagh A; Wu R
4,Gildea TR. Lung lesion localization and the diagnostic drop. Annals ATS. 2016;13.,Lung lesion localization and the diagnostic drop,Annals ATS,2016,13,,,,,Gildea TR
5,"Chen A, Pastis N, Furukawa B, Silvestri GA. The effect of respiratory motion on pulmonary nodule location during electromagnetic navigation bronchoscopy. Chest. 2015;147.",The effect of respiratory motion on pulmonary nodule location during electromagnetic navigation bronchoscopy,Chest,2015,147,,,,,Chen A; Pastis N; Furukawa B; Silvestri GA
6,"Furukawa BS, Pastis NJ, Tanner NT. Comparing pulmonary nodule location during electromagnetic bronchoscopy with predicted location on the basis of two virtual airway maps at different phases of respiration. Chest. 2018;153.",Comparing pulmonary nodule location during electromagnetic bronchoscopy with predicted location on the basis of two virtual airway maps at different phases of respiration,Chest,2018,153,,,,,Furukawa BS; Pastis NJ; Tanner NT
7,"Pickering EM, Kalchiem-Dekel O, Sachdeva A. Electromagnetic navigation bronchoscopy: a comprehensive review. AME Med J. 2018;3:117.",Electromagnetic navigation bronchoscopy: a comprehensive review,AME Med J,2018,3,,117,,,Pickering EM; Kalchiem-Dekel O; Sachdeva A
8,"Pritchett MA, Bhadra K, Calcutt M, Folch E. Virtual or reality: divergence between preprocedural computed tomography scans and lung anatomy during guided bronchoscopy. J Thorac Dis. 2020;12.",Virtual or reality: divergence between preprocedural computed tomography scans and lung anatomy during guided bronchoscopy,J Thorac Dis,2020,12,,,,,Pritchett MA; Bhadra K; Calcutt M; Folch E
9,"Prunaretty J, Boisselier P, Aill Eres N. Tracking, gating, free-breathing, which technique to use for lung stereotactic treatments? A dosimetric comparison. Rep Pract Oncol Radiother. 2019;24.","Tracking, gating, free-breathing, which technique to use for lung stereotactic treatments? A dosimetric comparison",Rep Pract Oncol Radiother,2019,24,,,,,Prunaretty J; Boisselier P; Aill Eres N
10,"Brandner ED, Chetty IJ, Giaddui TG. Motion management strategies and technical issues associated with stereotactic body radiotherapy of thoracic and upper abdominal tumors: a review from NRG oncology. Med Phys. 2017;44.",Motion management strategies and technical issues associated with stereotactic body radiotherapy of thoracic and upper abdominal tumors: a review from NRG oncology,Med Phys,2017,44,,,,,Brandner ED; Chetty IJ; Giaddui TG
11,"Dhont J, Harden SV, Chee L. Image-guided radiotherapy to manage respiratory motion: lung and liver. Clin Oncol (R Coll Radiol). 2020;32.",Image-guided radiotherapy to manage respiratory motion: lung and liver,Clin Oncol (R Coll Radiol),2020,32,,,,,Dhont J; Harden SV; Chee L
