#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Detterbeck FC, Boffa DJ, Kim AW, Tanoue LT. The Eighth Edition Lung Cancer Stage Classification. Chest. 2017;151.",The Eighth Edition Lung Cancer Stage Classification,Chest,2017,151,,,,,Detterbeck FC; Boffa DJ; Kim AW; Tanoue LT
2,"Gould MK, Tang T, Liu IL et al.. Recent trends in the identification of incidental pulmonary nodules. Am. J. Respir. Crit. Care Med. 2015;192.",Recent trends in the identification of incidental pulmonary nodules,Am. J. Respir. Crit. Care Med,2015,192,,,,,Gould MK; Tang T; Liu IL; Lee J; Zheng C; Danforth KN; Kosco AE; Fiore D; Suh JL; DE
3,"Aberle DR, Adams AM, Berg CD et al.. Reduced lung-cancer mortality with low-dose computed tomographic screening. N. Engl. J. Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N. Engl. J. Med,2011,365,,,,,Aberle DR; Adams AM; Berg CD; Black WC; Clapp JD; Fagerstrom RM; Gareen IF; Gatsonis C; Marcus PM; Sicks JD
4,"Koning D, H, Der Aalst V et al.. PL02.05 Effects of volume CT lung cancer screening: Mortality results of the NELSON randomised-controlled population based trial. J Thorac. Oncol. 2018;13:185.",PL02.05 Effects of volume CT lung cancer screening: Mortality results of the NELSON randomised-controlled population based trial,J Thorac. Oncol,2018,13,,185,,,Koning D; H; Der Aalst V; C; Haaf T; Oudkerk K; M
5,"Gould MK, Donington J, Lynch WR et al.. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Gould MK; Donington J; Lynch WR; Mazzone PJ; Midthun DE; Naidich DP; Wiener RS
6,"Gex G, Pralong JA, Combescure C, Seijo L, Rochat T, Soccal PM. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis. Respiration. 2014;87.",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis,Respiration,2014,87,,,,,Gex G; Pralong JA; Combescure C; Seijo L; Rochat T; Soccal PM
7,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
8,"Folch EE, Pritchett MA, Nead MA et al.. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAV-IGATE study. J. Thorac. Oncol. 2019;14.","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAV-IGATE study",J. Thorac. Oncol,2019,14,,,,,Folch EE; Pritchett MA; Nead MA; Bowling MR; Murgu SD; Krimsky WS; Murillo BA; Lemense GP; Minnich DJ; Bansal S
9,"Ost DE, Ernst A, Lei X et al.. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE Registry. Am. J. Respir. Crit. Care Med. 2016;193.",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE Registry,Am. J. Respir. Crit. Care Med,2016,193,,,,,Ost DE; Ernst A; Lei X; Kovitz KL; Benzaquen S; Diaz-Mendoza J; Greenhill S; Toth J; Feller-Kopman D; Puchalski J
10,"Tanner NT, Yarmus L, CA et al.. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial. Chest. 2018;154.","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial",Chest,2018,154,,,,,Tanner NT; Yarmus L; CA; Memoli W; Mehta J; Pastis HJ; Lee NJ; Jantz H; Nietert MA; Silvestri PJ; GA
