#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Semaan R, Yarmus L. Rigid bronchoscopy and silicone stents in the management of central airway obstruction. J Thorac Dis. 2015;7(Suppl 4).",Rigid bronchoscopy and silicone stents in the management of central airway obstruction,J Thorac Dis,2015,7,Suppl 4,,,,Semaan R; Yarmus L
2,Gorden JA. Rigid Bronchoscopy. Principles and Practice of Interventional Pulmonology. 2013;None.,Rigid Bronchoscopy,Principles and Practice of Interventional Pulmonology,2013,,,,,,Gorden JA
3,Hd B. History of the Rigid Bronchoscope. Principles and Practice of Interventional Pulmonology. 2013;None.,History of the Rigid Bronchoscope,Principles and Practice of Interventional Pulmonology,2013,,,,,,Hd B
4,"Alraiyes AH, Machuzak MS. Rigid bronchoscopy. Semin Respir Crit Care Med. 2014;35(6).",Rigid bronchoscopy,Semin Respir Crit Care Med,2014,35,6,,,,Alraiyes AH; Machuzak MS
5,"Bryce D. The American Laryngological Association, 1878-1978. The American Laryngological Association, 1878-1978. 1978;None.","The American Laryngological Association, 1878-1978","The American Laryngological Association, 1878-1978",1978,,,,,,Bryce D
6,KO. Entfernung eines Knochenstücks aus dem rechten Bronchus auf natürlichem Wege und unter Anwendung der directen Laryngoskopie. Münchener Medicinische Wochenschrift. 1897;38.,Entfernung eines Knochenstücks aus dem rechten Bronchus auf natürlichem Wege und unter Anwendung der directen Laryngoskopie,Münchener Medicinische Wochenschrift,1897,,38,,,,KO
7,G. Ueber direkte Bronchoskopie. Muench Med Wochen. 1898;27.,Ueber direkte Bronchoskopie,Muench Med Wochen,1898,27,,,,,G
8,"Ayers ML, Beamis JF. Rigid bronchoscopy in the twenty-first century. Clin Chest Med. 2001;22(2).",Rigid bronchoscopy in the twenty-first century,Clin Chest Med,2001,22,2,,,,Ayers ML; Beamis JF
9,Beamis JF. Interventional pulmonology techniques for treating malignant large airway obstruction: an update. Curr Opin Pulm Med. 2005;11(4).,Interventional pulmonology techniques for treating malignant large airway obstruction: an update,Curr Opin Pulm Med,2005,11,4,,,,Beamis JF
10,"The CJ. Life of Chevalier Jackson, An Autobiography. Life of Chevalier Jackson, An Autobiography. 1938;None.","Life of Chevalier Jackson, An Autobiography","Life of Chevalier Jackson, An Autobiography",1938,,,,,,The CJ
11,Alberti PW. The history of laryngology: a centennial celebration. Otolaryngol Head Neck Surg. 1996;114(3).,The history of laryngology: a centennial celebration,Otolaryngol Head Neck Surg,1996,114,3,,,,Alberti PW
12,Bolliger CT. Interventional bronchoscopy. Praxis. 1994;83(49).,Interventional bronchoscopy,Praxis,1994,83,49,,,,Bolliger CT
13,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17(1).",Flexible bronchofiberscope,Keio J Med,1968,17,1,,,,Ikeda S; Yanai N; Ishikawa S
14,"Prakash UB, Offord KP, Stubbs SE. Bronchoscopy in North America: the ACCP survey. Chest. 1991;100(6).",Bronchoscopy in North America: the ACCP survey,Chest,1991,100,6,,,,Prakash UB; Offord KP; Stubbs SE
15,"Colt HG, Prakash U, Offord KP. Bronchoscopy in North America: survey by the American Association for Bronchology. J Bronchology Interv Pulmonol. 1999;7(1).",Bronchoscopy in North America: survey by the American Association for Bronchology,J Bronchology Interv Pulmonol,1999,7,1,,,,Colt HG; Prakash U; Offord KP
16,"Wahidi MM, Herth FJ, Ernst A. State of the art: interventional pulmonology. Chest. 2007;131(1).",State of the art: interventional pulmonology,Chest,2007,131,1,,,,Wahidi MM; Herth FJ; Ernst A
17,"Helmers RA, Sanderson DR. Rigid bronchoscopy. The forgotten art. Clinics Chest Med. 1995;16(3).",Rigid bronchoscopy. The forgotten art,Clinics Chest Med,1995,16,3,,,,Helmers RA; Sanderson DR
