#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Roberts ME, Neville E, Berrisford RG et al.. Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010. Am J Respir Crit Care Med. 2000;65.",Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010,Am J Respir Crit Care Med,2000,65,,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali N; Bts P; Disease G; Group
2,"Antony VB, Loddenkemper R, Astoul P, Boutin C, Goldstraw P, Hott J. Management of malignant pleural effusions. Eur Respir J. 2001;18.",Management of malignant pleural effusions,Eur Respir J,2001,18,,,,,Antony VB; Loddenkemper R; Astoul P; Boutin C; Goldstraw P; Hott J
3,"Dresler CM, Olak J, Herndon JE et al.. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127.",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,,,,,Dresler CM; Olak J; Herndon JE; Ii; Richards WG; Scalzetti E; Fleishman SB
4,"Rahman NM, Rehal J, Saba S, Tang T, Ali A, N. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314.",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,,,,,Rahman NM; Rehal J; Saba S; Tang T; Ali A; N
5,"Feller-Kopman DJ, Reddy CB, Decamp MM, Diekemper RL, Gould MK, Henry T. Management of malignant pleural effusions: an official American Thoracic Society/Society of Thoracic Surgeons/Society of Thoracic Radiology clinical practice guideline. Am J Respir Crit Care Med. 2018;198.",Management of malignant pleural effusions: an official American Thoracic Society/Society of Thoracic Surgeons/Society of Thoracic Radiology clinical practice guideline,Am J Respir Crit Care Med,2018,198,,,,,Feller-Kopman DJ; Reddy CB; Decamp MM; Diekemper RL; Gould MK; Henry T
6,"Higgins J, Green S. Cochrane handbook for systematic reviews of interventions, version 5.1.0. Cochrane handbook for systematic reviews of interventions, version 5.1.0. 2011;None.","Cochrane handbook for systematic reviews of interventions, version 5.1.0","Cochrane handbook for systematic reviews of interventions, version 5.1.0",2011,,,,,,Higgins J; Green S
7,"Moher D, Liberati A, Tetzlaff J, Altman D, Group. Preferred Reporting Items for Systematic Reviews and Meta-Analyses: the PRISMA statement. J Clin Epidemiol. 2009;62.",Preferred Reporting Items for Systematic Reviews and Meta-Analyses: the PRISMA statement,J Clin Epidemiol,2009,62,,,,,Moher D; Liberati A; Tetzlaff J; Altman D; Group
8,"Boshuizen RC, Van Der Noort V, Burgers JA, Herder G, Hashemi S, Hiltermann T. A randomized controlled trial comparing indwelling pleural catheters with talc pleurodesis (NVALT-14). Lung Cancer. 2017;108.",A randomized controlled trial comparing indwelling pleural catheters with talc pleurodesis (NVALT-14),Lung Cancer,2017,108,,,,,Boshuizen RC; Van Der Noort V; Burgers JA; Herder G; Hashemi S; Hiltermann T
9,"Demmy TL, Gu L, Burkhalter JE et al.. Optimal management of malignant pleural effusions (results of CALGB 30102). J Natl Compr Canc Netw. 2012;10.",Optimal management of malignant pleural effusions (results of CALGB 30102),J Natl Compr Canc Netw,2012,10,,,,,Demmy TL; Gu L; Burkhalter JE; Toloza EM; 'amico D; Sutherland TA; S
10,"Davies HE, Mishra EK, Kahan BC, Wrightson JM, Stanton AE, Guhan A. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC; Wrightson JM; Stanton AE; Guhan A
11,"Putnam JB, Light RW, Rodriguez RM, Ponn R, Olak J, Pollak JS. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86.",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,,,,,Putnam JB; Light RW; Rodriguez RM; Ponn R; Olak J; Pollak JS
12,"Thomas R, Fysh E, Smith NA, Lee P, Kwan B, Yap E. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318.",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,,,,,Thomas R; Fysh E; Smith NA; Lee P; Kwan B; Yap E
13,"Freeman RK, Ascioti AJ, Mahidhara RS. A propensity-matched comparison of pleurodesis or tunneled pleural catheter in patients undergoing diagnostic thoracoscopy for malignancy. Ann Thorac Surg. 2013;96.",A propensity-matched comparison of pleurodesis or tunneled pleural catheter in patients undergoing diagnostic thoracoscopy for malignancy,Ann Thorac Surg,2013,96,,,,,Freeman RK; Ascioti AJ; Mahidhara RS
14,"Hunt BM, Farivar AS, Valli Ères E, Louie BE, Aye RW, Flores EE. Thoracoscopic talc versus tunneled pleural catheters for palliation of malignant pleural effusions. Ann Thorac Surg. 2012;94.",Thoracoscopic talc versus tunneled pleural catheters for palliation of malignant pleural effusions,Ann Thorac Surg,2012,94,,,,,Hunt BM; Farivar AS; Valli Ères E; Louie BE; Aye RW; Flores EE
15,"Putnam JB, Walsh GL, Swisher SG, Roth JA, Suell DM, Vaporciyan AA. Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter. Ann Thorac Surg. 2000;69.",Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter,Ann Thorac Surg,2000,69,,,,,Putnam JB; Walsh GL; Swisher SG; Roth JA; Suell DM; Vaporciyan AA
16,"Srour N, Amjadi K, Forster A, Aaron S. Management of malignant pleural effusions with indwelling pleural catheters or talc pleurodesis. Can Respir J. 2013;20.",Management of malignant pleural effusions with indwelling pleural catheters or talc pleurodesis,Can Respir J,2013,20,,,,,Srour N; Amjadi K; Forster A; Aaron S
17,"Fysh E, Waterer GW, Kendall PA, Bremner PR, Dina S, Geelhoed E. Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion. Chest. 2012;142.",Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion,Chest,2012,142,,,,,Fysh E; Waterer GW; Kendall PA; Bremner PR; Dina S; Geelhoed E
18,"Clive AO, Jones HE, Bhatnagar R, Preston NJ, Maskell N. Interventions for the management of malignant pleural effusions: a network meta-analysis. Cochrane Database Syst Rev. 2016;5:10529.",Interventions for the management of malignant pleural effusions: a network meta-analysis,Cochrane Database Syst Rev,2016,5,,10529,,,Clive AO; Jones HE; Bhatnagar R; Preston NJ; Maskell N
19,"Shuster JJ, Guo JD, Skyler JS. Meta-analysis of safety for low event-rate binomial trials. Res Synth Methods. 2012;3.",Meta-analysis of safety for low event-rate binomial trials,Res Synth Methods,2012,3,,,,,Shuster JJ; Guo JD; Skyler JS
