#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gagnon S, Quigley N, Dutau H. Approach to hemoptysis in the modern era. Can Respir J. 2017;2017:1565030.",Approach to hemoptysis in the modern era,Can Respir J,2017,2017,,1565030,,,Gagnon S; Quigley N; Dutau H
2,"Ng W, Jerath A, Wasowicz M. Tranexamic acid: a clinical review. Anaesthesiol Intensive Ther. 2015;47(4).",Tranexamic acid: a clinical review,Anaesthesiol Intensive Ther,2015,47,4,,,,Ng W; Jerath A; Wasowicz M
3,Mccormack PL. Tranexamic acid: a review of its use in the treatment of hyperfibrinolysis. Drugs. 2012;72(5).,Tranexamic acid: a review of its use in the treatment of hyperfibrinolysis,Drugs,2012,72,5,,,,Mccormack PL
4,"Montroy J, Hutton B, Moodley P. The efficacy and safety of topical tranexamic acid: a systematic review and meta-analysis. Transfus Med Rev. 2018;None. doi:10.1016/j.tmrv.2018.02.003.",The efficacy and safety of topical tranexamic acid: a systematic review and meta-analysis,Transfus Med Rev,2018,,,,10.1016/j.tmrv.2018.02.003,,Montroy J; Hutton B; Moodley P
5,"Hirshberg B, Biran I, Glazer M. Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital. Chest. 1997;112(2).","Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital",Chest,1997,112,2,,,,Hirshberg B; Biran I; Glazer M
6,"Tsoumakidou M, Chrysofakis G, Tsiligianni I. A prospective analysis of 184 hemoptysis cases: diagnostic impact of chest X-ray, computed tomography, bronchoscopy. Respiration. 2006;73(6).","A prospective analysis of 184 hemoptysis cases: diagnostic impact of chest X-ray, computed tomography, bronchoscopy",Respiration,2006,73,6,,,,Tsoumakidou M; Chrysofakis G; Tsiligianni I
7,"Abdulmalak C, Cottenet J, Beltramo G. Haemoptysis in adults: a 5-year study using the French nationwide hospital administrative database. Eur Respir J. 2015;46(2).",Haemoptysis in adults: a 5-year study using the French nationwide hospital administrative database,Eur Respir J,2015,46,2,,,,Abdulmalak C; Cottenet J; Beltramo G
8,"Ittrich H, Bockhorn M, Klose H. The diagnosis and treatment of hemoptysis. Dtsch Arztebl Int. 2017;114(21).",The diagnosis and treatment of hemoptysis,Dtsch Arztebl Int,2017,114,21,,,,Ittrich H; Bockhorn M; Klose H
9,"Tscheikuna J, Chvaychoo B, Naruman C. Tranexamic acid in patients with hemoptysis. J Med Assoc Thai. 2002;85(4).",Tranexamic acid in patients with hemoptysis,J Med Assoc Thai,2002,85,4,,,,Tscheikuna J; Chvaychoo B; Naruman C
10,"Prutsky G, Domecq JP, Salazar CA. Antifibrinolytic therapy to reduce haemoptysis from any cause. Cochrane Database Syst Rev. 2016;11:8711.",Antifibrinolytic therapy to reduce haemoptysis from any cause,Cochrane Database Syst Rev,2016,11,,8711,,,Prutsky G; Domecq JP; Salazar CA
11,"Ruiz W, Acido. Tranexamico vs Placebo en Hemoptisis por TBC Pulmonar: Estudio Pilato Double Ciego. Tranexamico vs Placebo en Hemoptisis por TBC Pulmonar: Estudio Pilato Double Ciego. 1994;None.",Tranexamico vs Placebo en Hemoptisis por TBC Pulmonar: Estudio Pilato Double Ciego,Tranexamico vs Placebo en Hemoptisis por TBC Pulmonar: Estudio Pilato Double Ciego,1994,,,,,,Ruiz W; Acido
12,"Moen CA, Burrell A, Dunning J. Does tranexamic acid stop haemoptysis?. Interact Cardiovasc Thorac Surg. 2013;17(6).",Does tranexamic acid stop haemoptysis?,Interact Cardiovasc Thorac Surg,2013,17,6,,,,Moen CA; Burrell A; Dunning J
13,"Bellam BL, Dhibar DP, Suri V. Efficacy of tranexamic acid in haemoptysis: a randomized, controlled pilot study. Pulm Pharmacol Ther. 2016;40.","Efficacy of tranexamic acid in haemoptysis: a randomized, controlled pilot study",Pulm Pharmacol Ther,2016,40,,,,,Bellam BL; Dhibar DP; Suri V
