#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"F, Killian G. father of bronchoscopy. Arch Otolaryngol. 1965;82.",father of bronchoscopy,Arch Otolaryngol,1965,82,,,,,F; Killian G
2,"Lerner AD, Feller-Kopman D. Is bronchoscopic treatment of lung cancer possible?. Expert Rev Respir Med. 2019;13.",Is bronchoscopic treatment of lung cancer possible?,Expert Rev Respir Med,2019,13,,,,,Lerner AD; Feller-Kopman D
3,"Herth FJ, Ernst A, Becker HD. Endobronchial ultrasound-guided transbronchial lung biopsy in solitary pulmonary nodules and peripheral lesions. Eur Respir J. 2002;20.",Endobronchial ultrasound-guided transbronchial lung biopsy in solitary pulmonary nodules and peripheral lesions,Eur Respir J,2002,20,,,,,Herth FJ; Ernst A; Becker HD
4,"Steinfort DP, Khor YH, Manser RL, Irving LB. Radial probe endobronchial ultrasound for the diagnosis of peripheral lung cancer: systematic review and meta-analysis. Eur Respir J. 2011;37.",Radial probe endobronchial ultrasound for the diagnosis of peripheral lung cancer: systematic review and meta-analysis,Eur Respir J,2011,37,,,,,Steinfort DP; Khor YH; Manser RL; Irving LB
5,"Tanner NT, Yarmus L, CA et al.. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial. Chest. 2018;154.","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial",Chest,2018,154,,,,,Tanner NT; Yarmus L; CA; Memoli W; Mehta J; Pastis HJ; NJ
6,"Eberhardt R, Anantham D, Ernst A, Feller-Kopman D, Herth F. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176.",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,,,,,Eberhardt R; Anantham D; Ernst A; Feller-Kopman D; Herth F
7,"Steinfort DP, Bonney A, See K, Irving LB. Sequential multimodality bronchoscopic investigation of peripheral pulmonary lesions. Eur Respir J. 2016;47.",Sequential multimodality bronchoscopic investigation of peripheral pulmonary lesions,Eur Respir J,2016,47,,,,,Steinfort DP; Bonney A; See K; Irving LB
8,"Schuhmann M, Eberhardt R, Herth FJ. Endobronchial ultrasound for peripheral lesions: a review. Endosc Ultrasound. 2013;2.",Endobronchial ultrasound for peripheral lesions: a review,Endosc Ultrasound,2013,2,,,,,Schuhmann M; Eberhardt R; Herth FJ
9,"Schwarz Y, Mehta AC, Ernst A, Herth F, Engel A, Besser D. Electromagnetic navigation during flexible bronchoscopy. Respiration. 2003;70.",Electromagnetic navigation during flexible bronchoscopy,Respiration,2003,70,,,,,Schwarz Y; Mehta AC; Ernst A; Herth F; Engel A; Besser D
10,"Gex G, Pralong JA, Combescure C, Seijo L, Rochat T, Soccal PM. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and metaanalysis. Respiration. 2014;87.",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and metaanalysis,Respiration,2014,87,,,,,Gex G; Pralong JA; Combescure C; Seijo L; Rochat T; Soccal PM
11,"Zhang W, Chen S, Dong X, Lei P. Meta-analysis of the diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules. J Thorac Dis. 2015;7.",Meta-analysis of the diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules,J Thorac Dis,2015,7,,,,,Zhang W; Chen S; Dong X; Lei P
12,Seijo LM. Electromagnetic navigation bronchoscopy: clinical utility in the diagnosis of lung cancer. Lung Cancer (Auckl). 2016;7.,Electromagnetic navigation bronchoscopy: clinical utility in the diagnosis of lung cancer,Lung Cancer (Auckl),2016,7,,,,,Seijo LM
