#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: Guidelines from the american college of chest physicians. Chest. 2003;123(5).",Interventional pulmonary procedures: Guidelines from the american college of chest physicians,Chest,2003,123,5,,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
2,"Lamb CR, Feller-Kopman D, Ernst A. An approach to interventional pulmonary fellowship training. Chest. 2010;137(1).",An approach to interventional pulmonary fellowship training,Chest,2010,137,1,,,,Lamb CR; Feller-Kopman D; Ernst A
3,"Esteban A, Anzueto A, Alía I. How is mechanical ventilation employed in the intensive care unit? An international utilization review. Am J Respir Crit Care Med. 2000;161(5).",How is mechanical ventilation employed in the intensive care unit? An international utilization review,Am J Respir Crit Care Med,2000,161,5,,,,Esteban A; Anzueto A; Alía I
4,"Fischler L, Erhart S, Kleger GR, Frutiger A. Prevalence of tracheostomy in ICU patients. A nation-wide survey in Switzerland. Intensive Care Med. 2000;26(10).",Prevalence of tracheostomy in ICU patients. A nation-wide survey in Switzerland,Intensive Care Med,2000,26,10,,,,Fischler L; Erhart S; Kleger GR; Frutiger A
5,"Frutos-Vivar F, Apezteguía EA, C. International Mechanical Ventilation Study Group. Outcome of mechanically ventilated patients who require a tracheostomy. Crit Care Med. 2005;33(2).",International Mechanical Ventilation Study Group. Outcome of mechanically ventilated patients who require a tracheostomy,Crit Care Med,2005,33,2,,,,Frutos-Vivar F; Apezteguía EA; C
6,"Yarmus L, Gilbert C, Lechtzin N, Imad M, Ernst A, Feller-Kopman D. Safety and feasibility of interventional pulmonologists performing bedside percutaneous endoscopic gastrostomy tube placement. Chest. 2013;144(2).",Safety and feasibility of interventional pulmonologists performing bedside percutaneous endoscopic gastrostomy tube placement,Chest,2013,144,2,,,,Yarmus L; Gilbert C; Lechtzin N; Imad M; Ernst A; Feller-Kopman D
7,"Shelden CH, Pudenz RH, Freshwater DB, Crue BL. A new method for tracheotomy. J Neurosurg. 1955;12(4).",A new method for tracheotomy,J Neurosurg,1955,12,4,,,,Shelden CH; Pudenz RH; Freshwater DB; Crue BL
8,Smith VM. Perforation of trachea during tracheotomy performed with Sheldon tracheotome. J Am Med Assoc. 1957;165(16).,Perforation of trachea during tracheotomy performed with Sheldon tracheotome,J Am Med Assoc,1957,165,16,,,,Smith VM
9,Hamilton RD. Fatal hemorrhage during tracheotomy. Report of a case and use of Shelden tracheotome. JAMA. 1960;174.,Fatal hemorrhage during tracheotomy. Report of a case and use of Shelden tracheotome,JAMA,1960,174,,,,,Hamilton RD
10,"Toy FJ, Weinstein JD. A percutaneous tracheostomy device. Surgery. 1969;65(2).",A percutaneous tracheostomy device,Surgery,1969,65,2,,,,Toy FJ; Weinstein JD
11,"Ciaglia P, Firsching R, Syniec C. Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report. Chest. 1985;87(6).",Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report,Chest,1985,87,6,,,,Ciaglia P; Firsching R; Syniec C
12,"Freeman BD, Lin IK, Buchman N, TG. A meta-analysis of prospective trials comparing percutaneous and surgical tracheostomy in critically ill patients. Chest. 2000;118(5).",A meta-analysis of prospective trials comparing percutaneous and surgical tracheostomy in critically ill patients,Chest,2000,118,5,,,,Freeman BD; Lin IK; Buchman N; TG
13,"Delaney A, Bagshaw SM, Nalos M. Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis. Crit Care. 2006;10(2):R55.",Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis,Crit Care,2006,10,2,R55,,,Delaney A; Bagshaw SM; Nalos M
14,"Higgins KM, Punthakee X. Meta-analysis comparison of open versus percutaneous tracheostomy. Laryngoscope. 2007;117(3).",Meta-analysis comparison of open versus percutaneous tracheostomy,Laryngoscope,2007,117,3,,,,Higgins KM; Punthakee X
15,"Dulguerov P, Gysin C, Perneger TV, Chevrolet JC. Percutaneous or surgical tracheostomy: a meta-analysis. Crit Care Med. 1999;27(8).",Percutaneous or surgical tracheostomy: a meta-analysis,Crit Care Med,1999,27,8,,,,Dulguerov P; Gysin C; Perneger TV; Chevrolet JC
16,"Freeman BD, Cobb IK, JP. A prospective, randomized study comparing percutaneous with surgical tracheostomy in critically ill patients. Crit Care Med. 2001;29(5).","A prospective, randomized study comparing percutaneous with surgical tracheostomy in critically ill patients",Crit Care Med,2001,29,5,,,,Freeman BD; Cobb IK; JP
17,"Cobean R, Beals M, Moss C, Bredenberg CE. Percutaneous dilatational tracheostomy. A safe, cost-effective bedside procedure. Arch Surg. 1996;131(3).","Percutaneous dilatational tracheostomy. A safe, cost-effective bedside procedure",Arch Surg,1996,131,3,,,,Cobean R; Beals M; Moss C; Bredenberg CE
18,Petros S. Percutaneous tracheostomy. Crit Care. 1999;3(2).,Percutaneous tracheostomy,Crit Care,1999,3,2,,,,Petros S
19,"Byhahn C, Wilke HJ, Halbig S, Lischke V, Westphal K. Percutaneous tracheostomy: ciaglia blue rhino versus the basic ciaglia technique of percutaneous dilational tracheostomy. Anesth Analg. 2000;91(4).",Percutaneous tracheostomy: ciaglia blue rhino versus the basic ciaglia technique of percutaneous dilational tracheostomy,Anesth Analg,2000,91,4,,,,Byhahn C; Wilke HJ; Halbig S; Lischke V; Westphal K
20,"Johnson JL, Cheatham ML, Sagraves SG, Block EF, Nelson LD. Percutaneous dilational tracheostomy: a comparison of single-versus multiple-dilator techniques. Crit Care Med. 2001;29(6).",Percutaneous dilational tracheostomy: a comparison of single-versus multiple-dilator techniques,Crit Care Med,2001,29,6,,,,Johnson JL; Cheatham ML; Sagraves SG; Block EF; Nelson LD
21,Kost KM. Endoscopic percutaneous dilatational tracheotomy: a prospective evaluation of 500 consecutive cases. Laryngoscope. 2005;115(10 Pt 2).,Endoscopic percutaneous dilatational tracheotomy: a prospective evaluation of 500 consecutive cases,Laryngoscope,2005,115,10 Pt 2,,,,Kost KM
22,"Cianchi G, Zagli G, Bonizzoli M. Comparison between singlestep and balloon dilatational tracheostomy in intensive care unit: a single-centre, randomized controlled study. Br J Anaesth. 2010;104(6).","Comparison between singlestep and balloon dilatational tracheostomy in intensive care unit: a single-centre, randomized controlled study",Br J Anaesth,2010,104,6,,,,Cianchi G; Zagli G; Bonizzoli M
23,"Añón JM, Gómez V, Escuela MP. Percutaneous tracheostomy: comparison of Ciaglia and Griggs techniques. Crit Care. 2000;4(2).",Percutaneous tracheostomy: comparison of Ciaglia and Griggs techniques,Crit Care,2000,4,2,,,,Añón JM; Gómez V; Escuela MP
24,"Kaiser E, Cantais E, Goutorbe P, Salinier L, Palmier B. Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy. Anaesth Intensive Care. 2006;34(1).",Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy,Anaesth Intensive Care,2006,34,1,,,,Kaiser E; Cantais E; Goutorbe P; Salinier L; Palmier B
25,"Griggs WM, Worthley LI, Gilligan JE, Thomas PD, Myburg JA. A simple percutaneous tracheostomy technique. Seminars in Respiratory and Critical Care Medicine. 1990;170(6).",A simple percutaneous tracheostomy technique,Seminars in Respiratory and Critical Care Medicine,1990,170,6,,,,Griggs WM; Worthley LI; Gilligan JE; Thomas PD; Myburg JA
26,"Ambesh SP, Pandey CK, Srivastava S, Agarwal A, Singh DK. Percutaneous tracheostomy with single dilatation technique: a prospective, randomized comparison of Ciaglia blue rhino versus Griggs' guidewire dilating forceps. Anesth Analg. 2002;95(6).","Percutaneous tracheostomy with single dilatation technique: a prospective, randomized comparison of Ciaglia blue rhino versus Griggs' guidewire dilating forceps",Anesth Analg,2002,95,6,,,,Ambesh SP; Pandey CK; Srivastava S; Agarwal A; Singh DK
27,"Añón JM, Escuela MP, Gómez V. Percutaneous tracheostomy: Ciaglia blue rhino versus griggs' guide wire dilating forceps. A prospective randomized trial. Acta Anaesthesiol Scand. 2004;48(4).",Percutaneous tracheostomy: Ciaglia blue rhino versus griggs' guide wire dilating forceps. A prospective randomized trial,Acta Anaesthesiol Scand,2004,48,4,,,,Añón JM; Escuela MP; Gómez V
28,"Fikkers BG, Staatsen M, Van Den Hoogen FJ, Der Hoeven V, JG. Early and late outcome after single step dilatational tracheostomy versus the guide wire dilating forceps technique: a prospective randomized clinical trial. Intensive Care Med. 2011;37(7).",Early and late outcome after single step dilatational tracheostomy versus the guide wire dilating forceps technique: a prospective randomized clinical trial,Intensive Care Med,2011,37,7,,,,Fikkers BG; Staatsen M; Van Den Hoogen FJ; Der Hoeven V; JG
29,"Karvandian K, Yousefian M, Khan ZH, Baigmohammadi T, Shabani S. Comparative clinical trial between Ciaglia and Griggs techniques during tracheostomy performed in patients admitted to intensive care unit. Acta Med Iran. 2012;50(8).",Comparative clinical trial between Ciaglia and Griggs techniques during tracheostomy performed in patients admitted to intensive care unit,Acta Med Iran,2012,50,8,,,,Karvandian K; Yousefian M; Khan ZH; Baigmohammadi T; Shabani S
30,"Kumar M, Trikha A, Chandralekha. Percutaneous dilatational tracheostomy: Griggs guide wire dilating forceps technique versus ULTRA-perc single-stage dilator -A prospective randomized study. Indian J Crit Care Med. 2012;16(2).",Percutaneous dilatational tracheostomy: Griggs guide wire dilating forceps technique versus ULTRA-perc single-stage dilator -A prospective randomized study,Indian J Crit Care Med,2012,16,2,,,,Kumar M; Trikha A; Chandralekha
31,"Cabrini L, Landoni G, Greco M. Single dilator vs. guide wire dilating forceps tracheostomy: a meta-analysis of randomised trials. Acta Anaesthesiol Scand. 2014;58(2).",Single dilator vs. guide wire dilating forceps tracheostomy: a meta-analysis of randomised trials,Acta Anaesthesiol Scand,2014,58,2,,,,Cabrini L; Landoni G; Greco M
32,"Schachner A, Ovil Y, Sidi J, Rogev M, Heilbronn Y, Levy MJ. Percutaneous tracheostomy-a new method. Crit Care Med. 1989;17(10).",Percutaneous tracheostomy-a new method,Crit Care Med,1989,17,10,,,,Schachner A; Ovil Y; Sidi J; Rogev M; Heilbronn Y; Levy MJ
