#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Light RW, Girard WM, Jenkinson SG, George RB. Parapneumonic effusions. Am J Med. 1980;69.",Parapneumonic effusions,Am J Med,1980,69,,,,,Light RW; Girard WM; Jenkinson SG; George RB
2,"Desrumaux A, François P, Pascal C. Epidemiology and clinical characteristics of childhood parapneumonic empyemas. Arch Pediatr. 2007;14.",Epidemiology and clinical characteristics of childhood parapneumonic empyemas,Arch Pediatr,2007,14,,,,,Desrumaux A; François P; Pascal C
3,"Roxburgh CS, Youngson GG. Childhood empyema in North-East Scotland over the past 15 years. Scott Med J. 2007;52.",Childhood empyema in North-East Scotland over the past 15 years,Scott Med J,2007,52,,,,,Roxburgh CS; Youngson GG
4,"Muñoz-Almagro C, JI, Latorre GA, Garcia-Garcia C, Pallares JJ, R. Emergence of invasive pneumococcal disease caused by nonvaccine serotypes in the era of 7-valent conjugate vaccine. Clin Infect Dis. 2008;46.",Emergence of invasive pneumococcal disease caused by nonvaccine serotypes in the era of 7-valent conjugate vaccine,Clin Infect Dis,2008,46,,,,,Muñoz-Almagro C; JI; Latorre GA; Garcia-Garcia C; Pallares JJ; R
5,"Farjah F, Symons RG, Krishnadasan B, Wood DE, Flum DR. Management of pleural space infections: a population-based analysis. J Thorac Cardiovasc Surg. 2007;133.",Management of pleural space infections: a population-based analysis,J Thorac Cardiovasc Surg,2007,133,,,,,Farjah F; Symons RG; Krishnadasan B; Wood DE; Flum DR
6,"Finley C, Clifton J, Fitzgerald JM, Yee J. Empyema: an increasing concern in Canada. Can Respir J. 2008;15.",Empyema: an increasing concern in Canada,Can Respir J,2008,15,,,,,Finley C; Clifton J; Fitzgerald JM; Yee J
7,"Ferguson AD, Prescott RJ, Selkon JB, Watson D, Swinburn CR. The clinical course and management of thoracic empyema. QJM. 1996;89.",The clinical course and management of thoracic empyema,QJM,1996,89,,,,,Ferguson AD; Prescott RJ; Selkon JB; Watson D; Swinburn CR
8,"Davies CW, Kearney SE, Gleeson FV, Davies RJ. Predictors of outcome and long-term survival in patients with pleural infection. Am J Respir Crit Care Med. 1999;160.",Predictors of outcome and long-term survival in patients with pleural infection,Am J Respir Crit Care Med,1999,160,,,,,Davies CW; Kearney SE; Gleeson FV; Davies RJ
9,"Maskell NA, Davies C, Nunn AJ. controlled trial of intrapleural streptokinase for pleural infection. N Engl J Med. 2005;352:2146.",controlled trial of intrapleural streptokinase for pleural infection,N Engl J Med,2005,352,,2146,,,Maskell NA; Davies C; Nunn AJ
10,"Sonnappa S, Cohen G, Owens CM. Comparison of urokinase and video-assisted thoracoscopic surgery for treatment of childhood empyema. Am J Respir Crit Care Med. 2006;174.",Comparison of urokinase and video-assisted thoracoscopic surgery for treatment of childhood empyema,Am J Respir Crit Care Med,2006,174,,,,,Sonnappa S; Cohen G; Owens CM
11,"Netten A, Dennett J, Knight J. Unit costs of health and social care. Unit costs of health and social care. 1999;None.",Unit costs of health and social care,Unit costs of health and social care,1999,,,,,,Netten A; Dennett J; Knight J
12,"Davies RJ, Traill ZC, Gleeson FV. Randomised controlled trial of intrapleural streptokinase in community acquired pleural infection. Thorax. 1997;52.",Randomised controlled trial of intrapleural streptokinase in community acquired pleural infection,Thorax,1997,52,,,,,Davies RJ; Traill ZC; Gleeson FV
13,"Bouros D, Schiza S, Tzanakis N, Chalkiadakis G, Drositis J, Siafakas N. Intrapleural urokinase versus normal saline in the treatment of complicated parapneumonic effusions and empyema: a randomized, double-blind study. Am J Respir Crit Care Med. 1999;159.","Intrapleural urokinase versus normal saline in the treatment of complicated parapneumonic effusions and empyema: a randomized, double-blind study",Am J Respir Crit Care Med,1999,159,,,,,Bouros D; Schiza S; Tzanakis N; Chalkiadakis G; Drositis J; Siafakas N
14,"Tuncozgur B, Ustunsoy H, Sivrikoz MC. Intrapleural urokinase in the management of parapneumonic empy-The New England Journal of Medicine Downloaded from nejm. Int J Clin Pract. 2001;55.",Intrapleural urokinase in the management of parapneumonic empy-The New England Journal of Medicine Downloaded from nejm,Int J Clin Pract,2001,55,,,,,Tuncozgur B; Ustunsoy H; Sivrikoz MC
15,"Talib SH, Verma GR, Arshad M, Tayade BO, Rafeeque A. Utility of intrapleural streptokinase in management of chronic empyemas. J Assoc Physicians India. 2003;51.",Utility of intrapleural streptokinase in management of chronic empyemas,J Assoc Physicians India,2003,51,,,,,Talib SH; Verma GR; Arshad M; Tayade BO; Rafeeque A
16,"Diacon AH, Schuurmans TJ, Van De Wal MM, Bolliger BW, CT. Intrapleural streptokinase for empyema and complicated parapneumonic effusions. Am J Respir Crit Care Med. 2004;170.",Intrapleural streptokinase for empyema and complicated parapneumonic effusions,Am J Respir Crit Care Med,2004,170,,,,,Diacon AH; Schuurmans TJ; Van De Wal MM; Bolliger BW; CT
17,"Misthos P, Sepsas E, Konstantinou M, Athanassiadi K, Skottis I, Lioulias A. Early use of intrapleural fibrinolytics in the management of postpneumonic empyema: a prospective study. Eur J Cardiothorac Surg. 2005;28.",Early use of intrapleural fibrinolytics in the management of postpneumonic empyema: a prospective study,Eur J Cardiothorac Surg,2005,28,,,,,Misthos P; Sepsas E; Konstantinou M; Athanassiadi K; Skottis I; Lioulias A
18,"Tokuda Y, Matsushima D, Stein GH, Miyagi S. Intrapleural fibrinolytic agents for empyema and complicated parapneumonic effusions: a meta-analysis. Chest. 2006;129.",Intrapleural fibrinolytic agents for empyema and complicated parapneumonic effusions: a meta-analysis,Chest,2006,129,,,,,Tokuda Y; Matsushima D; Stein GH; Miyagi S
19,Heffner JE. Multicenter trials of treatment for empyema -after all these years. N Engl J Med. 2005;352.,Multicenter trials of treatment for empyema -after all these years,N Engl J Med,2005,352,,,,,Heffner JE
20,"Walker CA, Shirk MB, Tschampel MM, Visconti JA. Intrapleural alteplase in a patient with complicated pleural effusion. Ann Pharmacother. 2003;37.",Intrapleural alteplase in a patient with complicated pleural effusion,Ann Pharmacother,2003,37,,,,,Walker CA; Shirk MB; Tschampel MM; Visconti JA
21,"Skeete DA, Rutherford EJ, Schlidt SA, Abrams JE, Parker LA, Rich PB. Intrapleural tissue plasminogen activator for complicated pleural effusions. J Trauma. 2004;57.",Intrapleural tissue plasminogen activator for complicated pleural effusions,J Trauma,2004,57,,,,,Skeete DA; Rutherford EJ; Schlidt SA; Abrams JE; Parker LA; Rich PB
22,"Feola GP, Shaw LC, Coburn L. Management of complicated parapneumonic effusions in children. Tech Vasc Interv Radiol. 2003;6.",Management of complicated parapneumonic effusions in children,Tech Vasc Interv Radiol,2003,6,,,,,Feola GP; Shaw LC; Coburn L
23,"Bishop NB, Pon S, Ushay HM, Greenwald BM. Alteplase in the treatment of complicated parapneumonic effusion: a case report. Pediatrics. 2003;111(2).",Alteplase in the treatment of complicated parapneumonic effusion: a case report,Pediatrics,2003,111,2,,,,Bishop NB; Pon S; Ushay HM; Greenwald BM
