#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1," Ion System, Instruments, and Accessories User Manual 553990-11 Rev. C. Ion System, Instruments, and Accessories User Manual 553990-11 Rev. C. None;None.","Ion System, Instruments, and Accessories User Manual 553990-11 Rev. C","Ion System, Instruments, and Accessories User Manual 553990-11 Rev. C",,,,,,,
2, Tension may weaken the connection of the Swivel Connector to the arm. Tension may weaken the connection of the Swivel Connector to the arm. None;None.,Tension may weaken the connection of the Swivel Connector to the arm,Tension may weaken the connection of the Swivel Connector to the arm,,,,,,,
3, Ensure that the connection between the ET tube and the arm is secure. Ensure that the connection between the ET tube and the arm is secure. None;None.,Ensure that the connection between the ET tube and the arm is secure,Ensure that the connection between the ET tube and the arm is secure,,,,,,,
4, Lubricate the Catheter and insert it into the ET tube. Confirm that there are no air leaks. Lubricate the Catheter and insert it into the ET tube. Confirm that there are no air leaks. None;None.,Lubricate the Catheter and insert it into the ET tube. Confirm that there are no air leaks,Lubricate the Catheter and insert it into the ET tube. Confirm that there are no air leaks,,,,,,,
5," Extend and connect the Catheter Guide. Pull the distal end of the Catheter Guide towards the docking spar, and connect it to the arm. Prepare for Procedure | Dock to Patient. Extend and connect the Catheter Guide. Pull the distal end of the Catheter Guide towards the docking spar, and connect it to the arm. Prepare for Procedure | Dock to Patient. None;None.","Extend and connect the Catheter Guide. Pull the distal end of the Catheter Guide towards the docking spar, and connect it to the arm. Prepare for Procedure | Dock to Patient","Extend and connect the Catheter Guide. Pull the distal end of the Catheter Guide towards the docking spar, and connect it to the arm. Prepare for Procedure | Dock to Patient",,,,,,,
6, Reinstall the Catheter Guide: 1. Disconnect the Catheter and Catheter Guide from the arm. Reinstall the Catheter Guide: 1. Disconnect the Catheter and Catheter Guide from the arm. None;None.,Reinstall the Catheter Guide: 1. Disconnect the Catheter and Catheter Guide from the arm,Reinstall the Catheter Guide: 1. Disconnect the Catheter and Catheter Guide from the arm,,,,,,,
7, Reinstall the Catheter Guide. Reinstall the Catheter Guide. None;None.,Reinstall the Catheter Guide,Reinstall the Catheter Guide,,,,,,,
8, Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner. Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner. None;None.,Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner,Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner,,,,,,,
9,Reinstall C. None. None. None;None.,,,,,,,,,Reinstall C
10, Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner. Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner. None;None.,Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner,Clean the sensor connections on both the Catheter and the arm carriage using the Sensor Connection Cleaner,,,,,,,
11,Reinstall C. None. None. None;None.,,,,,,,,,Reinstall C
