#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ettinger DS, Akerley W, Bepler G. Non-Small Cell Lung Cancer. J Natl Compr Canc Netw. 2010;8.",Non-Small Cell Lung Cancer,J Natl Compr Canc Netw,2010,8,,,,,Ettinger DS; Akerley W; Bepler G
2, NCCN Clinical Practice Guidelines in Oncology. NCCN Clinical Practice Guidelines in Oncology. None;None.,NCCN Clinical Practice Guidelines in Oncology,NCCN Clinical Practice Guidelines in Oncology,,,,,,,
3,"Chetty KG, Moran EM, Sassoon CS. Effect of radiation therapy on bronchial obstruction due to bronchogenic carcinoma. Chest. 1989;95.",Effect of radiation therapy on bronchial obstruction due to bronchogenic carcinoma,Chest,1989,95,,,,,Chetty KG; Moran EM; Sassoon CS
4,"Slawson RG, Scott RM. Radiation therapy in bronchogenic carcinoma. Radiology. 1979;132.",Radiation therapy in bronchogenic carcinoma,Radiology,1979,132,,,,,Slawson RG; Scott RM
5,"Reddy SP, Marks JE. Total atelectasis of the lung secondary to malignant airway obstruction Response to radiation therapy. Am J Clin Oncol. 1990;13.",Total atelectasis of the lung secondary to malignant airway obstruction Response to radiation therapy,Am J Clin Oncol,1990,13,,,,,Reddy SP; Marks JE
6,"Macha HN, Becker KO, Kemmer HP. Pattern of failure and survival in endobronchial laser resection. A matched pair study. Chest. 1994;105.",Pattern of failure and survival in endobronchial laser resection. A matched pair study,Chest,1994,105,,,,,Macha HN; Becker KO; Kemmer HP
7,"Mahmood K, Wahidi MM, Thomas S. Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction. Respiration. 2015;89.","Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction",Respiration,2015,89,,,,,Mahmood K; Wahidi MM; Thomas S
8,"Ong P, Grosu HB, Debiane L. Long-term qualityadjusted survival following therapeutic bronchoscopy for malignant central airway obstruction. Thorax. 2019;74.",Long-term qualityadjusted survival following therapeutic bronchoscopy for malignant central airway obstruction,Thorax,2019,74,,,,,Ong P; Grosu HB; Debiane L
9,"Chhajed PN, Baty F, Pless M. Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction. Chest. 2006;130.",Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction,Chest,2006,130,,,,,Chhajed PN; Baty F; Pless M
10,"Chen CH, Wu BR, Cheng WC. Interventional pulmonology for patients with central airway obstruction: An 8-year institutional experience. Medicine. 2017;96:5612.",Interventional pulmonology for patients with central airway obstruction: An 8-year institutional experience,Medicine,2017,96,,5612,,,Chen CH; Wu BR; Cheng WC
11,"Simoff MJ, Lally B, Slade MG. Symptom management in patients with lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Symptom management in patients with lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Simoff MJ; Lally B; Slade MG
12,"Detterbeck FC, Lewis SZ, Diekemper R. Execuative Summary-Diagnosis and Management of Lung Cancer, 3rd ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines. Chest. 2013;143.","Execuative Summary-Diagnosis and Management of Lung Cancer, 3rd ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines",Chest,2013,143,,,,,Detterbeck FC; Lewis SZ; Diekemper R
13,"Warren JL, Klabunder CN, Schrag D. Overview of the SEER-Medicare data-content, research application and generalizability to the United States elderly population. Med Care. 2002;40.","Overview of the SEER-Medicare data-content, research application and generalizability to the United States elderly population",Med Care,2002,40,,,,,Warren JL; Klabunder CN; Schrag D
14,"Elixhauser A, Steiner C, Harris DR. Comorbidity measures for use with administrative data. Med Care. 1998;36.",Comorbidity measures for use with administrative data,Med Care,1998,36,,,,,Elixhauser A; Steiner C; Harris DR
15,"Klabunde CN, Warren JL, Legler JM. Assessing comorbidity using claims data-an overview. Med Care. 2002;40.",Assessing comorbidity using claims data-an overview,Med Care,2002,40,,,,,Klabunde CN; Warren JL; Legler JM
16,Green WH. Econometric analysis. Econometric analysis. 2000;None.,Econometric analysis,Econometric analysis,2000,,,,,,Green WH
17,"Spreeuwenberg MD, Bartak A, Croon MA. The multiple propensity score a control for bias in the comparison of more than two treatment arms-an introduction from a case study in mental health. Medical Care. 2010;48.",The multiple propensity score a control for bias in the comparison of more than two treatment arms-an introduction from a case study in mental health,Medical Care,2010,48,,,,,Spreeuwenberg MD; Bartak A; Croon MA
18,"Shafirstein G, Bellnier DA, Oakley E. Irradiance controls photodynamic efficacy and tissue heating in experimental tumours: implication for interstitial PDT of locally advanced cancer. Br J Cancer. 2018;119.",Irradiance controls photodynamic efficacy and tissue heating in experimental tumours: implication for interstitial PDT of locally advanced cancer,Br J Cancer,2018,119,,,,,Shafirstein G; Bellnier DA; Oakley E
19,"Reynders K, Illidge T, Siva S. The abscopal effect of local radiotherapy: using immunotherapy to make a rare event clinically relevant. Cancer Treat Rev. 2015;41.",The abscopal effect of local radiotherapy: using immunotherapy to make a rare event clinically relevant,Cancer Treat Rev,2015,41,,,,,Reynders K; Illidge T; Siva S
20,"Gollnick SO, Brackett CM. Enhancement of anti-tumor immunity by photodynamic therapy. Immunol Res. 2010;46.",Enhancement of anti-tumor immunity by photodynamic therapy,Immunol Res,2010,46,,,,,Gollnick SO; Brackett CM
21,"Friedberg JS, Mick R, Stevenson JP. Phase II trial of pleural photodynamic therapy and surgery for patients with non-small-cell lung cancer with pleural spread. J Clin Oncol. 2004;22.",Phase II trial of pleural photodynamic therapy and surgery for patients with non-small-cell lung cancer with pleural spread,J Clin Oncol,2004,22,,,,,Friedberg JS; Mick R; Stevenson JP
22,"Kabingu E, Vaughan L, Owczarczak B. CD8+ T cell-mediated control of distant tumours following local photodynamic therapy is independent of CD4+ T cells and dependent on natural killer cells. Br J Cancer. 2007;96.",CD8+ T cell-mediated control of distant tumours following local photodynamic therapy is independent of CD4+ T cells and dependent on natural killer cells,Br J Cancer,2007,96,,,,,Kabingu E; Vaughan L; Owczarczak B
23,"Pizova K, Tomankova K, Daskova A. Photodynamic Therapy for engancing antitumor immunity. Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub. 2012;156.",Photodynamic Therapy for engancing antitumor immunity,Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub,2012,156,,,,,Pizova K; Tomankova K; Daskova A
24,"Santos RS, Raftopoulos Y, Keenan RJ. Bronchoscopic palliation of primary lung cancer: single or multimodality therapy?. Surg Endosc. 2004;18.",Bronchoscopic palliation of primary lung cancer: single or multimodality therapy?,Surg Endosc,2004,18,,,,,Santos RS; Raftopoulos Y; Keenan RJ
25,"Usuda J, Kato H, Okunaka T. Photodynamic Therapy (PDT) for Lung Cancers. J Thorac Oncol. 2006;1.",Photodynamic Therapy (PDT) for Lung Cancers,J Thorac Oncol,2006,1,,,,,Usuda J; Kato H; Okunaka T
26,"Diaz-Jiménez JP, Martínez-Ballarín JE, Llunell A. Efficacy and safety of photodynamic therapy versus Nd-YAG laser resection in NSCLC with airway obstruction. Eur Respir J. 1999;14.",Efficacy and safety of photodynamic therapy versus Nd-YAG laser resection in NSCLC with airway obstruction,Eur Respir J,1999,14,,,,,Diaz-Jiménez JP; Martínez-Ballarín JE; Llunell A
27,"Da C, Edell ES, Kinsey JH. Photodynamic therapy for early stage squamous cell carcinoma of the lung. Mayo Clin Proc. 1997;72.",Photodynamic therapy for early stage squamous cell carcinoma of the lung,Mayo Clin Proc,1997,72,,,,,Da C; Edell ES; Kinsey JH
28,"Dolmans DE, Fukumura D, Jain RK. Photodynamic therapy for cancer. Nat Rev Cancer. 2003;3.",Photodynamic therapy for cancer,Nat Rev Cancer,2003,3,,,,,Dolmans DE; Fukumura D; Jain RK
29,"Dougherty TJ, Gomer CJ, Henderson BW. Photodynamic Therapy. J Natl Cancer Inst. 1998;90.",Photodynamic Therapy,J Natl Cancer Inst,1998,90,,,,,Dougherty TJ; Gomer CJ; Henderson BW
30,"Simone CB, Ii, Friedberg JS, Glatstein E. Photodynamic therapy for the treatment of non-small cell lung cancer. J Thorac Dis. 2012;4.",Photodynamic therapy for the treatment of non-small cell lung cancer,J Thorac Dis,2012,4,,,,,Simone CB; Ii; Friedberg JS; Glatstein E
