#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Piqueras MG, Cosio MG. Disease of the airways in chronic obstructive pulmonary disease. Eur Respir J Suppl. 2001;34.",Disease of the airways in chronic obstructive pulmonary disease,Eur Respir J Suppl,2001,34,,,,,Piqueras MG; Cosio MG
2,"Niewoeher DE, Kleinerman J, Db R. Pathologic changes in the peripheral airways of young cigarette smokers. N Engl J Med. 1974;291.",Pathologic changes in the peripheral airways of young cigarette smokers,N Engl J Med,1974,291,,,,,Niewoeher DE; Kleinerman J; Db R
3,"Berend N, Wright JL, Thurlberck WM. Small airways disease: reproducibility of measurements and correlation with lung function. Chest. 1981;79.",Small airways disease: reproducibility of measurements and correlation with lung function,Chest,1981,79,,,,,Berend N; Wright JL; Thurlberck WM
4,"Mcdonough JE, Yuan R, Suzuki M. Small airway obstruction and emphysema in chronic obstructive pulmonary disease. N Engl J Med. 2011;365.",Small airway obstruction and emphysema in chronic obstructive pulmonary disease,N Engl J Med,2011,365,,,,,Mcdonough JE; Yuan R; Suzuki M
5,"Spruit MA, Chavannes NH, Herth FJ. Clinical highlights from the 2011 ERS congress in Amsterdam. Eur Respir J. 2012;39.",Clinical highlights from the 2011 ERS congress in Amsterdam,Eur Respir J,2012,39,,,,,Spruit MA; Chavannes NH; Herth FJ
6,"Hopkinson NS, Kemp SV, Toma TP. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37.",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,,,,,Hopkinson NS; Kemp SV; Toma TP
7,"Gasparini S, Zuccatosta L, Bonifazi M. Bronchoscopic treatment of emphysema: state of the art. Respiration. 2012;84.",Bronchoscopic treatment of emphysema: state of the art,Respiration,2012,84,,,,,Gasparini S; Zuccatosta L; Bonifazi M
8,"Karakoca Y, Karaagac G, Yapicier G, O. Use of resector balloon desobstruction a patient with chronic bronchitis: a feasibility study on a novel desobstruction technique. J Bronchol Intervent Pulmonol. 2015;22.",Use of resector balloon desobstruction a patient with chronic bronchitis: a feasibility study on a novel desobstruction technique,J Bronchol Intervent Pulmonol,2015,22,,,,,Karakoca Y; Karaagac G; Yapicier G; O
9,"Hogg C, Chu F, Utokaparch S. The nature of small airway obstruction in chronic obstructive pulmonary disease. N Engl J Med. 2004;350.",The nature of small airway obstruction in chronic obstructive pulmonary disease,N Engl J Med,2004,350,,,,,Hogg C; Chu F; Utokaparch S
10,"Caramori G, Gregorio D, Carlstedt C, I. Mucin expression in peripheral airways of patients with chronic obstructive pulmonary disease. Histopathology. 2004;45.",Mucin expression in peripheral airways of patients with chronic obstructive pulmonary disease,Histopathology,2004,45,,,,,Caramori G; Gregorio D; Carlstedt C; I
11,"Saetta M, Turato G, Baraldo S. Goblet cell hyperplasia and epithelial inflammation in peripheral airways of smokers with both symptoms of chronic bronchitis and chronic airflow limitation. Am J Respir Crit Care Med. 2000;161(Pt 1).",Goblet cell hyperplasia and epithelial inflammation in peripheral airways of smokers with both symptoms of chronic bronchitis and chronic airflow limitation,Am J Respir Crit Care Med,2000,161,Pt 1,,,,Saetta M; Turato G; Baraldo S
12,"Araya J, Cambier S, Markovics JA. Squamous metaplasia amplifies pathologic epithelial-mesenchymal interactions in COPD patients. J Clin Invest. 2007;117.",Squamous metaplasia amplifies pathologic epithelial-mesenchymal interactions in COPD patients,J Clin Invest,2007,117,,,,,Araya J; Cambier S; Markovics JA
13,"Martin C, Frija J, Burgel PR. Dysfunctional lung anatomy and small airways degeneration in COPD. Int J Chron Obstruct Pulmon Dis. 2013;8.",Dysfunctional lung anatomy and small airways degeneration in COPD,Int J Chron Obstruct Pulmon Dis,2013,8,,,,,Martin C; Frija J; Burgel PR
