#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1," GOLD 2017 Global Strategy for the Diagnosis, Management and Prevention of COPD. GOLD 2017 Global Strategy for the Diagnosis, Management and Prevention of COPD. None;None.","GOLD 2017 Global Strategy for the Diagnosis, Management and Prevention of COPD","GOLD 2017 Global Strategy for the Diagnosis, Management and Prevention of COPD",,,,,,,
2, López-ópez2017 Global Strategy for the Diagnosis. Management and Prevention Respirology. 2016;21(1).,López-ópez2017 Global Strategy for the Diagnosis,Management and Prevention Respirology,2016,21,1,,,,
3,"Mathers CD, Loncar D. Projections of Global Mortality and Burden of Disease from 2002 to 2030. PLoS Med. 2006;3(11):e442.",Projections of Global Mortality and Burden of Disease from 2002 to 2030,PLoS Med,2006,3,11,e442,,,Mathers CD; Loncar D
4,"Davies Adeloye S, Chua C, Lee C et al.. Global Health Epidemiology Reference Group (GHERG) Global and regional estimates of COPD prevalence: Systematic review and meta-analysis. J Glob Health. 2015;5(2):20415.",Global Health Epidemiology Reference Group (GHERG) Global and regional estimates of COPD prevalence: Systematic review and meta-analysis,J Glob Health,2015,5,2,20415,,,Davies Adeloye S; Chua C; Lee C; Basquill A; Papana E; Theodoratou H; Nair D; Gasevic D; Sridhar H; Campbell K; Yee Chan A; Sheikh I; Rudan
5,"Fishman A, Martinez F, Naunheim K et al.. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A; Weinmann G; Wood D; Emphysema T; Trial R; Group
6,"Geddes D, Davies M, Koyama H et al.. Effect of lung-volume-reduction surgery in patients with severe emphysema. N Engl J Med. 2000;343.",Effect of lung-volume-reduction surgery in patients with severe emphysema,N Engl J Med,2000,343,,,,,Geddes D; Davies M; Koyama H; Hansell D; Pastorino U; Pepper J; Agent P; Cullinan P; Macneill SJ; Goldstraw P
7,"Miller JD, Berger RL, Malthaner RA et al.. Lung volume reduction surgery vs. medical treatment for patients with advanced emphysema. Chest. 2005;127.",Lung volume reduction surgery vs. medical treatment for patients with advanced emphysema,Chest,2005,127,,,,,Miller JD; Berger RL; Malthaner RA; Celli BR; Goldsmith CH; Ingenito EP; Higgins D; Bagley P; Cox G; Wright CD
8,"Washko GR, Fan VS, Ramsey SD et al.. The Effect of Lung Voume Reduction Surgery on Chronic Obstructive Pulmonary Disease Exacerbations. Am J Respir Crit Care Med. 2008;177.",The Effect of Lung Voume Reduction Surgery on Chronic Obstructive Pulmonary Disease Exacerbations,Am J Respir Crit Care Med,2008,177,,,,,Washko GR; Fan VS; Ramsey SD; Mohsenifar; Martinez F; Make BJ; Scuirba FC; Criner GJ; Minai O; Decamp MM; Reilly J; Emphysema T; Trial R; Group
9,"Jr D, Malcolm M, Mckenna RJ, Deschamps CC, Krasna MJ. Lung volume reduction surgery: technique, operative mortality, and morbidity. Proc Am Thorac Soc. 2008;5.","Lung volume reduction surgery: technique, operative mortality, and morbidity",Proc Am Thorac Soc,2008,5,,,,,Jr D; Malcolm M; Mckenna RJ; Deschamps CC; Krasna MJ
10,"Decamp, Mm, Lipson D et al.. The evaluation and preparation of the patient for lung volume reduction surgery. Proc Am Thorac Soc. 2008;5(4).",The evaluation and preparation of the patient for lung volume reduction surgery,Proc Am Thorac Soc,2008,5,4,,,,Decamp; Mm; Lipson D; Krasna M; Minai OA; Mckenna RJ; Thomashow BM
11,"Sciurba FC, Ernst A, Herth F et al.. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth F; Strange C; Criner GJ; Marquette CH; Kovitz KL; Chiacchierini RP; Goldin J; Mclennan G
12,"Herth F, Noppen M, Valipour A et al.. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth F; Noppen M; Valipour A; Leroy S; Vergnon J; Ficker JH; Egan JJ; Gasparini S; Agusti C; Holmes-Higgin D; EA
13,"Herth FJ, Eberhardt R, Gompelmann D et al.. Radiological and clinical outcomes of using Chartis to plan endobronchial valve treatment. Eur Respir J. 2013;41(2).",Radiological and clinical outcomes of using Chartis to plan endobronchial valve treatment,Eur Respir J,2013,41,2,,,,Herth FJ; Eberhardt R; Gompelmann D; Ficker JH; Wagner M; Ek L; Schmidt B; Slebos DJ
14,"Valipour A, Herth FJ, Burghuber OC et al.. Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy. Eur Respir J. 2014;43(2).",Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy,Eur Respir J,2014,43,2,,,,Valipour A; Herth FJ; Burghuber OC; Criner G; Vergnon JM; Goldin J; Sciurba F; Ernsy A; Vent S; Group
15,"Davey C, Zoumot Z, Jordan S et al.. Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial. Lancet. 2015;386.",Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial,Lancet,2015,386,,,,,Davey C; Zoumot Z; Jordan S; Mcnulty WH; Carr DH; Hind MD; Hansell DM; Rubens MB; Banya W; Polkey MI; Shah PL; Hopkinson NS
16,"Klooster K, Ten Hacken N, Hartman JE, Kerstjens H, Van Rikxoort EM, Slebos DJ. Endobronchial Valves for Emphysema without Interlobar Collateral Ventilation. N Engl J Med. 2015;373.",Endobronchial Valves for Emphysema without Interlobar Collateral Ventilation,N Engl J Med,2015,373,,,,,Klooster K; Ten Hacken N; Hartman JE; Kerstjens H; Van Rikxoort EM; Slebos DJ
17,"Valipour A, Slebos DJ, Herth F et al.. Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT study. Am J Respir Crit Care Med. 2016;194.",Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT study,Am J Respir Crit Care Med,2016,194,,,,,Valipour A; Slebos DJ; Herth F; Darwiche K; Wagner M; Ficker JH; Petermann C; Hubner RH; Stanzel F; Eberhardt R; Team
18,"Kemp SV, Slebos DJ, Kirk A et al.. A Multicenter, Prospective, Randomized, Controlled Trial of Endobronchial Valve Treatment vs standard of Care in Heterogeneous Emphysema (Transform). Am J Respir Crit Care Med. 2017;19:6740.","A Multicenter, Prospective, Randomized, Controlled Trial of Endobronchial Valve Treatment vs standard of Care in Heterogeneous Emphysema (Transform)",Am J Respir Crit Care Med,2017,19,,6740,,,Kemp SV; Slebos DJ; Kirk A; Kornaszewska M; Carron K; Ek L; Mal H; Pison C; Downer NJ; Broman G; Darwiche K; Rao J; Hubner R; Trosini-Desert V; Eberhardt R; Herth F; Derom E; Marquette CH
19, World Medical Association. World Medical Association Declaration of Helsinki Ethical Principles for Medical Research Involving Human Subjects. JAMA. 2013;310(20).,World Medical Association. World Medical Association Declaration of Helsinki Ethical Principles for Medical Research Involving Human Subjects,JAMA,2013,310,20,,,,
20,"Dirk-Jan S, Shah PL, Herth F, Valipour A. Endobronchial Valves for Endoscopic Lung Volume Reduction: Best Practice Recommendations from Expert Panel on Endoscopic Lung Volume Reduction. Respiration. 2017;93.",Endobronchial Valves for Endoscopic Lung Volume Reduction: Best Practice Recommendations from Expert Panel on Endoscopic Lung Volume Reduction,Respiration,2017,93,,,,,Dirk-Jan S; Shah PL; Herth F; Valipour A
21,"Valipour A, Slebos DJ, De Oliveira HG et al.. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysemapotential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87.","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysemapotential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,,,,,Valipour A; Slebos DJ; De Oliveira HG; Eberhardt R; Freitag L; Criner GJ; Herth FJ
22,"Laspas F, Roussakis A, Efthimiadou R, Papaioannou D, Papadopoulos S, Andreou J. Percutaneous CT-guided fine-needle aspiration of pulmonary lesions: results and complications in 409 patients. J Med Imaging Radiat Oncol. 2008;52.",Percutaneous CT-guided fine-needle aspiration of pulmonary lesions: results and complications in 409 patients,J Med Imaging Radiat Oncol,2008,52,,,,,Laspas F; Roussakis A; Efthimiadou R; Papaioannou D; Papadopoulos S; Andreou J
23,"Hiraki T, Mimura H, Gobara H et al.. Incidence of and risk factors for pneumothorax and chest tube placement after CT fluoroscopy-guided percutaneous lung biopsy: retrospective analysis of the procedures conducted over a 9year period. AJR Am J Roentgenol. 2010;194.",Incidence of and risk factors for pneumothorax and chest tube placement after CT fluoroscopy-guided percutaneous lung biopsy: retrospective analysis of the procedures conducted over a 9year period,AJR Am J Roentgenol,2010,194,,,,,Hiraki T; Mimura H; Gobara H; Shibamoto K; Inoue D; Matsui Y; Kanazawa S
24,"Sciurba FC, Criner GJ, Strange C et al.. Effect of Endobronchial Coils vs Usual Care on Exercise Tolerance in Patients with Severe Emphysema: The RENEW Randomized Clinical Trial. JAMA. 2016;315(20).",Effect of Endobronchial Coils vs Usual Care on Exercise Tolerance in Patients with Severe Emphysema: The RENEW Randomized Clinical Trial,JAMA,2016,315,20,,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA; Deslée G; Tillis WP; Delage A; Marquette CH; Krishna G; Kalhan R; Ferguson JS; Jantz M; Maldonado F; Mckenna R; Majid A; Rai N; Gay S; Dransfield MT; Angel L; Maxfield R; Herth FJ; Wahidi MM; Mehta A; Slebos D; Group
25,"Decamp MM, Blackstone EH, Naunheim KS et al.. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82(1).",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,1,,,,Decamp MM; Blackstone EH; Naunheim KS; Krasna MJ; Wood DE; Meli YM; Mckenna RJ; Group ;
26,"Gompelmann D, Herth FJ, Slebos DJ et al.. Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema. Respiration. 2014;87(6).",Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema,Respiration,2014,87,6,,,,Gompelmann D; Herth FJ; Slebos DJ; Valipour A; Ernst A; Criner GJ; Eberhardt R
27,"Hopkinson NS, Kemp SV, Toma TP et al.. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37(6).",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,6,,,,Hopkinson NS; Kemp SV; Toma TP; Hansell DM; Geddes DM; Shah PL; Polkey MI
28,"Garner J, Kemp SV, Toma TP et al.. Survival after Endobronchial Valve Placement for Emphysema: A 10-Year Follow-up Study. Am J Respir Crit Care Med. 2016;15(4).",Survival after Endobronchial Valve Placement for Emphysema: A 10-Year Follow-up Study,Am J Respir Crit Care Med,2016,15,4,,,,Garner J; Kemp SV; Toma TP; Hansell DM; Polkey MI; Shah PL; Hopkinson NS
29,"Venuta F, Anile M, Diso D et al.. Long-term follow-up after bronchoscopic lung volume reduction in patients with emphysema. Eur Respir J. 2013;39(3).",Long-term follow-up after bronchoscopic lung volume reduction in patients with emphysema,Eur Respir J,2013,39,3,,,,Venuta F; Anile M; Diso D; Carillo C; Giacomo D; T; 'andrilli D; Fraioli A; Rendina F; Coloni EA; GF
30,"Celli BR, Cote CG, Marin JM et al.. The body-mass index, airflow obstruction, dyspnea, and exercise capacity index in chronic obstructive pulmonary disease. N Engl J Med. 2004;350.","The body-mass index, airflow obstruction, dyspnea, and exercise capacity index in chronic obstructive pulmonary disease",N Engl J Med,2004,350,,,,,Celli BR; Cote CG; Marin JM; Casanova C; De Oca M; Mendez M; RA; Plata P; Cabral V; HJ
31,"Martinez FJ, Han MK, Andrei AC et al.. Longitudinal change in the BODE index predicts mortality in severe emphysema. Am J Respir Crit Care Med. 2008;178.",Longitudinal change in the BODE index predicts mortality in severe emphysema,Am J Respir Crit Care Med,2008,178,,,,,Martinez FJ; Han MK; Andrei AC; Wise R; Murray S; Curtis JL; Sternberg A; Criner G; Gay SE; Reilly J; Make B; Reis AL; Sciurba F; Weinmann G; Mosenifar Z; Decamp M; Fishman AP; Celli BR; Emphysema N; Trial T; Group R
32,"Klooster K, Hartman JE, Hacken N, Dj S. Improved Predictors of Survival after Endobronchial Valve Treatment in Patients with Severe Emphysema. Am J Respir Crit Care Med. 2017;195.",Improved Predictors of Survival after Endobronchial Valve Treatment in Patients with Severe Emphysema,Am J Respir Crit Care Med,2017,195,,,,,Klooster K; Hartman JE; Hacken N; Dj S
33,"Klooster K, Hartman JE, Hacken T, Slebos NH, DJ. One-Year Follow-Up after Endobronchial Valve Treatment in Patients with Emphysema without Collateral Ventilation Treated in the STELVIO Trial. Respiration. 2017;93(2).",One-Year Follow-Up after Endobronchial Valve Treatment in Patients with Emphysema without Collateral Ventilation Treated in the STELVIO Trial,Respiration,2017,93,2,,,,Klooster K; Hartman JE; Hacken T; Slebos NH; DJ
34,"Zoumot Z, Davey C, Jordan S et al.. Endobronchial valves for patients with heterogeneous emphysema and without interlobar collateral ventilation: open label treatment following the BeLieVeR-HIFi study. Thorax. 2017;72(3).",Endobronchial valves for patients with heterogeneous emphysema and without interlobar collateral ventilation: open label treatment following the BeLieVeR-HIFi study,Thorax,2017,72,3,,,,Zoumot Z; Davey C; Jordan S; Mcnulty WH; Carr DH; Hind MD; Polkey MI; Shah PL; Hopkinson NS
35,"Haniana NA, Celli BR, Donohue JF, Martin UJ. Bronchodilator Reversibility in COPD. Chest. 2011;140.",Bronchodilator Reversibility in COPD,Chest,2011,140,,,,,Haniana NA; Celli BR; Donohue JF; Martin UJ
36,Donohue JF. Minimal clinically important differences in COPD lung function. COPD. 2005;2(1).,Minimal clinically important differences in COPD lung function,COPD,2005,2,1,,,,Donohue JF
37,"Hartman JE, Hacken T, Klooster NH et al.. The minimal important difference for residual volume in patients with severe emphysema. Eur Respir J. 2012;40(5).",The minimal important difference for residual volume in patients with severe emphysema,Eur Respir J,2012,40,5,,,,Hartman JE; Hacken T; Klooster NH; Boezen K; De Greef HM; Slebos MH; DJ
38,Jones PW. Interpreting thresholds for a clinically significant change in health status in asthma and COPD. Eur Respir J. 2002;19.,Interpreting thresholds for a clinically significant change in health status in asthma and COPD,Eur Respir J,2002,19,,,,,Jones PW
39,"Puhan MA, Chandra D, Mosenifar Z et al.. The minimal important difference of exercise tests in severe COPD. Eur Respir J. 2011;37(4).",The minimal important difference of exercise tests in severe COPD,Eur Respir J,2011,37,4,,,,Puhan MA; Chandra D; Mosenifar Z; Ries A; Make B; Hansel NN; Wise RA; Scruiba F; Research G
40,Gross NJ. Chronic obstructive pulmonary disease outcome measurements: what's important? What's useful?. FEV 1 : Forced Expiratory Volume in 1 second; RV: Residual Volume; SGRQ: Sr. George's Respiratory Questionnaire' 6MWD: Six Minute Walk Distance; mMRC: Modified Medical Research Council Dyspnea score *: Chi-squared test. 2005;2.,Chronic obstructive pulmonary disease outcome measurements: what's important? What's useful?,FEV 1 : Forced Expiratory Volume in 1 second; RV: Residual Volume; SGRQ: Sr. George's Respiratory Questionnaire' 6MWD: Six Minute Walk Distance; mMRC: Modified Medical Research Council Dyspnea score *: Chi-squared test,2005,2,,,,,Gross NJ
