#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Chin CS, Litle V, Yun J, Weiser T, Swanson SJ. Airway stents. Ann. Thorac. Surg. 2008;85.",Airway stents,Ann. Thorac. Surg,2008,85,,,,,Chin CS; Litle V; Yun J; Weiser T; Swanson SJ
2,"Venuta F, Rendina EA, De Giacomo T et al.. YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment. Ann. Thorac. Surg. 2002;74.",YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment,Ann. Thorac. Surg,2002,74,,,,,Venuta F; Rendina EA; De Giacomo T; Mercadante E; Francioni F; Pugliese F; Moretti M; Coloni GF; Nd
3,"Stephens KE, Wood DE. Bronchoscopic management of central airway obstruction. J. Thorac. Cardiovasc. Surg. 2000;119.",Bronchoscopic management of central airway obstruction,J. Thorac. Cardiovasc. Surg,2000,119,,,,,Stephens KE; Wood DE
4,"Kennedy TC, Mcwilliams A, Edell E et al.. Bronchial intraepithelial neoplasia/early central airways lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132.",Bronchial intraepithelial neoplasia/early central airways lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,,,,,Kennedy TC; Mcwilliams A; Edell E; Sutedja T; Downie G; Yung R; Gazdar A; Mathur PN
5,"Usuda J, Ichinose S, Ishizumi T et al.. Outcome of photodynamic therapy using NPe6 for bronchogenic carcinomas in central airways >1.0 cm in diameter. Clin. Cancer Res. 2010;16.",Outcome of photodynamic therapy using NPe6 for bronchogenic carcinomas in central airways >1.0 cm in diameter,Clin. Cancer Res,2010,16,,,,,Usuda J; Ichinose S; Ishizumi T; Hayashi H; Ohtani K; Maehara S; Ono S; Honda H; Kajiwara N; Uchida O
6,"Kato H, Usuda J, Okunaka T et al.. Basic and clinical research on photodynamic therapy at Tokyo Medical University Hospital. Lasers Surg. Med. 2006;38.",Basic and clinical research on photodynamic therapy at Tokyo Medical University Hospital,Lasers Surg. Med,2006,38,,,,,Kato H; Usuda J; Okunaka T; Furukawa K; Honda H; Sakaniwa N; Suga Y; Hirata T; Ohtani K; Inoue T
7,"Furukawa K, Okunaka T, Yamamoto H et al.. Effectiveness of photodynamic therapy and Nd-YAG laser treatment for obstructed tracheobronchial malignancies. Diagn. Ther. Endosc. 1999;5.",Effectiveness of photodynamic therapy and Nd-YAG laser treatment for obstructed tracheobronchial malignancies,Diagn. Ther. Endosc,1999,5,,,,,Furukawa K; Okunaka T; Yamamoto H; Tsuchida T; Usuda J; Kumasaka H; Ishida J; Konaka C; Kato H
8,"Barr H, Tralau CJ, Boulos PB, Macrobert AJ, Tilly R, Bown SG. The contrasting mechanisms of colonic collagen damage between photodynamic therapy and thermal injury. Photochem. Photobiol. 1987;46.",The contrasting mechanisms of colonic collagen damage between photodynamic therapy and thermal injury,Photochem. Photobiol,1987,46,,,,,Barr H; Tralau CJ; Boulos PB; Macrobert AJ; Tilly R; Bown SG
9,"Furukawa K, Kinosita K, Saijo T, Hirata T, Saji H, Kato H. Laser therapy and airway stenting for central-type lung cancer. Jpn. Med. Assoc. J. 2003;46.",Laser therapy and airway stenting for central-type lung cancer,Jpn. Med. Assoc. J,2003,46,,,,,Furukawa K; Kinosita K; Saijo T; Hirata T; Saji H; Kato H
10,"Nagata Y, Hiraoka M, Mizowaki T et al.. Survey of stereotactic body radiation therapy in Japan by the Japan 3-D Conformal External Beam Radiotherapy Group. Int. J. Radiat. Oncol. Biol. Phys. 2009;75.",Survey of stereotactic body radiation therapy in Japan by the Japan 3-D Conformal External Beam Radiotherapy Group,Int. J. Radiat. Oncol. Biol. Phys,2009,75,,,,,Nagata Y; Hiraoka M; Mizowaki T; Narita Y; Matsuo Y; Norihisa Y; Onishi H; Shirato H
11,"Diaz-Jimenez JP, Martinez-Ballarin JE, Llunell A, Farrero E, Rodríguez A, Castro MJ. Efficacy and safety of photodynamic therapy versus Nd-YAG laser resection in NSCLC with airway obstruction. Eur. Respir. J. 1999;14.",Efficacy and safety of photodynamic therapy versus Nd-YAG laser resection in NSCLC with airway obstruction,Eur. Respir. J,1999,14,,,,,Diaz-Jimenez JP; Martinez-Ballarin JE; Llunell A; Farrero E; Rodríguez A; Castro MJ
12,"Hong MJ, Cheon YK, Lee EJ, Lee TY, Shim CS. Long-term outcome of photodynamic therapy with systemic chemotherapy compared to photodynamic therapy alone in patients with advanced hilar cholangiocarcinoma. Gut Liver. 2014;8.",Long-term outcome of photodynamic therapy with systemic chemotherapy compared to photodynamic therapy alone in patients with advanced hilar cholangiocarcinoma,Gut Liver,2014,8,,,,,Hong MJ; Cheon YK; Lee EJ; Lee TY; Shim CS
