#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Klooster K, Hacken T, Hartman NH et al.. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373.",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,,,,,Klooster K; Hacken T; Hartman NH; Kerstjens JE; Van Rikxoort HA; Slebos EM; DJ
2,"Valipour A, Slebos DJ, Herth F et al.. IMPACT Study Team: Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT Study. Am J Respir Crit Care Med. 2016;194.",IMPACT Study Team: Endobronchial valve therapy in patients with homogeneous emphysema: results from the IMPACT Study,Am J Respir Crit Care Med,2016,194,,,,,Valipour A; Slebos DJ; Herth F; Darwiche K; Wagner M; Ficker JH; Petermann C; Hubner RH; Stanzel F; Eberhardt R
3,"Davey C, Zoumot Z, Jordan S et al.. Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial. Lancet. 2015;386.",Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial,Lancet,2015,386,,,,,Davey C; Zoumot Z; Jordan S; Mcnulty WH; Carr DH; Hind MD; Hansell DM; Rubens MB; Banya W; Polkey MI; Shah PL; Hopkinson NS
4,"Brown MS, Kim HJ, Abtin FG et al.. Emphysema lung lobe volume reduction: effects on the ipsilateral and contralateral lobes. Eur Radiol. 2012;22.",Emphysema lung lobe volume reduction: effects on the ipsilateral and contralateral lobes,Eur Radiol,2012,22,,,,,Brown MS; Kim HJ; Abtin FG; Strange C; Galperin-Aizenberg M; Pais R; Costa D; Ordookhani IG; Chong A; Ni D; Mcnitt-Gray C; Tashkin MF; Goldin DP; JG
5,"Miller MR, Crapo R, Hankinson J et al.. ERS Task Force: General considerations for lung function testing. Eur Respir J. 2005;26.",ERS Task Force: General considerations for lung function testing,Eur Respir J,2005,26,,,,,Miller MR; Crapo R; Hankinson J; Brusasco V; Burgos F; Casaburi R; Coates A; Enright P; Van Der Grinten CP; Gustafsson P; Jensen R; Johnson DC; Macintyre N; Mckay R; Navajas D; Pedersen OF; Pellegrino R; Viegi G; Wanger J; Ats/
6,"Miller MR, Hankinson J, Brusasco V et al.. ATS/ERS Task Force: Standardisation of spirometry. Eur Respir J. 2005;26.",ATS/ERS Task Force: Standardisation of spirometry,Eur Respir J,2005,26,,,,,Miller MR; Hankinson J; Brusasco V; Burgos F; Casaburi R; Coates A; Crapo R; Enright P; Van Der Grinten CP; Gustafsson P; Jensen R; Johnson DC; Macintyre N; Mckay R; Navajas D; Pedersen OF; Pellegrino R; Viegi G; Wanger J
7,Ats Committee On. Proficiency Standards for Clinical Pulmonary Function Laboratories: ATS statement: guidelines for the six-minute walk test. Am J Respir Crit Care Med. 2002;166.,Proficiency Standards for Clinical Pulmonary Function Laboratories: ATS statement: guidelines for the six-minute walk test,Am J Respir Crit Care Med,2002,166,,,,,Ats Committee On
8,"Jones PW, Quirk FH, Baveystock CM. Littlejohns P: A self-complete measure of health status for chronic airflow limitation. The St. George's Respiratory Questionnaire. Am Rev Respir Dis. 1992;145. doi:10.1159/000453529121.",Littlejohns P: A self-complete measure of health status for chronic airflow limitation. The St. George's Respiratory Questionnaire,Am Rev Respir Dis,1992,145,,,10.1159/000453529121,,Jones PW; Quirk FH; Baveystock CM
9,"Jones PW. COPD assessment test -rationale, development, validation and performance. COPD. 2013;10.","COPD assessment test -rationale, development, validation and performance",COPD,2013,10,,,,,Jones PW
10,"Bestall JC, Paul EA, Garrod R, Garnham R, Jones PW, Wedzicha JA. Usefulness of the Medical Research Council (MRC) dyspnoea scale as a measure of disability in patients with chronic obstructive pulmonary disease. Thorax. 1999;54.",Usefulness of the Medical Research Council (MRC) dyspnoea scale as a measure of disability in patients with chronic obstructive pulmonary disease,Thorax,1999,54,,,,,Bestall JC; Paul EA; Garrod R; Garnham R; Jones PW; Wedzicha JA
11,"Celli BR, Cote CG, Marin JM et al.. The body-mass index, airflow obstruction, dyspnea, and exercise capacity index in chronic obstructive pulmonary disease. N Engl J Med. 2004;350.","The body-mass index, airflow obstruction, dyspnea, and exercise capacity index in chronic obstructive pulmonary disease",N Engl J Med,2004,350,,,,,Celli BR; Cote CG; Marin JM; Casanova C; De Oca M; Mendez M; RA; Plata P; Cabral V; HJ
12,Donohue JF. Minimal clinically important differences in COPD lung function. COPD. 2005;2.,Minimal clinically important differences in COPD lung function,COPD,2005,2,,,,,Donohue JF
13,"Hartman JE, Hacken T, Klooster NH et al.. The minimal important difference for residual volume in patients with severe emphysema. Eur Respir J. 2012;40.",The minimal important difference for residual volume in patients with severe emphysema,Eur Respir J,2012,40,,,,,Hartman JE; Hacken T; Klooster NH; Boezen K; De Greef HM; Slebos MH; DJ
14,"Puhan MA, Chandra D, Mosenifar Z et al.. National Emphysema Treatment Trial (NETT) Research Group: The minimal important difference of exercise tests in severe COPD. Eur Respir J. 2011;37.",National Emphysema Treatment Trial (NETT) Research Group: The minimal important difference of exercise tests in severe COPD,Eur Respir J,2011,37,,,,,Puhan MA; Chandra D; Mosenifar Z; Ries A; Make B; Hansel NN; Wise RA; Sciurba F
15,Jones PW. St. George's Respiratory Questionnaire: MCID. COPD. 2005;2.,St. George's Respiratory Questionnaire: MCID,COPD,2005,2,,,,,Jones PW
16,"Welling JB, Hartman JE, Hacken T, Klooster NH, Slebos K, DJ. The minimal important difference for the St George's Respiratory Questionnaire in patients with severe COPD. Eur Respir J. 2015;46.",The minimal important difference for the St George's Respiratory Questionnaire in patients with severe COPD,Eur Respir J,2015,46,,,,,Welling JB; Hartman JE; Hacken T; Klooster NH; Slebos K; DJ
17,"Valipour A, Slebos DJ, De Oliveira HG et al.. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema -potential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87.","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema -potential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,,,,,Valipour A; Slebos DJ; De Oliveira HG; Eberhardt R; Freitag L; Criner GJ; Herth FJ
