#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, diseases (COVID-19)-China. Vital surveillances: the epidemiological characteristics of an outbreak of 2019 novel coronavirus. 2020;None.,diseases (COVID-19)-China,Vital surveillances: the epidemiological characteristics of an outbreak of 2019 novel coronavirus,2020,,,,,,
2,"Guan WJ, Ni ZY, Hu Y. Clinical characteristics of coronavirus disease 2019 in China. N Engl J Med. 2020;382(18).",Clinical characteristics of coronavirus disease 2019 in China,N Engl J Med,2020,382,18,,,,Guan WJ; Ni ZY; Hu Y
3,"Huang Y, Chen S, Yang Z. SARS-CoV-2 viral load in clinical samples of critically ill patients. Am J Respir Crit Care Med. 2020;201(11).",SARS-CoV-2 viral load in clinical samples of critically ill patients,Am J Respir Crit Care Med,2020,201,11,,,,Huang Y; Chen S; Yang Z
4,"Wang D, Hu B, Hu C. Clinical characteristics of 138 hospitalized patients with 2019 novel coronavirus-infected pneumonia in Wuhan, China. JAMA. 2020;323(11).","Clinical characteristics of 138 hospitalized patients with 2019 novel coronavirus-infected pneumonia in Wuhan, China",JAMA,2020,323,11,,,,Wang D; Hu B; Hu C
5,"Grasselli G, Zangrillo A, Zanella A. Baseline characteristics and outcomes of 1591 patients infected with SARS-CoV-2 admitted to ICUs of the Lombardy Region, Italy. JAMA. 2020;323(16).","Baseline characteristics and outcomes of 1591 patients infected with SARS-CoV-2 admitted to ICUs of the Lombardy Region, Italy",JAMA,2020,323,16,,,,Grasselli G; Zangrillo A; Zanella A
6,"Tay JK, Khoo ML, Loh WS. Surgical considerations for tracheostomy during the COVID-19 pandemic: lessons learned from the severe acute respiratory syndrome outbreak [published online ahead of print March 31. JAMA Otolaryngol Head Neck Surg. 2020;None. doi:10.1001/jamaoto.2020.0764.",Surgical considerations for tracheostomy during the COVID-19 pandemic: lessons learned from the severe acute respiratory syndrome outbreak [published online ahead of print March 31,JAMA Otolaryngol Head Neck Surg,2020,,,,10.1001/jamaoto.2020.0764,,Tay JK; Khoo ML; Loh WS
7,"Angel L, Chang SH, Rafeq S. Novel percutaneous tracheostomy for critically ill patients with COVID-19. Ann Thorac Surg. 2020;None. doi:10.1016/j.athoracsur.2020.04.010.",Novel percutaneous tracheostomy for critically ill patients with COVID-19,Ann Thorac Surg,2020,,,,10.1016/j.athoracsur.2020.04.010,,Angel L; Chang SH; Rafeq S
8,"Michetti C, Bulger EM, Davis KA, Spain DA. Performing tracheostomy during the Covid-19 pandemic: guidance and recommendations from the Critical Care and Acute Care Surgery Committees of the American Association for the Surgery of Trauma. Trauma Surg Acute Care Open. 2020;5(1):482.",Performing tracheostomy during the Covid-19 pandemic: guidance and recommendations from the Critical Care and Acute Care Surgery Committees of the American Association for the Surgery of Trauma,Trauma Surg Acute Care Open,2020,5,1,482,,,Michetti C; Bulger EM; Davis KA; Spain DA
9,"Parker NP, Schiff BA, Fritz MA et al.. Tracheostomy recommendations during the COVID-19 pandemic 2020. Tracheostomy recommendations during the COVID-19 pandemic 2020. 2020;None.",Tracheostomy recommendations during the COVID-19 pandemic 2020,Tracheostomy recommendations during the COVID-19 pandemic 2020,2020,,,,,,Parker NP; Schiff BA; Fritz MA; Rapoport SK; Schild S; Altman KW; Merati AL; Kuhn MA
10,"Chen J, Qi T, Liu L. Clinical progression of patients with COVID-19 in Shanghai, China. J Infect. 2020;80(5).","Clinical progression of patients with COVID-19 in Shanghai, China",J Infect,2020,80,5,,,,Chen J; Qi T; Liu L
11,"Huang C, Wang Y, Li X. Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China. Lancet. 2020;395(10223).","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",Lancet,2020,395,10223,,,,Huang C; Wang Y; Li X
12,"Tran K, Cimon K, Severn M, Pessoa-Silva CL, Conly J. Aerosol generating procedures and risk of transmission of acute respiratory infections to healthcare workers: a systematic review. PLoS One. 2012;7(4):35797.",Aerosol generating procedures and risk of transmission of acute respiratory infections to healthcare workers: a systematic review,PLoS One,2012,7,4,35797,,,Tran K; Cimon K; Severn M; Pessoa-Silva CL; Conly J
13, Characteristics of health care personnel with COVID-19 -United States. MMWR Morb Mortal Wkly Rep. 2020;69(15).,Characteristics of health care personnel with COVID-19 -United States,MMWR Morb Mortal Wkly Rep,2020,69,15,,,,
14, statista. Total number of cases of coronavirus (COVID-19) in the United States as of April 21. statista. Total number of cases of coronavirus (COVID-19) in the United States as of April 21. 2020;None.,statista. Total number of cases of coronavirus (COVID-19) in the United States as of April 21,statista. Total number of cases of coronavirus (COVID-19) in the United States as of April 21,2020,,,,,,
15,"Rumbak MJ, Newton M, Truncale T, Schwartz SW, Adams JW, Hazard PB. A prospective, randomized, study comparing early percutaneous dilational tracheotomy to prolonged translaryngeal intubation (delayed tracheotomy) in critically ill medical patients. Crit Care Med. 2004;32(8).","A prospective, randomized, study comparing early percutaneous dilational tracheotomy to prolonged translaryngeal intubation (delayed tracheotomy) in critically ill medical patients",Crit Care Med,2004,32,8,,,,Rumbak MJ; Newton M; Truncale T; Schwartz SW; Adams JW; Hazard PB
16,"Zheng Y, Sui F, Chen XK. Early versus late percutaneous dilational tracheostomy in critically ill patients anticipated requiring prolonged mechanical ventilation. Chin Med J. 2012;125(11).",Early versus late percutaneous dilational tracheostomy in critically ill patients anticipated requiring prolonged mechanical ventilation,Chin Med J,2012,125,11,,,,Zheng Y; Sui F; Chen XK
17,"Andriolo BN, Andriolo RB, Saconato H, Atallah AN, Valente O. Early versus late tracheostomy for critically ill patients. Cochrane Database Syst Rev. 2015;1(1):7271.",Early versus late tracheostomy for critically ill patients,Cochrane Database Syst Rev,2015,1,1,7271,,,Andriolo BN; Andriolo RB; Saconato H; Atallah AN; Valente O
18,"Villwock JA, Jones K. Outcomes of early versus late tracheostomy: 2008-2010. Laryngoscope. 2014;124(8).",Outcomes of early versus late tracheostomy: 2008-2010,Laryngoscope,2014,124,8,,,,Villwock JA; Jones K
19,"Young D, Harrison DA, Cuthbertson BH, Rowan K, Collaborators T. Effect of early vs late tracheostomy placement on survival in patients receiving mechanical ventilation: the TracMan randomized trial. JAMA. 2013;309(20).",Effect of early vs late tracheostomy placement on survival in patients receiving mechanical ventilation: the TracMan randomized trial,JAMA,2013,309,20,,,,Young D; Harrison DA; Cuthbertson BH; Rowan K; Collaborators T
20,"Mehta AB, Cooke CR, Wiener RS, Walkey AJ. Hospital variation in early tracheostomy in the United States: a population-based study. Crit Care Med. 2016;44(8).",Hospital variation in early tracheostomy in the United States: a population-based study,Crit Care Med,2016,44,8,,,,Mehta AB; Cooke CR; Wiener RS; Walkey AJ
21,"Trouillet JL, Luyt CE, Guiguet M. Early percutaneous tracheotomy versus prolonged intubation of mechanically ventilated patients after cardiac surgery: a randomized trial. Ann Intern Med. 2011;154(6).",Early percutaneous tracheotomy versus prolonged intubation of mechanically ventilated patients after cardiac surgery: a randomized trial,Ann Intern Med,2011,154,6,,,,Trouillet JL; Luyt CE; Guiguet M
22,"Griffiths J, Barber VS, Morgan L, Young JD. Systematic review and meta-analysis of studies of the timing of tracheostomy in adult patients undergoing artificial ventilation. BMJ. 2005;330(7502):1243.",Systematic review and meta-analysis of studies of the timing of tracheostomy in adult patients undergoing artificial ventilation,BMJ,2005,330,7502,1243,,,Griffiths J; Barber VS; Morgan L; Young JD
23,"Terragni PP, Antonelli M, Fumagalli R. Early vs late tracheotomy for prevention of pneumonia in mechanically ventilated adult ICU patients: a randomized controlled trial. JAMA. 2010;303(15).",Early vs late tracheotomy for prevention of pneumonia in mechanically ventilated adult ICU patients: a randomized controlled trial,JAMA,2010,303,15,,,,Terragni PP; Antonelli M; Fumagalli R
24,"Blot F, Similowski T, Trouillet JL. Early tracheotomy versus prolonged endotracheal intubation in unselected severely ill ICU patients. Intensive Care Med. 2008;34(10).",Early tracheotomy versus prolonged endotracheal intubation in unselected severely ill ICU patients,Intensive Care Med,2008,34,10,,,,Blot F; Similowski T; Trouillet JL
25,"Wang F, Wu Y, Bo L. The timing of tracheotomy in critically ill patients undergoing mechanical ventilation: a systematic review and meta-analysis of randomized controlled trials. Chest. 2011;140(6).",The timing of tracheotomy in critically ill patients undergoing mechanical ventilation: a systematic review and meta-analysis of randomized controlled trials,Chest,2011,140,6,,,,Wang F; Wu Y; Bo L
26,"Silva G, Andriolo BN, Saconato RB, Atallah H, Valente AN, O. Early versus late tracheostomy for critically ill patients. Cochrane Database Syst Rev. 2012;3:7271.",Early versus late tracheostomy for critically ill patients,Cochrane Database Syst Rev,2012,,3,7271,,,Silva G; Andriolo BN; Saconato RB; Atallah H; Valente AN; O
27,"Szakmany T, Russell P, Wilkes AR, Hall JE. Effect of early tracheostomy on resource utilization and clinical outcomes in critically ill patients: meta-analysis of randomized controlled trials. Br J Anaesth. 2015;114(3).",Effect of early tracheostomy on resource utilization and clinical outcomes in critically ill patients: meta-analysis of randomized controlled trials,Br J Anaesth,2015,114,3,,,,Szakmany T; Russell P; Wilkes AR; Hall JE
28,"Zhou F, Yu T, Du R. Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study. Lancet. 2020;395(10229).","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Lancet,2020,395,10229,,,,Zhou F; Yu T; Du R
29,"Wang Y, Lu X, Chen H. Clinical course and outcomes of 344 intensive care patients with COVID-19. Am J Respir Crit Care Med. 2020;201(11).",Clinical course and outcomes of 344 intensive care patients with COVID-19,Am J Respir Crit Care Med,2020,201,11,,,,Wang Y; Lu X; Chen H
30,"Bhatraju PK, Ghassemieh BJ, Nichols M. Covid-19 in critically ill patients in the Seattle region -case series. N Engl J Med. 2020;382(21).",Covid-19 in critically ill patients in the Seattle region -case series,N Engl J Med,2020,382,21,,,,Bhatraju PK; Ghassemieh BJ; Nichols M
31,"Arentz M, Yim E, Klaff L. Characteristics and outcomes of 21 critically ill patients with COVID-19 in Washington State. JAMA. 2020;323(16).",Characteristics and outcomes of 21 critically ill patients with COVID-19 in Washington State,JAMA,2020,323,16,,,,Arentz M; Yim E; Klaff L
32,"Yang X, Yu Y, Xu J. Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a singlecentered, retrospective, observational study. Lancet Respir Med. 2020;8(5).","Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a singlecentered, retrospective, observational study",Lancet Respir Med,2020,8,5,,,,Yang X; Yu Y; Xu J
33,"Delaney A, Bagshaw SM, Nalos M. Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis. Crit Care. 2006;10:55.",Percutaneous dilatational tracheostomy versus surgical tracheostomy in critically ill patients: a systematic review and meta-analysis,Crit Care,2006,10,,55,,,Delaney A; Bagshaw SM; Nalos M
34,"Tien HC, Chughtai T, Jogeklar A, Cooper AB, Brenneman F. Elective and emergency surgery in patients with severe acute respiratory syndrome (SARS). Can J Surg. 2005;48(1).",Elective and emergency surgery in patients with severe acute respiratory syndrome (SARS),Can J Surg,2005,48,1,,,,Tien HC; Chughtai T; Jogeklar A; Cooper AB; Brenneman F
35,"Chee VW, Khoo ML, Lee SF, Lai YC, Chin NM. Infection control measures for operative procedures in severe acute respiratory syndrome-related patients. Anesthesiology. 2004;100(6).",Infection control measures for operative procedures in severe acute respiratory syndrome-related patients,Anesthesiology,2004,100,6,,,,Chee VW; Khoo ML; Lee SF; Lai YC; Chin NM
36,"Rajajee V, Fletcher JJ, Rochlen LR, Jacobs TL. Real-time ultrasoundguided percutaneous dilatational tracheostomy: a feasibility study. Crit Care. 2011;15(1):67.",Real-time ultrasoundguided percutaneous dilatational tracheostomy: a feasibility study,Crit Care,2011,15,1,67,,,Rajajee V; Fletcher JJ; Rochlen LR; Jacobs TL
37,"Saritas A, Kurnaz MM. Comparison of bronchoscopy-guided and real-time ultrasound-guided percutaneous dilatational tracheostomy: safety, complications, and effectiveness in critically ill patients. J Intensive Care Med. 2017;None:885066617705641.","Comparison of bronchoscopy-guided and real-time ultrasound-guided percutaneous dilatational tracheostomy: safety, complications, and effectiveness in critically ill patients",J Intensive Care Med,2017,,,885066617705641,,,Saritas A; Kurnaz MM
