#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Review A. {published data only}. {published data only}. 2003;None.,{published data only},{published data only},2003,,,,,,Review A
2,"Ahmad I, Mouncher A, Abdoolah A, Stenson R, Wright J, Daniels A. Percutaneous endoscopic gastrostomy (PEG): comparison of push and pull methods and evaluation of antibiotic prophylaxis. Alimentary Pharmacology Therapy. 1995;18(2).",Percutaneous endoscopic gastrostomy (PEG): comparison of push and pull methods and evaluation of antibiotic prophylaxis,Alimentary Pharmacology Therapy,1995,18,2,,,,Ahmad I; Mouncher A; Abdoolah A; Stenson R; Wright J; Daniels A
3,Blomberg. {published data only}. {published data only}. 2010;None.,{published data only},{published data only},2010,,,,,,Blomberg
4,"Blomberg J, Lagergren P, Martin L, Mattsson F, Lagergren J. Novel approach to antibiotic prophylaxis in percutaneous endoscopic gastrostomy (PEG): randomised controlled trial. BMJ. 2010;341:3115. doi:10.1136/bmj.c3115.",Novel approach to antibiotic prophylaxis in percutaneous endoscopic gastrostomy (PEG): randomised controlled trial,BMJ,2010,341,,3115,10.1136/bmj.c3115,,Blomberg J; Lagergren P; Martin L; Mattsson F; Lagergren J
5,Dormann. {published data only}. {published data only}. 2000;None.,{published data only},{published data only},2000,,,,,,Dormann
6,"Dormann AJ, Wiggenhaus B, Huchzermeyer H. Antibiotic prophylaxis in percutane endoscopical gastrostomy (PEG). Endoskopie Heute. 1999;12(1):16.",Antibiotic prophylaxis in percutane endoscopical gastrostomy (PEG),Endoskopie Heute,1999,12,1,16,,,Dormann AJ; Wiggenhaus B; Huchzermeyer H
7,"Dormann A, Wiggenhaus B, Risius H, Kleimann F, Kloppenborg A, Grunewald T. A single dose of ce riaxone administered 30 minutes before percutaneous endoscopic gastrostomy significantly reduces local and systemic infective complications. American Journal of Gastroenterology. 1999;94(11).",A single dose of ce riaxone administered 30 minutes before percutaneous endoscopic gastrostomy significantly reduces local and systemic infective complications,American Journal of Gastroenterology,1999,94,11,,,,Dormann A; Wiggenhaus B; Risius H; Kleimann F; Kloppenborg A; Grunewald T
8,"Dormann A, Wiggenhaus B, Risius H, Kleimann F, Kloppenborg A, Padel Y. Antibiotic prophylaxis in percutaneous endoscopic gastrostomy. Preliminary results of a prospective randomized multicenter study. Chemotherapie Journal. 2000;9(3).",Antibiotic prophylaxis in percutaneous endoscopic gastrostomy. Preliminary results of a prospective randomized multicenter study,Chemotherapie Journal,2000,9,3,,,,Dormann A; Wiggenhaus B; Risius H; Kleimann F; Kloppenborg A; Padel Y
9,"Adachi S, Oura G, Sawai M, Ikenaka Y. The prophylaxis of wound infection in pull-percutaneous endoscopic gastrostomy. Nippon Shkakibyo Gakkai Zasshi. 2002;99(1).",The prophylaxis of wound infection in pull-percutaneous endoscopic gastrostomy,Nippon Shkakibyo Gakkai Zasshi,2002,99,1,,,,Adachi S; Oura G; Sawai M; Ikenaka Y
10,Arrowsmith. {published data only}. {published data only}. 1997;None.,{published data only},{published data only},1997,,,,,,Arrowsmith
11,"Arrowsmith H, Tracey M, Chesner IM. Is a single dose of prophylactic antibiotics effective in preventing stoma infections following PEG insertion. Gut. 1997;40(3s):64A.",Is a single dose of prophylactic antibiotics effective in preventing stoma infections following PEG insertion,Gut,1997,40,3s,64A,,,Arrowsmith H; Tracey M; Chesner IM
12,Beales. {published data only}. {published data only}. 2003;None.,{published data only},{published data only},2003,,,,,,Beales
13,"Beales I, Mcgovern J. Antibiotic prophylaxis prior to percutaneous endoscopic gastrostomy. Alimentary Pharmacology and Therapeutics. 2003;18(9):947.",Antibiotic prophylaxis prior to percutaneous endoscopic gastrostomy,Alimentary Pharmacology and Therapeutics,2003,18,9,947,,,Beales I; Mcgovern J
14,"Chowdhury, Chowdhury M, Batey R. Complications and outcome of percutaneous endoscopic gastrostomy in different patient groups. Journal of Gastroenterology and Hepatology. 1996;11(9).",Complications and outcome of percutaneous endoscopic gastrostomy in different patient groups,Journal of Gastroenterology and Hepatology,1996,11,9,,,,Chowdhury; Chowdhury M; Batey R
15,Dormann. {published data only}. {published data only}. 2004;None.,{published data only},{published data only},2004,,,,,,Dormann
16,"Dormann AJ, Deppe H, Kahl S, Wejda B, Malfertheiner P. Skinlevel gastrostomy -Long-term results from a prospective trial in gastric and jejunal application. Zeitschri fur Gastroenterologie. 2004;42(11).",Skinlevel gastrostomy -Long-term results from a prospective trial in gastric and jejunal application,Zeitschri fur Gastroenterologie,2004,42,11,,,,Dormann AJ; Deppe H; Kahl S; Wejda B; Malfertheiner P
17,Gawenda. {published data only}. {published data only}. 1997;None.,{published data only},{published data only},1997,,,,,,Gawenda
18,"Gawenda M, Wolfgarten B, Schaefer H, Walter M. Effect of antibiotic prophylaxis in percutaneous endoscopic gastrostomy. British Journal of Surgery. 1997;84(Supplement 2):59.",Effect of antibiotic prophylaxis in percutaneous endoscopic gastrostomy,British Journal of Surgery,1997,84,Supplement 2,59,,,Gawenda M; Wolfgarten B; Schaefer H; Walter M
19,Gopal. {published data only}. {published data only}. 2004;None.,{published data only},{published data only},2004,,,,,,Gopal
20,"Rao G, Osman G, Johnson M et al.. Prevention of percutaneous endoscopic gastrostomy site infections caused by methicillin-resistant Staphylococcus aureus. Journal of Hospital Infection. 2004;58(1).",Prevention of percutaneous endoscopic gastrostomy site infections caused by methicillin-resistant Staphylococcus aureus,Journal of Hospital Infection,2004,58,1,,,,Rao G; Osman G; Johnson M; Ramsey L; Jones D; Fidler S; H
21,Horiuchi. {published data only}. {published data only}. 2006;None.,{published data only},{published data only},2006,,,,,,Horiuchi
22,"Horiuchi A, Nakayama Y, Kajiyama M et al.. Nasopharyngeal decolonization of methicillin-resistant Staphylococcus aureus can reduce PEG peristomal wound infection. Alimentary Pharmacology and Therapeutics. 2001;101(12).",Nasopharyngeal decolonization of methicillin-resistant Staphylococcus aureus can reduce PEG peristomal wound infection,Alimentary Pharmacology and Therapeutics,2001,101,12,,,,Horiuchi A; Nakayama Y; Kajiyama M; Fujii H; Tanaka N; Hull M; Beane A; Bowen J; Settle C
23,"Jafri ;, Jafri NS, Mahid SS et al.. Meta-analysis: antibiotic prophylaxis to prevent peristomal infection following percutaneous endoscopic gastrostomy. Alimentary Pharmacology and Therapeutics. 2007;25(6).",Meta-analysis: antibiotic prophylaxis to prevent peristomal infection following percutaneous endoscopic gastrostomy,Alimentary Pharmacology and Therapeutics,2007,25,6,,,,Jafri ;; Jafri NS; Mahid SS; Minor KS; Idstein SR; Hornung CA; Galandiuk S
24,"Kanie ; Kanie J, Kono K, Osawa M, Yamamoto T, Akatsu H, Shimokata H. Complications of percutaneous endoscopic gastrostomy in the elderly: local skin infection and respiratory infection. Nippon Ronen Igakkai Zasshi. 2000;37(2).",Complications of percutaneous endoscopic gastrostomy in the elderly: local skin infection and respiratory infection,Nippon Ronen Igakkai Zasshi,2000,37,2,,,,Kanie ; Kanie J; Kono K; Osawa M; Yamamoto T; Akatsu H; Shimokata H
25,Lee. {published data only}. {published data only}. 2002;None.,{published data only},{published data only},2002,,,,,,Lee
26,"Lee L, Kim J, Kim Y, Yang J, Son H, Peck K. Increased risk of peristomal wound infection a er percutaneous endoscopic gastrostomy in patients with diabetes mellitus. Digestive and Liver Disease. 2002;34(12).",Increased risk of peristomal wound infection a er percutaneous endoscopic gastrostomy in patients with diabetes mellitus,Digestive and Liver Disease,2002,34,12,,,,Lee L; Kim J; Kim Y; Yang J; Son H; Peck K
27, Loser 2000 {published data only}. Loser 2000 {published data only}. None;None.,Loser 2000 {published data only},Loser 2000 {published data only},,,,,,,
