#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Akkerdijk WL, Van Bergeijk JD, Van Egmond T et al.. Percutaneous endoscopic gastrostomy (PEG): comparison of push and pull methods and evaluation of antibiotic prophylaxis. Endoscopy. 1995;27.",Percutaneous endoscopic gastrostomy (PEG): comparison of push and pull methods and evaluation of antibiotic prophylaxis,Endoscopy,1995,27,,,,,Akkerdijk WL; Van Bergeijk JD; Van Egmond T; Mulder C; Van Berge Henegouwen C; Van Der Werken C; Van Erpecum KJ
2,"Bergstrom LR, Larson DE, Zinsmeister AR, Sarr MG, Silverstein MD. Utilisation and outcomes of surgical gastrostomies and jejunostomies in an era of percutaneous endoscopic gastrostomy: a population-based study. Mayo Clin Proc. 1995;70.",Utilisation and outcomes of surgical gastrostomies and jejunostomies in an era of percutaneous endoscopic gastrostomy: a population-based study,Mayo Clin Proc,1995,70,,,,,Bergstrom LR; Larson DE; Zinsmeister AR; Sarr MG; Silverstein MD
3,"Callahan CM, Haag KM, Weinberger M et al.. Outcomes of percutaneous endoscopic gastrostomy among older adults in a community setting. J Am Geriatr Soc. 2000;48.",Outcomes of percutaneous endoscopic gastrostomy among older adults in a community setting,J Am Geriatr Soc,2000,48,,,,,Callahan CM; Haag KM; Weinberger M; Tierney WM; Buchanan NN; Stump TE; Nisi R
4,"Cosentini EP, Sautner T, Gnant M, Winkelbauer F, Teleky B, Jakesz R. Outcomes of surgical, percutaneous endoscopic, and percutaneous radiologic gastrostomies. Arch Surg. 1998;133.","Outcomes of surgical, percutaneous endoscopic, and percutaneous radiologic gastrostomies",Arch Surg,1998,133,,,,,Cosentini EP; Sautner T; Gnant M; Winkelbauer F; Teleky B; Jakesz R
5,"Dormann AJ, Wigginghaus B, Risius H et al.. A single dose of ceftriaxone administered 30 minutes before percutaneous endoscopic gastrostomy significantly reduces local and systemic infective complications. Am J Gastroenterol. 1999;94.",A single dose of ceftriaxone administered 30 minutes before percutaneous endoscopic gastrostomy significantly reduces local and systemic infective complications,Am J Gastroenterol,1999,94,,,,,Dormann AJ; Wigginghaus B; Risius H; Kleimann F; Kloppenborg A; Grunewald T; Huchzermeyer H
6,"Ehrsson YT, Langius-Eklof A, Bark T, Laurell G. Percutaneous endoscopic gastrostomy (PEG): a long-term follow-up study in head and neck cancer patients. Clin Otolaryngol. 2004;29.",Percutaneous endoscopic gastrostomy (PEG): a long-term follow-up study in head and neck cancer patients,Clin Otolaryngol,2004,29,,,,,Ehrsson YT; Langius-Eklof A; Bark T; Laurell G
7,"Gauderer M, Ponsky JL, Izant RJ. Gastrostomy without laparotomy: a percutaneous endoscopic technique. J Pediatr Surg. 1980;15.",Gastrostomy without laparotomy: a percutaneous endoscopic technique,J Pediatr Surg,1980,15,,,,,Gauderer M; Ponsky JL; Izant RJ
8,"Gencosmanoglu R, Koc D, Tozun N. Percutaneous endoscopic gastrostomy: results of 115 cases. Hepatogastroenterology. 2003;50.",Percutaneous endoscopic gastrostomy: results of 115 cases,Hepatogastroenterology,2003,50,,,,,Gencosmanoglu R; Koc D; Tozun N
9,Grant JP. Comparison of percutaneous endoscopic gastrostomy with Stamm gastrostomy. Ann Surg. 1998;207.,Comparison of percutaneous endoscopic gastrostomy with Stamm gastrostomy,Ann Surg,1998,207,,,,,Grant JP
10,"Ho HS, Ngo H. Gastrostomy for enteral access: a comparison among placement by laparotomy, laparoscopy, and endoscopy. Surg Endosc. 1999;13.","Gastrostomy for enteral access: a comparison among placement by laparotomy, laparoscopy, and endoscopy",Surg Endosc,1999,13,,,,,Ho HS; Ngo H
