#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Roberts ME, Rahman NM, Maskell NA. British Thoracic Society Guideline for pleural disease. Thorax. 2023;78(Suppl 3).",British Thoracic Society Guideline for pleural disease,Thorax,2023,78,Suppl 3,,,,Roberts ME; Rahman NM; Maskell NA
2,"Aujayeb A, Astoul P. Use of medical thoracoscopy in managing pleural malignancy. Breathe Sheff Engl. 2024;20(2):230174.",Use of medical thoracoscopy in managing pleural malignancy,Breathe Sheff Engl,2024,20,2,230174,,,Aujayeb A; Astoul P
3,"Asciak R, Bedawi EO, Bhatnagar R. British Thoracic Society Clinical Statement on pleural procedures. Thorax. 2023;78(Suppl 3).",British Thoracic Society Clinical Statement on pleural procedures,Thorax,2023,78,Suppl 3,,,,Asciak R; Bedawi EO; Bhatnagar R
4,"Rahman NM, Ali NJ, Brown G. Local anaesthetic thoracoscopy: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65(Suppl 2).",Local anaesthetic thoracoscopy: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,Suppl 2,,,,Rahman NM; Ali NJ; Brown G
5,"De Fonseka D, Bhatnagar R, Maskell NA. Local Anaesthetic (Medical) Thoracoscopy Services in the UK. Respir Int Rev Thorac Dis. 2018;96(6).",Local Anaesthetic (Medical) Thoracoscopy Services in the UK,Respir Int Rev Thorac Dis,2018,96,6,,,,De Fonseka D; Bhatnagar R; Maskell NA
6,"Burrows NJ, Ali NJ, Cox GM. The use and development of medical thoracoscopy in the United Kingdom over the past 5 years. Respir Med. 2006;100(7).",The use and development of medical thoracoscopy in the United Kingdom over the past 5 years,Respir Med,2006,100,7,,,,Burrows NJ; Ali NJ; Cox GM
7,"Mineo TC, Sellitri F, Tacconi F. Quality of life and outcomes after nonintubated versus intubated video-thoracoscopic pleurodesis for malignant pleural effusion: comparison by a case-matched study. J Palliat Med. 2014;17(7).",Quality of life and outcomes after nonintubated versus intubated video-thoracoscopic pleurodesis for malignant pleural effusion: comparison by a case-matched study,J Palliat Med,2014,17,7,,,,Mineo TC; Sellitri F; Tacconi F
8,"Turner M, Craighead F, Mackenzie JD. Day Case Local Anaesthetic Thoracoscopy: Experience from 2 District General Hospitals in the United Kingdom. Med Sci. 2023;11(1):23.",Day Case Local Anaesthetic Thoracoscopy: Experience from 2 District General Hospitals in the United Kingdom,Med Sci,2023,11,1,23,,,Turner M; Craighead F; Mackenzie JD
9,"Kiran S, Mavilakandy A, Rahim S. The role of day-case thoracoscopy at a district general hospital: A real world observational study. Future Healthc J. 2024;11(3):100158.",The role of day-case thoracoscopy at a district general hospital: A real world observational study,Future Healthc J,2024,11,3,100158,,,Kiran S; Mavilakandy A; Rahim S
10,"Syer T, Walker S, Maskell N. The use of indwelling pleural catheters for the treatment of malignant pleural effusions. Expert Rev Respir Med. 2019;13(7).",The use of indwelling pleural catheters for the treatment of malignant pleural effusions,Expert Rev Respir Med,2019,13,7,,,,Syer T; Walker S; Maskell N
11,"Lee TJ, Siau K, Esmaily S. Development of a national automated endoscopy database: The United Kingdom National Endoscopy Database (NED). United Eur Gastroenterol J. 2019;7(6).",Development of a national automated endoscopy database: The United Kingdom National Endoscopy Database (NED),United Eur Gastroenterol J,2019,7,6,,,,Lee TJ; Siau K; Esmaily S
12,"Chawla RK, Kumar M, Madan A. NCCP-ICS joint consensus-based clinical practice guidelines on medical thoracoscopy. Lung India Off Organ Indian Chest Soc. 2024;41(2).",NCCP-ICS joint consensus-based clinical practice guidelines on medical thoracoscopy,Lung India Off Organ Indian Chest Soc,2024,41,2,,,,Chawla RK; Kumar M; Madan A
