#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Mazzone PJ, Silvestri GA, Patel S. Screening for lung cancer: CHEST Guideline and Expert Panel Report. Chest. 2018;153(4).",Screening for lung cancer: CHEST Guideline and Expert Panel Report,Chest,2018,153,4,,,,Mazzone PJ; Silvestri GA; Patel S
2,Moyer VA. Screening for lung cancer: US Preventive Services Task Force Recommendation Statement. Ann Intern Med. 2014;160(5).,Screening for lung cancer: US Preventive Services Task Force Recommendation Statement,Ann Intern Med,2014,160,5,,,,Moyer VA
3,"Gould MK, Donington J, Lynch WR. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(suppl 5).","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,suppl 5,,,,Gould MK; Donington J; Lynch WR
4,"Macmahon H, Naidich DP, Goo JM. Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society. Radiology. 2017;284(1).",Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society,Radiology,2017,284,1,,,,Macmahon H; Naidich DP; Goo JM
5,"Baldwin DR, Callister ME. The British Thoracic Society guidelines on the investigation and management of pulmonary nodules. Thorax. 2015;70(8).",The British Thoracic Society guidelines on the investigation and management of pulmonary nodules,Thorax,2015,70,8,,,,Baldwin DR; Callister ME
6, Systems/Lung-Rads. Lung CT screening reporting and data system (Lung-RADS). 2020;None.,Systems/Lung-Rads,Lung CT screening reporting and data system (Lung-RADS),2020,,,,,,
7,"Swensen SJ, Silverstein MD, Ilstrup DM. The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules. Arch Intern Med. 1997;157(8).",The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules,Arch Intern Med,1997,157,8,,,,Swensen SJ; Silverstein MD; Ilstrup DM
8,"Gould MK, Ananth L, Barnett PG. A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules. Chest. 2007;131(2).",A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules,Chest,2007,131,2,,,,Gould MK; Ananth L; Barnett PG
9,"Mcwilliams A, Tammemagi MC, Mayo JR. Probability of cancer in pulmonary nodules detected on first screening CT. N Engl J Med. 2013;369(10).",Probability of cancer in pulmonary nodules detected on first screening CT,N Engl J Med,2013,369,10,,,,Mcwilliams A; Tammemagi MC; Mayo JR
10,"Reid M, Choi H, Han X. Development of a risk prediction model to estimate the probability of malignancy in pulmonary nodules being considered for biopsy. Chest. 2019;156(2).",Development of a risk prediction model to estimate the probability of malignancy in pulmonary nodules being considered for biopsy,Chest,2019,156,2,,,,Reid M; Choi H; Han X
11, Interim infection prevention and control recommendations for patients with suspected or confirmed coronavirus disease 2019 (COVID-19) in healthcare settings. Interim infection prevention and control recommendations for patients with suspected or confirmed coronavirus disease 2019 (COVID-19) in healthcare settings. 2020;None.,Interim infection prevention and control recommendations for patients with suspected or confirmed coronavirus disease 2019 (COVID-19) in healthcare settings,Interim infection prevention and control recommendations for patients with suspected or confirmed coronavirus disease 2019 (COVID-19) in healthcare settings,2020,,,,,,
12,"Slatore CG, Weiner RS. Pulmonary nodules: a small problem for many, severe distress for some, and how to communicate about it. Chest. 2018;153(4).","Pulmonary nodules: a small problem for many, severe distress for some, and how to communicate about it",Chest,2018,153,4,,,,Slatore CG; Weiner RS
13, operations for thoracic malignancies: a consensus statement from Thoracic Surgery Outcomes Research Network. Ann Thoracic Surg. None;None. doi:10.1016/j.athoracsur.2020.03.005.,operations for thoracic malignancies: a consensus statement from Thoracic Surgery Outcomes Research Network,Ann Thoracic Surg,,,,,10.1016/j.athoracsur.2020.03.005,,
