#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Amirana M, Frater R, Tirschwell P. An Aggressive Surgical Approach to Significant Hemoptysis in Patients with Pulmonary Tuberculosis. Am Rev Respir Dis. 1968;97.",An Aggressive Surgical Approach to Significant Hemoptysis in Patients with Pulmonary Tuberculosis,Am Rev Respir Dis,1968,97,,,,,Amirana M; Frater R; Tirschwell P
2,"Corey R, Hla KM. Major and Massive Hemoptysis: Reassessment of Conservative Management. Am J Med Sci. 1987;294.",Major and Massive Hemoptysis: Reassessment of Conservative Management,Am J Med Sci,1987,294,,,,,Corey R; Hla KM
3,Ibrahim WH. Massive haemoptysis: the definition should be revised. Eur Respir J. 2008;32.,Massive haemoptysis: the definition should be revised,Eur Respir J,2008,32,,,,,Ibrahim WH
4,Lordan JL. The pulmonary physician in critical care * Illustrative case 7: Assessment and management of massive haemoptysis. Thorax. 2003;58.,The pulmonary physician in critical care * Illustrative case 7: Assessment and management of massive haemoptysis,Thorax,2003,58,,,,,Lordan JL
5,Susanto I. Managing a Patient with Hemoptysis. J Bronchol. 2002;9.,Managing a Patient with Hemoptysis,J Bronchol,2002,9,,,,,Susanto I
6,"Walker CM, Rosado-De-Christenson ML, Martínez-Jiménez S. Bronchial Arteries: Anatomy, Function, Hypertrophy, and Anomalies. Radiographics. 2015;35.","Bronchial Arteries: Anatomy, Function, Hypertrophy, and Anomalies",Radiographics,2015,35,,,,,Walker CM; Rosado-De-Christenson ML; Martínez-Jiménez S
7,"Ittrich H, Bockhorn M, Klose H. The Diagnosis and Treatment of Hemoptysis. Dtsch Arztebl Int. 2017;114.",The Diagnosis and Treatment of Hemoptysis,Dtsch Arztebl Int,2017,114,,,,,Ittrich H; Bockhorn M; Klose H
8,"Crocco JA, Rooney JJ, Fankushen DS. Massive hemoptysis. Arch Intern Med. 1968;121.",Massive hemoptysis,Arch Intern Med,1968,121,,,,,Crocco JA; Rooney JJ; Fankushen DS
9,"Endo S, Otani S, Saito N. Management of massive hemoptysis in a thoracic surgical unit. Eur J Cardiothorac Surg. 2003;23.",Management of massive hemoptysis in a thoracic surgical unit,Eur J Cardiothorac Surg,2003,23,,,,,Endo S; Otani S; Saito N
10,"Ong TH, Eng P. Massive hemoptysis requiring intensive care. Intensive Care Med. 2003;29.",Massive hemoptysis requiring intensive care,Intensive Care Med,2003,29,,,,,Ong TH; Eng P
11,"Abdulmalak C, Cottenet J, Beltramo G. Haemoptysis in adults: a 5-year study using the French nationwide hospital administrative database. Eur Respir J. 2015;46.",Haemoptysis in adults: a 5-year study using the French nationwide hospital administrative database,Eur Respir J,2015,46,,,,,Abdulmalak C; Cottenet J; Beltramo G
12,"Chan VL, So L, Lam J. Major haemoptysis in Hong Kong: aetiologies, angiographic findings and outcomes of bronchial artery embolisation. Int J Tuberc Lung Dis. 2009;13.","Major haemoptysis in Hong Kong: aetiologies, angiographic findings and outcomes of bronchial artery embolisation",Int J Tuberc Lung Dis,2009,13,,,,,Chan VL; So L; Lam J
13,"Hirshberg B, Biran I, Glazer M. Hemoptysis: Etiology, Evaluation, and Outcome in a Tertiary Referral Hospital. Chest. 1997;112.","Hemoptysis: Etiology, Evaluation, and Outcome in a Tertiary Referral Hospital",Chest,1997,112,,,,,Hirshberg B; Biran I; Glazer M
14,"Garcia-Olivé I, Fiz JA, Sanz-Santos J. Association of Influenza-Like Illness and Climatic Parameters With Hemoptysis. Respir Care. 2014;59.",Association of Influenza-Like Illness and Climatic Parameters With Hemoptysis,Respir Care,2014,59,,,,,Garcia-Olivé I; Fiz JA; Sanz-Santos J
15,"Bhalla A, Pannu A, Suri V. Etiology and outcome of moderate-to-massive hemoptysis: Experience from a tertiary care center of North India. Int J Mycobacteriol © Journal of Thoracic Disease. All rights reserved. J Thorac Dis. 2021;13(8). doi:10.21037/jtd-19-39912017;6:307.",Etiology and outcome of moderate-to-massive hemoptysis: Experience from a tertiary care center of North India. Int J Mycobacteriol © Journal of Thoracic Disease. All rights reserved,J Thorac Dis,2021,13,8,,10.21037/jtd-19-39912017;6:307,,Bhalla A; Pannu A; Suri V
16,"Abal AT, Nair PC, Cherian J. Haemoptysis: aetiology, evaluation and outcome--a prospective study in a thirdworld country. Respir Med. 2001;95.","Haemoptysis: aetiology, evaluation and outcome--a prospective study in a thirdworld country",Respir Med,2001,95,,,,,Abal AT; Nair PC; Cherian J
17,"Vanni S, Bianchi S, Bigiarini S. Management of patients presenting with haemoptysis to a Tertiary Care Italian Emergency Department: the Florence Haemoptysis Score (FLHASc). Intern Emerg Med. 2018;13.",Management of patients presenting with haemoptysis to a Tertiary Care Italian Emergency Department: the Florence Haemoptysis Score (FLHASc),Intern Emerg Med,2018,13,,,,,Vanni S; Bianchi S; Bigiarini S
18,Johnston H. Changing spectrum of hemoptysis. Underlying causes in 148 patients undergoing diagnostic flexible fiberoptic bronchoscopy. Arch Intern Med. 1989;149.,Changing spectrum of hemoptysis. Underlying causes in 148 patients undergoing diagnostic flexible fiberoptic bronchoscopy,Arch Intern Med,1989,149,,,,,Johnston H
19,"Johnson JL. Manifestations of hemoptysis: How to manage minor, moderate, and massive bleeding. Postgrad Med. 2002;112:113.","Manifestations of hemoptysis: How to manage minor, moderate, and massive bleeding",Postgrad Med,2002,112,,113,,,Johnson JL
