#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ritu R, Gill. Methodology, Formal analysis, Investigation, Resources, Data curation. Methodology, Formal analysis, Investigation, Resources, Data curation. None;None.","Methodology, Formal analysis, Investigation, Resources, Data curation","Methodology, Formal analysis, Investigation, Resources, Data curation",,,,,,,Ritu R; Gill
2,"Nowak AK. Methodology, Formal analysis, Investigation, Resources, Data curation. Methodology, Formal analysis, Investigation, Resources, Data curation. None;None.","Methodology, Formal analysis, Investigation, Resources, Data curation","Methodology, Formal analysis, Investigation, Resources, Data curation",,,,,,,Nowak AK
3,"Rusch VW. Methodology, Formal analysis, Investigation, Resources, Data curation. Methodology, Formal analysis, Investigation, Resources, Data curation. None;None.","Methodology, Formal analysis, Investigation, Resources, Data curation","Methodology, Formal analysis, Investigation, Resources, Data curation",,,,,,,Rusch VW
4,"Giroux DJ. Methodology, Formal analysis, Investigation, Resources, Data curation, Writing-original draft. Methodology, Formal analysis, Investigation, Resources, Data curation, Writing-original draft. None;None.","Methodology, Formal analysis, Investigation, Resources, Data curation, Writing-original draft","Methodology, Formal analysis, Investigation, Resources, Data curation, Writing-original draft",,,,,,,Giroux DJ
5,"Eisele M. Methodology, Formal analysis, Investigation, Resources, Data curation. Methodology, Formal analysis, Investigation, Resources, Data curation. None;None.","Methodology, Formal analysis, Investigation, Resources, Data curation","Methodology, Formal analysis, Investigation, Resources, Data curation",,,,,,,Eisele M
6,"Rosenthal A. Methodology, Formal analysis, Investigation, Resources, Data curation. Methodology, Formal analysis, Investigation, Resources, Data curation. None;None.","Methodology, Formal analysis, Investigation, Resources, Data curation","Methodology, Formal analysis, Investigation, Resources, Data curation",,,,,,,Rosenthal A
7,"Kindler H. Conceptualization, Writing -review & editing. Conceptualization, Writing -review & editing. None;None.","Conceptualization, Writing -review & editing","Conceptualization, Writing -review & editing",,,,,,,Kindler H
8,"Wolf A. Conceptualization, Writing -review & editing. Conceptualization, Writing -review & editing. None;None.","Conceptualization, Writing -review & editing","Conceptualization, Writing -review & editing",,,,,,,Wolf A
9,"Ripley RT. Andre Billé: Conceptualization, Writing -review & editing. Andre Billé: Conceptualization, Writing -review & editing. None;None.","Andre Billé: Conceptualization, Writing -review & editing","Andre Billé: Conceptualization, Writing -review & editing",,,,,,,Ripley RT
10,"Rice D. Conceptualization, Writing -review & editing. Conceptualization, Writing -review & editing. None;None.","Conceptualization, Writing -review & editing","Conceptualization, Writing -review & editing",,,,,,,Rice D
11,"Opitz I, Rimner A. Conceptualization, Writing -review & editing. Conceptualization, Writing -review & editing. None;None.","Conceptualization, Writing -review & editing","Conceptualization, Writing -review & editing",,,,,,,Opitz I; Rimner A
12,"De M, P. Conceptualization, Writing -review & editing. Conceptualization, Writing -review & editing. None;None.","Conceptualization, Writing -review & editing","Conceptualization, Writing -review & editing",,,,,,,De M; P
