#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: guidelines from the American College of Chest Physicians. Chest. 2003;123(5).",Interventional pulmonary procedures: guidelines from the American College of Chest Physicians,Chest,2003,123,5,,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
2,"Lund ME, Force S. Airway stenting for patients with benign airway disease and the Food and Drug Administration advisory: a call for restraint. Chest. 2007;132(4).",Airway stenting for patients with benign airway disease and the Food and Drug Administration advisory: a call for restraint,Chest,2007,132,4,,,,Lund ME; Force S
3,"Chapron J, Wermert D, Pimpec-Barthes L, F. Bronchial rupture related to endobronchial stenting in relapsing polychondritis. Eur Respir Rev. 2012;21(126).",Bronchial rupture related to endobronchial stenting in relapsing polychondritis,Eur Respir Rev,2012,21,126,,,,Chapron J; Wermert D; Pimpec-Barthes L; F
4,"Saad CP, Murthy S, Krizmanich G, Mehta AC. Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis. Chest. 2003;124(5).",Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis,Chest,2003,124,5,,,,Saad CP; Murthy S; Krizmanich G; Mehta AC
5,"Montaudon M, Berger P, De Dietrich G. Assessment of airways with three-dimensional quantitative thin-section CT: in vitro and in vivo validation. Radiology. 2007;242(2).",Assessment of airways with three-dimensional quantitative thin-section CT: in vitro and in vivo validation,Radiology,2007,242,2,,,,Montaudon M; Berger P; De Dietrich G
6,"Dalrymple NC, Prasad SR, Freckleton MW, Chintapalli KN. Informatics in radiology (infoRAD): introduction to the language of three-dimensional imaging with multidetector CT. Radiographics. 2005;25(5).",Informatics in radiology (infoRAD): introduction to the language of three-dimensional imaging with multidetector CT,Radiographics,2005,25,5,,,,Dalrymple NC; Prasad SR; Freckleton MW; Chintapalli KN
7,Boiselle PM. Imaging of the large airways. Clin Chest Med. 2008;29(1).,Imaging of the large airways,Clin Chest Med,2008,29,1,,,,Boiselle PM
8,"Boiselle PM, Ernst A. Recent advances in central airway imaging. Chest. 2002;121(5).",Recent advances in central airway imaging,Chest,2002,121,5,,,,Boiselle PM; Ernst A
9,"Downie G, Huang YY, Mcguire FR. Measurement accuracy of a novel stent-sizing device in the porcine airway. J Bronchology Interv Pulmonol. 2006;13(1).",Measurement accuracy of a novel stent-sizing device in the porcine airway,J Bronchology Interv Pulmonol,2006,13,1,,,,Downie G; Huang YY; Mcguire FR
10,"Dinkel HP, Triller J. Primary and long-term success of percutaneous biliary metallic endoprotheses (Wallstents) in malignant obstructive jaundice. Rofo. 2001;173(12).",Primary and long-term success of percutaneous biliary metallic endoprotheses (Wallstents) in malignant obstructive jaundice,Rofo,2001,173,12,,,,Dinkel HP; Triller J
11,"Freitag L, Eicker R, Linz B, Greschuchna D. Theoretical and experimental basis for the development of a dynamic airway stent. Eur Respir J. 1994;7(11).",Theoretical and experimental basis for the development of a dynamic airway stent,Eur Respir J,1994,7,11,,,,Freitag L; Eicker R; Linz B; Greschuchna D
12,"Freitag L, Eicker K, Donovan TJ, Dimov D. Mechanical properties of airway stents. J Bronchology Interv Pulmonol. 1995;2(4).",Mechanical properties of airway stents,J Bronchology Interv Pulmonol,1995,2,4,,,,Freitag L; Eicker K; Donovan TJ; Dimov D
13,"Mahtabi MJ, Shamsaei N, Mitchell MR. Fatigue of nitinol: the stateof-the-art and ongoing challenges. J Mech Behav Biomed Mater. 2015;50.",Fatigue of nitinol: the stateof-the-art and ongoing challenges,J Mech Behav Biomed Mater,2015,50,,,,,Mahtabi MJ; Shamsaei N; Mitchell MR
14,Cooper JD. Use of silicone tubes in the management of complex airway problems. Thorac Surg Clin. 2018;28(3).,Use of silicone tubes in the management of complex airway problems,Thorac Surg Clin,2018,28,3,,,,Cooper JD
15,"Lee HJ, Labaki W, Yu DH. Airway stent complications: the role of follow-up bronchoscopy as a surveillance method. J Thorac Dis. 2017;9(11).",Airway stent complications: the role of follow-up bronchoscopy as a surveillance method,J Thorac Dis,2017,9,11,,,,Lee HJ; Labaki W; Yu DH
16,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy. Connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy. Connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
17,Montgomery WW. T-tube tracheal stent. Arch Otolaryngol. 1965;82.,T-tube tracheal stent,Arch Otolaryngol,1965,82,,,,,Montgomery WW
18,"Wright KC, Wallace S, Charnsangavej C, Carrasco CH, Gianturco C. Percutaneous endovascular stents: an experimental evaluation. Radiology. 1985;156(1).",Percutaneous endovascular stents: an experimental evaluation,Radiology,1985,156,1,,,,Wright KC; Wallace S; Charnsangavej C; Carrasco CH; Gianturco C
19,"Sarodia BD, Dasgupta A, Mehta AC. Management of airway manifestations of relapsing polychondritis: case reports and review of literature. Chest. 1999;116(6).",Management of airway manifestations of relapsing polychondritis: case reports and review of literature,Chest,1999,116,6,,,,Sarodia BD; Dasgupta A; Mehta AC
20,"Rousseau H, Puel J, Joffre F. Self-expanding endovascular prosthesis: an experimental study. Radiology. 1987;164(3).",Self-expanding endovascular prosthesis: an experimental study,Radiology,1987,164,3,,,,Rousseau H; Puel J; Joffre F
21,"Rousseau H, Dahan M, Lauque D. Self-expandable prostheses in the tracheobronchial tree. Radiology. 1993;188(1).",Self-expandable prostheses in the tracheobronchial tree,Radiology,1993,188,1,,,,Rousseau H; Dahan M; Lauque D
22,"Nakajima Y, Kurihara Y, Niimi H. Efficacy and complications of the Gianturco-Z tracheobronchial stent for malignant airway stenosis. Cardiovasc Intervent Radiol. 1999;22(4).",Efficacy and complications of the Gianturco-Z tracheobronchial stent for malignant airway stenosis,Cardiovasc Intervent Radiol,1999,22,4,,,,Nakajima Y; Kurihara Y; Niimi H
23,"Monnier P, Mudry A, Stanzel F. The use of the covered Wallstent for the palliative treatment of inoperable tracheobronchial cancers. A prospective, multicenter study. Chest. 1996;110(5).","The use of the covered Wallstent for the palliative treatment of inoperable tracheobronchial cancers. A prospective, multicenter study",Chest,1996,110,5,,,,Monnier P; Mudry A; Stanzel F
24,"Hautmann H, Huber RM. Stent flexibility: an essential feature in the treatment of dynamic airway collapse. Eur Respir J. 1996;9(3).",Stent flexibility: an essential feature in the treatment of dynamic airway collapse,Eur Respir J,1996,9,3,,,,Hautmann H; Huber RM
25,"Breyer G, Haussinger K. Tracheobronchial stents-indications and possibilities. Pneumologie. 1991;45(12).",Tracheobronchial stents-indications and possibilities,Pneumologie,1991,45,12,,,,Breyer G; Haussinger K
26,"Hauck RW, Lembeck RM, Emslander HP, Schomig A. Implantation of Accuflex and Strecker stents in malignant bronchial stenoses by flexible bronchoscopy. Chest. 1997;112(1).",Implantation of Accuflex and Strecker stents in malignant bronchial stenoses by flexible bronchoscopy,Chest,1997,112,1,,,,Hauck RW; Lembeck RM; Emslander HP; Schomig A
27,Ebeid M. Balloon expandable stents for coarctation of the aorta: review of current status and technical considerations. Images Paediatr Cardiol. 2003;5(2).,Balloon expandable stents for coarctation of the aorta: review of current status and technical considerations,Images Paediatr Cardiol,2003,5,2,,,,Ebeid M
