#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Brouns M, Jayaraju ST, Lacor C. Tracheal stenosis: a flow dynamics study. J. Appl. Physiol. 2007;102(3).",Tracheal stenosis: a flow dynamics study,J. Appl. Physiol,2007,102,3,,,,Brouns M; Jayaraju ST; Lacor C
2,"Freitag L, Ernst A, Unger M, Kovitz K, Marquette CH. A proposed classification system of central airway stenosis. Eur. Respir. J. 2007;30(1).",A proposed classification system of central airway stenosis,Eur. Respir. J,2007,30,1,,,,Freitag L; Ernst A; Unger M; Kovitz K; Marquette CH
3,"Ghorbani A, Dezfouli AA, Shadmehr MB. A proposed grading system for post-intubation tracheal stenosis. Tanaffos. 2012;11(3).",A proposed grading system for post-intubation tracheal stenosis,Tanaffos,2012,11,3,,,,Ghorbani A; Dezfouli AA; Shadmehr MB
4,"Lano CF, Duncavage JA, Reinisch L, Ossoff RH, Courey MS, Netterville JL. Laryngotracheal reconstruction in the adult: a ten year experience. Ann. Otol. Rhinol. Laryngol. 1998;107(2).",Laryngotracheal reconstruction in the adult: a ten year experience,Ann. Otol. Rhinol. Laryngol,1998,107,2,,,,Lano CF; Duncavage JA; Reinisch L; Ossoff RH; Courey MS; Netterville JL
5,Mccaffrey TV. Classification of laryngotracheal stenosis. Laryngoscope. 1992;102(12 Pt 1).,Classification of laryngotracheal stenosis,Laryngoscope,1992,102,12 Pt 1,,,,Mccaffrey TV
6,"Myer 3rd CM, O'connor DM, Cotton RT. Proposed grading system for subglottic stenosis based on endotracheal tube sizes. Ann. Otol. Rhinol. Laryngol. 1994;103(4 Pt 1).",Proposed grading system for subglottic stenosis based on endotracheal tube sizes,Ann. Otol. Rhinol. Laryngol,1994,103,4 Pt 1,,,,Myer 3rd CM; O'connor DM; Cotton RT
7,"Nouraei SA, Nouraei SM, Upile T, Howard DJ, Sandhu GS. A proposed system for documenting the functional outcome of adult laryngotracheal stenosis. Clin. Otolaryngol. 2007;32(5).",A proposed system for documenting the functional outcome of adult laryngotracheal stenosis,Clin. Otolaryngol,2007,32,5,,,,Nouraei SA; Nouraei SM; Upile T; Howard DJ; Sandhu GS
8,"Monnier P, Dikkers H, Fau -Eckel F, Eckelfau -Sittel HC. Preoperative assessment and classification of benign laryngotracheal stenosis: a consensus paper of the european laryngological society. Eur. Arch. Otorhinolaryngol. 2015;272(10).",Preoperative assessment and classification of benign laryngotracheal stenosis: a consensus paper of the european laryngological society,Eur. Arch. Otorhinolaryngol,2015,272,10,,,,Monnier P; Dikkers H; Fau -Eckel F; Eckelfau -Sittel HC
9,Gelbard A. Causes and consequences of adult laryngotracheal stenosis. Laryngoscope. 2015;125(5).,Causes and consequences of adult laryngotracheal stenosis,Laryngoscope,2015,125,5,,,,Gelbard A
10,"Murgu SD, Egressy K, Laxmanan B, Doblare G, Ortiz-Comino R, Hogarth DK. Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction. Chest. 2016;150(2).","Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction",Chest,2016,150,2,,,,Murgu SD; Egressy K; Laxmanan B; Doblare G; Ortiz-Comino R; Hogarth DK
11,"Miller RD, Hyatt RE. Evaluation of obstructing lesions of the trachea and larynx by flow-volume loops. Am. Rev. Respir. Dis. 1973;108(3).",Evaluation of obstructing lesions of the trachea and larynx by flow-volume loops,Am. Rev. Respir. Dis,1973,108,3,,,,Miller RD; Hyatt RE
12,"Agrawal A, Sahni S, Marder G, Shah R, Talwar A. Biphasic flow-volume loop in granulomatosis with polyangiitis related unilateral bronchus obstruction. Respir. Investig. 2016;54(4).",Biphasic flow-volume loop in granulomatosis with polyangiitis related unilateral bronchus obstruction,Respir. Investig,2016,54,4,,,,Agrawal A; Sahni S; Marder G; Shah R; Talwar A
13,"Axtell AL, Mathisen DJ. Idiopathic subglottic stenosis: techniques and results. Ann. Cardiothorac. Surg. 2018;7(2).",Idiopathic subglottic stenosis: techniques and results,Ann. Cardiothorac. Surg,2018,7,2,,,,Axtell AL; Mathisen DJ
14,"Blumin JH, Johnston N. Evidence of extraesophageal reflux in idiopathic subglottic stenosis. Laryngoscope. 2011;121(6).",Evidence of extraesophageal reflux in idiopathic subglottic stenosis,Laryngoscope,2011,121,6,,,,Blumin JH; Johnston N
15,"Lebovics RS, Hoffman GS, Leavitt RY. The management of subglottic stenosis in patients with Wegener's granulomatosis. Laryngoscope. 1992;102(12 Pt 1).",The management of subglottic stenosis in patients with Wegener's granulomatosis,Laryngoscope,1992,102,12 Pt 1,,,,Lebovics RS; Hoffman GS; Leavitt RY
16,"Daum TE, Specks U, Colby TV. Tracheobronchial involvement in Wegener's granulomatosis. Am. J. Respir. Crit. Care Med. 1995;151(2 Pt 1).",Tracheobronchial involvement in Wegener's granulomatosis,Am. J. Respir. Crit. Care Med,1995,151,2 Pt 1,,,,Daum TE; Specks U; Colby TV
17,"Langford CA, Sneller MC, Hallahan CW. Clinical features and therapeutic management of subglottic stenosis in patients with Wegener's granulomatosis. Arthritis Rheum. 1996;39(10).",Clinical features and therapeutic management of subglottic stenosis in patients with Wegener's granulomatosis,Arthritis Rheum,1996,39,10,,,,Langford CA; Sneller MC; Hallahan CW
18,"Girard C, Charles P, Terrier B. Tracheobronchial stenoses in granulomatosis with polyangiitis (Wegener's): a Report on 26 Cases. Medicine. 2015;94(32):1088.",Tracheobronchial stenoses in granulomatosis with polyangiitis (Wegener's): a Report on 26 Cases,Medicine,2015,94,32,1088,,,Girard C; Charles P; Terrier B
19,"Solans-Laque R, Bosch-Gil J, Canela M, Lorente J, Pallisa E, Vilardell-Tarres M. Clinical features and therapeutic management of subglottic stenosis in patients with Wegener's granulomatosis. Lupus. 2008;17(9).",Clinical features and therapeutic management of subglottic stenosis in patients with Wegener's granulomatosis,Lupus,2008,17,9,,,,Solans-Laque R; Bosch-Gil J; Canela M; Lorente J; Pallisa E; Vilardell-Tarres M
20,"Hall SR, Allen CT, Merati AL, Mayerhoff RM. Evaluating the utility of serological testing in laryngotracheal stenosis. Laryngoscope. 2017;127(6).",Evaluating the utility of serological testing in laryngotracheal stenosis,Laryngoscope,2017,127,6,,,,Hall SR; Allen CT; Merati AL; Mayerhoff RM
21,"Ernst A, Rafeq S, Boiselle P. Relapsing polychondritis and airway involvement. Chest. 2009;135(4).",Relapsing polychondritis and airway involvement,Chest,2009,135,4,,,,Ernst A; Rafeq S; Boiselle P
22,Damrose EJ. On the development of idiopathic subglottic stenosis. Med. Hypotheses. 2008;71(1).,On the development of idiopathic subglottic stenosis,Med. Hypotheses,2008,71,1,,,,Damrose EJ
23,"Aravena C, Almeida FA, Mukhopadhyay S. Idiopathic subglottic stenosis: a review. J. Thorac. Dis. 2020;12(3).",Idiopathic subglottic stenosis: a review,J. Thorac. Dis,2020,12,3,,,,Aravena C; Almeida FA; Mukhopadhyay S
24,"Couraud L, Jougon JB, Velly JF. Surgical treatment of nontumoral stenoses of the upper airway. Ann. Thorac. Surg. 1995;60(2).",Surgical treatment of nontumoral stenoses of the upper airway,Ann. Thorac. Surg,1995,60,2,,,,Couraud L; Jougon JB; Velly JF
25,"Wang H, Wright CD, Wain JC, Ott HC, Mathisen DJ. Idiopathic Subglottic Stenosis: Factors Affecting Outcome After Single-Stage Repair. Ann. Thorac. Surg. 2015;100(5).",Idiopathic Subglottic Stenosis: Factors Affecting Outcome After Single-Stage Repair,Ann. Thorac. Surg,2015,100,5,,,,Wang H; Wright CD; Wain JC; Ott HC; Mathisen DJ
26,"Fiz I, Bittar Z, Piazza C. Hormone receptors analysis in idiopathic progressive subglottic stenosis. Laryngoscope. 2018;128(2).",Hormone receptors analysis in idiopathic progressive subglottic stenosis,Laryngoscope,2018,128,2,,,,Fiz I; Bittar Z; Piazza C
27,"Maldonado F, Loiselle A, Depew ZS. Idiopathic subglottic stenosis: an evolving therapeutic algorithm. Laryngoscope. 2014;124(2).",Idiopathic subglottic stenosis: an evolving therapeutic algorithm,Laryngoscope,2014,124,2,,,,Maldonado F; Loiselle A; Depew ZS
28,"Yamamoto K, Kojima F, Tomiyama K, Nakamura T, Hayashino Y. Meta-analysis of therapeutic procedures for acquired subglottic stenosis in adults. Ann. Thorac. Surg. 2011;91(6).",Meta-analysis of therapeutic procedures for acquired subglottic stenosis in adults,Ann. Thorac. Surg,2011,91,6,,,,Yamamoto K; Kojima F; Tomiyama K; Nakamura T; Hayashino Y
29,"Clunie GM, Roe JW, Alexander C, Sandhu G, Mcgregor A. Voice and Swallowing Outcomes Following Airway Reconstruction in Adults: A Systematic Review. Laryngoscope. 2020;None.",Voice and Swallowing Outcomes Following Airway Reconstruction in Adults: A Systematic Review,Laryngoscope,2020,,,,,,Clunie GM; Roe JW; Alexander C; Sandhu G; Mcgregor A
30,"Gelbard A, Anderson C, Berry LD. Comparative Treatment Outcomes for Patients With Idiopathic Subglottic Stenosis. JAMA. 2019;None.",Comparative Treatment Outcomes for Patients With Idiopathic Subglottic Stenosis,JAMA,2019,,,,,,Gelbard A; Anderson C; Berry LD
31,"Gelbard A, Shyr Y, Berry L. Treatment options in idiopathic subglottic stenosis: protocol for a prospective international multicentre pragmatic trial. BMJ Open. 2018;8(4):22243.",Treatment options in idiopathic subglottic stenosis: protocol for a prospective international multicentre pragmatic trial,BMJ Open,2018,8,4,22243,,,Gelbard A; Shyr Y; Berry L
32,"Feinstein AJ, Goel A, Raghavan G. Endoscopic Management of Subglottic Stenosis. JAMA. 2017;143(5).",Endoscopic Management of Subglottic Stenosis,JAMA,2017,143,5,,,,Feinstein AJ; Goel A; Raghavan G
33,"Smith ME, Elstad M. Mitomycin C and the endoscopic treatment of laryngotracheal stenosis: are two applications better than one?. Laryngoscope. 2009;119(2).",Mitomycin C and the endoscopic treatment of laryngotracheal stenosis: are two applications better than one?,Laryngoscope,2009,119,2,,,,Smith ME; Elstad M
34,"Wierzbicka M, Tokarski M, Puszczewicz M, Szyfter W. The efficacy of submucosal corticosteroid injection and dilatation in subglottic stenosis of different aetiology. J. Laryngol. Otol. 2016;130(7).",The efficacy of submucosal corticosteroid injection and dilatation in subglottic stenosis of different aetiology,J. Laryngol. Otol,2016,130,7,,,,Wierzbicka M; Tokarski M; Puszczewicz M; Szyfter W
35,"Bertelsen C, Shoffel-Havakuk H, O'dell K, Johns MM, Reder LS. Serial In-Office Intralesional Steroid Injections in Airway Stenosis. JAMA. 2018;144(3).",Serial In-Office Intralesional Steroid Injections in Airway Stenosis,JAMA,2018,144,3,,,,Bertelsen C; Shoffel-Havakuk H; O'dell K; Johns MM; Reder LS
36,"Hoffman MR, Coughlin AR, Dailey SH. Serial office-based steroid injections for treatment of idiopathic subglottic stenosis. Laryngoscope. 2017;127(11).",Serial office-based steroid injections for treatment of idiopathic subglottic stenosis,Laryngoscope,2017,127,11,,,,Hoffman MR; Coughlin AR; Dailey SH
37,"Lally L, Lebovics RS, Huang WT, Spiera RF. Effectiveness of rituximab for the otolaryngologic manifestations of granulomatosis with polyangiitis (Wegener's). Arthritis Care Res. 2014;66(9).",Effectiveness of rituximab for the otolaryngologic manifestations of granulomatosis with polyangiitis (Wegener's),Arthritis Care Res,2014,66,9,,,,Lally L; Lebovics RS; Huang WT; Spiera RF
38,"Wester JL, Clayburgh DR, Stott WJ, Schindler JS, Andersen PE, Gross ND. Airway reconstruction in Wegener's granulomatosis-associated laryngotracheal stenosis. Laryngoscope. 2011;121(12).",Airway reconstruction in Wegener's granulomatosis-associated laryngotracheal stenosis,Laryngoscope,2011,121,12,,,,Wester JL; Clayburgh DR; Stott WJ; Schindler JS; Andersen PE; Gross ND
39,"Costantino CL, Niles JL, Wright CD, Mathisen DJ, Muniappan A. Subglottic Stenosis in Granulomatosis With Polyangiitis: The Role of Laryngotracheal Resection. Ann. Thorac. Surg. 2018;105(1).",Subglottic Stenosis in Granulomatosis With Polyangiitis: The Role of Laryngotracheal Resection,Ann. Thorac. Surg,2018,105,1,,,,Costantino CL; Niles JL; Wright CD; Mathisen DJ; Muniappan A
40,"Guardiani E, Moghaddas HS, Lesser J. Multilevel airway stenosis in patients with granulomatosis with polyangiitis (Wegener's). Am. J. Otolaryngol. 2015;36(3).",Multilevel airway stenosis in patients with granulomatosis with polyangiitis (Wegener's),Am. J. Otolaryngol,2015,36,3,,,,Guardiani E; Moghaddas HS; Lesser J
41,"Hoffman GS, Thomas-Golbanov CK, Chan J, Akst LM, Eliachar I. Treatment of subglottic stenosis, due to Wegener's granulomatosis, with intralesional corticosteroids and dilation. J. Rheumatol. 2003;30(5).","Treatment of subglottic stenosis, due to Wegener's granulomatosis, with intralesional corticosteroids and dilation",J. Rheumatol,2003,30,5,,,,Hoffman GS; Thomas-Golbanov CK; Chan J; Akst LM; Eliachar I
42,"Terrier B, Dechartres A, Girard C. Granulomatosis with polyangiitis: endoscopic management of tracheobronchial stenosis: results from a multicentre experience. Rheumatology. 2015;54(10).",Granulomatosis with polyangiitis: endoscopic management of tracheobronchial stenosis: results from a multicentre experience,Rheumatology,2015,54,10,,,,Terrier B; Dechartres A; Girard C
