#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Agrawal A, Chaddha U, Kaul V. Multidisciplinary management of chylothorax. Chest. 2022;162.",Multidisciplinary management of chylothorax,Chest,2022,162,,,,,Agrawal A; Chaddha U; Kaul V
2,"Doerr CH, Miller DL, Ryu JH. Chylothorax. Semin Respir Crit Care Med. 2001;22.",Chylothorax,Semin Respir Crit Care Med,2001,22,,,,,Doerr CH; Miller DL; Ryu JH
3,"Porcel JM, Bielsa S, Civit C. Clinical characteristics of chylothorax: results from the International Collaborative Effusion database. ERJ Open Res. 2023;9.",Clinical characteristics of chylothorax: results from the International Collaborative Effusion database,ERJ Open Res,2023,9,,,,,Porcel JM; Bielsa S; Civit C
4,"Fink A, Kosecoff J, Chassin M. Consensus methods: characteristics and guidelines for use. Am J Public Health. 1984;74.",Consensus methods: characteristics and guidelines for use,Am J Public Health,1984,74,,,,,Fink A; Kosecoff J; Chassin M
5,"Kwong J, Chen H, Sun X. Development of evidence-based recommendations: implications for preparing expert consensus statements. Chin Med J (Engl). 2016;129.",Development of evidence-based recommendations: implications for preparing expert consensus statements,Chin Med J (Engl),2016,129,,,,,Kwong J; Chen H; Sun X
6,"Djulbegovic B, Guyatt G. Evidence vs consensus in clinical practice guidelines. JAMA. 2019;322.",Evidence vs consensus in clinical practice guidelines,JAMA,2019,322,,,,,Djulbegovic B; Guyatt G
7,"Petrella F, Casiraghi M, Radice D. Treatment of chylothorax after lung resection: indications, timing, and outcomes. Thorac Cardiovasc Surg. 2020;68.","Treatment of chylothorax after lung resection: indications, timing, and outcomes",Thorac Cardiovasc Surg,2020,68,,,,,Petrella F; Casiraghi M; Radice D
8,"Takuwa T, Yoshida J, Ono S. Low-fat diet management strategy for chylothorax after pulmonary resection and lymph node dissection for primary lung cancer. J Thorac Cardiovasc Surg. 2013;146. doi:10.1183/13993003.00470-2024.",Low-fat diet management strategy for chylothorax after pulmonary resection and lymph node dissection for primary lung cancer,J Thorac Cardiovasc Surg,2013,146,,,10.1183/13993003.00470-2024,,Takuwa T; Yoshida J; Ono S
9,"Yasuura Y, Konno H, Hayakawa T. Chylothorax after pulmonary resection and lymph node dissection for primary lung cancer; retrospective observational study. J Cardiothorac Surg. 2022;17:11.",Chylothorax after pulmonary resection and lymph node dissection for primary lung cancer; retrospective observational study,J Cardiothorac Surg,2022,17,,11,,,Yasuura Y; Konno H; Hayakawa T
10,"Reisenauer JS, Puig CA, Reisenauer CJ. Treatment of postsurgical chylothorax. Ann Thorac Surg. 2018;105.",Treatment of postsurgical chylothorax,Ann Thorac Surg,2018,105,,,,,Reisenauer JS; Puig CA; Reisenauer CJ
11,"Cerfolio RJ, Allen MS, Deschamps C. Postoperative chylothorax. J Thorac Cardiovasc Surg. 1996;112.",Postoperative chylothorax,J Thorac Cardiovasc Surg,1996,112,,,,,Cerfolio RJ; Allen MS; Deschamps C
12,"Shimizu K, Yoshida J, Nishimura M. Treatment strategy for chylothorax after pulmonary resection and lymph node dissection for lung cancer. J Thorac Cardiovasc Surg. 2002;124.",Treatment strategy for chylothorax after pulmonary resection and lymph node dissection for lung cancer,J Thorac Cardiovasc Surg,2002,124,,,,,Shimizu K; Yoshida J; Nishimura M
13,"Steven BR, Carey S. Nutritional management in patients with chyle leakage: a systematic review. Eur J Clin Nutr. 2015;69.",Nutritional management in patients with chyle leakage: a systematic review,Eur J Clin Nutr,2015,69,,,,,Steven BR; Carey S
14,"Guillem P, Billeret V, Houcke ML. Successful management of post-esophagectomy chylothorax/ chyloperitoneum by etilefrine. Dis Esophagus. 1999;12.",Successful management of post-esophagectomy chylothorax/ chyloperitoneum by etilefrine,Dis Esophagus,1999,12,,,,,Guillem P; Billeret V; Houcke ML
15,"Ohkura Y, Ueno M, Iizuka T. Effectiveness of etilefrine regimen for chylothorax after esophagectomy with thoracic duct resection. Esophagus. 2018;15.",Effectiveness of etilefrine regimen for chylothorax after esophagectomy with thoracic duct resection,Esophagus,2018,15,,,,,Ohkura Y; Ueno M; Iizuka T
16,"Liou DZ, Warren H, Maher DP. Midodrine: a novel therapeutic for refractory chylothorax. Chest. 2013;144.",Midodrine: a novel therapeutic for refractory chylothorax,Chest,2013,144,,,,,Liou DZ; Warren H; Maher DP
17,"Chen J, Lin RK, Hassanein T. Use of orlistat (Xenical) to treat chylous ascites. J Clin Gastroenterol. 2005;39.",Use of orlistat (Xenical) to treat chylous ascites,J Clin Gastroenterol,2005,39,,,,,Chen J; Lin RK; Hassanein T
18,"Ismail NA, Gordon J, Dunning J. The use of octreotide in the treatment of chylothorax following cardiothoracic surgery. Interact Cardiovasc Thorac Surg. 2015;20.",The use of octreotide in the treatment of chylothorax following cardiothoracic surgery,Interact Cardiovasc Thorac Surg,2015,20,,,,,Ismail NA; Gordon J; Dunning J
19,"Bryant AS, Minnich DJ, Wei B. The incidence and management of postoperative chylothorax after pulmonary resection and thoracic mediastinal lymph node dissection. Ann Thorac Surg. 2014;98.",The incidence and management of postoperative chylothorax after pulmonary resection and thoracic mediastinal lymph node dissection,Ann Thorac Surg,2014,98,,,,,Bryant AS; Minnich DJ; Wei B
20,"Fujita T, Daiko H. Efficacy and predictor of octreotide treatment for postoperative chylothorax after thoracic esophagectomy. World J Surg. 2014;38.",Efficacy and predictor of octreotide treatment for postoperative chylothorax after thoracic esophagectomy,World J Surg,2014,38,,,,,Fujita T; Daiko H
21,"Cho HJ, Kim DK, Lee GD. Chylothorax complicating pulmonary resection for lung cancer: effective management and pleurodesis. Ann Thorac Surg. 2014;97.",Chylothorax complicating pulmonary resection for lung cancer: effective management and pleurodesis,Ann Thorac Surg,2014,97,,,,,Cho HJ; Kim DK; Lee GD
22,"Paul S, Altorki NK, Port JL. Surgical management of chylothorax. Thorac Cardiovasc Surg. 2009;57.",Surgical management of chylothorax,Thorac Cardiovasc Surg,2009,57,,,,,Paul S; Altorki NK; Port JL
23,"Maldonado F, Cartin-Ceba R, Hawkins FJ. Medical and surgical management of chylothorax and associated outcomes. Am J Med Sci. 2010;339.",Medical and surgical management of chylothorax and associated outcomes,Am J Med Sci,2010,339,,,,,Maldonado F; Cartin-Ceba R; Hawkins FJ
24,"Cherian S, Umerah OM, Tufail M. Chylothorax in a patient with HIV-related Kaposi's sarcoma. BMJ Case Rep. 2019;12:227641.",Chylothorax in a patient with HIV-related Kaposi's sarcoma,BMJ Case Rep,2019,12,,227641,,,Cherian S; Umerah OM; Tufail M
25,"Lee J, Cho JS, Hoseok I. Delayed right chylothorax after left blunt chest trauma: a case report. J Med Case Rep. 2017;11:98.",Delayed right chylothorax after left blunt chest trauma: a case report,J Med Case Rep,2017,11,,98,,,Lee J; Cho JS; Hoseok I
26,"Shah RD, Luketich JD, Schuchert MJ. Postesophagectomy chylothorax: incidence, risk factors, and outcomes. Ann Thorac Surg. 2012;93.","Postesophagectomy chylothorax: incidence, risk factors, and outcomes",Ann Thorac Surg,2012,93,,,,,Shah RD; Luketich JD; Schuchert MJ
27,"Chaddha U, Agrawal A, Feller-Kopman D. Use of fibrinolytics and deoxyribonuclease in adult patients with pleural empyema: a consensus statement. Lancet Respir Med. 2021;9.",Use of fibrinolytics and deoxyribonuclease in adult patients with pleural empyema: a consensus statement,Lancet Respir Med,2021,9,,,,,Chaddha U; Agrawal A; Feller-Kopman D
28,"Hallifax RJ, Psallidas I, Rahman NM. Chest drain size: the debate continues. Curr Pulmonol Rep. 2017;6.",Chest drain size: the debate continues,Curr Pulmonol Rep,2017,6,,,,,Hallifax RJ; Psallidas I; Rahman NM
29,"Mei F, Rota M, Bonifazi M. Efficacy of small versus large-bore chest drain in pleural infection: a systematic review and meta-analysis. Respiration. 2023;102.",Efficacy of small versus large-bore chest drain in pleural infection: a systematic review and meta-analysis,Respiration,2023,102,,,,,Mei F; Rota M; Bonifazi M
30,"Patterson GA, Todd TR, Delarue NC. Supradiaphragmatic ligation of the thoracic duct in intractable chylous fistula. Ann Thorac Surg. 1981;32.",Supradiaphragmatic ligation of the thoracic duct in intractable chylous fistula,Ann Thorac Surg,1981,32,,,,,Patterson GA; Todd TR; Delarue NC
31,"Platis IE, Nwogu CE. Chylothorax. Thorac Surg Clin. 2006;16.",Chylothorax,Thorac Surg Clin,2006,16,,,,,Platis IE; Nwogu CE
32,"Varshney VK, Suman S, Garg PK. Management options for post-esophagectomy chylothorax. Surg Today. 2021;51.",Management options for post-esophagectomy chylothorax,Surg Today,2021,51,,,,,Varshney VK; Suman S; Garg PK
33,"Akin H, Olcmen A, Isgorucu O. Approach to patients with chylothorax complicating pulmonary resection. Thorac Cardiovasc Surg. 2012;60.",Approach to patients with chylothorax complicating pulmonary resection,Thorac Cardiovasc Surg,2012,60,,,,,Akin H; Olcmen A; Isgorucu O
34,"Bolger C, Walsh TN, Tanner WA. Chylothorax after oesophagectomy. Br J Surg. 1991;78.",Chylothorax after oesophagectomy,Br J Surg,1991,78,,,,,Bolger C; Walsh TN; Tanner WA
35,"Orringer MB, Bluett M, Deeb GM. Aggressive treatment of chylothorax complicating transhiatal esophagectomy without thoracotomy. Surgery. 1988;104.",Aggressive treatment of chylothorax complicating transhiatal esophagectomy without thoracotomy,Surgery,1988,104,,,,,Orringer MB; Bluett M; Deeb GM
36,"Ferguson MK, Little AG, Skinner DB. Current concepts in the management of postoperative chylothorax. Ann Thorac Surg. 1985;40.",Current concepts in the management of postoperative chylothorax,Ann Thorac Surg,1985,40,,,,,Ferguson MK; Little AG; Skinner DB
37,"Pimpec-Barthes L, Pham F, Jouan M, J. Peritoneoatrial shunting for intractable chylous ascites complicating thoracic duct ligation. Ann Thorac Surg. 2009;87.",Peritoneoatrial shunting for intractable chylous ascites complicating thoracic duct ligation,Ann Thorac Surg,2009,87,,,,,Pimpec-Barthes L; Pham F; Jouan M; J
38,"Kim PH, Tsauo J, Shin JH. Lymphatic interventions for chylothorax: a systematic review and meta-analysis. J Vasc Interv Radiol. 2018;29.",Lymphatic interventions for chylothorax: a systematic review and meta-analysis,J Vasc Interv Radiol,2018,29,,,,,Kim PH; Tsauo J; Shin JH
39,"Nadolski GJ, Itkin M, Al. Lymphangiography and thoracic duct embolization following unsuccessful thoracic duct ligation: imaging findings and outcomes. J Thorac Cardiovasc Surg. 2018;156. doi:10.1183/13993003.00470-202413.",Lymphangiography and thoracic duct embolization following unsuccessful thoracic duct ligation: imaging findings and outcomes,J Thorac Cardiovasc Surg,2018,156,,,10.1183/13993003.00470-202413,,Nadolski GJ; Itkin M; Al
40,"Meisinger QC, 'brien O, Itkin S, M. Use of sequential pneumatic compression devices to facilitate propagation of contrast during intranodal lymphangiography. J Vasc Interv Radiol. 2017;28.",Use of sequential pneumatic compression devices to facilitate propagation of contrast during intranodal lymphangiography,J Vasc Interv Radiol,2017,28,,,,,Meisinger QC; 'brien O; Itkin S; M
41,"Laslett D, Trerotola SO, Itkin M. Delayed complications following technically successful thoracic duct embolization. J Vasc Interv Radiol. 2012;23.",Delayed complications following technically successful thoracic duct embolization,J Vasc Interv Radiol,2012,23,,,,,Laslett D; Trerotola SO; Itkin M
42,"Pillay TG, Singh B. A review of traumatic chylothorax. Injury. 2016;47.",A review of traumatic chylothorax,Injury,2016,47,,,,,Pillay TG; Singh B
43,"Bender B, Murthy V, Chamberlain RS. The changing management of chylothorax in the modern era. Eur J Cardiothorac Surg. 2016;49.",The changing management of chylothorax in the modern era,Eur J Cardiothorac Surg,2016,49,,,,,Bender B; Murthy V; Chamberlain RS
44,"Misthos P, Kanakis MA, Lioulias AG. Chylothorax complicating thoracic surgery: conservative or early surgical management?. Updates Surg. 2012;64.",Chylothorax complicating thoracic surgery: conservative or early surgical management?,Updates Surg,2012,64,,,,,Misthos P; Kanakis MA; Lioulias AG
45,"Zabeck H, Muley T, Dienemann H. Management of chylothorax in adults: when is surgery indicated?. Thorac Cardiovasc Surg. 2011;59.",Management of chylothorax in adults: when is surgery indicated?,Thorac Cardiovasc Surg,2011,59,,,,,Zabeck H; Muley T; Dienemann H
46,"Strausser JL, Flye MW. Management of nontraumatic chylothorax. Ann Thorac Surg. 1981;31.",Management of nontraumatic chylothorax,Ann Thorac Surg,1981,31,,,,,Strausser JL; Flye MW
47,"Graham DD, Mcgahren ED, Tribble CG. Use of video-assisted thoracic surgery in the treatment of chylothorax. Ann Thorac Surg. 1994;57.",Use of video-assisted thoracic surgery in the treatment of chylothorax,Ann Thorac Surg,1994,57,,,,,Graham DD; Mcgahren ED; Tribble CG
48,"Rajagopala S, Kancherla R, Ramanathan RP. Tuberculosis-associated chylothorax: case report and systematic review of the literature. Respir Int Rev Thorac Dis. 2018;95.",Tuberculosis-associated chylothorax: case report and systematic review of the literature,Respir Int Rev Thorac Dis,2018,95,,,,,Rajagopala S; Kancherla R; Ramanathan RP
