#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Semaan R, Yarmus L. Rigid bronchoscopy and silicone stents in the management of central airway obstruction. J Thorac Dis. 2015;7(Suppl 4).",Rigid bronchoscopy and silicone stents in the management of central airway obstruction,J Thorac Dis,2015,7,Suppl 4,,,,Semaan R; Yarmus L
2,"Pathak V, Welsby I, Mahmood K, Wahidi M, Macintyre N, Shofer S. Ventilation and anesthetic approaches for rigid bronchoscopy. Ann Am Thorac Soc. 2014;11(4).",Ventilation and anesthetic approaches for rigid bronchoscopy,Ann Am Thorac Soc,2014,11,4,,,,Pathak V; Welsby I; Mahmood K; Wahidi M; Macintyre N; Shofer S
3,"Berg H, Roed J, Viby-Mogensen J, Mortensen CR, Engbaek J, Skovgaard LT. Residual neuromuscular block is a risk factor for postoperative pulmonary complications. A prospective, randomised, and blinded study of postoperative pulmonary complications after atracurium, vecuronium and pancuronium. Acta Anaesthesiol Scand. 1997;41(9).","Residual neuromuscular block is a risk factor for postoperative pulmonary complications. A prospective, randomised, and blinded study of postoperative pulmonary complications after atracurium, vecuronium and pancuronium",Acta Anaesthesiol Scand,1997,41,9,,,,Berg H; Roed J; Viby-Mogensen J; Mortensen CR; Engbaek J; Skovgaard LT
4,"Murphy GS, Szokol JW, Marymont JH, Greenberg SB, Avram MJ, Vender JS. Residual neuromuscular blockade and critical respiratory events in the postanesthesia care unit. Anesth Analg. 2008;107(1).",Residual neuromuscular blockade and critical respiratory events in the postanesthesia care unit,Anesth Analg,2008,107,1,,,,Murphy GS; Szokol JW; Marymont JH; Greenberg SB; Avram MJ; Vender JS
5,"Brull SJ, Murphy GS. Residual neuromuscular block: lessons unlearned. Part II: methods to reduce the risk of residual weakness. Anesth Analg. 2010;111(1).",Residual neuromuscular block: lessons unlearned. Part II: methods to reduce the risk of residual weakness,Anesth Analg,2010,111,1,,,,Brull SJ; Murphy GS
6,"Butterly A, Bittner EA, George E, Sandberg WS, Eikermann M, Schmidt U. Postoperative residual curarization from intermediate-acting neuromuscular blocking agents delays recovery room discharge. Br J Anaesth. 2010;105(3).",Postoperative residual curarization from intermediate-acting neuromuscular blocking agents delays recovery room discharge,Br J Anaesth,2010,105,3,,,,Butterly A; Bittner EA; George E; Sandberg WS; Eikermann M; Schmidt U
7,"Murphy GS, Brull SJ. Residual neuromuscular block: lessons unlearned. Part I: definitions, incidence, and adverse physiologic effects of residual neuromuscular block. Anesth Analg. 2010;111(1).","Residual neuromuscular block: lessons unlearned. Part I: definitions, incidence, and adverse physiologic effects of residual neuromuscular block",Anesth Analg,2010,111,1,,,,Murphy GS; Brull SJ
8,"Murphy GS, Szokol JW, Avram MJ, Greenberg SB, Shear T, Vender JS. Postoperative residual neuromuscular blockade is associated with impaired clinical recovery. Anesth Analg. 2013;117(1).",Postoperative residual neuromuscular blockade is associated with impaired clinical recovery,Anesth Analg,2013,117,1,,,,Murphy GS; Szokol JW; Avram MJ; Greenberg SB; Shear T; Vender JS
9,"Mclean DJ, Diaz-Gil D, Farhan HN, Ladha KS, Kurth T, Eikermann M. Dose-dependent Association between Intermediate-acting Neuromuscular-blocking Agents and Postoperative Respiratory Complications. Anesthesiology. 2015;122(6).",Dose-dependent Association between Intermediate-acting Neuromuscular-blocking Agents and Postoperative Respiratory Complications,Anesthesiology,2015,122,6,,,,Mclean DJ; Diaz-Gil D; Farhan HN; Ladha KS; Kurth T; Eikermann M
10,"Hanowell LH, Martin WR, Savelle JE, Foppiano LE. Complications of general anesthesia for Nd:YAG laser resection of endobronchial tumors. Chest. 1991;99(1).",Complications of general anesthesia for Nd:YAG laser resection of endobronchial tumors,Chest,1991,99,1,,,,Hanowell LH; Martin WR; Savelle JE; Foppiano LE
11,"Kumar GV, Nair AP, Murthy HS, Jalaja KR, Ramachandra K, Parameshwara G. Residual neuromuscular blockade affects postoperative pulmonary function. Anesthesiology. 2012;117(6).",Residual neuromuscular blockade affects postoperative pulmonary function,Anesthesiology,2012,117,6,,,,Kumar GV; Nair AP; Murthy HS; Jalaja KR; Ramachandra K; Parameshwara G
12,"Cedborg AI, Sundman E, Bodén K, Hedström HW, Kuylenstierna R, Ekberg O. Pharyngeal function and breathing pattern during partial neuromuscular block in the elderly: effects on airway protection. Anesthesiology. 2014;120(2).",Pharyngeal function and breathing pattern during partial neuromuscular block in the elderly: effects on airway protection,Anesthesiology,2014,120,2,,,,Cedborg AI; Sundman E; Bodén K; Hedström HW; Kuylenstierna R; Ekberg O
13,"Van Pelt M, Chitilian HV, Eikerman M. Multifaceted initiative designed to improve safety of neuromuscular blockade. Anesthesia Patient Safety Foundation. 2016;30(3).",Multifaceted initiative designed to improve safety of neuromuscular blockade,Anesthesia Patient Safety Foundation,2016,30,3,,,,Van Pelt M; Chitilian HV; Eikerman M
14,"Carron M, Zarantonello F, Lazzarotto N, Tellaroli P, Ori C. Role of sugammadex in accelerating postoperative discharge: A meta-analysis. J Clin Anesth. 2017;39.",Role of sugammadex in accelerating postoperative discharge: A meta-analysis,J Clin Anesth,2017,39,,,,,Carron M; Zarantonello F; Lazzarotto N; Tellaroli P; Ori C
15,"O'reilly-Shah VN, Wolf FA, Jabaley CS, Lynde GC. Using a worldwide in-app survey to explore sugammadex usage patterns: a prospective observational study. Br J Anaesth. 2017;119(2).",Using a worldwide in-app survey to explore sugammadex usage patterns: a prospective observational study,Br J Anaesth,2017,119,2,,,,O'reilly-Shah VN; Wolf FA; Jabaley CS; Lynde GC
16,"Cavaliere S, Foccoli P, Farina PL. Nd:YAG laser bronchoscopy. A five-year experience with 1,396 applications in 1,000 patients. Chest. 1988;94(1).","Nd:YAG laser bronchoscopy. A five-year experience with 1,396 applications in 1,000 patients",Chest,1988,94,1,,,,Cavaliere S; Foccoli P; Farina PL
17,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97(2).,A dedicated tracheobronchial stent,Chest,1990,97,2,,,,Dumon JF
18,"Diaz-Jimenez JP, Muñoz EF, Martinez Ballarin JI, Kovitz KL, Presas FM. Silicone stents in the management of obstructive tracheobronchial lesions: 2-year experience. J Bronchol. 1994;1(1).",Silicone stents in the management of obstructive tracheobronchial lesions: 2-year experience,J Bronchol,1994,1,1,,,,Diaz-Jimenez JP; Muñoz EF; Martinez Ballarin JI; Kovitz KL; Presas FM
19,"Perrin G, Colt HG, Martin C, Mak MA, Dumon JF, Gouin F. Safety of interventional rigid bronchoscopy using intravenous anesthesia and spontaneous assisted ventilation. A prospective study. Chest. 1992;102(5).",Safety of interventional rigid bronchoscopy using intravenous anesthesia and spontaneous assisted ventilation. A prospective study,Chest,1992,102,5,,,,Perrin G; Colt HG; Martin C; Mak MA; Dumon JF; Gouin F
