#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Mark R, Bowling J, Flandes EE et al.. Wolvers: Conceptualization, Methodology. Haiying Lin: Software, Formal analysis. Wolvers: Conceptualization, Methodology. Haiying Lin: Software, Formal analysis. None;None.","Wolvers: Conceptualization, Methodology. Haiying Lin: Software, Formal analysis","Wolvers: Conceptualization, Methodology. Haiying Lin: Software, Formal analysis",,,,,,,Mark R; Bowling J; Flandes EE; Folch TR; Gildea KL; Hood; Sandeep J; Khandhar WS; Krimsky H; Lin JS; Mattingley; Septimiu D; Murgu JJ
2,"Folch EE, Hood KL, Sandeep J et al.. Wolvers: Analysis design, Interpretation. Data collection. None;None.","Wolvers: Analysis design, Interpretation",Data collection,,,,,,,Folch EE; Hood KL; Sandeep J; Khandhar H; Lin JS; Mattingley JJ; Douglas A; Arenberg S; Bansal M; Bezzi K; Bhadra MR; Bowling M; Christensen J; Flandes TR; Gildea K; Hogarth WS; Krimsky B; Lamprecht K; Lau AK; Mahajan JS; Mattingley; Septimiu D; Murgu BA; Murillo MA; Nead MA; Pritchett J; Singh CW; Towe
3,"Folch EE, Hood KL, Sandeep J, Khand. None. None. None;None.",,,,,,,,,Folch EE; Hood KL; Sandeep J; Khand
4,"Arenberg DA, Bansal S, Bezzi M et al.. Wolvers: Writingreview and editing. Wolvers: Writingreview and editing. None;None.",Wolvers: Writingreview and editing,Wolvers: Writingreview and editing,,,,,,,Arenberg DA; Bansal S; Bezzi M; Bhadra K; Bowling MR; Christensen M; Flandes J; Folch EE; Gildea TR; Hogarth K; Hood KL; Krimsky WS; Lamprecht B; Lau K; Lemense GP; Lin H; Mahajan AK; Mattingley JS; Septimiu D; Murgu BA; Murillo MA; Nead MA; Pritchett J; Singh CW; Towe JJ
5,"Siegel RL, Miller KD, Fuchs HE, Jemal A. Cancer statistics, 2021. CA Cancer J Clin. 2021;71.","Cancer statistics, 2021",CA Cancer J Clin,2021,71,,,,,Siegel RL; Miller KD; Fuchs HE; Jemal A
6,"De Koning HJ, Van Der Aalst CM, Jong PA. Reduced lung-cancer mortality with volume CT screening in a randomized trial. N Engl J Med. 2020;382.",Reduced lung-cancer mortality with volume CT screening in a randomized trial,N Engl J Med,2020,382,,,,,De Koning HJ; Van Der Aalst CM; Jong PA
7,"Lung N, Trial S, Team R. Lung cancer incidence and mortality with extended follow-up in the national lung screening trial. J Thorac Oncol. 2019;14.",Lung cancer incidence and mortality with extended follow-up in the national lung screening trial,J Thorac Oncol,2019,14,,,,,Lung N; Trial S; Team R
8," NCCN Clinical Practice Guidelines in Oncology: non-small cell lung cancer, version 4. NCCN Clinical Practice Guidelines in Oncology: non-small cell lung cancer, version 4. 2021;None.","NCCN Clinical Practice Guidelines in Oncology: non-small cell lung cancer, version 4","NCCN Clinical Practice Guidelines in Oncology: non-small cell lung cancer, version 4",2021,,,,,,
9,"Mehta AC, Hood KL, Schwarz Y, Solomon SB. The evolutional history of electromagnetic navigation bronchoscopy: state of the art. Chest. 2018;154.",The evolutional history of electromagnetic navigation bronchoscopy: state of the art,Chest,2018,154,,,,,Mehta AC; Hood KL; Schwarz Y; Solomon SB
10,"Cicenia J, Avasarala SK, Gildea TR. Navigational bronchoscopy: a guide through history, current use, and developing technology. J Thorac Dis. 2020;12.","Navigational bronchoscopy: a guide through history, current use, and developing technology",J Thorac Dis,2020,12,,,,,Cicenia J; Avasarala SK; Gildea TR
11,"Wiener RS, Schwartz LM, Woloshin S, Welch HG. Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records. Ann Intern Med. 2011;155.",Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records,Ann Intern Med,2011,155,,,,,Wiener RS; Schwartz LM; Woloshin S; Welch HG
12,Pritchett MA. Prospective analysis of a novel endobronchial augmented fluoroscopic navigation system for diagnosis of peripheral pulmonary lesions. J Bronchol Interv Pulmonol. 2021;28.,Prospective analysis of a novel endobronchial augmented fluoroscopic navigation system for diagnosis of peripheral pulmonary lesions,J Bronchol Interv Pulmonol,2021,28,,,,,Pritchett MA
13,"Pritchett MA, Bhadra K, Mattingley JS. Electromagnetic navigation bronchoscopy with tomosynthesis-based visualization and positional correction: threedimensional accuracy as confirmed by cone-beam computed tomography. J Bronchol Interv Pulmonol. 2021;28.",Electromagnetic navigation bronchoscopy with tomosynthesis-based visualization and positional correction: threedimensional accuracy as confirmed by cone-beam computed tomography,J Bronchol Interv Pulmonol,2021,28,,,,,Pritchett MA; Bhadra K; Mattingley JS
