#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sung H, Ferlay J, Siegel RL. Global Cancer Statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2021;71.",Global Cancer Statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,CA Cancer J Clin,2021,71,,,,,Sung H; Ferlay J; Siegel RL
2,"Islami F, Ward EM, Sung H. Annual report to the nation on the status of cancer, Part 1: National cancer statistics. J Natl Cancer Inst. 2021;113.","Annual report to the nation on the status of cancer, Part 1: National cancer statistics",J Natl Cancer Inst,2021,113,,,,,Islami F; Ward EM; Sung H
3,"Henley SJ, Thomas CC, Lewis DR. Annual report to the nation on the status of cancer, part II: Progress toward Healthy People 2020 objectives for 4 common cancers. Annual report to the nation on the status of cancer, part II: Progress toward Healthy People 2020 objectives for 4 common cancers. 2020;126.","Annual report to the nation on the status of cancer, part II: Progress toward Healthy People 2020 objectives for 4 common cancers","Annual report to the nation on the status of cancer, part II: Progress toward Healthy People 2020 objectives for 4 common cancers",2020,126,,,,,Henley SJ; Thomas CC; Lewis DR
4,"Siegel RL, Miller KD, Wagle NS, Jemal A. Cancer statistics, 2023. CA Cancer J Clin. 2023;73.","Cancer statistics, 2023",CA Cancer J Clin,2023,73,,,,,Siegel RL; Miller KD; Wagle NS; Jemal A
5,"Fedewa SA, Bandi P, Smith RA. Lung cancer screening rates during the COVID-19 pandemic. Chest. 2022;161.",Lung cancer screening rates during the COVID-19 pandemic,Chest,2022,161,,,,,Fedewa SA; Bandi P; Smith RA
6, SEER*Explorer: An interactive website for SEER cancer statistics. SEER*Explorer: An interactive website for SEER cancer statistics. None;None.,SEER*Explorer: An interactive website for SEER cancer statistics,SEER*Explorer: An interactive website for SEER cancer statistics,,,,,,,
7,"Jemal A, Ward EM, Johnson CJ. Annual report to the nation on the status of cancer, 1975-2014, featuring survival. J Natl Cancer Inst. 2017;109.","Annual report to the nation on the status of cancer, 1975-2014, featuring survival",J Natl Cancer Inst,2017,109,,,,,Jemal A; Ward EM; Johnson CJ
8,"Jemal A, Thun MJ, Ries LA. Annual report to the nation on the status of cancer, 1975-2005, featuring trends in lung cancer, tobacco use, and tobacco control. J Natl Cancer Inst. 2008;100.","Annual report to the nation on the status of cancer, 1975-2005, featuring trends in lung cancer, tobacco use, and tobacco control",J Natl Cancer Inst,2008,100,,,,,Jemal A; Thun MJ; Ries LA
9,"Lung N, Trial Research S, Aberle T, Berg DR, CD. The National Lung Screening Trial: overview and study design. Radiology. 2011;258.",The National Lung Screening Trial: overview and study design,Radiology,2011,258,,,,,Lung N; Trial Research S; Aberle T; Berg DR; CD
10,"De Koning HJ, Van Der Aalst CM, Jong PA. Reduced lungcancer mortality with volume CT screening in a randomized trial. N Engl J Med. 2020;382.",Reduced lungcancer mortality with volume CT screening in a randomized trial,N Engl J Med,2020,382,,,,,De Koning HJ; Van Der Aalst CM; Jong PA
11,"Lung N, Trial Research S, Aberle T, Adams DR, AM. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,,,,,Lung N; Trial Research S; Aberle T; Adams DR; AM
12,"Sands J, Tammemagi MC, Couraud S. Lung screening benefits and challenges: A review of the data and outline for implementation. J Thorac Oncol. 2021;16.",Lung screening benefits and challenges: A review of the data and outline for implementation,J Thorac Oncol,2021,16,,,,,Sands J; Tammemagi MC; Couraud S
13,"Lung N, Research ST, T. Lung Cancer Incidence and Mortality with Extended Follow-up in the National Lung Screening Trial. J Thorac Oncol. 2019;14.",Lung Cancer Incidence and Mortality with Extended Follow-up in the National Lung Screening Trial,J Thorac Oncol,2019,14,,,,,Lung N; Research ST; T
14,"Walter FM, Rubin G, Bankhead C. Symptoms and other factors associated with time to diagnosis and stage of lung cancer: a prospective cohort study. Br J Cancer. 2015;112(Suppl 1).",Symptoms and other factors associated with time to diagnosis and stage of lung cancer: a prospective cohort study,Br J Cancer,2015,112,Suppl 1,,,,Walter FM; Rubin G; Bankhead C
15,"Okoli GN, Kostopoulou O, Delaney BC. Is symptom-based diagnosis of lung cancer possible? A systematic review and meta-analysis of symptomatic lung cancer prior to diagnosis for comparison with real-time data from routine general practice. PLoS One. 2018;13:207686.",Is symptom-based diagnosis of lung cancer possible? A systematic review and meta-analysis of symptomatic lung cancer prior to diagnosis for comparison with real-time data from routine general practice,PLoS One,2018,13,,207686,,,Okoli GN; Kostopoulou O; Delaney BC
