#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Shapshay SM, Introduction. Yaglaser bronchoscopy. Yaglaser bronchoscopy. 1985;None.",Yaglaser bronchoscopy,Yaglaser bronchoscopy,1985,,,,,,Shapshay SM; Introduction
2,Shapshay SM. Laser applications in the trachea and bronchus: a comparative study of the soft tissue effects using contact and non-contact delivery systems. Laryngoscope. 1987;97(41).,Laser applications in the trachea and bronchus: a comparative study of the soft tissue effects using contact and non-contact delivery systems,Laryngoscope,1987,97,41,,,,Shapshay SM
3,"Toty L, Personne C, Hertzog ~colchen A, Lotteaw J, Romanelli J. Utilisation d'un faisceau laser (YAG) aconducteur souple, pour Ie traitement endoscopique de certaines lesions tracheobronchiques. Rev Fr Mal Respir. 1979;7.","Utilisation d'un faisceau laser (YAG) aconducteur souple, pour Ie traitement endoscopique de certaines lesions tracheobronchiques",Rev Fr Mal Respir,1979,7,,,,,Toty L; Personne C; Hertzog ~colchen A; Lotteaw J; Romanelli J
4,"Dumon JF, Reboud E, Garbe L, Aucomte F, Merlc B. Treatment Nd-VAGLaser Bronchoscopy (Cavaliere, Foccoll, Farina) of tracheobronchial lesions by laser photoresection. Chest. 1982;81.","Treatment Nd-VAGLaser Bronchoscopy (Cavaliere, Foccoll, Farina) of tracheobronchial lesions by laser photoresection",Chest,1982,81,,,,,Dumon JF; Reboud E; Garbe L; Aucomte F; Merlc B
5,"Bourcereau J, Gharbi N, Lescot ~marchal M. YAG laser in bronchial endoscopy Laser. Med Microchir. 1982;1.",YAG laser in bronchial endoscopy Laser,Med Microchir,1982,1,,,,,Bourcereau J; Gharbi N; Lescot ~marchal M
6,"Oho K, Ogawa I, Amemiya R, Ohtani 1: Yamada R. Indications for endoscopic Nd:YAG laser surgery in the trachea and bronchus. Endoscopy. 1983;15.",Indications for endoscopic Nd:YAG laser surgery in the trachea and bronchus,Endoscopy,1983,15,,,,,Oho K; Ogawa I; Amemiya R; Ohtani 1: Yamada R
7,"Mcdougall JC, CD. Neodymium-YAG laser therapy of malignant airway obstruction: a preliminary report. Mayo Clin Proc. 1983;58.",Neodymium-YAG laser therapy of malignant airway obstruction: a preliminary report,Mayo Clin Proc,1983,58,,,,,Mcdougall JC; CD
8,"Dumon JF, Shapshay SM, Bourcereau}, Cavaliere S, Meric B, Garby N. Principles for safety in application of the neodymium-YAG laser in bronchology. Chest. 1984;86.",Principles for safety in application of the neodymium-YAG laser in bronchology,Chest,1984,86,,,,,Dumon JF; Shapshay SM; Bourcereau}; Cavaliere S; Meric B; Garby N
9,"Gelf AF, Epstein OJ. Laser in treatment of lung cancer. Chest. 1984;86.",Laser in treatment of lung cancer,Chest,1984,86,,,,,Gelf AF; Epstein OJ
10,"Joyner Lr, Maran AG, Sarama R, Yakaboski A. Neodymium-YAG laser treatment of intrabronchiallesions: a new mapping technique via the Hexible fiberoptic bronchoscope. Chest. 1985;87.",Neodymium-YAG laser treatment of intrabronchiallesions: a new mapping technique via the Hexible fiberoptic bronchoscope,Chest,1985,87,,,,,Joyner Lr; Maran AG; Sarama R; Yakaboski A
11,"Shapshay SM, Dumon JF, Beamis JF. Endoscopic treatment of trachea-bronchial malignancy: experience with Nd-YAG and CO 2 lasers in 506operations. Otolaryngol Head Neck Surg. 1985;93.",Endoscopic treatment of trachea-bronchial malignancy: experience with Nd-YAG and CO 2 lasers in 506operations,Otolaryngol Head Neck Surg,1985,93,,,,,Shapshay SM; Dumon JF; Beamis JF
12,"Kvale PA, Eichenhorn MS, Radke JR, Moo. YAG laser photoresection of lesions obstructing the central airways. Chest. 1985;87.",YAG laser photoresection of lesions obstructing the central airways,Chest,1985,87,,,,,Kvale PA; Eichenhorn MS; Radke JR; Moo
13,"Cavaliere S, Valenti F. II laser YAG in broncologia. Medicina Toracica. 1983;3.",II laser YAG in broncologia,Medicina Toracica,1983,3,,,,,Cavaliere S; Valenti F
14,Cavaliere S. Nd-YAGlaser resection of tracheobronchial lesions. Pan Moo. 1986;28.,Nd-YAGlaser resection of tracheobronchial lesions,Pan Moo,1986,28,,,,,Cavaliere S
15,Dumon JF. YAG laser bronchoscopy. YAG laser bronchoscopy. 1985;None.,YAG laser bronchoscopy,YAG laser bronchoscopy,1985,,,,,,Dumon JF
16,"Kaplan EI, Meier E. Nonparametric estimation from incomplete observations. J Am Stat Assoc. 1958;53.",Nonparametric estimation from incomplete observations,J Am Stat Assoc,1958,53,,,,,Kaplan EI; Meier E
17,"Brutinel WM, Mcdougall CD, Gillio JC, Bergstrahl RG, EJ. A two year experience with the neodymium-YAG laser in endobronchial obstruction. Update on Cardiopulmonary Diseases at the Taj Intercontinental Hotel Convention Center. 1987;91.",A two year experience with the neodymium-YAG laser in endobronchial obstruction,Update on Cardiopulmonary Diseases at the Taj Intercontinental Hotel Convention Center,1987,91,,,,,Brutinel WM; Mcdougall CD; Gillio JC; Bergstrahl RG; EJ
