#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Jain P, Fleming P, Mehta AC. Radiation safety for health care workers in the bronchoscopy suite. Clin Chest Med. 1999;20.",Radiation safety for health care workers in the bronchoscopy suite,Clin Chest Med,1999,20,,,,,Jain P; Fleming P; Mehta AC
2, The 2007 recommendations of the International Commission on Radiological Protection. ICRP Publication. 2007;103.,The 2007 recommendations of the International Commission on Radiological Protection,ICRP Publication,2007,103,,,,,
3,"Zielinski JM, Garner MJ, Band PR. Health outcomes of low-dose ionizing radiation exposure among medical workers: a cohort study of the Canadian national dose registry of radiation workers. Int J Occup Med Environ Health. 2009;22.",Health outcomes of low-dose ionizing radiation exposure among medical workers: a cohort study of the Canadian national dose registry of radiation workers,Int J Occup Med Environ Health,2009,22,,,,,Zielinski JM; Garner MJ; Band PR
4,"Steinfort DP, Einsiedel P, Irving LB. Radiation dose to patients and clinicians during fluoroscopically-guided biopsy of peripheral pulmonary lesions. Respir Care. 2010;55.",Radiation dose to patients and clinicians during fluoroscopically-guided biopsy of peripheral pulmonary lesions,Respir Care,2010,55,,,,,Steinfort DP; Einsiedel P; Irving LB
5,"Katsurada M, Izumo T, Nagai Y. The dose and risk factors for radiation exposure to medical staff during endobronchial ultrasonography with a guide sheath for peripheral pulmonary lesions under X-ray fluoroscopy. Jpn J Clin Oncol. 2014;44.",The dose and risk factors for radiation exposure to medical staff during endobronchial ultrasonography with a guide sheath for peripheral pulmonary lesions under X-ray fluoroscopy,Jpn J Clin Oncol,2014,44,,,,,Katsurada M; Izumo T; Nagai Y
6,"Buls N, Pagés J, De Mey J. Evaluation of patient and staff doses during various CT fluoroscopy guided interventions. Health Phys. 2003;85.",Evaluation of patient and staff doses during various CT fluoroscopy guided interventions,Health Phys,2003,85,,,,,Buls N; Pagés J; De Mey J
7,"Zhuo SQ, Chen L, Zhang FJ. Environmental radiation dose monitor after 125I radioactive seed implantation. Ai Zheng. 2007;26.",Environmental radiation dose monitor after 125I radioactive seed implantation,Ai Zheng,2007,26,,,,,Zhuo SQ; Chen L; Zhang FJ
8, Control of Smoke from Laser/Electric Surgical Procedures. Control of Smoke from Laser/Electric Surgical Procedures. 2015;None.,Control of Smoke from Laser/Electric Surgical Procedures,Control of Smoke from Laser/Electric Surgical Procedures,2015,,,,,,
9,"Ibald ; Mulli A, Wichmann H, Kreyling WG. Epidemiologi-cal Evidence on Health Effects of Ultrafine Particles. J Aerosol Med. 2002;15.",Epidemiologi-cal Evidence on Health Effects of Ultrafine Particles,J Aerosol Med,2002,15,,,,,Ibald ; Mulli A; Wichmann H; Kreyling WG
10,"Karsai S, Däschlein G. Smoking guns"": hazards generated by laser and electrocautery smoke. J Dtsch Dermatol Ges. 2012;10.","Smoking guns"": hazards generated by laser and electrocautery smoke",J Dtsch Dermatol Ges,2012,10,,,,,Karsai S; Däschlein G
11,"Brüske-Hohlfeld I, Preissler G, Jauch KW. Surgical smoke and ultrafine particles. J Occup Med Toxicol. 2008;3:31.",Surgical smoke and ultrafine particles,J Occup Med Toxicol,2008,3,,31,,,Brüske-Hohlfeld I; Preissler G; Jauch KW
12,"Fan JK, Chan FS, Chu KM. Surgical smoke. Asian J Surg. 2009;32.",Surgical smoke,Asian J Surg,2009,32,,,,,Fan JK; Chan FS; Chu KM
13,"Hensman C, Baty D, Willis RG. Chemical composition of smoke produced by high-frequency electrosurgery in a closed gaseous environment. An in vitro study. Surg Endosc. 1998;12.",Chemical composition of smoke produced by high-frequency electrosurgery in a closed gaseous environment. An in vitro study,Surg Endosc,1998,12,,,,,Hensman C; Baty D; Willis RG
14,"Barrett WL, Garber SM. Surgical smoke: a review of the literature. Is this just a lot of hot air?. Surg Endosc. 2003;17.",Surgical smoke: a review of the literature. Is this just a lot of hot air?,Surg Endosc,2003,17,,,,,Barrett WL; Garber SM
