#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Preventing surgical fires. Preventing surgical fires. 2018;None.,Preventing surgical fires,Preventing surgical fires,2018,,,,,,
2,"Jones SB, Jones DB, Schwaitzberg S. Only you can prevent OR fires. Ann Surg. 2014;260.",Only you can prevent OR fires,Ann Surg,2014,260,,,,,Jones SB; Jones DB; Schwaitzberg S
3,"Macfarlane S, Yarborough R, Piper J, Jones S. Patients report suffering severe burns from fires during surgery. Patients report suffering severe burns from fires during surgery. 2018;None.",Patients report suffering severe burns from fires during surgery,Patients report suffering severe burns from fires during surgery,2018,,,,,,Macfarlane S; Yarborough R; Piper J; Jones S
4,"Mehta SP, Bhananker SM, Posner KL, Domino KB. Operating room fires: A closed claims analysis. Anesthesiology. 2013;118.",Operating room fires: A closed claims analysis,Anesthesiology,2013,118,,,,,Mehta SP; Bhananker SM; Posner KL; Domino KB
5," Three ""Never Complications of Surgery"" are hardly that. Three ""Never Complications of Surgery"" are hardly that. 2019;None.","Three ""Never Complications of Surgery"" are hardly that","Three ""Never Complications of Surgery"" are hardly that",2019,,,,,,
6,"Overbey DM, Townsend NT, Chapman BC et al.. Surgical energy-based device injuries and fatalities reported to the food and drug administration. J Am Coll Surg. 2015;221.",Surgical energy-based device injuries and fatalities reported to the food and drug administration,J Am Coll Surg,2015,221,,,,,Overbey DM; Townsend NT; Chapman BC; Bennett DT; Foley LS; Rau AS; Yi JA; Jones EL; Stiegmann GV; Robinson TN
7,"Apfelbaum JL, Caplan RA, Barker SJ et al.. American Society of Anesthesiologists Task Force on Operating Room Fires: Practice advisory for the prevention and management of operating room fires: An updated report by the American Society of Anesthesiologists Task Force on Operating Room Fires. Anesthesiology. 2013;118.",American Society of Anesthesiologists Task Force on Operating Room Fires: Practice advisory for the prevention and management of operating room fires: An updated report by the American Society of Anesthesiologists Task Force on Operating Room Fires,Anesthesiology,2013,118,,,,,Apfelbaum JL; Caplan RA; Barker SJ; Connis RT; Cowles C; Ehrenwerth J; Nickinovich DG; Pritchard D; Roberson DW; Caplan RA; Barker SJ; Connis RT; Cowles C; De Richemond AL; Ehrenwerth J; Nickinovich DG; Pritchard D; Roberson DW; Wolf GL
8, Fire Safety Video. Fire Safety Video. 2018;None.,Fire Safety Video,Fire Safety Video,2018,,,,,,
9,Fuchshuber P. Only teams can prevent OR fires. Only teams can prevent OR fires. 2018;None.,Only teams can prevent OR fires,Only teams can prevent OR fires,2018,,,,,,Fuchshuber P
10,Mathias JM. Scoring fire risk for surgical patients. OR Manager. 2006;22.,Scoring fire risk for surgical patients,OR Manager,2006,22,,,,,Mathias JM
11,Ellis M. Surgical Fire Risk Assessment Tool. Surgical Fire Risk Assessment Tool. 2018;None.,Surgical Fire Risk Assessment Tool,Surgical Fire Risk Assessment Tool,2018,,,,,,Ellis M
12,Goldberg J. Brief laboratory report: Surgical drape flammability. AANA J. 2006;74.,Brief laboratory report: Surgical drape flammability,AANA J,2006,74,,,,,Goldberg J
13, ECRI: Devastation of patient fires. Health Devices. 1992;21.,ECRI: Devastation of patient fires,Health Devices,1992,21,,,,,
14,"Barash PG, Cullen BF, Stoelting RK et al.. Chapter 5 in: Electrical and Fire Safety. Chapter 5 in: Electrical and Fire Safety. 2017;None.",Chapter 5 in: Electrical and Fire Safety,Chapter 5 in: Electrical and Fire Safety,2017,,,,,,Barash PG; Cullen BF; Stoelting RK; Cahalan MK; Stock MC; Ortega R; Sharar SR; Holt NF
15,"Lampotang S, Gravenstein N, Paulus DA, Gravenstein D. Reducing the incidence of surgical fires: Supplying nasal cannulae with sub-100% O2 gas mixtures from anesthesia machines. Anesth Analg. 2005;101.",Reducing the incidence of surgical fires: Supplying nasal cannulae with sub-100% O2 gas mixtures from anesthesia machines,Anesth Analg,2005,101,,,,,Lampotang S; Gravenstein N; Paulus DA; Gravenstein D
16,"Day AT, Rivera E, Farlow JL, Gourin CG, Nussenbaum B. Surgical fires in otolaryngology: A systematic and narrative review. Otolaryngol Head Neck Surg. 2018;158.",Surgical fires in otolaryngology: A systematic and narrative review,Otolaryngol Head Neck Surg,2018,158,,,,,Day AT; Rivera E; Farlow JL; Gourin CG; Nussenbaum B
