#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Vilmann P, Clementsen PF, Colella S, Siemsen M, De Leyn P, Dumonceau JM. Combined endobronchial and oesophageal endosonography for the diagnosis and staging of lung cancer. European Society of Gastrointestinal Endoscopy (ESGE) Guideline, in cooperation with the European Respiratory Society (ERS) and the European Society of Thoracic Surgeons (ESTS). Eur Respir J. 2015;46(1).","Combined endobronchial and oesophageal endosonography for the diagnosis and staging of lung cancer. European Society of Gastrointestinal Endoscopy (ESGE) Guideline, in cooperation with the European Respiratory Society (ERS) and the European Society of Thoracic Surgeons (ESTS)",Eur Respir J,2015,46,1,,,,Vilmann P; Clementsen PF; Colella S; Siemsen M; De Leyn P; Dumonceau JM
2,"Silvestri GA, Gonzalez AV, Jantz MA, Margolis ML, Gould MK, Tanoue LT. Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;None.","Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,,,,,,Silvestri GA; Gonzalez AV; Jantz MA; Margolis ML; Gould MK; Tanoue LT
3,"Fujiwara T, Yasufuku K, Nakajima T, Chiyo M, Yoshida S, Suzuki M. The utility of sonographic features during endobronchial ultrasound-guided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system. Chest. 2010;138(3).",The utility of sonographic features during endobronchial ultrasound-guided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system,Chest,2010,138,3,,,,Fujiwara T; Yasufuku K; Nakajima T; Chiyo M; Yoshida S; Suzuki M
4,"Evison M, Morris J, Martin J, Shah R, Barber PV, Booton R. Nodal staging in lung cancer: a risk stratification model for lymph nodes classified as negative by EBUS-TBNA. J Thorac Oncol. 2015;10(1). doi:10.1159/000494143.",Nodal staging in lung cancer: a risk stratification model for lymph nodes classified as negative by EBUS-TBNA,J Thorac Oncol,2015,10,1,,10.1159/000494143,,Evison M; Morris J; Martin J; Shah R; Barber PV; Booton R
5,"Satterwhite LG, Berkowitz DM, Parks CS, Bechara RI. Central intranodal vessels to predict cytology during endobronchial ultrasound transbronchial needle aspiration. J Bronchology Interv Pulmonol. 2011;18.",Central intranodal vessels to predict cytology during endobronchial ultrasound transbronchial needle aspiration,J Bronchology Interv Pulmonol,2011,18,,,,,Satterwhite LG; Berkowitz DM; Parks CS; Bechara RI
6,"Memoli W, El-Bayoumi JS, Pastis E et al.. Using endobronchial ultrasound features to predict lymph node metastasis in patients with lung cancer. Chest. 2011;140(6).",Using endobronchial ultrasound features to predict lymph node metastasis in patients with lung cancer,Chest,2011,140,6,,,,Memoli W; El-Bayoumi JS; Pastis E; Tanner NJ; Gomez NT; Huggins M; JT
7,"Garcia-Olivé I, Monsó E, Andreo F, Sanz J, Castellà E, Llatjós M. Sensitivity of linear endobronchial ultrasonography and guided transbronchial needle aspiration for the identification of nodal metastasis in lung cancer staging. Ultrasound Med Biol. 2009;35(8).",Sensitivity of linear endobronchial ultrasonography and guided transbronchial needle aspiration for the identification of nodal metastasis in lung cancer staging,Ultrasound Med Biol,2009,35,8,,,,Garcia-Olivé I; Monsó E; Andreo F; Sanz J; Castellà E; Llatjós M
8,"Wahidi MM, Herth F, Yasufuku K, Shepherd RW, Yarmus L, Chawla M. Technical aspects of endobronchial ultrasound-guided transbronchial needle aspiration -CHEST guideline and expert panel report. Chest. 2016;149(3).",Technical aspects of endobronchial ultrasound-guided transbronchial needle aspiration -CHEST guideline and expert panel report,Chest,2016,149,3,,,,Wahidi MM; Herth F; Yasufuku K; Shepherd RW; Yarmus L; Chawla M
9,"Gong X, Xu Q, Xu Z, Xiong P, Chen YW, Y. Real-time elastography for the differentiation of benign and malignant breast lesions: a meta-analysis. Breast Cancer Res Treat. 2011;130(1).",Real-time elastography for the differentiation of benign and malignant breast lesions: a meta-analysis,Breast Cancer Res Treat,2011,130,1,,,,Gong X; Xu Q; Xu Z; Xiong P; Chen YW; Y
10,"Sadigh G, Carlos RC, Neal CH, Dwamena BA. Accuracy of quantitative ultrasound elastography for differentiation of malignant and benign breast abnormalities: a meta-analysis. Breast Cancer Res Treat. 2012;134(3).",Accuracy of quantitative ultrasound elastography for differentiation of malignant and benign breast abnormalities: a meta-analysis,Breast Cancer Res Treat,2012,134,3,,,,Sadigh G; Carlos RC; Neal CH; Dwamena BA
11,"Sun J, Cai J, Wang X. Real-time ultrasound elastography for differentiation of benign and malignant thyroid nodules: a meta-analysis. J Ultrasound Med. 2014;33(3).",Real-time ultrasound elastography for differentiation of benign and malignant thyroid nodules: a meta-analysis,J Ultrasound Med,2014,33,3,,,,Sun J; Cai J; Wang X
12,"Itoh A, Ueno E, Tohno E, Kamma H, Takahashi H, Shiina T. Breast disease: clinical application of US elastography for diagnosis. Radiology. 2006;239(2).",Breast disease: clinical application of US elastography for diagnosis,Radiology,2006,239,2,,,,Itoh A; Ueno E; Tohno E; Kamma H; Takahashi H; Shiina T
13,"Dietrich CF, Jenssen C, Arcidiacono PG, Cui XW, Giovannini M, Hocke M. Endoscopic ultrasound: elastographic lymph node evaluation. Endosc Ultrasound. 2015;4(3).",Endoscopic ultrasound: elastographic lymph node evaluation,Endosc Ultrasound,2015,4,3,,,,Dietrich CF; Jenssen C; Arcidiacono PG; Cui XW; Giovannini M; Hocke M
14,"He HY, Chen JL, Ma H, Zhu J, Wu DD, Lv XD. Value of endobronchial ultrasound elastography in diagnosis of central lung lesions. Med Sci Monit. 2017;23.",Value of endobronchial ultrasound elastography in diagnosis of central lung lesions,Med Sci Monit,2017,23,,,,,He HY; Chen JL; Ma H; Zhu J; Wu DD; Lv XD
