#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Antony VB, Loddenkemper R, Astoul P. Management of malignant pleural effusions. Eur Respir J. 2001;18(2).",Management of malignant pleural effusions,Eur Respir J,2001,18,2,,,,Antony VB; Loddenkemper R; Astoul P
2,"Rodriguez-Panadero F, Naranjo B, F, Mejias L, J. Pleural metastatic tumours and effusions. Frequency and pathogenic mechanisms in a post-mortem series. Eur Respir J. 1989;2(4).",Pleural metastatic tumours and effusions. Frequency and pathogenic mechanisms in a post-mortem series,Eur Respir J,1989,2,4,,,,Rodriguez-Panadero F; Naranjo B; F; Mejias L; J
3,"Ost DE, Jimenez CA, Lei X. Qualityadjusted survival following treatment of malignant pleural effusions with indwelling pleural catheters. Chest. 2014;145(6).",Qualityadjusted survival following treatment of malignant pleural effusions with indwelling pleural catheters,Chest,2014,145,6,,,,Ost DE; Jimenez CA; Lei X
4,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali N, Group B. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali N; Group B
5,"Simoff MJ, Lally B, Slade MG. Symptom management in patients with lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Symptom management in patients with lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Simoff MJ; Lally B; Slade MG
6,"Antunes G, Neville E, Duffy J, Ali N, Diseases G, Soccbts. BTS guidelines for the management of malignant pleural effusions. Thorax. 2003;58(suppl 2).",BTS guidelines for the management of malignant pleural effusions,Thorax,2003,58,suppl 2,,,,Antunes G; Neville E; Duffy J; Ali N; Diseases G; Soccbts
7,"Antunes G, Neville E. Management of malignant pleural effusions. Thorax. 2000;55(12).",Management of malignant pleural effusions,Thorax,2000,55,12,,,,Antunes G; Neville E
8,"Thoracic A, S. Management of malignant pleural effusions. Am J Respir Crit Care Med. 2000;162(5).",Management of malignant pleural effusions,Am J Respir Crit Care Med,2000,162,5,,,,Thoracic A; S
9,"Kvale PA, Selecky PA, Prakash UB. Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132(3).",Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,3,,,,Kvale PA; Selecky PA; Prakash UB
10,"Lee YC, Baumann MH, Maskell NA. Pleurodesis practice for malignant pleural effusions in five English-speaking countries: survey of pulmonologists. Chest. 2003;124(6).",Pleurodesis practice for malignant pleural effusions in five English-speaking countries: survey of pulmonologists,Chest,2003,124,6,,,,Lee YC; Baumann MH; Maskell NA
11,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307(22).",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,22,,,,Davies HE; Mishra EK; Kahan BC
12,"Putnam JB, Light RW, Rodriguez RM. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86(10).",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,10,,,,Putnam JB; Light RW; Rodriguez RM
13,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314(24).",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,24,,,,Rahman NM; Pepperell J; Rehal S
14,"Tremblay A, Michaud G. Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion. Chest. 2006;129(2).",Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion,Chest,2006,129,2,,,,Tremblay A; Michaud G
