#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Palliative care. Palliative care. 2017;None.,Palliative care,Palliative care,2017,,,,,,
2, Leading causes of death n. Leading causes of death n. 2016;None.,Leading causes of death n,Leading causes of death n,2016,,,,,,
3,Akgu ¨n KM. Palliative and end-of-life care for patients with malignancy. Clin Chest Med. 2017;38.,Palliative and end-of-life care for patients with malignancy,Clin Chest Med,2017,38,,,,,Akgu ¨n KM
4,Lim R. End-of-life care in patients with advanced lung cancer. Ther Adv Respir Dis. 2016;10(5).,End-of-life care in patients with advanced lung cancer,Ther Adv Respir Dis,2016,10,5,,,,Lim R
5," Surveillance, Epidemiology, and End Results Program n. Surveillance, Epidemiology, and End Results Program n. 2016;None.","Surveillance, Epidemiology, and End Results Program n","Surveillance, Epidemiology, and End Results Program n",2016,,,,,,
6,"Lilly EJ, Senderovich H. Palliative care in chronic obstructive pulmonary disease. J Crit Care. 2016;35.",Palliative care in chronic obstructive pulmonary disease,J Crit Care,2016,35,,,,,Lilly EJ; Senderovich H
7,"Boland J, Martin J, Wells AU. Palliative care for people with non-malignant lung disease: summary of current evidence and future direction. Palliat Med. 2013;27.",Palliative care for people with non-malignant lung disease: summary of current evidence and future direction,Palliat Med,2013,27,,,,,Boland J; Martin J; Wells AU
8,"Ellershaw J, Smith C, Overill S. Care of the dying: setting standards for symptom control in the last 48 hours of life. J Pain Symptom Manage. 2001;21.",Care of the dying: setting standards for symptom control in the last 48 hours of life,J Pain Symptom Manage,2001,21,,,,,Ellershaw J; Smith C; Overill S
9,"Stone P, Rees E, Hardy JR. End of life care in patients with malignant disease. Eur J Cancer. 2001;37.",End of life care in patients with malignant disease,Eur J Cancer,2001,37,,,,,Stone P; Rees E; Hardy JR
10,"Kvale PA, Selecky PA, Prakash U, College A, Physicians C. Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132.",Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,,,,,Kvale PA; Selecky PA; Prakash U; College A; Physicians C
11,"Morita T, Ichiki T, Tsunoda J. A prospective study on the dying process in terminally ill cancer patients. Am J Hosp Palliat Care. 1998;15.",A prospective study on the dying process in terminally ill cancer patients,Am J Hosp Palliat Care,1998,15,,,,,Morita T; Ichiki T; Tsunoda J
12,"Diaz-Lobato S, Smyth D, Curtis JR. Improving palliative care for patients with COPD. Eur Respir J. 2015;46.",Improving palliative care for patients with COPD,Eur Respir J,2015,46,,,,,Diaz-Lobato S; Smyth D; Curtis JR
13,"Disler RT, Currow DC, Phillips JL. Interventions to support a palliative care approach in patients with chronic obstructive pulmonary disease: an integrative review. Int J Nurs Stud. 2012;49.",Interventions to support a palliative care approach in patients with chronic obstructive pulmonary disease: an integrative review,Int J Nurs Stud,2012,49,,,,,Disler RT; Currow DC; Phillips JL
14,"Rome RB, Luminais HH, Bourgeois DA. The role of palliative care at the end of life. Ochsner J. 2011;11.",The role of palliative care at the end of life,Ochsner J,2011,11,,,,,Rome RB; Luminais HH; Bourgeois DA
15,"Hui D, Li Z, Chisholm GB. Changes in medication profile among patients with advanced cancer admitted to an acute palliative care unit. Support Care Cancer. 2015;23.",Changes in medication profile among patients with advanced cancer admitted to an acute palliative care unit,Support Care Cancer,2015,23,,,,,Hui D; Li Z; Chisholm GB
16, Palliative care related definition. Palliative care related definition. 2017;None.,Palliative care related definition,Palliative care related definition,2017,,,,,,
17,"Temel JS, Greer JA, Muzikansky A. Early palliative care for patients with metastatic non-small-cell lung cancer. N Engl J Med. 2010;363.",Early palliative care for patients with metastatic non-small-cell lung cancer,N Engl J Med,2010,363,,,,,Temel JS; Greer JA; Muzikansky A
18,"Bakitas MA, Tosteson TD, Li Z. Early versus delayed initiation of concurrent palliative oncology care: patient outcomes in the ENABLE III randomized controlled trial. J Clin Oncol. 2015;33.",Early versus delayed initiation of concurrent palliative oncology care: patient outcomes in the ENABLE III randomized controlled trial,J Clin Oncol,2015,33,,,,,Bakitas MA; Tosteson TD; Li Z
19,"Earle CC, Neville BA, Landrum MB. Trends in the aggressiveness of cancer care near the end of life. J Clin Oncol. 2004;22.",Trends in the aggressiveness of cancer care near the end of life,J Clin Oncol,2004,22,,,,,Earle CC; Neville BA; Landrum MB
20,"Aslakson RA, Reinke LF, Cox C. Developing a research agenda for integrating palliative care into critical care and pulmonary practice to improve patient and family outcomes. J Palliat Med. 2017;20.",Developing a research agenda for integrating palliative care into critical care and pulmonary practice to improve patient and family outcomes,J Palliat Med,2017,20,,,,,Aslakson RA; Reinke LF; Cox C
21,"Are M, Mcintyre A, Reddy S. Global disparities in cancer pain management and palliative care. J Surg Oncol. 2017;115.",Global disparities in cancer pain management and palliative care,J Surg Oncol,2017,115,,,,,Are M; Mcintyre A; Reddy S
22,"Parikh RB, Kirch RA, Smith TJ. Early specialty palliative care -translating data in oncology into practice. N Engl J Med. 2013;369.",Early specialty palliative care -translating data in oncology into practice,N Engl J Med,2013,369,,,,,Parikh RB; Kirch RA; Smith TJ
23,"Brown CE, Engelberg RA, Nielsen EL. Palliative care for patients dying in the intensive care unit with chronic lung disease compared with metastatic cancer. Ann Am Thorac Soc. 2016;13.",Palliative care for patients dying in the intensive care unit with chronic lung disease compared with metastatic cancer,Ann Am Thorac Soc,2016,13,,,,,Brown CE; Engelberg RA; Nielsen EL
24,"Skorstengaard MH, Neergaard MA, Andreassen P. Preferred place of care and death in terminally ill patients with lung and heart disease compared to cancer patients. J Palliat Med. 2017;20(11).",Preferred place of care and death in terminally ill patients with lung and heart disease compared to cancer patients,J Palliat Med,2017,20,11,,,,Skorstengaard MH; Neergaard MA; Andreassen P
25,"Follwell M, Burman D, Le LW. Phase II study of an outpatient palliative care intervention in patients with metastatic cancer. J Clin Oncol. 2009;27.",Phase II study of an outpatient palliative care intervention in patients with metastatic cancer,J Clin Oncol,2009,27,,,,,Follwell M; Burman D; Le LW
26,"Abernethy AP, Currow DC, Frith P. Randomised, double blind, placebo controlled crossover trial of sustained release morphine for the management of refractory dyspnoea. BMJ. 2003;327.","Randomised, double blind, placebo controlled crossover trial of sustained release morphine for the management of refractory dyspnoea",BMJ,2003,327,,,,,Abernethy AP; Currow DC; Frith P
27,"Jennings A, Davies AN, Higgins J. A systematic review of the use of opioids in the management of dyspnoea. Thorax. 2002;57.",A systematic review of the use of opioids in the management of dyspnoea,Thorax,2002,57,,,,,Jennings A; Davies AN; Higgins J
28,"Pantilat SZ, 'riordan O, Dibble DL, SL. Longitudinal assessment of symptom severity among hospitalized elders diagnosed with cancer, heart failure, and chronic obstructive pulmonary disease. J Hosp Med. 2012;7.","Longitudinal assessment of symptom severity among hospitalized elders diagnosed with cancer, heart failure, and chronic obstructive pulmonary disease",J Hosp Med,2012,7,,,,,Pantilat SZ; 'riordan O; Dibble DL; SL
29,"Bourke S, Peel E. Palliative care of chronic progressive lung disease. Clin Med (Lond). 2014;14:325.",Palliative care of chronic progressive lung disease,Clin Med (Lond),2014,14,,325,,,Bourke S; Peel E
30,"Currow D, Johnson M, White P. Evidencebased intervention for chronic refractory breathlessness: practical therapies that make a difference. Br J Gen Pract. 2013;63.",Evidencebased intervention for chronic refractory breathlessness: practical therapies that make a difference,Br J Gen Pract,2013,63,,,,,Currow D; Johnson M; White P
31,"Simon ST, Higginson IJ, Booth S. Benzodiazepines for the relief of breathlessness in advanced malignant and non-malignant diseases in adults. Cochrane Database Syst Rev. 2010;10:7354.",Benzodiazepines for the relief of breathlessness in advanced malignant and non-malignant diseases in adults,Cochrane Database Syst Rev,2010,10,,7354,,,Simon ST; Higginson IJ; Booth S
32,"Louie K, Bertolino M, Fainsinger R. Management of intractable cough. J Palliat Care. 1992;8.",Management of intractable cough,J Palliat Care,1992,8,,,,,Louie K; Bertolino M; Fainsinger R
33,"Psallidas I, Kalomenidis I, Porcel JM. Malignant pleural effusion: from bench to bedside. Eur Respir Rev. 2016;25.",Malignant pleural effusion: from bench to bedside,Eur Respir Rev,2016,25,,,,,Psallidas I; Kalomenidis I; Porcel JM
34,Meyer PC. Metastatic carcinoma of the pleura. Thorax. 1966;21.,Metastatic carcinoma of the pleura,Thorax,1966,21,,,,,Meyer PC
35,"Stathopoulos GT, Kalomenidis I. Malignant pleural effusion: tumor-host interactions unleashed. Am J Respir Crit Care Med. 2012;186.",Malignant pleural effusion: tumor-host interactions unleashed,Am J Respir Crit Care Med,2012,186,,,,,Stathopoulos GT; Kalomenidis I
36,"Mongardon N, Pinton-Gonnet C, Szekely B. Assessment of chronic pain after thoracotomy: a 1-year prevalence study. Clin J Pain. 2011;27.",Assessment of chronic pain after thoracotomy: a 1-year prevalence study,Clin J Pain,2011,27,,,,,Mongardon N; Pinton-Gonnet C; Szekely B
37,"Thomas R, Francis R, Davies HE. Interventional therapies for malignant pleural effusions: the present and the future. Respirology. 2014;19.",Interventional therapies for malignant pleural effusions: the present and the future,Respirology,2014,19,,,,,Thomas R; Francis R; Davies HE
38,"Heffner JE, Nietert PJ, Barbieri C. Pleural fluid pH as a predictor of pleurodesis failure: analysis of primary data. Chest. 2000;117.",Pleural fluid pH as a predictor of pleurodesis failure: analysis of primary data,Chest,2000,117,,,,,Heffner JE; Nietert PJ; Barbieri C
39,"Bugalho A, Ferreira D, Dias SS. The diagnostic value of transthoracic ultrasonographic features in predicting malignancy in undiagnosed pleural effusions: a prospective observational study. Respiration. 2014;87.",The diagnostic value of transthoracic ultrasonographic features in predicting malignancy in undiagnosed pleural effusions: a prospective observational study,Respiration,2014,87,,,,,Bugalho A; Ferreira D; Dias SS
40,"Qureshi NR, Rahman NM, Gleeson FV. Thoracic ultrasound in the diagnosis of malignant pleural effusion. Thorax. 2009;64.",Thoracic ultrasound in the diagnosis of malignant pleural effusion,Thorax,2009,64,,,,,Qureshi NR; Rahman NM; Gleeson FV
