#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Mesejo A, Carbonell N, Castro O. Conceptos básicos de la nutrición enteral y parenteral. Otros abordajes terapéuticos de la malnutrición. Medicine. 2002;8.",Conceptos básicos de la nutrición enteral y parenteral. Otros abordajes terapéuticos de la malnutrición,Medicine,2002,8,,,,,Mesejo A; Carbonell N; Castro O
2,"Ponsky JL, Gauderer MW. Percutaneous endoscopic gastrostomy: a nonoperative technique for feeding gastrostomy. Gastrointest Endosc. 1981;27.",Percutaneous endoscopic gastrostomy: a nonoperative technique for feeding gastrostomy,Gastrointest Endosc,1981,27,,,,,Ponsky JL; Gauderer MW
3,"Singh RR, Nah SA, Roebuck DJ, Eaton S, Pierro A, Curry JI. Double-blind randomized clinical trial of percutaneous endoscopic gastrostomy versus radiologically inserted gastrostomy in children. Br J Surg. 2017;104.",Double-blind randomized clinical trial of percutaneous endoscopic gastrostomy versus radiologically inserted gastrostomy in children,Br J Surg,2017,104,,,,,Singh RR; Nah SA; Roebuck DJ; Eaton S; Pierro A; Curry JI
4,"Löser C, Aschl G, Hébuterne X, Mathus-Vliegen E, Muscaritoli M, Niv Y. ESPEN guidelines on artificial enteral nutrition-percutaneous endoscopic gastrostomy (PEG). Clin Nutr. 2005;24.",ESPEN guidelines on artificial enteral nutrition-percutaneous endoscopic gastrostomy (PEG),Clin Nutr,2005,24,,,,,Löser C; Aschl G; Hébuterne X; Mathus-Vliegen E; Muscaritoli M; Niv Y
5,"Gomes CA, Lustosa SA, Matos D, Andriolo RB, Waisberg DR, Waisberg J. Percutaneous endoscopic gastrostomy versus nasogastric tube feeding for adults with swallowing disturbances. Cochrane Database Syst Rev. 2015;None:8096.",Percutaneous endoscopic gastrostomy versus nasogastric tube feeding for adults with swallowing disturbances,Cochrane Database Syst Rev,2015,,,8096,,,Gomes CA; Lustosa SA; Matos D; Andriolo RB; Waisberg DR; Waisberg J
6,"Lucendo AJ, Friginal-Ruiz AB. Percutaneous endoscopic gastrostomy: an update on its indications, management, complications, and care. Rev Esp Enferm Dig. 2014;106.","Percutaneous endoscopic gastrostomy: an update on its indications, management, complications, and care",Rev Esp Enferm Dig,2014,106,,,,,Lucendo AJ; Friginal-Ruiz AB
7,"Rahnemaiazar AA, Naghshizadian R, Kurtz A, Farkas DT. Percutaneous endoscopic gastrostomy: indications, technique, complications and management. World J Gastroenterol. 2014;20.","Percutaneous endoscopic gastrostomy: indications, technique, complications and management",World J Gastroenterol,2014,20,,,,,Rahnemaiazar AA; Naghshizadian R; Kurtz A; Farkas DT
8,"Sampson EL, Candy B, Jones L. Enteral tube feeding for older people with advanced dementia. Cochrane Database Syst Rev. 2009;None:7209.",Enteral tube feeding for older people with advanced dementia,Cochrane Database Syst Rev,2009,,,7209,,,Sampson EL; Candy B; Jones L
9,"Garrow D, Pride P, Moran W, Zapka J, Amella E, Delegge M. Feeding alternatives in patients with dementia: examining the evidence. Clin Gastroenterol Hepatol. 2007;5.",Feeding alternatives in patients with dementia: examining the evidence,Clin Gastroenterol Hepatol,2007,5,,,,,Garrow D; Pride P; Moran W; Zapka J; Amella E; Delegge M
10,"Abu RA, Khoury T, Cohen J, Chen S, Yaari S, Daher S. PEG insertion in patients with dementia does not improve nutritional status and has worse outcomes as compared with PEG insertion for other indications. J Clin Gastroenterol. 2017;51.",PEG insertion in patients with dementia does not improve nutritional status and has worse outcomes as compared with PEG insertion for other indications,J Clin Gastroenterol,2017,51,,,,,Abu RA; Khoury T; Cohen J; Chen S; Yaari S; Daher S
11, and Clinical Practice and Models of Care Committee. American Geriatrics Society feeding tubes in advanced dementia position statement. J Am Geriatr Soc. 2014;62.,and Clinical Practice and Models of Care Committee. American Geriatrics Society feeding tubes in advanced dementia position statement,J Am Geriatr Soc,2014,62,,,,,
12,"Volkert D, Chourdakis M, Faxen-Irving G, Frühwald T, Landi F, Suominen MH. ESPEN guidelines on nutrition in dementia. Clin Nutr. 2015;34.",ESPEN guidelines on nutrition in dementia,Clin Nutr,2015,34,,,,,Volkert D; Chourdakis M; Faxen-Irving G; Frühwald T; Landi F; Suominen MH
