#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Hung TH, Tseng CW, Tsai CC, Tsai CC, Tseng KC, Hsieh YH. The long-term outcomes of cirrhotic patients with pleural effusion. Saudi J Gastroenterol. 2018;24(1).",The long-term outcomes of cirrhotic patients with pleural effusion,Saudi J Gastroenterol,2018,24,1,,,,Hung TH; Tseng CW; Tsai CC; Tsai CC; Tseng KC; Hsieh YH
2,"Hung TH, Tseng CW, Tsai CC, Hsieh YH, Tseng KC, Tsai CC. Mortality following catheter drainage versus thoracentesis in cirrhotic patients with pleural effusion. Dig Dis Sci. 2017;62(4).",Mortality following catheter drainage versus thoracentesis in cirrhotic patients with pleural effusion,Dig Dis Sci,2017,62,4,,,,Hung TH; Tseng CW; Tsai CC; Hsieh YH; Tseng KC; Tsai CC
3,"O'leary JG, Reddy R, Tandon K, P. Increased risk of ACLF and inpatient mortality in hospitalized patients with cirrhosis and hepatic hydrothorax [Published online ahead of print November 13, 2020. Dig Dis Sci. 2020;None. doi:10.1007/s10620-020-06677-6.","Increased risk of ACLF and inpatient mortality in hospitalized patients with cirrhosis and hepatic hydrothorax [Published online ahead of print November 13, 2020",Dig Dis Sci,2020,,,,10.1007/s10620-020-06677-6,,O'leary JG; Reddy R; Tandon K; P
4,"Banini BA, Alwatari Y, Stovall M. Multidisciplinary management of hepatic hydrothorax in 2020: an evidence-based review and guidance. Hepatology. 2020;72(5).",Multidisciplinary management of hepatic hydrothorax in 2020: an evidence-based review and guidance,Hepatology,2020,72,5,,,,Banini BA; Alwatari Y; Stovall M
5,"Krok KL, Cardenas A. Hepatic hydrothorax. Semin Respir Crit Care Med. 2012;33(1).",Hepatic hydrothorax,Semin Respir Crit Care Med,2012,33,1,,,,Krok KL; Cardenas A
6,"Lv Y, Han G, FD. Hepatic hydrothorax. Ann Hepatol. 2018;17(1).",Hepatic hydrothorax,Ann Hepatol,2018,17,1,,,,Lv Y; Han G; FD
7,Porcel JM. Management of refractory hepatic hydrothorax. Curr Opin Pulm Med. 2014;20(4).,Management of refractory hepatic hydrothorax,Curr Opin Pulm Med,2014,20,4,,,,Porcel JM
8,"Norvell JP, Spivey JR. Hepatic hydrothorax. Clin Liver Dis. 2014;18(2).",Hepatic hydrothorax,Clin Liver Dis,2014,18,2,,,,Norvell JP; Spivey JR
9,"Lazaridis KN, Frank JW, Krowka MJ, Kamath PS. Hepatic hydrothorax: pathogenesis, diagnosis, and management. Am J Med. 1999;107.","Hepatic hydrothorax: pathogenesis, diagnosis, and management",Am J Med,1999,107,,,,,Lazaridis KN; Frank JW; Krowka MJ; Kamath PS
10,"De Campos M, Filho JR, L et al.. Hepatic hydrothorax. Semin Respir Crit Care Med. 2001;22(6).",Hepatic hydrothorax,Semin Respir Crit Care Med,2001,22,6,,,,De Campos M; Filho JR; L; Edc W; Pandulo FL; Filomeno L; Jatene FB
11,"Daniels CE, Ryu JH. Improving the safety of thoracentesis. Curr Opin Pulm Med. 2011;17(4).",Improving the safety of thoracentesis,Curr Opin Pulm Med,2011,17,4,,,,Daniels CE; Ryu JH
12,"Duncan DR, Morgenthaler TI, Ryu JH, Daniels CE. Reducing iatrogenic risk in thoracentesis: establishing best practice via experiential training in a zero-risk environment. Chest. 2009;135(5).",Reducing iatrogenic risk in thoracentesis: establishing best practice via experiential training in a zero-risk environment,Chest,2009,135,5,,,,Duncan DR; Morgenthaler TI; Ryu JH; Daniels CE
13,"Mcvay PA, Toy P. Lack of increased bleeding after paracentesis and thoracentesis in patients with mild coagulation abnormalities. Transfusion. 1991;31.",Lack of increased bleeding after paracentesis and thoracentesis in patients with mild coagulation abnormalities,Transfusion,1991,31,,,,,Mcvay PA; Toy P
14,"Puchalski JT, Argento AC, Murphy TE, Araujo KL, Pisani MA. The safety of thoracentesis in patients with uncorrected bleeding risk. Ann Am Thorac Soc. 2013;10(4).",The safety of thoracentesis in patients with uncorrected bleeding risk,Ann Am Thorac Soc,2013,10,4,,,,Puchalski JT; Argento AC; Murphy TE; Araujo KL; Pisani MA
15,"Feller-Kopman D, Berkowitz D, Boiselle P, Ernst A. Large-volume thoracentesis and the risk of reexpansion pulmonary edema. Ann Thorac Surg. 2007;84(5).",Large-volume thoracentesis and the risk of reexpansion pulmonary edema,Ann Thorac Surg,2007,84,5,,,,Feller-Kopman D; Berkowitz D; Boiselle P; Ernst A
16,"Lentz RJ, Lerner AD, Pannu JK. Routine monitoring with pleural manometry during therapeutic large-volume thoracentesis to prevent pleural-pressure-related complications: a multicentre, single-blind randomised controlled trial. Lancet Respir Med. 2019;7(5).","Routine monitoring with pleural manometry during therapeutic large-volume thoracentesis to prevent pleural-pressure-related complications: a multicentre, single-blind randomised controlled trial",Lancet Respir Med,2019,7,5,,,,Lentz RJ; Lerner AD; Pannu JK
17,"Reiberger T, Puspok A, Schoder M. Austrian consensus guidelines on the management and treatment of portal hypertension (Billroth III). Wien Klin Wochenschr. 2017;129(Suppl 3).",Austrian consensus guidelines on the management and treatment of portal hypertension (Billroth III),Wien Klin Wochenschr,2017,129,Suppl 3,,,,Reiberger T; Puspok A; Schoder M
