#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Facciolongo N, Patelli M, Gasparini S et al.. Incidence of complications in bronchoscopy: multicentre prospective study of 20,986 bronchoscopies. Monaldi Arch Chest Dis. 2009;71.","Incidence of complications in bronchoscopy: multicentre prospective study of 20,986 bronchoscopies",Monaldi Arch Chest Dis,2009,71,,,,,Facciolongo N; Patelli M; Gasparini S; Agli L; Salio L; Simonassi M; C; Prato D; Zanoni B; P
2,"Herth FJ, Becker HD, Ernst A. Aspirin does not increase bleeding complications after transbronchial biopsy. Chest. 2002;122.",Aspirin does not increase bleeding complications after transbronchial biopsy,Chest,2002,122,,,,,Herth FJ; Becker HD; Ernst A
3,"Ernst A, Eberhardt R, Wahidi M, Becker HD, Herth FJ. Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans. Chest. 2006;129.",Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans,Chest,2006,129,,,,,Ernst A; Eberhardt R; Wahidi M; Becker HD; Herth FJ
4,"Lee P, Mehta AC, Mathur PN. Management of complications from diagnostic and interventional bronchoscopy. Respirology. 2009;14.",Management of complications from diagnostic and interventional bronchoscopy,Respirology,2009,14,,,,,Lee P; Mehta AC; Mathur PN
5,Sahebjami H. Letter: iced saline lavage during bronchoscopy. Chest. 1976;69.,Letter: iced saline lavage during bronchoscopy,Chest,1976,69,,,,,Sahebjami H
6,"Cordasco EM, Mehta AC, Ahmad M. Bronchoscopically induced bleeding: a summary of nine years' Cleveland clinic experience and review of the literature. Chest. 1991;100.",Bronchoscopically induced bleeding: a summary of nine years' Cleveland clinic experience and review of the literature,Chest,1991,100,,,,,Cordasco EM; Mehta AC; Ahmad M
7, British Thoracic Society guidelines on diagnostic flexible bronchoscopy. Thorax. 2001;56.,British Thoracic Society guidelines on diagnostic flexible bronchoscopy,Thorax,2001,56,,,,,
8,"Shaver KJ, Adams C, Weiss SJ. Acute myocardial infarction after administration of lowdose intravenous epinephrine for anaphylaxis. CJEM. 2006;8.",Acute myocardial infarction after administration of lowdose intravenous epinephrine for anaphylaxis,CJEM,2006,8,,,,,Shaver KJ; Adams C; Weiss SJ
9,"Janjua M, Badshah A, Allen SA. Images in cardiology. Epinephrine induced ST elevation: a case of endobronchial topical epinephrine induced coronary vasospasm. Heart. 2009;95:656.",Images in cardiology. Epinephrine induced ST elevation: a case of endobronchial topical epinephrine induced coronary vasospasm,Heart,2009,95,,656,,,Janjua M; Badshah A; Allen SA
10,"Enriquez G, S, Hernandez T, JM, Laso S, F. Clinical episode of suggestive left main coronary artery spasm after gingival anaesthetic infiltration. Rev Esp Cardiol. 2003;56.",Clinical episode of suggestive left main coronary artery spasm after gingival anaesthetic infiltration,Rev Esp Cardiol,2003,56,,,,,Enriquez G; S; Hernandez T; JM; Laso S; F
11,"Smyth CM, Stead RJ. Survey of flexible fibreoptic bronchoscopy in the UK. Eur Respir J. 2002;19.",Survey of flexible fibreoptic bronchoscopy in the UK,Eur Respir J,2002,19,,,,,Smyth CM; Stead RJ
12,"Jin F, Mu D, Chu D, Fu E, Xie Y, Liu T. Severe complications of bronchoscopy. Respiration. 2008;76.",Severe complications of bronchoscopy,Respiration,2008,76,,,,,Jin F; Mu D; Chu D; Fu E; Xie Y; Liu T
13,"Flick MR, Wasson K, Dunn LJ, Block AJ. Fatal pulmonary hemorrhage after transbronchial lung biopsy through the fiberoptic bronchoscope. Am Rev Respir Dis. 1975;111.",Fatal pulmonary hemorrhage after transbronchial lung biopsy through the fiberoptic bronchoscope,Am Rev Respir Dis,1975,111,,,,,Flick MR; Wasson K; Dunn LJ; Block AJ
