#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Suárez F. Hisao Asamura: Conceptualization, Methodology, Project administration. Hisao Asamura: Conceptualization, Methodology, Project administration. None;None.","Hisao Asamura: Conceptualization, Methodology, Project administration","Hisao Asamura: Conceptualization, Methodology, Project administration",,,,,,,Suárez F
2,Kemp Kernstine. None. None. None;None.,,,,,,,,,Kemp Kernstine
3,Kerr K. None. None. None;None.,,,,,,,,,Kerr K
4,"Tae Y, K. None. None. None;None.",,,,,,,,,Tae Y; K
5,"Kwan D, K. None. None. None;None.",,,,,,,,,Kwan D; K
6,Kindler H. None. None. None;None.,,,,,,,,,Kindler H
7,Lievens Y. None. None. None;None.,,,,,,,,,Lievens Y
8,"Liu H, Yat-Sen S, University C, Center G, Sheng. People's Republic of China. People's Republic of China. None;None.",People's Republic of China,People's Republic of China,,,,,,,Liu H; Yat-Sen S; University C; Center G; Sheng
9,"Donald E Low V, Mason Medical, Center, Seattle W;, Lyons G. None. None. None;None.",,,,,,,,,Donald E Low V; Mason Medical; Center; Seattle W;; Lyons G
10,Heber Macmahon. None. None. None;None.,,,,,,,,,Heber Macmahon
11,Mahar A. None. None. None;None.,,,,,,,,,Mahar A
12,Marino M. None. None. None;None.,,,,,,,,,Marino M
13,"Marom EM, Anderson Cancer MD, Center. None. None. Jan;None.",,,Jan,,,,,,Marom EM; Anderson Cancer MD; Center
14,"Luis M, Montuenga. None. None. None;None.",,,,,,,,,Luis M; Montuenga
15,"Nicholson A, Brompton R, Hospitals H. Guy's and St Thomas' NHS Foundation Trust and Imperial College. Guy's and St Thomas' NHS Foundation Trust and Imperial College. None;None.",Guy's and St Thomas' NHS Foundation Trust and Imperial College,Guy's and St Thomas' NHS Foundation Trust and Imperial College,,,,,,,Nicholson A; Brompton R; Hospitals H
16,Nishimura K. None. None. None;None.,,,,,,,,,Nishimura K
17,Opitz I. None. None. None;None.,,,,,,,,,Opitz I
18,Okumura M. None. None. None;None.,,,,,,,,,Okumura M
19,Osarogiagbon RU. None. None. None;None.,,,,,,,,,Osarogiagbon RU
20,Pass H. None. None. None;None.,,,,,,,,,Pass H
21,"De M, P. None. None. None;None.",,,,,,,,,De M; P
22,Prosch H. None. None. None;None.,,,,,,,,,Prosch H
23,"David Rice MD, Anderson Cancer, Center, Houston T;, Rimner A. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.",Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,David Rice MD; Anderson Cancer; Center; Houston T;; Rimner A
24,Rosenthal A. Cancer Research And Biostatistics. Cancer Research And Biostatistics. None;None.,Cancer Research And Biostatistics,Cancer Research And Biostatistics,,,,,,,Rosenthal A
25,"Ruffini E, Sakai ;. None. None. None;None.",,,,,,,,,Ruffini E; Sakai ;
26,Van Schil P. None. None. None;None.,,,,,,,,,Van Schil P
27,Singh N. None. None. None;None.,,,,,,,,,Singh N
28,Suárez F. Clínica Santa María. Clínica Santa María. None;None.,Clínica Santa María,Clínica Santa María,,,,,,,Suárez F
29,Terra RM. None. None. None;None.,,,,,,,,,Terra RM
30,William T. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,William T
31,Tsao MS. Princess Margaret Cancer Centre. Princess Margaret Cancer Centre. None;None.,Princess Margaret Cancer Centre,Princess Margaret Cancer Centre,,,,,,,Tsao MS
32,Ugalde P. Brigham & Women's Hospital. Brigham & Women's Hospital. None;None.,Brigham & Women's Hospital,Brigham & Women's Hospital,,,,,,,Ugalde P
33,Watanabe S. None. None. None;None.,,,,,,,,,Watanabe S
34,"Brunelli A, St, James. None. None. None;None.",,,,,,,,,Brunelli A; St; James
35,Cardillo G. Azienda Ospedaliera San Camilo Forlanini. Azienda Ospedaliera San Camilo Forlanini. None;None.,Azienda Ospedaliera San Camilo Forlanini,Azienda Ospedaliera San Camilo Forlanini,,,,,,,Cardillo G
36,Chang J. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,Chang J
37,Chen K. None. None. None;None.,,,,,,,,,Chen K
38,"Cooper W, Prince R, Hospital A. None. None. None;None.",,,,,,,,,Cooper W; Prince R; Hospital A
39,"Luigi P, F. None. None. None;None.",,,,,,,,,Luigi P; F
40,"Jiang L, Shanghai C, Hospital. People's Republic of China. People's Republic of China. None;None.",People's Republic of China,People's Republic of China,,,,,,,Jiang L; Shanghai C; Hospital
41,Karim N. None. None. None;None.,,,,,,,,,Karim N
42,Kneuertz P. None. None. None;None.,,,,,,,,,Kneuertz P
43,Krasnik M. None. None. None;None.,,,,,,,,,Krasnik M
44,Kubota K. None. None. None;None.,,,,,,,,,Kubota K
45,Labbe C. None. None. None;None.,,,,,,,,,Labbe C
46,Ho Yun L. None. None. None;None.,,,,,,,,,Ho Yun L
47,Lim E. Imperial College and the Royal Brompton Hospital. Imperial College and the Royal Brompton Hospital. None;None.,Imperial College and the Royal Brompton Hospital,Imperial College and the Royal Brompton Hospital,,,,,,,Lim E
48,Liu G. Princess Margaret Cancer Centre. Princess Margaret Cancer Centre. None;None.,Princess Margaret Cancer Centre,Princess Margaret Cancer Centre,,,,,,,Liu G
49,Liu H. None. None. None;None.,,,,,,,,,Liu H
50,"Mack P, Sinai M. None. None. None;None.",,,,,,,,,Mack P; Sinai M
51,Naidich D. None. None. None;None.,,,,,,,,,Naidich D
52,Nishino M. Brigham and Women's Hospital and Dana-Farber Cancer Institute. Brigham and Women's Hospital and Dana-Farber Cancer Institute. None;None.,Brigham and Women's Hospital and Dana-Farber Cancer Institute,Brigham and Women's Hospital and Dana-Farber Cancer Institute,,,,,,,Nishino M
53,Ostrowski M. None. None. None;None.,,,,,,,,,Ostrowski M
54,Powell C. Mount Sinai School of Medicine. Mount Sinai School of Medicine. None;None.,Mount Sinai School of Medicine,Mount Sinai School of Medicine,,,,,,,Powell C
55,Presley C. None. None. None;None.,,,,,,,,,Presley C
56,"Martin P, P. None. None. None;None.",,,,,,,,,Martin P; P
57,Rekhtman N. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,Rekhtman N
58,"Harry Ren, Shanghai P, Hospital. None. None. None;None.",,,,,,,,,Harry Ren; Shanghai P; Hospital
59,Rivera P. None. None. None;None.,,,,,,,,,Rivera P
60,Gaetano R. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,Gaetano R
61,"Teresa M, Tzukazan R. Pontifical Catholic University of Rio Grande do Sul. Pontifical Catholic University of Rio Grande do Sul. None;None.",Pontifical Catholic University of Rio Grande do Sul,Pontifical Catholic University of Rio Grande do Sul,,,,,,,Teresa M; Tzukazan R
62,Samstein R. Mount Sinai. Mount Sinai. None;None.,Mount Sinai,Mount Sinai,,,,,,,Samstein R
63,"Yang Y, S. None. None. None;None.",,,,,,,,,Yang Y; S
64,Tammemägi M. None. None. None;None.,,,,,,,,,Tammemägi M
