#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Frank C. Detterbeck: Conceptualization; Investigation; Methodology; Supervision; Validation. Detterbeck: Conceptualization; Investigation; Methodology; Supervision; Validation. None;None.,Detterbeck: Conceptualization; Investigation; Methodology; Supervision; Validation,Detterbeck: Conceptualization; Investigation; Methodology; Supervision; Validation,,,,,,,Frank C
2,Ostrowski M. Investigation; Methodology; Supervision; Validation; Visualization; Roles/Writingoriginal draft; Writing-review and editing. Ramón Rami-Porta: Investigation; Methodology; Supervision; Validation; Visualization; Roles/Writingoriginal draft. None;None.,Investigation; Methodology; Supervision; Validation; Visualization; Roles/Writingoriginal draft; Writing-review and editing,Ramón Rami-Porta: Investigation; Methodology; Supervision; Validation; Visualization; Roles/Writingoriginal draft,,,,,,,Ostrowski M
3,"Ray U, Osarogiagbon. Investigation; Methodology; Supervision; Validation; Visualization; Roles/Writingoriginal draft. Jessica Donnington: Writing-review & editing. None;None.",Investigation; Methodology; Supervision; Validation; Visualization; Roles/Writingoriginal draft,Jessica Donnington: Writing-review & editing,,,,,,,Ray U; Osarogiagbon
4,Marom EM. Jun Nakajima: Writing-review & editing. Jun Nakajima: Writing-review & editing. None;None.,Jun Nakajima: Writing-review & editing,Jun Nakajima: Writing-review & editing,,,,,,,Marom EM
5,"Andrew G, Nicholson. Writing-review & editing. Writing-review & editing. None;None.",Writing-review & editing,Writing-review & editing,,,,,,,Andrew G; Nicholson
6,Travis WD. Writing-review & editing. Writing-review & editing. None;None.,Writing-review & editing,Writing-review & editing,,,,,,,Travis WD
7,Tsao MS. Writing-review & editing. Writing-review & editing. None;None.,Writing-review & editing,Writing-review & editing,,,,,,,Tsao MS
8,Edwards JG. Hisao Asamura: Writing-review & editing. Hisao Asamura: Writing-review & editing. None;None.,Hisao Asamura: Writing-review & editing,Hisao Asamura: Writing-review & editing,,,,,,,Edwards JG
9,"Andrew G, Nicholson. Royal Brompton and Harefield Hospitals, Guy's and St Thomas. Royal Brompton and Harefield Hospitals, Guy's and St Thomas. None;None.","Royal Brompton and Harefield Hospitals, Guy's and St Thomas","Royal Brompton and Harefield Hospitals, Guy's and St Thomas",,,,,,,Andrew G; Nicholson
10,Nishimura K. None. None. None;None.,,,,,,,,,Nishimura K
11,Nowak A. None. None. None;None.,,,,,,,,,Nowak A
12,Opitz I. None. None. None;None.,,,,,,,,,Opitz I
13,Okumura M. None. None. None;None.,,,,,,,,,Okumura M
14,Osarogiagbon RU. Baptist Cancer Center. Baptist Cancer Center. None;None.,Baptist Cancer Center,Baptist Cancer Center,,,,,,,Osarogiagbon RU
15,Pass H. None. None. None;None.,,,,,,,,,Pass H
16,"De M, P. None. None. None;None.",,,,,,,,,De M; P
17,Prosch H. None. None. None;None.,,,,,,,,,Prosch H
18,"David Rice MD, Anderson Cancer, Center. Andreas Rimner. Andreas Rimner. None;None.",Andreas Rimner,Andreas Rimner,,,,,,,David Rice MD; Anderson Cancer; Center
19,Rosenthal A. None. None. None;None.,,,,,,,,,Rosenthal A
20,Ruffini E. None. None. None;None.,,,,,,,,,Ruffini E
21,Van Schil P. None. None. None;None.,,,,,,,,,Van Schil P
22,Singh N. None. None. None;None.,,,,,,,,,Singh N
23,Suárez F. Clínica Santa María. Clínica Santa María. None;None.,Clínica Santa María,Clínica Santa María,,,,,,,Suárez F
24,Terra RM. None. None. None;None.,,,,,,,,,Terra RM
25,William T. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,William T
26,Tsao MS. Princess Margaret Cancer Centre. Princess Margaret Cancer Centre. None;None.,Princess Margaret Cancer Centre,Princess Margaret Cancer Centre,,,,,,,Tsao MS
27,"Ugalde P, Brigham & Women '. None. None. None;None.",,,,,,,,,Ugalde P; Brigham & Women '
28,Wistuba I. The University of Texas M. D. Anderson Cancer Center. The University of Texas M. D. Anderson Cancer Center. None;None.,The University of Texas M. D. Anderson Cancer Center,The University of Texas M. D. Anderson Cancer Center,,,,,,,Wistuba I
29,"Wynes M, Iaslc, Denver, Colorado U, Yatabe. Advisory Board to the Lung Cancer Domain Samuel Armato. Advisory Board to the Lung Cancer Domain Samuel Armato. None;None.",Advisory Board to the Lung Cancer Domain Samuel Armato,Advisory Board to the Lung Cancer Domain Samuel Armato,,,,,,,Wynes M; Iaslc; Denver; Colorado U; Yatabe
30,"Brunelli A, St, James. None. None. None;None.",,,,,,,,,Brunelli A; St; James
31,Cardillo G. Azienda Ospedaliera San Camilo Forlanini. Azienda Ospedaliera San Camilo Forlanini. None;None.,Azienda Ospedaliera San Camilo Forlanini,Azienda Ospedaliera San Camilo Forlanini,,,,,,,Cardillo G
32,Chang J. Memorial Sloan Kettering Cancer Center. Memorial Sloan Kettering Cancer Center. None;None.,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,,,,,,,Chang J
33,Chen K. None. None. None;None.,,,,,,,,,Chen K
34,"Cooper W, Prince R, Hospital A. None. None. None;None.",,,,,,,,,Cooper W; Prince R; Hospital A
35,"Luigi P, F. None. None. None;None.",,,,,,,,,Luigi P; F
36,"Jiang L, Shanghai C, Hospital. People's Republic of China. People's Republic of China. None;None.",People's Republic of China,People's Republic of China,,,,,,,Jiang L; Shanghai C; Hospital
37,Karim N. None. None. None;None.,,,,,,,,,Karim N
38,Kneuertz P. None. None. None;None.,,,,,,,,,Kneuertz P
39,Krasnik M. None. None. None;None.,,,,,,,,,Krasnik M
40,Kubota K. None. None. None;None.,,,,,,,,,Kubota K
41,Labbe C. None. None. None;None.,,,,,,,,,Labbe C
42,Ho Yun L. None. None. None;None.,,,,,,,,,Ho Yun L
43,Lim E. Imperial College and the Royal Brompton Hospital. Imperial College and the Royal Brompton Hospital. None;None.,Imperial College and the Royal Brompton Hospital,Imperial College and the Royal Brompton Hospital,,,,,,,Lim E
44,Liu G. Princess Margaret Cancer Centre. Princess Margaret Cancer Centre. None;None.,Princess Margaret Cancer Centre,Princess Margaret Cancer Centre,,,,,,,Liu G
45,"Liu H. Liaoning, People's Republic of China. Liaoning, People's Republic of China. None;None.","Liaoning, People's Republic of China","Liaoning, People's Republic of China",,,,,,,Liu H
46,Naidich D. None. None. None;None.,,,,,,,,,Naidich D
47,Nishino M. Brigham and Women's Hospital and Dana-Farber Cancer Institute. Brigham and Women's Hospital and Dana-Farber Cancer Institute. None;None.,Brigham and Women's Hospital and Dana-Farber Cancer Institute,Brigham and Women's Hospital and Dana-Farber Cancer Institute,,,,,,,Nishino M
48,"Ostrowski M, ;, Powell C. Mount Sinai School of Medicine. Mount Sinai School of Medicine. None;None.",Mount Sinai School of Medicine,Mount Sinai School of Medicine,,,,,,,Ostrowski M; ;; Powell C
49,Presley C. None. None. None;None.,,,,,,,,,Presley C
50,"Martin Putora P, St K, Gallen, St, Gallen. Natasha Rekhtman. Natasha Rekhtman. None;None.",Natasha Rekhtman,Natasha Rekhtman,,,,,,,Martin Putora P; St K; Gallen; St; Gallen
51,"Harry Ren, Shanghai P, Hospital. None. None. None;None.",,,,,,,,,Harry Ren; Shanghai P; Hospital
52,Rivera P. None. None. None;None.,,,,,,,,,Rivera P
