#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Oho K, Kato H, Ogawa I, Hayashi N, Hayata Y. A new needle for transfiberoptic bronchoscopic use. Chest. 1979;76:492.",A new needle for transfiberoptic bronchoscopic use,Chest,1979,76,,492,,,Oho K; Kato H; Ogawa I; Hayashi N; Hayata Y
2,Davenport RD. Rapid on-site evaluation of transbronchial aspirates. Chest. 1990;98.,Rapid on-site evaluation of transbronchial aspirates,Chest,1990,98,,,,,Davenport RD
3,"Diette GB, White P, Jr et al.. Utility of on-site cytopathology assessment for bronchoscopic evaluation of lung masses and adenopathy. Chest. 2000;117.",Utility of on-site cytopathology assessment for bronchoscopic evaluation of lung masses and adenopathy,Chest,2000,117,,,,,Diette GB; White P; Jr; Terry P; Jenckes M; Rosenthal D; Hr R
4,"Baram D, Garcia RB, Richman PS. Impact of rapid on-site cytologic evaluation during transbronchial needle aspiration. Chest. 2005;128.",Impact of rapid on-site cytologic evaluation during transbronchial needle aspiration,Chest,2005,128,,,,,Baram D; Garcia RB; Richman PS
5,"Trisolini R, Cancellieri A, Tinelli C et al.. Rapid on-site evaluation of transbronchial aspirates in the diagnosis of hilar and mediastinal adenopathy: a randomized trial. Chest. 2011;139.",Rapid on-site evaluation of transbronchial aspirates in the diagnosis of hilar and mediastinal adenopathy: a randomized trial,Chest,2011,139,,,,,Trisolini R; Cancellieri A; Tinelli C; Paioli D; Scudeller L; Casadei GP; Parri SF; Livi V; Bondi A; Boaron M; Patelli M
6,"Diacon AH, Schuurmans MM, Theron J et al.. Utility of rapid on-site evaluation of transbronchial needle aspirates. Respiration. 2005;72.",Utility of rapid on-site evaluation of transbronchial needle aspirates,Respiration,2005,72,,,,,Diacon AH; Schuurmans MM; Theron J; Louw M; Wright CA; Brundyn K; Bolliger CT
7,"Yarmus L, Van Der Kloot T, Lechtzin N, Napier M, Dressel D, Feller-Kopman D. Randomized prospective trial of the utility of rapid on-site evaluation of transbronchial needle aspirate specimens. J Bronchol Inter Pulmonol. 2011;18.",Randomized prospective trial of the utility of rapid on-site evaluation of transbronchial needle aspirate specimens,J Bronchol Inter Pulmonol,2011,18,,,,,Yarmus L; Van Der Kloot T; Lechtzin N; Napier M; Dressel D; Feller-Kopman D
8,"Oki /, Saka. Kitagawa/Kogure/Murata/ Adachi. Ando Respiration. 2013;85. doi:10.1159/000346987492.",Kitagawa/Kogure/Murata/ Adachi,Ando Respiration,2013,85,,,10.1159/000346987492,,Oki /; Saka
9,Boyan W. On-site cytopathologic analysis of bronchoscopic needle aspiration: con: on-site analysis is not indicated. J Bronchol. 2003;10.,On-site cytopathologic analysis of bronchoscopic needle aspiration: con: on-site analysis is not indicated,J Bronchol,2003,10,,,,,Boyan W
10,Chin R. On-site cytopathologic analysis of bronchoscopic needle aspiration: pro: on-site analysis is indicated. J Bronchol. 2003;10.,On-site cytopathologic analysis of bronchoscopic needle aspiration: pro: on-site analysis is indicated,J Bronchol,2003,10,,,,,Chin R
11,Gasparini S. It is time for this 'ROSE' to flower. Respiration. 2005;72.,It is time for this 'ROSE' to flower,Respiration,2005,72,,,,,Gasparini S
12,"Varela-Lema L, Fernández-Villar A, Ruano-Ravina A. Effectiveness and safety of endobronchial ultrasound-transbronchial needle aspiration: a systematic review. Eur Respir J. 2009;33.",Effectiveness and safety of endobronchial ultrasound-transbronchial needle aspiration: a systematic review,Eur Respir J,2009,33,,,,,Varela-Lema L; Fernández-Villar A; Ruano-Ravina A
13,"Gu P, Zhao YZ, Jiang LY, Zhang W, Xin Y, Han BH. Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and metaanalysis. Eur J Cancer. 2009;45.",Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and metaanalysis,Eur J Cancer,2009,45,,,,,Gu P; Zhao YZ; Jiang LY; Zhang W; Xin Y; Han BH
14,"Ost DE, Ernst A, Lei X et al.. AQuIRE Bronchoscopy Registry: Diagnostic yield of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuIRE Bronchoscopy Registry. Chest. 2011;140.",AQuIRE Bronchoscopy Registry: Diagnostic yield of endobronchial ultrasound-guided transbronchial needle aspiration: results of the AQuIRE Bronchoscopy Registry,Chest,2011,140,,,,,Ost DE; Ernst A; Lei X; Feller-Kopman D; Eapen GA; Kovitz KL; Herth FJ; Simoff M
15,"Bulman W, Saqi A, Powell CA. Acquisition and processing of endobronchial ultrasoundguided transbronchial needle aspiration specimens in the era of targeted lung cancer chemotherapy. Am J Respir Crit Care Med. 2012;185.",Acquisition and processing of endobronchial ultrasoundguided transbronchial needle aspiration specimens in the era of targeted lung cancer chemotherapy,Am J Respir Crit Care Med,2012,185,,,,,Bulman W; Saqi A; Powell CA
16,"Oki M, Saka H, Kitagawa C et al.. Real-time endobronchial ultrasound-guided transbronchial needle aspiration is useful for diagnosing sarcoidosis. Respirology. 2007;12.",Real-time endobronchial ultrasound-guided transbronchial needle aspiration is useful for diagnosing sarcoidosis,Respirology,2007,12,,,,,Oki M; Saka H; Kitagawa C; Tanaka S; Shimokata T; Kawata Y; Mori K; Kajikawa S; Ichihara S; Moritani S
17,"Oki M, Saka H, Kitagawa C et al.. Prospective study of endobronchial ultrasound-guided transbronchial needle aspiration of lymph nodes versus transbronchial lung biopsy of lung tissue for diagnosis of sarcoidosis. J Thorac Cardiovasc Surg. 2012;143.",Prospective study of endobronchial ultrasound-guided transbronchial needle aspiration of lymph nodes versus transbronchial lung biopsy of lung tissue for diagnosis of sarcoidosis,J Thorac Cardiovasc Surg,2012,143,,,,,Oki M; Saka H; Kitagawa C; Kogure Y; Murata N; Ichihara S; Moritani S
18,"Oki M, Saka H, Kitagawa C et al.. Transesophageal bronchoscopic ultrasoundguided fine needle aspiration for diagnosis of sarcoidosis. Respiration. 2013;85.",Transesophageal bronchoscopic ultrasoundguided fine needle aspiration for diagnosis of sarcoidosis,Respiration,2013,85,,,,,Oki M; Saka H; Kitagawa C; Kogure Y; Murata N; Adachi T; Ichihara S; Moritani S
19,"Mountain CF, Dresler CM. Regional lymph node classification for lung cancer staging. Chest. 1997;111.",Regional lymph node classification for lung cancer staging,Chest,1997,111,,,,,Mountain CF; Dresler CM
20,"Chin R Jr, Mccain TW, Lucia MA et al.. Transbronchial needle aspiration in diagnosing and staging lung cancer: how many aspirates are needed?. Am J Respir Crit Care Med. 2002;166.",Transbronchial needle aspiration in diagnosing and staging lung cancer: how many aspirates are needed?,Am J Respir Crit Care Med,2002,166,,,,,Chin R Jr; Mccain TW; Lucia MA; Cappellari JO; Adair NE; Lovato JF; Dunagan DP; Brooks MA; Clark HP; Haponik EF
21,"Lee HS, Lee GK, Lee HS et al.. Realtime endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station?. Chest. 2008;134.",Realtime endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station?,Chest,2008,134,,,,,Lee HS; Lee GK; Lee HS; Kim MS; Lee JM; Kim HY; Nam BH; Zo JI; Hwangbo B
22,"Griffin AC, Schwartz LE, Baloch ZW. Utility of on-site evaluation of endobronchial ultrasound-guided transbronchial needle aspiration specimens. Cytojournal. 2011;8:20.",Utility of on-site evaluation of endobronchial ultrasound-guided transbronchial needle aspiration specimens,Cytojournal,2011,8,,20,,,Griffin AC; Schwartz LE; Baloch ZW
23,"Lee JE, Kim HY, Lim KY et al.. Endobronchial ultrasoundguided transbronchial needle aspiration in the diagnosis of lung cancer. Lung Cancer. 2010;70.",Endobronchial ultrasoundguided transbronchial needle aspiration in the diagnosis of lung cancer,Lung Cancer,2010,70,,,,,Lee JE; Kim HY; Lim KY; Lee SH; Lee GK; Lee HS; Hwangbo B
24,"Yasufuku K, Pierre A, Darling G et al.. A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J Thorac Cardiovasc Surg. 2011;142.",A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J Thorac Cardiovasc Surg,2011,142,,,,,Yasufuku K; Pierre A; Darling G; De Perrot M; Waddell T; Johnston M; Da Cunha Santos G; Geddie W; Boerner S; Le LW; Keshavjee S
