#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gu P, Zhao YZ, Jiang LY, Zhang W, Xin Y, Han BH. Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis. Eur J Cancer. 2009;45.",Endobronchial ultrasound-guided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis,Eur J Cancer,2009,45,,,,,Gu P; Zhao YZ; Jiang LY; Zhang W; Xin Y; Han BH
2,"Adams K, Shah PL, Edmonds L, Lim E. Test performance of endobronchial ultrasound and transbronchial needle aspiration biopsy for mediastinal staging in patients with lung cancer: systematic review and meta-analysis. Thorax. 2009;64.",Test performance of endobronchial ultrasound and transbronchial needle aspiration biopsy for mediastinal staging in patients with lung cancer: systematic review and meta-analysis,Thorax,2009,64,,,,,Adams K; Shah PL; Edmonds L; Lim E
3,"Varela-Lema L, Fernandez-Villar A, Ruano-Ravina A. Effectiveness and safety of endobronchial ultrasoundtransbronchial needle aspiration: a systematic review. Eur Respir J. 2009;33.",Effectiveness and safety of endobronchial ultrasoundtransbronchial needle aspiration: a systematic review,Eur Respir J,2009,33,,,,,Varela-Lema L; Fernandez-Villar A; Ruano-Ravina A
4,"Yasufuku K, Pierre A, Darling G. A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J Thorac Cardiovasc Surg. 2011;142.",A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J Thorac Cardiovasc Surg,2011,142,,,,,Yasufuku K; Pierre A; Darling G
5,"Baram D, Garcia RB, Richman PS. Impact of rapid on-site cytologic evaluation during transbronchial needle aspiration. Chest. 2005;128.",Impact of rapid on-site cytologic evaluation during transbronchial needle aspiration,Chest,2005,128,,,,,Baram D; Garcia RB; Richman PS
6,"Trisolini R, Cancellieri A, Tinelli C. Rapid on-site evaluation of transbronchial aspirates in the diagnosis of hilar and mediastinal adenopathy: a randomized trial. Chest. 2011;139.",Rapid on-site evaluation of transbronchial aspirates in the diagnosis of hilar and mediastinal adenopathy: a randomized trial,Chest,2011,139,,,,,Trisolini R; Cancellieri A; Tinelli C
7,"Klapman JB, Logrono R, Dye CE, Waxman I. Clinical impact of on-site cytopathology interpretation on endoscopic ultra-sound-guided fine needle aspiration. Am J Gastroenterol. 2003;98.",Clinical impact of on-site cytopathology interpretation on endoscopic ultra-sound-guided fine needle aspiration,Am J Gastroenterol,2003,98,,,,,Klapman JB; Logrono R; Dye CE; Waxman I
8,"Tournoy KG, Praet MM, Van Maele G, Meerbeeck V, JP. Esophageal endoscopic ultrasound with fine-needle aspiration with an on-site cytopathologist: high accuracy for the diagnosis of mediastinal lymphadenopathy. Chest. 2005;128.",Esophageal endoscopic ultrasound with fine-needle aspiration with an on-site cytopathologist: high accuracy for the diagnosis of mediastinal lymphadenopathy,Chest,2005,128,,,,,Tournoy KG; Praet MM; Van Maele G; Meerbeeck V; JP
9,"Jhala NC, Eltoum IA, Eloubeidi MA. Providing on-site diagnosis of malignancy on endoscopic-ultrasound-guided fine-needle aspirates: should it be done?. Ann Diagn Pathol. 2007;11.",Providing on-site diagnosis of malignancy on endoscopic-ultrasound-guided fine-needle aspirates: should it be done?,Ann Diagn Pathol,2007,11,,,,,Jhala NC; Eltoum IA; Eloubeidi MA
10,"Feller-Kopman D, Yung RC, Burroughs F, Li QK. Cytology of endobronchial ultrasound-guided transbronchial needle aspiration: a retrospective study with histology correlation. Cancer. 2009;117.",Cytology of endobronchial ultrasound-guided transbronchial needle aspiration: a retrospective study with histology correlation,Cancer,2009,117,,,,,Feller-Kopman D; Yung RC; Burroughs F; Li QK
11,"Nakajima T, Yasufuku K. How I do it-optimal methodology for multidirectional analysis of endobronchial ultrasoundguided transbronchial needle aspiration samples. J Thorac Oncol. 2011;6.",How I do it-optimal methodology for multidirectional analysis of endobronchial ultrasoundguided transbronchial needle aspiration samples,J Thorac Oncol,2011,6,,,,,Nakajima T; Yasufuku K
12,"Monaco SE, Schuchert MJ, Khalbuss WE. Diagnostic difficulties and pitfalls in rapid on-site evaluation of endobronchial ultrasound guided fine needle aspiration. Cytojournal. 2010;7(9).",Diagnostic difficulties and pitfalls in rapid on-site evaluation of endobronchial ultrasound guided fine needle aspiration,Cytojournal,2010,7,9,,,,Monaco SE; Schuchert MJ; Khalbuss WE
13,"Griffin AC, Schwartz LE, Baloch ZW. Utility of on-site evaluation of endobronchial ultrasound-guided transbronchial needle aspiration specimens. Cytojournal. 2011;8:20.",Utility of on-site evaluation of endobronchial ultrasound-guided transbronchial needle aspiration specimens,Cytojournal,2011,8,,20,,,Griffin AC; Schwartz LE; Baloch ZW
14,"Nakajima T, Yasufuku K, Iyoda A. The evaluation of lymph node metastasis by endobronchial ultrasound-guided transbronchial needle aspiration: crucial for selection of surgical candidates with metastatic lung tumors. J Thorac Cardiovasc Surg. 2007;134.",The evaluation of lymph node metastasis by endobronchial ultrasound-guided transbronchial needle aspiration: crucial for selection of surgical candidates with metastatic lung tumors,J Thorac Cardiovasc Surg,2007,134,,,,,Nakajima T; Yasufuku K; Iyoda A
15,"Mountain CF, Dresler CM. Regional lymph node classification for lung cancer staging. Chest. 1997;111.",Regional lymph node classification for lung cancer staging,Chest,1997,111,,,,,Mountain CF; Dresler CM
16,"Alsharif M, Andrade RS, Groth SS, Stelow EB, Pambuccian SE. Endobronchial ultrasound-guided transbronchial fineneedle aspiration: the University of Minnesota experience, with emphasis on usefulness, adequacy assessment, and diagnostic difficulties. Am J Clin Pathol. 2008;130.","Endobronchial ultrasound-guided transbronchial fineneedle aspiration: the University of Minnesota experience, with emphasis on usefulness, adequacy assessment, and diagnostic difficulties",Am J Clin Pathol,2008,130,,,,,Alsharif M; Andrade RS; Groth SS; Stelow EB; Pambuccian SE
17,"Chin R, Jr, Mccain TW, Lucia MA. Transbronchial needle aspiration in diagnosing and staging lung cancer: how many aspirates are needed?. Am J Respir Crit Care Med. 2002;166.",Transbronchial needle aspiration in diagnosing and staging lung cancer: how many aspirates are needed?,Am J Respir Crit Care Med,2002,166,,,,,Chin R; Jr; Mccain TW; Lucia MA
18,"Diacon AH, Schuurmans MM, Theron J. Transbronchial needle aspirates: how many passes per target site?. Eur Respir J. 2007;29.",Transbronchial needle aspirates: how many passes per target site?,Eur Respir J,2007,29,,,,,Diacon AH; Schuurmans MM; Theron J
19,Davenport RD. Rapid on-site evaluation of transbronchial aspirates. Chest. 1990;98.,Rapid on-site evaluation of transbronchial aspirates,Chest,1990,98,,,,,Davenport RD
20,"Diacon AH, Schuurmans MM, Theron J. Utility of rapid on-site evaluation of transbronchial needle aspirates. Respiration. 2005;72.",Utility of rapid on-site evaluation of transbronchial needle aspirates,Respiration,2005,72,,,,,Diacon AH; Schuurmans MM; Theron J
21,"Stoll LM, Yung RC, Clark DP, Li QK. Cytology of endobronchial ultrasound-guided transbronchial needle aspiration versus conventional transbronchial needle aspiration. Cancer Cytopathol. 2010;118.",Cytology of endobronchial ultrasound-guided transbronchial needle aspiration versus conventional transbronchial needle aspiration,Cancer Cytopathol,2010,118,,,,,Stoll LM; Yung RC; Clark DP; Li QK
