#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Hettiarachchi, Mukherjee, Samuel et al.. Critical revision of the manuscript for important intellectual content. Statistical analysis: Rahman. None;None.",Critical revision of the manuscript for important intellectual content,Statistical analysis: Rahman,,,,,,,Hettiarachchi; Mukherjee; Samuel; Bentley; Dowson; Miles; Ryan; Yoneda; Chauhan; Corcoran; Psallidas; Wrightson; Hallifax H; Davies; Lee; Hedley; Dobson; Seaton; Russell; Chapman; Mcfadyen; Shaw; Maskell; Nunn; Miller C;; Pepperell; Rehal; Saba; Bentley H; Davies; Hedley; Dobson; Seaton; Russell; Chapman; Mcfadyen; Shaw; Nunn; Miller; Crosthwaite ; Rahman; Pepperell; Rehal; Tang; Ali; West; Hettiarachchi; Mukherjee; Samuel; Bentley; Dowson; Miles; Ryan; Yoneda; Chauhan; Corcoran; Psallidas; Wrightson; Hallifax H; Davies; Lee R; Davies; Maskell; Nunn; Miller ;; Rehal; Wrightson; Nunn
2,Ryan F. Vancouver Coastal Health. Vancouver Coastal Health. None;None.,Vancouver Coastal Health,Vancouver Coastal Health,,,,,,,Ryan F
3,Yoneda K. None. None. None;None.,,,,,,,,,Yoneda K
4,Chauhan A. None. None. None;None.,,,,,,,,,Chauhan A
5,Leonard A. Conquest Hospital. Conquest Hospital. None;None.,Conquest Hospital,Conquest Hospital,,,,,,,Leonard A
6,Fowler S. Lancashire Teaching Hospitals. Lancashire Teaching Hospitals. None;None.,Lancashire Teaching Hospitals,Lancashire Teaching Hospitals,,,,,,,Fowler S
7,Ionescu A. None. None. None;None.,,,,,,,,,Ionescu A
8,"Kastelik J, Hill Hospital C, Cottingham ; et al.. Independent data monitoring committee: M. Quigley. Independent data monitoring committee: M. Quigley. 2010;1.",Independent data monitoring committee: M. Quigley,Independent data monitoring committee: M. Quigley,2010,1,,,,,Kastelik J; Hill Hospital C; Cottingham ;; Lee YC; West ; Investigator ;A; ); Nunn ; ) AJ; Rehal ; ) S; Hedley ; ) EL; Shaw ; ) R; Seaton ; ) D; Miller RF
9,"Thoracic A, S. Management of malignant pleural effusions. Am J Respir Crit Care Med. 2000;162(5).",Management of malignant pleural effusions,Am J Respir Crit Care Med,2000,162,5,,,,Thoracic A; S
10,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
11,"Shaw P, Agarwal R. Pleurodesis for malignant pleural effusions. Cochrane Database Syst Rev. 2004;1:2916.",Pleurodesis for malignant pleural effusions,Cochrane Database Syst Rev,2004,,1,2916,,,Shaw P; Agarwal R
12,"Luketich JD, Kiss M, Hershey J. Chest tube insertion: a prospective evaluation of pain management. Clin J Pain. 1998;14(2).",Chest tube insertion: a prospective evaluation of pain management,Clin J Pain,1998,14,2,,,,Luketich JD; Kiss M; Hershey J
13,"Horsley A, Jones L, White J, Henry M. Efficacy and complications of small-bore, wire-guided chest drains. Chest. 2006;130(6).","Efficacy and complications of small-bore, wire-guided chest drains",Chest,2006,130,6,,,,Horsley A; Jones L; White J; Henry M
14,"Rahman NM, Maskell NA, Davies CW. The relationship between chest tube size and clinical outcome in pleural infection. Chest. 2010;137(3).",The relationship between chest tube size and clinical outcome in pleural infection,Chest,2010,137,3,,,,Rahman NM; Maskell NA; Davies CW
15,"Lee YC, Baumann MH, Maskell NA. Pleurodesis practice for malignant pleural effusions in five English-speaking countries: survey of pulmonologists. Chest. 2003;124(6).",Pleurodesis practice for malignant pleural effusions in five English-speaking countries: survey of pulmonologists,Chest,2003,124,6,,,,Lee YC; Baumann MH; Maskell NA
16,Bandolier. Acute pain meta-analysis. Acute pain meta-analysis. 2003;None.,Acute pain meta-analysis,Acute pain meta-analysis,2003,,,,,,Bandolier
