#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Van De Molengraft FJ, Vooijs GP. Survival of patients with malignancyassociated effusions. Acta Cytol. 1989;33.",Survival of patients with malignancyassociated effusions,Acta Cytol,1989,33,,,,,Van De Molengraft FJ; Vooijs GP
2,"Roberts ME, Neville E, Berrisford RG et al.. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65.",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali N; Bts P; Disease G; Group
3,"Putnam JB, Light RW, Rodriguez RM et al.. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86.",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,,,,,Putnam JB; Light RW; Rodriguez RM; Ponn R; Olak J; Pollak JS; Lee RB; Payne DK; Graeber G; Kovitz KL
4,"Putnam JB, Walsh GL, Swisher SG et al.. Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter. Ann Thorac Surg. 2000;69.",Outpatient management of malignant pleural effusion by a chronic indwelling pleural catheter,Ann Thorac Surg,2000,69,,,,,Putnam JB; Walsh GL; Swisher SG; Roth JA; Suell DM; Vaporciyan AA; Smythe WR; Merriman KW; Deford LL
5,"Van Meter ME, Mckee KY, Kohlwes RJ. Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review. J Gen Intern Med. 2011;26.",Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review,J Gen Intern Med,2011,26,,,,,Van Meter ME; Mckee KY; Kohlwes RJ
6,"Bertolaccini L, Viti A, Gorla A, Terzi A. Home-management of malignant pleural effusion with an indwelling pleural catheter: ten years experience. Eur J Surg Oncol. 2012;38.",Home-management of malignant pleural effusion with an indwelling pleural catheter: ten years experience,Eur J Surg Oncol,2012,38,,,,,Bertolaccini L; Viti A; Gorla A; Terzi A
7,"Pollak JS, Burdge CM, Rosenblatt M, Houston JP, Hwu WJ, Murren J. Treatment of malignant pleural effusions with tunneled long-term drainage catheters. J Vasc Interv Radiol. 2001;12.",Treatment of malignant pleural effusions with tunneled long-term drainage catheters,J Vasc Interv Radiol,2001,12,,,,,Pollak JS; Burdge CM; Rosenblatt M; Houston JP; Hwu WJ; Murren J
8,"Sabur NF, Chee A, Stather DR et al.. The impact of tunneled pleural catheters on the quality of life of patients with malignant pleural effusions. Respiration. 2013;85.",The impact of tunneled pleural catheters on the quality of life of patients with malignant pleural effusions,Respiration,2013,85,,,,,Sabur NF; Chee A; Stather DR; Maceachern P; Amjadi K; Hergott CA; Dumoulin E; Gonzalez AV; Tremblay A
9,"Schneider T, Reimer P, Storz K et al.. Recurrent pleural effusion: who benefits from a tunneled pleural catheter?. Thorac Cardiovasc Surg. 2009;57.",Recurrent pleural effusion: who benefits from a tunneled pleural catheter?,Thorac Cardiovasc Surg,2009,57,,,,,Schneider T; Reimer P; Storz K; Klopp M; Pfannschmidt J; Dienemann H; Hoffmann H
10,"Sudharshan S, Ferraris VA, Mullett T, Ramaiah C. Effectiveness of tunneled pleural catheter placement in patients with malignant pleural effusions. Int J Angiol. 2011;20.",Effectiveness of tunneled pleural catheter placement in patients with malignant pleural effusions,Int J Angiol,2011,20,,,,,Sudharshan S; Ferraris VA; Mullett T; Ramaiah C
11,"Suzuki K, Servais EL, Rizk NP et al.. Palliation and pleurodesis in malignant pleural effusion: the role for tunneled pleural catheters. J Thorac Oncol. 2011;6.",Palliation and pleurodesis in malignant pleural effusion: the role for tunneled pleural catheters,J Thorac Oncol,2011,6,,,,,Suzuki K; Servais EL; Rizk NP; Solomon SB; Sima CS; Park BJ; Kachala SS; Zlobinsky M; Rusch VW; Adusumilli PS
12,"Davies HE, Mishra EK, Kahan BC et al.. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC; Wrightson JM; Stanton AE; Guhan A; Davies CW; Grayez J; Harrison R; Prasad A
13,"Demmy TL, Gu L, Burkhalter JE et al.. Optimal management of malignant pleural effusions (results of CALGB 30102). J Natl Compr Canc Netw. 2012;10.",Optimal management of malignant pleural effusions (results of CALGB 30102),J Natl Compr Canc Netw,2012,10,,,,,Demmy TL; Gu L; Burkhalter JE; Toloza EM; 'amico D; Sutherland TA; Wang S; Archer X; Veit L; Kohman LJ; Cancer L; Group L; B
14,"Tremblay A, Michaud G. Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion. Chest. 2006;129.",Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion,Chest,2006,129,,,,,Tremblay A; Michaud G
15,"Burrows CM, Mathews WC, Colt HG. Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease. Chest. 2000;117.","Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease",Chest,2000,117,,,,,Burrows CM; Mathews WC; Colt HG
16,"Fysh ET, Tremblay A, Feller-Kopman D et al.. Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study. Chest. 2013;144.",Clinical outcomes of indwelling pleural catheter-related pleural infections: an international multicenter study,Chest,2013,144,,,,,Fysh ET; Tremblay A; Feller-Kopman D; Mishra EK; Slade M; Garske L; Clive AO; Lamb C; Boshuizen R; Ng BJ
17,"Olden AM, Holloway R. Treatment of malignant pleural effusion: PleuRx catheter or talc pleurodesis? A cost-effectiveness analysis. J Palliat Med. 2010;13.",Treatment of malignant pleural effusion: PleuRx catheter or talc pleurodesis? A cost-effectiveness analysis,J Palliat Med,2010,13,,,,,Olden AM; Holloway R
18,"Penz ED, Mishra EK, Davies HE, Manns BJ, Miller RF, Rahman NM. Comparing cost of indwelling pleural catheter vs talc pleurodesis for malignant pleural effusion. Chest. 2014;146.",Comparing cost of indwelling pleural catheter vs talc pleurodesis for malignant pleural effusion,Chest,2014,146,,,,,Penz ED; Mishra EK; Davies HE; Manns BJ; Miller RF; Rahman NM
19,"Puri V, Pyrdeck TL, Crabtree TD et al.. Treatment of malignant pleural effusion: a cost-effectiveness analysis. Ann Thorac Surg. 2012;94.",Treatment of malignant pleural effusion: a cost-effectiveness analysis,Ann Thorac Surg,2012,94,,,,,Puri V; Pyrdeck TL; Crabtree TD; Kreisel D; Krupnick AS; Colditz GA; Patterson GA; Meyers BF
