#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Davidson K, Shojaee S. Managing massive hemoptysis. Chest. 2020;157(1).",Managing massive hemoptysis,Chest,2020,157,1,,,,Davidson K; Shojaee S
2,Jean-Baptiste E. Clinical assessment and management of massive hemoptysis. Crit Care Med. 2000;28(5).,Clinical assessment and management of massive hemoptysis,Crit Care Med,2000,28,5,,,,Jean-Baptiste E
3,"Radchenko C, Alraiyes AH, Shojaee S. A systematic approach to the management of massive hemoptysis. J Thorac Dis. 2017;9(suppl 10).",A systematic approach to the management of massive hemoptysis,J Thorac Dis,2017,9,suppl 10,,,,Radchenko C; Alraiyes AH; Shojaee S
4,"Kettenbach J, Ittrich H, Gaubert JY, Gebauer B, Vos JA. CIRSE standards of practice on bronchial artery embolisation. Cardiovasc Intervent Radiol. 2022;45(6).",CIRSE standards of practice on bronchial artery embolisation,Cardiovasc Intervent Radiol,2022,45,6,,,,Kettenbach J; Ittrich H; Gaubert JY; Gebauer B; Vos JA
5,"Charya AV, Holden VK, Pickering EM. Management of life-threatening hemoptysis in the ICU. J Thorac Dis. 2021;13(8).",Management of life-threatening hemoptysis in the ICU,J Thorac Dis,2021,13,8,,,,Charya AV; Holden VK; Pickering EM
6,"Yoon W, Kim JK, Kim YH, Chung TW, Kang HK. Bronchial and nonbronchial systemic artery embolization for lifethreatening hemoptysis: a comprehensive review. RadioGraphics. 2002;22(6).",Bronchial and nonbronchial systemic artery embolization for lifethreatening hemoptysis: a comprehensive review,RadioGraphics,2002,22,6,,,,Yoon W; Kim JK; Kim YH; Chung TW; Kang HK
7,"Hsiao EI, Kirsch CM, Kagawa FT, Wehner JH, Jensen WA, Baxter RB. Utility of fiberoptic bronchoscopy before bronchial artery embolization for massive hemoptysis. AJR Am J Roentgenol. 2001;177(4).",Utility of fiberoptic bronchoscopy before bronchial artery embolization for massive hemoptysis,AJR Am J Roentgenol,2001,177,4,,,,Hsiao EI; Kirsch CM; Kagawa FT; Wehner JH; Jensen WA; Baxter RB
8,"Panda A, Bhalla AS, Goyal A. Bronchial artery embolization in hemoptysis: a systematic review. Diagn Interv Radiol. 2017;23(4).",Bronchial artery embolization in hemoptysis: a systematic review,Diagn Interv Radiol,2017,23,4,,,,Panda A; Bhalla AS; Goyal A
9,"Mondoni M, Carlucci P, Job S. Observational, multicenter study on the epidemiology of haemoptysis. Eur Respir J. 2018;51(1):1701813.","Observational, multicenter study on the epidemiology of haemoptysis",Eur Respir J,2018,51,1,1701813,,,Mondoni M; Carlucci P; Job S
10,"Abdulmalak C, Cottenet J, Beltramo G. Haemoptysis in adults: a 5-year study using the French nationwide hospital administrative database. Eur Respir J. 2015;46(2).",Haemoptysis in adults: a 5-year study using the French nationwide hospital administrative database,Eur Respir J,2015,46,2,,,,Abdulmalak C; Cottenet J; Beltramo G
11,"Nishihara T, Ishikawa H, Omachi N, Yamaguchi Y, Kitaguchi K, Hattori T. Prevalence of non-bronchial systemic culprit arteries in patients with hemoptysis with bronchiectasis and chronic pulmonary infection who underwent de novo bronchial artery embolization. Eur Radiol. 2023;33(6).",Prevalence of non-bronchial systemic culprit arteries in patients with hemoptysis with bronchiectasis and chronic pulmonary infection who underwent de novo bronchial artery embolization,Eur Radiol,2023,33,6,,,,Nishihara T; Ishikawa H; Omachi N; Yamaguchi Y; Kitaguchi K; Hattori T
12,"Revel MP, Fournier LS, Hennebicque AS. Can CT replace bronchoscopy in the detection of the site and cause of bleeding in patients with large or massive hemoptysis?. AJR Am J Roentgenol. 2002;179(5).",Can CT replace bronchoscopy in the detection of the site and cause of bleeding in patients with large or massive hemoptysis?,AJR Am J Roentgenol,2002,179,5,,,,Revel MP; Fournier LS; Hennebicque AS
13,"Mondoni M, Carlucci P, Cipolla G. Bronchoscopy to assess patients with hemoptysis: which is the optimal timing?. BMC Pulm Med. 2019;19(1):36.",Bronchoscopy to assess patients with hemoptysis: which is the optimal timing?,BMC Pulm Med,2019,19,1,36,,,Mondoni M; Carlucci P; Cipolla G
