#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Homasson JP, Renault P, Angebault M, Bonniot JP, Bell NJ. Bronchoscopic cryotherapy for airway strictures caused by tumors. Chest. 1986;90.",Bronchoscopic cryotherapy for airway strictures caused by tumors,Chest,1986,90,,,,,Homasson JP; Renault P; Angebault M; Bonniot JP; Bell NJ
2,"Sutedja G, Van Kralingen K, Schramel FM, Postmus PE. Fibreoptic bronchoscopic electrosurgery under local anesthesia for rapid palliation in patients with central airway malignancies: a preliminary report. Thorax. 1994;49.",Fibreoptic bronchoscopic electrosurgery under local anesthesia for rapid palliation in patients with central airway malignancies: a preliminary report,Thorax,1994,49,,,,,Sutedja G; Van Kralingen K; Schramel FM; Postmus PE
3,"Go PM, Goodman GR, Bruhn EW, Hunter JG. The argon beam coagulator provides rapid hemostasis of experimental hepatic and splenic hemorrhage in anticoagulated dogs. J Trauma. 1991;31.",The argon beam coagulator provides rapid hemostasis of experimental hepatic and splenic hemorrhage in anticoagulated dogs,J Trauma,1991,31,,,,,Go PM; Goodman GR; Bruhn EW; Hunter JG
4,"Grund KE, Zindel C, Farin G. Argon plasma coagulation through a flexible endoscope: evaluation of a new therapeutic method after 1606 uses (in German). Dtsch Med Wochenschr. 1997;122.",Argon plasma coagulation through a flexible endoscope: evaluation of a new therapeutic method after 1606 uses (in German),Dtsch Med Wochenschr,1997,122,,,,,Grund KE; Zindel C; Farin G
5,Bergler W. New developments in endoscopy. Laryngorhinootologie. 1997;76.,New developments in endoscopy,Laryngorhinootologie,1997,76,,,,,Bergler W
6,"Bergler W, Götte K, Riedel F, Back W, Hörmann K. Argon plasma coagulation in treatment of hereditary hemorrhagie telangiectasia of the nasal mucosa (in German). HNO. 1998;46.",Argon plasma coagulation in treatment of hereditary hemorrhagie telangiectasia of the nasal mucosa (in German),HNO,1998,46,,,,,Bergler W; Götte K; Riedel F; Back W; Hörmann K
7,"Katsch J, Müller R, Mailänder W. Argon-Plasma-Koagulation (APC) in der Dermatologie. Eine Standortbestimmung. VOD Dialog. Beilage Deutsche Dermatol. 1997;45.",Argon-Plasma-Koagulation (APC) in der Dermatologie. Eine Standortbestimmung. VOD Dialog,Beilage Deutsche Dermatol,1997,45,,,,,Katsch J; Müller R; Mailänder W
8,"Pinocy J, Grund KE. Lokalbehandlung von kolorektalen Karzinomen durch Argon-Plasma-Koagulation (APC) und elastischen Metallgitterstents. Langenbecks Arch Chir. 1994;None.",Lokalbehandlung von kolorektalen Karzinomen durch Argon-Plasma-Koagulation (APC) und elastischen Metallgitterstents,Langenbecks Arch Chir,1994,,,,,,Pinocy J; Grund KE
9,"Spies T, Stinner B, Guerico M, Rothmund M. Interventionelle Endoskopie mit dem Argon-Plasma-Koagulator: Erfahrungen in der Allgemeinchirurgie. Langenbecks Arch Chir. 1996;None.",Interventionelle Endoskopie mit dem Argon-Plasma-Koagulator: Erfahrungen in der Allgemeinchirurgie,Langenbecks Arch Chir,1996,,,,,,Spies T; Stinner B; Guerico M; Rothmund M
10,Schmidt W. Argon beam coagulation in interventional bronchology (in German). Atemw Lungenkrankh. 1996;22.,Argon beam coagulation in interventional bronchology (in German),Atemw Lungenkrankh,1996,22,,,,,Schmidt W
11,Colt HG. Bronchoscopic resection of Wallstent-associated granulation tissue using argon plasma coagulation. J Bronchol. 1998;5.,Bronchoscopic resection of Wallstent-associated granulation tissue using argon plasma coagulation,J Bronchol,1998,5,,,,,Colt HG
12,"Farin G, Grund KE. Technology of argon plasma coagulation with particular regard to endoscopic applications. Endosc Surg Allied Technol. 1994;2.",Technology of argon plasma coagulation with particular regard to endoscopic applications,Endosc Surg Allied Technol,1994,2,,,,,Farin G; Grund KE
13,"Storek D, Grund KE, Schütz A, Seifert HC, Farin G, Becker HD. Can argon-plasma-coagulation (APC) replace the laser in flexible endoscopy. Endosk Heute. 1994;7.",Can argon-plasma-coagulation (APC) replace the laser in flexible endoscopy,Endosk Heute,1994,7,,,,,Storek D; Grund KE; Schütz A; Seifert HC; Farin G; Becker HD
14,Beckett WS. Epidemiology and etiology of lung cancer. Clin Chest Med. 1993;14.,Epidemiology and etiology of lung cancer,Clin Chest Med,1993,14,,,,,Beckett WS
15,"Petrou M, Goldstraw P. The management of tracheobronchial obstruction: a review of endoscopic techniques. Eur J Cardiothorac Surg. 1994;8.",The management of tracheobronchial obstruction: a review of endoscopic techniques,Eur J Cardiothorac Surg,1994,8,,,,,Petrou M; Goldstraw P
16,"Freitag L, Greschuchna D. Fibrebronchoscopy or ªrealº bronchoscopy?. Atemw Lungenkrankh. 1989;15.",Fibrebronchoscopy or ªrealº bronchoscopy?,Atemw Lungenkrankh,1989,15,,,,,Freitag L; Greschuchna D
17,"Macha HN, Koch K, Stadler M, Schumacher W, Krumhaar D. New technique for treating occlusive and stenosing tumours of the trachea and main bronchi: endobronchial irradiation by high dose irridium-192 combined with laser canalisation. Thorax. 1987;42.",New technique for treating occlusive and stenosing tumours of the trachea and main bronchi: endobronchial irradiation by high dose irridium-192 combined with laser canalisation,Thorax,1987,42,,,,,Macha HN; Koch K; Stadler M; Schumacher W; Krumhaar D
18,"Hetzel MR, Smith S. Endoscopic palliation of tracheobronchial malignancies. Thorax. 1991;46.",Endoscopic palliation of tracheobronchial malignancies,Thorax,1991,46,,,,,Hetzel MR; Smith S
19,"Ross DJ, Mohsenifar Z, Koerner SK. Survival characteristics after neodymium: YAG laser photoresection in advanced stage lung cancer. Chest. 1990;98.",Survival characteristics after neodymium: YAG laser photoresection in advanced stage lung cancer,Chest,1990,98,,,,,Ross DJ; Mohsenifar Z; Koerner SK
20,"Joyner Lr, Maran AG, Sarama R, Yakaboski A. Neodymium-YAG laser treatment of intrabronchial lesions: a new mapping technique via the flexible fiberoptic bronchoscope. Chest. 1985;87.",Neodymium-YAG laser treatment of intrabronchial lesions: a new mapping technique via the flexible fiberoptic bronchoscope,Chest,1985,87,,,,,Joyner Lr; Maran AG; Sarama R; Yakaboski A
21,"Desai SJ, Mehta AC, Medendorp V, Golish S, Ahmad JA, M. Survival experience following Nd:YAG laser photoresection for primary bronchogenic carcinoma. Chest. 1988;94.",Survival experience following Nd:YAG laser photoresection for primary bronchogenic carcinoma,Chest,1988,94,,,,,Desai SJ; Mehta AC; Medendorp V; Golish S; Ahmad JA; M
22,"Macha HN, Becker KO, Kemmer HP. Pattern of failure and survival in endobronchial laser resection: a matched pair study. Chest. 1994;105.",Pattern of failure and survival in endobronchial laser resection: a matched pair study,Chest,1994,105,,,,,Macha HN; Becker KO; Kemmer HP
23,"Mastragelopulos N, Sarkar MR, Kaissling G, Bähr R, Daub D. Argon gas embolism in laparoscopic cholecystectomy with the Argon Beam One coagulator (in German). Chirurg. 1992;63.",Argon gas embolism in laparoscopic cholecystectomy with the Argon Beam One coagulator (in German),Chirurg,1992,63,,,,,Mastragelopulos N; Sarkar MR; Kaissling G; Bähr R; Daub D
24,Palmer M. Venous gas embolism associated with argon-enhanced coagulation of the liver. J Invest Surg. 1993;6.,Venous gas embolism associated with argon-enhanced coagulation of the liver,J Invest Surg,1993,6,,,,,Palmer M
25,"Tetzlaff K, Reuter M. Pneumologic aspects of diving medicine. Pneumologie. 1998;52.",Pneumologic aspects of diving medicine,Pneumologie,1998,52,,,,,Tetzlaff K; Reuter M
26,"Dr M, Reichle. Pneumologische Abteilung Lungenklinik Hemer Theo-Funccius-Str. 1 58675 Hemer E-mail: guenther. Pneumologische Abteilung Lungenklinik Hemer Theo-Funccius-Str. 1 58675 Hemer E-mail: guenther. None;None.",Pneumologische Abteilung Lungenklinik Hemer Theo-Funccius-Str. 1 58675 Hemer E-mail: guenther,Pneumologische Abteilung Lungenklinik Hemer Theo-Funccius-Str. 1 58675 Hemer E-mail: guenther,,,,,,,Dr M; Reichle
