#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Chr L, Aschl G, Hebuterne X. ESPEN guidelines on artificial enteral nutrition-percutaneous endoscopic gastrostomy (PEG). Clinical Nutrition. 2005;24.",ESPEN guidelines on artificial enteral nutrition-percutaneous endoscopic gastrostomy (PEG),Clinical Nutrition,2005,24,,,,,Chr L; Aschl G; Hebuterne X
2,"Eisen GM, Baron TH, Dominitz JA. ASGE guideline on the management of anticoagulation and antiplatelet therapy for endoscopic procedures. Gastrointestinal Endoscopy. 2002;55.",ASGE guideline on the management of anticoagulation and antiplatelet therapy for endoscopic procedures,Gastrointestinal Endoscopy,2002,55,,,,,Eisen GM; Baron TH; Dominitz JA
3,"Zuckermann MJ, Hirota WK, Adler DG. ASGE guideline: The management of low-molecular-weight heparin and nonaspirin agents for endoscopic procedures. Gastrointest Endosc. 2005;61.",ASGE guideline: The management of low-molecular-weight heparin and nonaspirin agents for endoscopic procedures,Gastrointest Endosc,2005,61,,,,,Zuckermann MJ; Hirota WK; Adler DG
4,"Gauderer MW, Ponsky JL, Izant RJ. Gastrostomy without laparotomy: A percutaneous endoscopic technique. J Pediatr Surg. 1980;15.",Gastrostomy without laparotomy: A percutaneous endoscopic technique,J Pediatr Surg,1980,15,,,,,Gauderer MW; Ponsky JL; Izant RJ
5,"Callahan CM, Haag KM, Weinberger M. Outcomes of percutaneous endoscopic gastrostomy among older adults in a community setting. J Am Geriatr Soc. 2000;48.",Outcomes of percutaneous endoscopic gastrostomy among older adults in a community setting,J Am Geriatr Soc,2000,48,,,,,Callahan CM; Haag KM; Weinberger M
6, In: British Artificial Nutrition Survey (BANS) report. Trends in artificial nutrition support in the UK during 1996-2000. 2001;None.,In: British Artificial Nutrition Survey (BANS) report,Trends in artificial nutrition support in the UK during 1996-2000,2001,,,,,,
7,"Lowry S, Johnston SD. Who follows up patients after PEG tube insertion?. Ulster Med J. 2007;76.",Who follows up patients after PEG tube insertion?,Ulster Med J,2007,76,,,,,Lowry S; Johnston SD
8,"Niv Y, Abuksis G. Indications for percutaneous endoscopic gastrostomy insertion: Ethical aspects. Dig Dis. 2002;20.",Indications for percutaneous endoscopic gastrostomy insertion: Ethical aspects,Dig Dis,2002,20,,,,,Niv Y; Abuksis G
9,"Stroud M, Duncan H, Nightingale J. Guidelines for enteral feeding in adult hospital patients. Gut. 2003;52(Suppl 7).",Guidelines for enteral feeding in adult hospital patients,Gut,2003,52,Suppl 7,,,,Stroud M; Duncan H; Nightingale J
10,"Löser C, Wolters S, Fölsch UR. Enteral long term nutrition via percutaneous endoscopic gastrostomy in 210 patients: A four year prospective study. Dig Dis Sci. 1998;43.",Enteral long term nutrition via percutaneous endoscopic gastrostomy in 210 patients: A four year prospective study,Dig Dis Sci,1998,43,,,,,Löser C; Wolters S; Fölsch UR
11,"Figueiredo F, Costa MC, Pelosi AD. Predicting outcomes and complications of percutaneous endoscopic gastrostomy. Endoscopy. 2007;39.",Predicting outcomes and complications of percutaneous endoscopic gastrostomy,Endoscopy,2007,39,,,,,Figueiredo F; Costa MC; Pelosi AD
12,"Smith BM, Perring P, Engoren M. Hospital and long-term outcome after percutaneous endoscopic gastrostomy. Surg Endosc. 2008;22.",Hospital and long-term outcome after percutaneous endoscopic gastrostomy,Surg Endosc,2008,22,,,,,Smith BM; Perring P; Engoren M
13,"Rimon E, Kagansky N, Levy S. Percutaneous endoscopic gastrostomy, evidence of different prognosis in various patient subgroups. Age and Aging. 2005;34.","Percutaneous endoscopic gastrostomy, evidence of different prognosis in various patient subgroups",Age and Aging,2005,34,,,,,Rimon E; Kagansky N; Levy S
14,"Hallas J, Dall M, Andries A. Use of single and combined antithrombotic therapy and risk of serious upper gastrointestinal bleeding: A population-based case-control study. BMJ. 2006;333.",Use of single and combined antithrombotic therapy and risk of serious upper gastrointestinal bleeding: A population-based case-control study,BMJ,2006,333,,,,,Hallas J; Dall M; Andries A
15,"Leon MB, Baim DS, Popma JJ. A clinical trial comparing three antithrombotic-drug regimes after coronary-artery stenting. N Engl J Med. 1998;339.",A clinical trial comparing three antithrombotic-drug regimes after coronary-artery stenting,N Engl J Med,1998,339,,,,,Leon MB; Baim DS; Popma JJ
16,"Blacker DJ, Wijdicks E, Mcclelland RL. Stroke risk in anticoagulated patients with atrial fibrillation undergoing endoscopy. Neurology. 2003;61.",Stroke risk in anticoagulated patients with atrial fibrillation undergoing endoscopy,Neurology,2003,61,,,,,Blacker DJ; Wijdicks E; Mcclelland RL
17,"Cannegieter SC, Rosendaal FR, Briet E. Thromboembolic and bleeding complications in patients with mechanical heart valve prosthesis. Circulation. 1994;89.",Thromboembolic and bleeding complications in patients with mechanical heart valve prosthesis,Circulation,1994,89,,,,,Cannegieter SC; Rosendaal FR; Briet E
18,"Faias S, Cravoi M, Claro I. High rate of percutaneous endoscopic gastrostomy site infections due to oropharyngeal colonization. Dig Dis Sci. 2006;51.",High rate of percutaneous endoscopic gastrostomy site infections due to oropharyngeal colonization,Dig Dis Sci,2006,51,,,,,Faias S; Cravoi M; Claro I
19,"Macclave SA, Chang WK. Complications of enteral access. Gastrointest Endosc. 2003;58.",Complications of enteral access,Gastrointest Endosc,2003,58,,,,,Macclave SA; Chang WK
20,"Gossner L, Keymling J, Hahn EG, Ell C. Antibiotic prophylaxis in percutaneous endoscopic gastrostomy (PEG). A prospective randomized clinical trial. Endoscopy. 1999;31.",Antibiotic prophylaxis in percutaneous endoscopic gastrostomy (PEG). A prospective randomized clinical trial,Endoscopy,1999,31,,,,,Gossner L; Keymling J; Hahn EG; Ell C
21,"Sangster W, Cuddington GD, Bachulis BL. Percutaneous endoscopic gastrostomy. Am J Surg. 1988;155.",Percutaneous endoscopic gastrostomy,Am J Surg,1988,155,,,,,Sangster W; Cuddington GD; Bachulis BL
22,"Zopf Y, Konturek P, Nuernberger A. Local infection after placement of percutaneous endoscopic gastrostomy tubes: A prospective study evaluating risk factors. Can J Gastroenterol. 2008;22.",Local infection after placement of percutaneous endoscopic gastrostomy tubes: A prospective study evaluating risk factors,Can J Gastroenterol,2008,22,,,,,Zopf Y; Konturek P; Nuernberger A
23,"Lee L, Kim J, Kim Y. Increased risk of peristomal wound infection after percutaneous endoscopic gastrostomy in patients with diabetes mellitus. Digest of Liver Disease. 2002;34.",Increased risk of peristomal wound infection after percutaneous endoscopic gastrostomy in patients with diabetes mellitus,Digest of Liver Disease,2002,34,,,,,Lee L; Kim J; Kim Y
24,"Lt S, Jorgensen T, Lt K. Smoking and alcohol abuse are major risk factors for anastomotic leakage in colorectal surgery. Br J Surg. 1999;86:927.",Smoking and alcohol abuse are major risk factors for anastomotic leakage in colorectal surgery,Br J Surg,1999,86,,927,,,Lt S; Jorgensen T; Lt K
25,"Meiselman H, Baskurt OK. Hemorheology and hemodynamics: Dove and dare?. Clin Hemorheol Microcirc. 2006;35.",Hemorheology and hemodynamics: Dove and dare?,Clin Hemorheol Microcirc,2006,35,,,,,Meiselman H; Baskurt OK
26,Darouiche RO. Device-associated infection: A macroproblem that starts with microadherence. Clin Infect Dis. 2001;33.,Device-associated infection: A macroproblem that starts with microadherence,Clin Infect Dis,2001,33,,,,,Darouiche RO
27,"Shaw AS, Ampong MA, Rio A. Entristar skin-level gastrostomy tube: Primary placement with radiologic guidance in patients with amyotrophic lateral sclerosis. Radiology. 2004;233.",Entristar skin-level gastrostomy tube: Primary placement with radiologic guidance in patients with amyotrophic lateral sclerosis,Radiology,2004,233,,,,,Shaw AS; Ampong MA; Rio A
28,"Given MF, Hanson JJ, Lee MJ. Interventional radiology techniques for provision of enteral feeding. Cardiovasc Intervent Radiol. 2005;28.",Interventional radiology techniques for provision of enteral feeding,Cardiovasc Intervent Radiol,2005,28,,,,,Given MF; Hanson JJ; Lee MJ
29,"Horiuchi A, Nakayama Y, Tanaka N. Prospective randomized trial comparing the direct method using a 24 Fr bumper-button-type device with the pull method for percutaneous endoscopic gastrostomy. Endoscopy. 2008;40.",Prospective randomized trial comparing the direct method using a 24 Fr bumper-button-type device with the pull method for percutaneous endoscopic gastrostomy,Endoscopy,2008,40,,,,,Horiuchi A; Nakayama Y; Tanaka N
