#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Kollorath O. Entfernung eines Knochenstücks aus dem rechten Bronchus auf natürlichem Wege und unter Anwendung der directen Laryngoscopie. Münch Med Wochenschr. 1897;38.,Entfernung eines Knochenstücks aus dem rechten Bronchus auf natürlichem Wege und unter Anwendung der directen Laryngoscopie,Münch Med Wochenschr,1897,38,,,,,Kollorath O
2,"Becker HD, Marsh BR. History of the rigid bronchoscope. Interventional bronchoscopy, Progress in respiratory research. 2000;30.",History of the rigid bronchoscope,"Interventional bronchoscopy, Progress in respiratory research",2000,30,,,,,Becker HD; Marsh BR
3,Alberti PW. The history of laryngology: a centennial celebration. Otolaryngol Head Neck Surg. 1996;114.,The history of laryngology: a centennial celebration,Otolaryngol Head Neck Surg,1996,114,,,,,Alberti PW
4,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17.",Flexible bronchofiberscope,Keio J Med,1968,17,,,,,Ikeda S; Yanai N; Ishikawa S
5,"Prakash UB, Offord KP, Stubbs SE. Bronchoscopy in North America: the ACCP survey. Chest. 1991;100.",Bronchoscopy in North America: the ACCP survey,Chest,1991,100,,,,,Prakash UB; Offord KP; Stubbs SE
6,"Colt HG, Prakash UB, Offord KP. Bronchoscopy in North America: survey by the American Association for Bronchology. J Bronchol. 1999;7.",Bronchoscopy in North America: survey by the American Association for Bronchology,J Bronchol,1999,7,,,,,Colt HG; Prakash UB; Offord KP
7,"Lortet-Tieulent J, Soerjomataram I, Ferlay J. International trends in lung cancer incidence by histological subtype: adenocarcinoma stabilizing in men but still increasing in women. Lung Cancer. 2014;84.",International trends in lung cancer incidence by histological subtype: adenocarcinoma stabilizing in men but still increasing in women,Lung Cancer,2014,84,,,,,Lortet-Tieulent J; Soerjomataram I; Ferlay J
8,Grillo HC. The history of tracheal surgery. Chest Surg Clin N Am. 2003;13.,The history of tracheal surgery,Chest Surg Clin N Am,2003,13,,,,,Grillo HC
9,"Ginsberg RJ, Vokes EE, RA. Non-small cell lung cancer. Cancer: Principles and Practice of Oncology. 1997;None.",Non-small cell lung cancer,Cancer: Principles and Practice of Oncology,1997,,,,,,Ginsberg RJ; Vokes EE; RA
10,"Gaissert HA, Grillo HC, Shadmehr MB. Uncommon primary tracheal tumors. Ann Thorac Surg. 2006;82.",Uncommon primary tracheal tumors,Ann Thorac Surg,2006,82,,,,,Gaissert HA; Grillo HC; Shadmehr MB
11,"Hemminki K, Li X. Incidence trends and risk factors of carcinoid tumors: a nationwide epidemiologic study from Sweden. Cancer. 2001;92.",Incidence trends and risk factors of carcinoid tumors: a nationwide epidemiologic study from Sweden,Cancer,2001,92,,,,,Hemminki K; Li X
12,"Ost DE, Ernst A, Grosu HB. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147.",Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,,,,,Ost DE; Ernst A; Grosu HB
13,"Mahmood K, Wahidi MM, Thomas S. Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction. Respiration. 2015;89.","Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction",Respiration,2015,89,,,,,Mahmood K; Wahidi MM; Thomas S
14,"Yarmus L, Ernst A, Feller-Kopman D. Emerging technologies for the thorax: indications, management and complications. Respirology. 2010;15.","Emerging technologies for the thorax: indications, management and complications",Respirology,2010,15,,,,,Yarmus L; Ernst A; Feller-Kopman D
