#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidencebased clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidencebased clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
2,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
3,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
4,"Mehta AC, Hood KL, Schwarz Y, Solomon SB. The evolutional history of electromagnetic navigation bronchoscopy: state of the art. Chest. 2018;154(4).",The evolutional history of electromagnetic navigation bronchoscopy: state of the art,Chest,2018,154,4,,,,Mehta AC; Hood KL; Schwarz Y; Solomon SB
5,"Herth F, Eberhardt R, Sterman D, Silvestri GA, Hoffmann H, Shah PL. Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules. Thorax. 2015;70(4).",Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules,Thorax,2015,70,4,,,,Herth F; Eberhardt R; Sterman D; Silvestri GA; Hoffmann H; Shah PL
6,"Hohenforst-Schmidt W, Zarogoulidis P, Vogl T. Cone Beam Computertomography (CBCT) in interventional chest medicine -high feasibility for endobronchial realtime navigation. J Cancer. 2014;5(3).",Cone Beam Computertomography (CBCT) in interventional chest medicine -high feasibility for endobronchial realtime navigation,J Cancer,2014,5,3,,,,Hohenforst-Schmidt W; Zarogoulidis P; Vogl T
7,"Park SC, Kim CJ, Han CH, Lee SM. Factors associated with the diagnostic yield of computed tomography-guided transbronchial lung biopsy. Thorac Cancer. 2017;8(3).",Factors associated with the diagnostic yield of computed tomography-guided transbronchial lung biopsy,Thorac Cancer,2017,8,3,,,,Park SC; Kim CJ; Han CH; Lee SM
8,"Chen AC, Gillespie CT. Robotic endoscopic airway challenge: REACH assessment. Ann Thorac Surg. 2018;106(1).",Robotic endoscopic airway challenge: REACH assessment,Ann Thorac Surg,2018,106,1,,,,Chen AC; Gillespie CT
9,"Rojas-Solano Jr, Ugalde-Gamboa L, Machuzak M. Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study. J Bronchology Interv Pulmonol. 2018;25(3).",Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study,J Bronchology Interv Pulmonol,2018,25,3,,,,Rojas-Solano Jr; Ugalde-Gamboa L; Machuzak M
10,"Gould MK, Donington J, Lynch WR. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Gould MK; Donington J; Lynch WR
11,"Callister ME, Baldwin DR, Akram AR. British Thoracic Society guidelines for the investigation and management of pulmonary nodules. Thorax. 2015;70(Suppl 2).",British Thoracic Society guidelines for the investigation and management of pulmonary nodules,Thorax,2015,70,Suppl 2,,,,Callister ME; Baldwin DR; Akram AR
12,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study. J Thorac Oncol. 2019;14(3).","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study",J Thorac Oncol,2019,14,3,,,,Folch EE; Pritchett MA; Nead MA
13,"Gex G, Pralong JA, Combescure C, Seijo L, Rochat T, Soccal PM. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis. Respiration. 2014;87(2).",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis,Respiration,2014,87,2,,,,Gex G; Pralong JA; Combescure C; Seijo L; Rochat T; Soccal PM
14,"Tanner NT, Yarmus L, Chen A. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial. Chest. 2018;154(5).","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial",Chest,2018,154,5,,,,Tanner NT; Yarmus L; Chen A
15,"Chen A, Pastis N, Furukawa B, Silvestri GA. The effect of respiratory motion on pulmonary nodule location during electromagnetic navigation bronchoscopy. Chest. 2015;147(5).",The effect of respiratory motion on pulmonary nodule location during electromagnetic navigation bronchoscopy,Chest,2015,147,5,,,,Chen A; Pastis N; Furukawa B; Silvestri GA
16,"Chen A, Chenna P, Loiselle A, Massoni J, Mayse M, Misselhorn D. Radial probe endobronchial ultrasound for peripheral pulmonary lesions. A 5-year institutional experience. Ann Am Thorac Soc. 2014;11(4).",Radial probe endobronchial ultrasound for peripheral pulmonary lesions. A 5-year institutional experience,Ann Am Thorac Soc,2014,11,4,,,,Chen A; Chenna P; Loiselle A; Massoni J; Mayse M; Misselhorn D
17,Murgu SD. Robotic assisted-bronchoscopy: technical tips and lessons learned from the initial experience with sampling peripheral lung lesions. BMC Pulm Med. 2019;19(1):89.,Robotic assisted-bronchoscopy: technical tips and lessons learned from the initial experience with sampling peripheral lung lesions,BMC Pulm Med,2019,19,1,89,,,Murgu SD
18,"Balbo PE, Bodini BD, Patrucco F. Electromagnetic navigation bronchoscopy and rapid on site evaluation added to fluoroscopy-guided assisted bronchoscopy and rapid on site evaluation: improved yield in pulmonary nodules. Minerva Chir. 2013;68(6):57985.",Electromagnetic navigation bronchoscopy and rapid on site evaluation added to fluoroscopy-guided assisted bronchoscopy and rapid on site evaluation: improved yield in pulmonary nodules,Minerva Chir,2013,68,6,57985,,,Balbo PE; Bodini BD; Patrucco F
19,"Seijo LM, Torres D, Lozano JP, MD. Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a bronchus sign on CT imaging: results from a prospective study. Chest. 2010;138(6).",Diagnostic yield of electromagnetic navigation bronchoscopy is highly dependent on the presence of a bronchus sign on CT imaging: results from a prospective study,Chest,2010,138,6,,,,Seijo LM; Torres D; Lozano JP; MD
