#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pacheco JM, Gao D, Smith D. Natural history and factors associated with overall survival in stage IV ALK-rearranged non-small cell lung cancer. J Thorac Oncol Off Publ Int Assoc Study Lung Cancer. 2019;14(4). doi:10.1016/j.jtho.2018.12.014.",Natural history and factors associated with overall survival in stage IV ALK-rearranged non-small cell lung cancer,J Thorac Oncol Off Publ Int Assoc Study Lung Cancer,2019,14,4,,10.1016/j.jtho.2018.12.014,,Pacheco JM; Gao D; Smith D
2,"Smeltzer MP, Wynes MW, Lantuejoul S. The international association for the study of lung cancer global survey on molecular testing in lung cancer. J Thorac Oncol Off Publ Int Assoc Study Lung Cancer. 2020;15(9). doi:10.1016/j.jtho.2020.05.002.",The international association for the study of lung cancer global survey on molecular testing in lung cancer,J Thorac Oncol Off Publ Int Assoc Study Lung Cancer,2020,15,9,,10.1016/j.jtho.2020.05.002,,Smeltzer MP; Wynes MW; Lantuejoul S
3,"Folch E, Mittal A, Oberg C. Robotic bronchoscopy and future directions of interventional pulmonology. Curr Opin Pulm Med. 2022;28(1). doi:10.1097/MCP.0000000000000849.",Robotic bronchoscopy and future directions of interventional pulmonology,Curr Opin Pulm Med,2022,28,1,,10.1097/MCP.0000000000000849,,Folch E; Mittal A; Oberg C
4,"Simoff MJ, Pritchett MA, Reisenauer JS. Shapesensing robotic-assisted bronchoscopy for pulmonary nodules: initial multicenter experience using the Ion™ Endoluminal system. BMC Pulm Med. 2021;21(1):322. doi:10.1186/s12890-021-01693-2.",Shapesensing robotic-assisted bronchoscopy for pulmonary nodules: initial multicenter experience using the Ion™ Endoluminal system,BMC Pulm Med,2021,21,1,322,10.1186/s12890-021-01693-2,,Simoff MJ; Pritchett MA; Reisenauer JS
5,Ost DE. Prospective multicenter analysis of shapesensing robotic-assisted bronchoscopy for the biopsy of pulmonary nodules: results from the PRECiSE study. Chest. 2021;160(4).,Prospective multicenter analysis of shapesensing robotic-assisted bronchoscopy for the biopsy of pulmonary nodules: results from the PRECiSE study,Chest,2021,160,4,,,,Ost DE
6,"Gildea TR, Folch EE, Khandhar SJ. the impact of biopsy tool choice and rapid on-site evaluation on diagnostic accuracy for malignant lesions in the prospective: multicenter NAVIGATE study. J Bronchol Interv Pulmonol. 2021;28(3). doi:10.1097/LBR.0000000000000740.",the impact of biopsy tool choice and rapid on-site evaluation on diagnostic accuracy for malignant lesions in the prospective: multicenter NAVIGATE study,J Bronchol Interv Pulmonol,2021,28,3,,10.1097/LBR.0000000000000740,,Gildea TR; Folch EE; Khandhar SJ
7,"Naso J, Bras J, Villamil C. Cytologic features and diagnostic value of PeriView FLEX transbronchial needle aspiration targeting pulmonary nodules. Cancer Cytopathol. 2020;128(5). doi:10.1002/cncy.22240.",Cytologic features and diagnostic value of PeriView FLEX transbronchial needle aspiration targeting pulmonary nodules,Cancer Cytopathol,2020,128,5,,10.1002/cncy.22240,,Naso J; Bras J; Villamil C
8,"Sánchez-Font A, Chalela R, Martín-Ontiyuelo C. Molecular analysis of peripheral lung adenocarcinoma in brush cytology obtained by EBUS plus fluoroscopy-guided bronchoscopy. Cancer Cytopathol. 2018;126(10). doi:10.1002/cncy.22053.",Molecular analysis of peripheral lung adenocarcinoma in brush cytology obtained by EBUS plus fluoroscopy-guided bronchoscopy,Cancer Cytopathol,2018,126,10,,10.1002/cncy.22053,,Sánchez-Font A; Chalela R; Martín-Ontiyuelo C
9,"Lentz RJ, Argento AC, Colby TV, Rickman OB, Maldonado F. Transbronchial cryobiopsy for diffuse parenchymal lung disease: a state-of-the-art review of procedural techniques, current evidence, and future challenges. J Thorac Dis. 2017;9(7). doi:10.21037/jtd.2017.06.96.","Transbronchial cryobiopsy for diffuse parenchymal lung disease: a state-of-the-art review of procedural techniques, current evidence, and future challenges",J Thorac Dis,2017,9,7,,10.21037/jtd.2017.06.96,,Lentz RJ; Argento AC; Colby TV; Rickman OB; Maldonado F
10,"Oh SS, Wallace WD, Shaikh F, Lynch JP. Transbronchial cryobiopsies. Semin Respir Crit Care Med. 2018;39(6):45. doi:10.1055/s-0038-1676645.",Transbronchial cryobiopsies,Semin Respir Crit Care Med,2018,39,6,45,10.1055/s-0038-1676645,,Oh SS; Wallace WD; Shaikh F; Lynch JP
